-0.003581+0.0009409i,-0.003457-0.00015002i,-0.0036661+0.00026652i,-0.0026938+0.00093657i,-0.0015709+0.0014955i,-0.00083653+0.0014873i,-0.00019703+0.0014236i,0.00029955+0.0014678i,0.00045533+0.0014092i,0.00027293+0.0011368i,0.00051484+0.00018554i,0.00070731-0.00046236i,2.9347e-05-0.00019538i,-0.00043295+0.0002097i,-0.00034844+0.00067612i,0.00025988+0.00097142i,0.00045728+0.00047998i,0.00019854-0.00059441i,-1.9614e-05-0.00011066i,-0.00043347+0.00031793i,0.00012353+0.0003003i,-6.3432e-06+0.00041582i,-0.00080612-0.00021993i
0.0010374-9.4488e-05i,0.00087521+0.00049253i,8.6276e-05+0.0018295i,0.0003266+0.0017525i,0.00069431+0.0011486i,0.00036189+0.00047975i,-1.2932e-05-0.00020301i,-0.0004099-0.00072349i,-0.00041092-0.00029343i,3.4827e-05-1.0609e-05i,0.00082544-0.00033407i,0.0007542-0.00049299i,0.00076435-0.00016861i,0.0011691+0.00062516i,-0.00011482+0.00087326i,-0.00064307+0.00054472i,0.00012209-0.0001876i,0.00058246-0.00030083i,0.00066254-0.00029013i,2.3213e-05-0.00056129i,-0.00044185+0.0003273i,-0.00026203+0.0010396i,0.00055359+0.00073169i
0.0014074-6.0453e-06i,0.001379+0.00024727i,0.00081543+0.0012803i,0.00026243+0.0016116i,-9.264e-06+0.0015816i,0.00010808+0.00096363i,0.00022975+0.00057435i,0.00049377+0.00046142i,-0.00045012-0.00013219i,-0.0013694+0.00030836i,-0.0010086+0.0009567i,-0.0012369+0.00020681i,-0.0013226-0.00024135i,-0.00052701-0.00046682i,7.1126e-05-0.00077679i,-0.00020309-0.0011253i,-0.00046613-0.00097622i,-0.00057387+5.028e-05i,-0.00019233+0.00083777i,2.2155e-06+0.001068i,-0.00013588+0.00049198i,-8.169e-05+0.00018147i,-0.00035306+0.00017581i
-0.00035252+0.00066584i,-0.0011687+0.0009766i,-0.00091054+0.0025172i,6.1573e-06+0.002724i,0.00015518+0.00061412i,-0.00040087-0.00046053i,-6.1077e-05-0.00025079i,0.00099905+0.00036107i,0.00084668+0.0010023i,-0.00032478+0.00063283i,-0.00051235+0.00028743i,-0.00064876+0.00029988i,3.9284e-06+0.00022916i,0.00045412+8.9615e-05i,-2.6886e-05+0.00029303i,-0.00040997+0.00052825i,-0.00090551+0.00079497i,-0.00079795+0.00062116i,-0.00091718+0.00038695i,-0.0010961+0.00046929i,-7.4537e-05+0.0002895i,0.00036125+0.0003613i,-0.00054488+0.00069914i
-0.00074203-0.0012291i,-0.00049211-0.00088941i,-0.00054405-0.00080825i,-0.00030934-0.0001127i,0.00041618+0.00045236i,0.0001148+1.9963e-05i,0.00013745-2.9707e-06i,0.00050045+0.00069925i,0.00010036+0.00083997i,-0.00031348+0.00085988i,-0.00027996+0.00014255i,-0.00030585-0.00097484i,-0.00076945-0.00065966i,-0.00062406-0.00066453i,-0.00028455-0.00064552i,-0.00072681+0.00015496i,-0.00071833+0.0002998i,-7.0401e-05-0.00027234i,-0.00018519-0.00013281i,-0.000356+0.00042693i,0.00026223+0.00053563i,-2.4994e-05-0.00013977i,-0.00043039-0.00044974i
-0.00044036+0.00081584i,0.0011079+0.00032117i,0.00093247+0.00027476i,0.00068166+0.0010726i,0.00085264+0.0015942i,-0.00036489+0.00072081i,8.4107e-05+0.00029926i,0.0015656+0.00039025i,0.0011737+0.00053505i,0.00045902+0.0011605i,0.00060162+0.00024329i,0.00019118-0.00078154i,-0.00037904-0.0005817i,-0.00046784-0.00045286i,-0.00092595-0.00033212i,-0.00066945-0.00061057i,0.00012528-0.00078755i,0.00081789-0.00056695i,0.0012184-0.00049633i,0.0009135-0.0004107i,-0.00022256-0.00018103i,2.4231e-05-1.2115e-06i,0.00088681+1.5994e-05i
0.0010984-0.0010249i,0.0014073-0.0020527i,0.00084515-0.0016357i,0.00018078-0.00096943i,0.00018651-0.00075844i,0.00017038-0.00030607i,-0.00041298-0.00023136i,-0.00036736-0.00051186i,-0.0001422-0.00061949i,-0.00013955-0.00055322i,-0.00060024-0.00035717i,-0.00092216+0.0002965i,-0.00035727+0.00056528i,5.6514e-05+0.00027023i,1.0336e-05+1.5769e-05i,0.00050345+4.6201e-05i,0.00078728+0.00058649i,2.2513e-05+0.00013771i,-0.00028111-0.0011393i,0.00020908-0.00047003i,0.0004664+0.001119i,0.00011133+0.00097398i,-0.00015053-0.00030072i
0.00060885+0.0012939i,0.0011874+0.0013791i,0.0016063+0.000945i,0.00045583+0.0010515i,0.00026583+0.00093153i,0.00097045+0.000111i,0.0009342-0.0003717i,0.00018085-0.00019065i,-0.00038821+8.0453e-05i,-0.00072224+0.00019472i,-0.0008343-0.000369i,-0.00073094-0.00075383i,-0.00071921-0.0001872i,-0.00075305+0.00023482i,-0.00079644+0.00033286i,-0.00050186+0.00042125i,-0.0004863-0.00019441i,0.0002691-0.000931i,0.0012602-0.00049132i,0.00089302+0.00025919i,0.00041057+0.00053442i,-5.4097e-06+0.00048605i,-0.00025966-2.0482e-05i
7.7566e-05+0.0001973i,0.0004582+0.00080799i,-0.00043921+0.00084569i,-0.0010156+0.0003682i,0.00019977+0.0001164i,0.00085225-0.00022507i,5.4809e-06-0.0002661i,-7.1772e-05+9.0094e-06i,6.4081e-05-0.00039016i,-0.00075147-0.00045044i,-0.0006373-7.5295e-05i,0.00012773+0.00035847i,0.00011794+0.00045553i,-2.2656e-05-0.00036321i,0.00075059-0.0003425i,0.00054357+0.00046781i,-0.0006745+0.00061852i,-0.00085238+0.00035311i,-0.00060841+0.0001494i,-0.00059473+0.00025353i,-4.7058e-05-5.8049e-05i,0.00021932+0.00012819i,-0.00015761+0.00053663i
-0.00075415+0.0009688i,-0.00055528+0.0014351i,-0.00040962+0.0018238i,-0.000377+0.0012451i,-0.00063466+0.0012782i,0.0001506+0.00080926i,0.00058283+0.00036074i,-8.0706e-06+0.00022077i,-0.00054097+0.00015344i,-0.00062086+0.00039016i,-0.00032044+0.0012117i,-0.00017614+0.00067711i,-1.1553e-05-0.00072496i,0.00013822-0.00053987i,-0.00020546+1.3979e-06i,3.5007e-05-7.7826e-05i,6.5297e-05+0.00016132i,-0.00056669-0.00015447i,-0.0005063-0.00053852i,-0.00013552-0.00052753i,-0.00010183-4.1237e-05i,-0.00045025+0.0002797i,-0.00041562-0.00038155i
-0.0012763-0.0011897i,-0.0018802-0.0020524i,-0.0019327-0.00014167i,-0.001622+0.0019909i,-5.4828e-05+0.0013398i,0.00067247+0.00057498i,0.00026887-9.5682e-05i,0.00034339-7.1137e-05i,0.00011795+0.0013648i,0.00045078+0.0017081i,0.00076533+0.00041398i,0.00041531-0.00073513i,0.0001459-0.00038154i,0.00048679-0.0004101i,0.00045989-0.00040816i,-0.0003239-0.00063808i,0.00063249-0.00061701i,0.0015772+5.4734e-05i,0.00076551+0.00078506i,0.00011963+0.0007223i,-0.00047766+0.00059848i,-0.00074741+8.8917e-05i,0.00023281+8.3086e-05i
