-0.00053772+0.00063089i,0.00099314+0.0010852i,0.00050796+0.0015568i,-0.0004097+0.0026563i,-0.0010087+0.0029315i,-0.00027169+0.0013773i,0.00060162+0.00065333i,0.00082384+0.00088372i,0.0011009+0.00033456i,0.0011961+0.00014464i,0.00083541+0.00068879i,9.7201e-06+0.00049501i,0.00022519-0.00076076i,0.001055-0.001438i,0.0014873-0.00049489i,0.0011457+0.00042439i,4.706e-05-0.00031696i,-0.00053704-0.00041157i,-0.00050101+0.00015031i,-0.00034243+0.00038741i,-0.00069+0.00066705i,-0.00071487+0.0008042i,0.00043682+0.0010384i
0.0018329-0.00070059i,0.0017466+0.0003425i,0.00070973+0.00066587i,0.00041842+0.00025682i,-0.00067851-1.5514e-06i,-0.00082279-0.00071781i,-0.000424-0.00070851i,-0.00019374-0.00052037i,0.00018081-0.00070334i,0.0001713-0.00012094i,0.00017898+0.00054837i,0.00032266+0.0008464i,0.00087872+0.00096694i,0.002162+0.00077131i,0.0023122+0.00063513i,0.00092869+0.00042893i,0.0001029-7.9173e-05i,0.00032012-5.5902e-05i,0.00069966+0.0001328i,0.0001288+0.00013809i,-0.00055603+9.7704e-05i,-0.00037352-0.0001382i,0.00043969+0.00033916i
0.00015042-0.00028936i,0.00081452+0.00068924i,0.0002132+0.0022486i,-7.8943e-05+0.0019248i,-0.00049554+0.00058542i,-0.00070867-0.00069301i,-0.00031967-0.00096015i,-0.00011171-0.00071967i,-6.9265e-05-0.00098476i,-8.8935e-07-0.00047865i,0.00046568+0.00048908i,-6.6996e-05+0.00075061i,-0.00011075+8.3258e-05i,0.00021656+0.00024243i,0.00064602+0.00058936i,0.001311-3.0821e-05i,0.00013761-0.00031111i,-0.00095907+0.00046216i,-0.00018995+0.00058116i,0.00040764-0.00065608i,3.2696e-05-0.00073629i,-0.00018485-2.1661e-05i,-8.7062e-05-0.00022388i
0.001363+0.00048149i,0.0022222+3.0281e-06i,0.0022505+0.00040193i,0.0011549-0.00028585i,-0.00049898-0.00091583i,-0.0013973-0.0014749i,-0.0010928-0.0015866i,-0.0005078-0.0010597i,-6.5224e-05-0.0002956i,0.00037184-0.00017607i,0.00077813-0.00015517i,0.00036969+0.00041623i,0.00017421+0.0004093i,0.00052655-0.00026038i,0.00049945+0.0001432i,0.00046757+0.00065201i,0.00014392+0.00042112i,-9.1141e-05-0.00039523i,-0.00047737-0.0010211i,-0.00045585-0.0004665i,0.00010367-0.00012728i,-0.00025638+1.7301e-07i,-0.0002959-3.7783e-05i
0.00030053-0.00028092i,-0.00012343+0.0011366i,-0.00061994+0.0011865i,-0.00041635+0.0014091i,-0.00028313+0.0012251i,-0.00082626+0.00029093i,-0.00037417-0.00023638i,0.00091967-1.3248e-06i,0.0012621+7.763e-05i,0.00038203-0.00051326i,-0.00054591+0.00043849i,-0.00086667+0.0010391i,0.00015047+0.00093468i,0.0012701+0.0013692i,0.0010264+0.001506i,-6.927e-05+0.00090456i,-0.00025399+0.00014856i,4.3103e-05+0.00011805i,0.00013216+0.00025311i,0.0003289-0.00017745i,5.4899e-05-0.00053934i,-0.00045961-0.00087211i,-9.4758e-05-0.0011803i
0.0013241+0.00097672i,0.0012359+0.00052514i,0.0014674+0.00044866i,0.0011503+1.8923e-05i,3.4868e-05-0.001468i,-0.00038067-0.0011912i,-0.00030408-0.00070292i,-0.00052652-0.0019837i,0.00047877-0.0017654i,0.00052065-0.00039173i,0.00025371+4.2565e-05i,0.00016717+0.00031672i,-0.00010043+0.00079348i,0.00015662+0.00087579i,1.4568e-05+0.00059349i,7.0835e-05+0.00024316i,0.00026148-0.00028581i,-0.00041742-2.1702e-05i,-0.00060602+6.2589e-05i,-0.00036805-0.00024616i,-8.2567e-05+6.3772e-05i,8.4714e-05+0.00024323i,0.00034194+0.0001661i
0.00095547+0.0013316i,0.0024525+0.0017534i,0.0026006+0.0016267i,0.0021094+7.3689e-05i,0.0010371-0.00095466i,-0.00026285-0.0017418i,-0.00054014-0.0016459i,-0.0003438-0.00092002i,0.00010911-0.00072768i,0.00051575-0.00063138i,0.00011878-0.00047556i,-0.00040465-0.00016001i,-0.00013857-0.00017476i,-0.00046785-0.00031451i,-0.0011324-0.00086583i,-0.0011131-0.0014368i,-0.00061171-0.00076989i,-0.00025679-6.3729e-05i,0.00027852+0.00036495i,0.00013136+0.00038162i,0.00022849+0.00016276i,0.00094752+0.00040001i,0.0011929+7.3638e-05i
0.0011536+0.0001807i,0.0014144-0.00023017i,0.0013122+0.0014493i,0.00065986+0.0016039i,0.00019268-0.00020056i,-0.00021139-0.0012115i,-0.00017973-0.0016527i,7.6131e-05-0.00094347i,-1.6145e-05-0.00026566i,-0.00020316-0.00057854i,0.00011825+0.00029847i,0.00070463+0.00086579i,0.00035795+0.00016505i,0.00055564-0.00040684i,0.00086032+0.00013572i,8.1669e-05+0.00059235i,0.00017622+0.00051985i,0.00024057+0.00044254i,0.0003576+3.525e-06i,0.00061636+2.0746e-05i,0.00065285+0.00025311i,0.00052159-0.00016895i,0.0001109-8.2445e-05i
0.0014904+0.001004i,0.0018881+0.0021818i,0.0029344+0.001813i,0.0027657-0.00025334i,0.00038806-0.0014825i,-0.0012834-0.0010226i,-0.0012389-0.00068256i,-0.00046169-0.00041137i,0.00098885-0.00052454i,0.0011906-0.00076515i,0.00017922-0.00085048i,-8.8181e-05-0.00033981i,-0.00057982+0.00087601i,-0.00067022+0.0012325i,-0.00082096+0.00050692i,-0.00090208-0.00045578i,-0.00011483-0.00042262i,-4.9833e-05-0.00017753i,-0.00025531-0.00017898i,0.00029229+6.7088e-05i,-9.1803e-07-0.0001632i,-0.00022791-0.00040235i,-0.00044878-6.2727e-05i
0.00039888-0.00049887i,0.001434+0.0015414i,0.00041598+0.0031998i,0.00073167+0.0020275i,0.0014603-0.00026776i,0.00037314-0.0015701i,-0.0010273-0.0026179i,-0.00051803-0.0025333i,-7.336e-05-0.0010191i,-0.00029325-0.00095739i,0.00045411-0.0010845i,0.00038227-0.00074226i,0.00016843-0.0006495i,-0.00030735-0.00075466i,-0.00045288-0.0011423i,0.00027664-0.00075895i,0.00036179-1.9212e-05i,-0.00013797-0.00018693i,-0.0003333-0.00034054i,-0.0014213+5.5793e-05i,-0.0016866+0.00020676i,-0.0010046+0.00055554i,-0.00057331+0.00047625i
0.0027756-0.00071407i,0.0025313+0.00050679i,0.0026789+0.00060886i,0.0022153-2.3892e-05i,0.00039817-0.0011042i,-0.00082119-0.0014015i,-0.00090466-0.00081417i,-0.00069182+0.00029901i,-0.00093302+0.00023838i,-0.00069707-7.1733e-05i,-0.0002176+0.00019263i,-0.00034541+0.00030476i,-0.00032645+0.00030541i,-0.00024202-0.00023224i,-0.0001981-0.00052517i,-9.1637e-05+9.3503e-05i,0.00018329-0.00029955i,3.8893e-05-0.0012651i,-9.772e-05-0.00060434i,0.00047261+0.00043768i,0.00043181+0.000327i,-9.1431e-05+0.00048131i,0.00022657-2.983e-05i
