-0.0091629+0.00030508i,-0.01007+0.0008097i,-0.0088238+0.0044318i,-0.0043108+0.0064396i,-0.00010776+0.0054994i,0.00088529+0.0024867i,-0.00033157+0.00045391i,-0.00044335+0.00076363i,0.00025103+0.0011897i,0.0012998+0.00097361i,0.0022422+0.00043818i,0.0015331-8.2272e-05i,0.00024632-2.904e-05i,0.0003268-0.00023995i,0.00047957-0.0016432i,0.00039887-0.0019027i,0.00042608-0.00031758i,-0.00029062+0.00030692i,-0.00024362-7.0277e-05i,3.9813e-05+2.952e-06i,-2.859e-05-0.00095433i,0.00024084-0.0023487i,-0.00019191-0.0015682i
-0.00032759+0.00086453i,0.0001601+0.0019009i,0.00086377+0.003204i,0.0011787+0.002959i,0.00092552+0.0015548i,0.00053283+8.4583e-06i,0.00023982-0.00095494i,6.9327e-05-0.00057759i,8.9082e-05+0.00014763i,0.00065253+7.03e-05i,0.00047537-0.00014451i,-0.0003314+6.9883e-05i,-3.6996e-05+0.00055242i,0.00079245+5.4333e-05i,0.00065004-0.00080357i,0.00048874-3.734e-06i,0.00089443+0.00033545i,0.00053292-0.00026789i,-0.00045138-0.00040912i,-0.00081652-0.00065672i,-0.00061483-0.00048778i,-0.0008028+0.00019939i,-0.0010696+0.00034364i
0.0025981+7.9318e-05i,0.0028825+0.00011187i,0.0025803-0.0023662i,0.00093694-0.0035631i,-0.0013999-0.0025897i,-0.0024673-0.0004942i,-0.0016633+3.2558e-05i,-0.00020486-0.00083241i,-6.4909e-05-0.00043969i,-0.00079926+0.00021159i,-0.00089242+0.00044127i,-0.00098628+0.00087559i,-0.00046312+0.00042434i,0.00083424+4.5634e-05i,0.00095567+0.00016272i,0.00050077+0.00031898i,0.00010069+0.00022857i,1.4227e-05-0.00053168i,0.00026476-0.0007114i,2.5185e-05-0.00042393i,-0.00050774-0.0002709i,-0.00024517-0.00024446i,0.00061161-0.00038959i
0.00050721-7.4666e-05i,0.00026116+0.0008222i,0.0008394+0.0015998i,0.0010906+0.0015944i,-0.00022622+0.0012059i,-0.0013138+0.0005608i,-0.0016505-0.00026391i,-0.0014787-0.00049356i,-0.0013581-0.00021959i,-0.00081859-0.00062059i,-4.231e-05-0.00013083i,2.4235e-05+0.00010497i,0.00031922+8.676e-05i,0.001056+7.6196e-05i,0.0010686-0.00016931i,0.0010777-0.00028761i,0.0011195+0.00021646i,0.0015307+0.0001078i,0.0014907+0.00022374i,1.8586e-05+0.00057422i,-0.00037076+0.00014042i,-0.00019392-0.00013507i,6.3965e-05-0.00022307i
-0.0012875+0.00039047i,-0.0013952-0.00049013i,-0.0017314-0.00016292i,-0.00093493+0.0001605i,0.00020177+0.00021624i,0.00024156+0.00031384i,0.00087768-0.00011518i,0.00079759-0.00025475i,0.00062675+0.00044326i,0.00065438+0.00023594i,0.00021846-0.0006194i,-0.00020202-0.00047954i,-0.00041537+0.00028791i,-0.00020591+0.00010812i,-4.0514e-05-0.00072714i,5.4758e-05-0.00016948i,0.00026115+0.00010095i,0.00040782-0.00047081i,9.5223e-05+0.00044303i,-0.00030418+0.0011546i,-0.00014956+0.00097717i,0.00022437+0.00080742i,5.9566e-05+0.00065611i
0.0013794+0.00016208i,0.0017318+0.00035719i,3.7758e-05+0.0006507i,-0.000973+0.00041821i,-0.0011256+0.0012693i,-0.00081083+0.0011979i,-0.00014911-0.00033213i,-0.00032008-0.0015205i,-0.00040986-0.0017325i,0.00039579-0.0015071i,0.00063293-0.00041162i,0.00034698+0.001017i,0.00020019+0.0015479i,0.00036514+0.0012842i,0.00068378+0.00064051i,-1.0956e-05+0.00068306i,-0.00046135+0.00059402i,-0.00023918+0.0005152i,-0.00022929+0.00022403i,-6.7938e-05-7.1714e-06i,-0.00014-5.3927e-05i,-0.00019449+0.00015707i,0.00015156+0.00040997i
0.0006185+0.0009907i,0.00086166+0.0012528i,0.00022446+0.0009923i,0.00025196+0.00026064i,-0.0001599-0.00070056i,-0.0012517-0.0012161i,-0.001613-0.001289i,-0.001406-0.00035041i,-0.0013596-0.00025285i,-0.0015329-0.00080936i,-0.0011809-0.00073853i,-0.00071568-0.00042266i,0.00037608-7.0671e-05i,0.00042048+0.00016575i,-4.1406e-05-3.4539e-05i,0.00023528+7.7498e-05i,4.0173e-05+0.00012828i,-6.8056e-05+0.00030462i,-0.00023545+0.00026995i,-0.00028616-0.000302i,-0.00037618-0.00041082i,-0.00093953-0.00025993i,-0.0010437-0.00051037i
-0.00089246-0.00072767i,-0.001239-0.00071001i,-0.00037871+1.1061e-05i,3.9406e-05+0.00092771i,-0.00041302+0.00079577i,-0.00078261+0.00047879i,-0.00077802+0.00030991i,-0.00051488-7.9145e-05i,-0.00035055-0.00014774i,-0.00053495-0.00039975i,-0.00032203-0.00012955i,0.00041433+0.00023191i,0.00081037-2.4333e-05i,0.00087505+0.00029571i,0.00036466+0.00026981i,-0.00026528-0.00071692i,0.00027564-0.00064608i,0.00059828-0.00037406i,0.00011075-0.00034628i,0.00023185+5.5033e-08i,0.00049372+3.1142e-05i,0.00059607-0.00022902i,0.00077828+2.1233e-05i
0.00059953+0.001052i,0.00039437+0.00026091i,0.00041626+0.00035381i,-0.00021155+0.00036718i,-0.00094148-0.00046584i,-0.0011213-0.00062315i,-0.00083446-0.00046975i,0.00050939-0.00028555i,0.0013728-0.00034929i,0.00048314-0.00027716i,-0.00029333-0.00029571i,-0.00022764-0.00044105i,0.00053015-0.00047198i,0.00029519-0.00048195i,-0.00025664-0.00043254i,-0.00017529+0.00036102i,-0.00026873+0.00068352i,-0.00033993-1.6321e-05i,8.6031e-05-7.1952e-05i,0.00036505+0.00015901i,-6.5255e-05+0.00041539i,0.00015546+6.0998e-05i,0.00060216-0.00014878i
0.0018198+0.0031153i,0.00049194+0.0025193i,-0.0003236+0.001084i,-0.0003075-0.00011397i,-0.001144-0.00056306i,-0.0019829-0.00055281i,-0.0015318-0.00065354i,-0.00024519-0.00079064i,0.00025796-0.0011003i,-8.8077e-05-0.0016467i,0.00011635-0.0012923i,0.00076973-3.7314e-05i,0.0007879+0.00011594i,0.00012505-0.00037346i,-0.00029336-0.00052786i,-0.00048882+8.9312e-05i,0.00016926+0.0009505i,0.00078406+0.00084397i,0.00034954+0.00037262i,-0.00014273+0.00014065i,-0.00012875+2.1014e-06i,0.00021165+0.00022772i,0.00085069+0.00062533i
-0.0036631-3.1632e-05i,-0.0027171-0.00051351i,-0.00013916+0.0010418i,0.00094779+0.002734i,0.0010461+0.0025548i,0.00060149+0.00091083i,0.00013755-0.00032832i,-0.00025014-0.0005467i,-0.00012432+0.00042013i,0.00029616+0.0010293i,6.7947e-05+0.00044916i,0.00024656+9.0212e-05i,0.00047181-0.00064805i,0.00082297-0.0013105i,0.00069294-0.0011885i,-0.0004381-0.00094019i,-0.0012548-0.0006235i,-0.00075346+0.0007069i,-0.00039578+0.0009696i,-0.00090786+0.00052279i,-0.0012259+0.00069658i,-0.00066015+4.7759e-05i,-7.5051e-05-0.00044507i
