-0.001672+0.00022706i,-0.0029634-0.00084264i,-0.00412-0.0013657i,-0.0025098-0.0011103i,-0.00085897-0.00020914i,-0.00016758+0.0008238i,0.00030667+0.0014362i,0.0007348+0.001569i,0.00088266+0.00046287i,0.0011506-0.00040799i,0.000888-0.0007873i,-0.00048105-0.00099393i,-0.0011176-0.00054922i,-0.0011159+0.00038725i,-0.0010901+0.00023947i,-0.00068284+0.0001832i,-0.00042847+0.00033277i,-8.8494e-05+0.00034035i,-3.468e-05+5.0397e-05i,-0.00082283-0.00080157i,-0.00015043-0.0013336i,0.000963-0.0011199i,0.00024447-0.0002339i
0.00092462+0.001416i,0.0007367+0.002053i,-0.00021468+0.0019474i,-0.00019679+0.0012197i,0.00082938+0.0011619i,0.0012736+0.0017838i,0.00097271+0.00091293i,0.00086353+0.00041605i,0.00038869+0.00026095i,-5.0262e-05-5.2967e-05i,-0.00014635-0.00025525i,-0.00080698-0.00042418i,-0.0016663-0.00032862i,-0.0012351-0.00086531i,-0.00016466-0.00061913i,0.00031071+0.00031582i,0.00022096+0.00050273i,0.0006894+8.3348e-05i,0.00046924-0.00045257i,-0.00038295+7.078e-05i,-0.00040588+0.00033833i,0.00033167+0.00048332i,0.00069925+0.00057467i
0.00049953-0.00093216i,-0.00011517-0.00042449i,-0.00071394-0.001172i,-0.0013676-0.0017521i,-0.0020128-0.0015311i,-0.00094517-0.0010547i,-0.00038094-8.1972e-05i,-9.5505e-05-0.00026371i,0.00051211-0.0011123i,0.00045768-0.0012719i,0.00039178-0.00073101i,0.00041415+0.00020899i,-1.9249e-05+0.0004126i,-5.799e-05+0.0001236i,-0.00029576+0.00018591i,-0.00078103+0.00036812i,-0.00076238-0.00011296i,-0.00061088-0.00090402i,-0.0001487+8.1124e-06i,0.00063811+0.00027456i,0.001382-0.00040987i,0.0015493-0.00066352i,0.0012141-0.00055317i
0.0016948-0.0010009i,0.0008055-0.00090587i,0.00025197-0.00096792i,0.00054605-0.00091821i,-0.00016323-0.00051406i,-0.00057423-0.00034056i,-9.7115e-05-0.00085293i,0.00040641-0.0010468i,0.00041213-0.00078901i,-9.4883e-06-8.6983e-05i,-0.00048215+0.00030293i,-1.4531e-05+9.2347e-05i,0.0007166+0.00028918i,0.00033694-0.00032732i,-0.00033454-0.00097781i,-0.00093332-0.00080124i,-0.001161-0.00030625i,-0.0012369+0.00016985i,-0.00068365+6.1861e-05i,0.00022073-4.0873e-05i,0.00059022-0.00082244i,0.00068757-0.0010305i,0.00030854-0.00066769i
-0.0008918+0.00075102i,-0.00098916+0.0013237i,-0.0014453+0.0017049i,-0.001559+0.001361i,-0.001214+0.0010982i,-0.00084137+0.0008547i,-0.00074894+0.0012458i,-0.00054705+0.0015127i,0.00028593+0.00029594i,0.00031257-0.00098451i,1.784e-05-0.00092822i,-4.9141e-06+0.00034193i,0.00053921+0.00039943i,0.00047311+0.0002792i,-0.00060721+0.00026232i,-0.00061465+0.00015196i,-0.00011517+0.00029804i,-0.00017636-0.00016447i,0.00043273-0.00014368i,0.00085672+0.00042049i,0.00091554+0.00016411i,0.0013233-0.00088492i,0.0018816-0.00093062i
-0.0021192-0.00088376i,-0.0027639-0.0010639i,-0.0028383-0.00028604i,-0.0017159-6.1055e-05i,-0.00084676-0.00048158i,-0.0003886-0.00044793i,0.00087709-0.00051026i,0.0016115-0.00063382i,0.0010677-2.3675e-05i,0.00051801-0.00045824i,0.00072491-0.00092096i,0.00097225-0.00013426i,0.00056435+0.00053387i,-0.0006325+0.00057889i,-0.00068572-0.00043572i,-0.00015086-0.0011478i,-0.00029783-0.00013201i,-0.0003832+0.000971i,-0.00045895+0.00060827i,-0.00032731+0.00023768i,-0.00030106+0.00045009i,-0.00075771-4.806e-05i,-0.00034772-0.00018268i
-0.0011883-0.0010399i,-0.0014709-0.0016544i,-0.0003392-0.0021321i,0.00037344-0.0010608i,0.00026054-0.00068453i,0.00037806-0.0009811i,0.00043296-0.00036573i,0.00099401+0.00043537i,0.0013422+0.00057527i,0.00041015+0.00023706i,5.9344e-05-3.7114e-05i,0.0003043+0.00010539i,0.00044656+0.00050723i,0.00041748+0.00014312i,-0.00017277-0.00064029i,-0.00067821-0.00071282i,-0.00041766-0.00065083i,-0.000114-0.00086462i,-0.00063003-0.00096507i,-0.00048573-0.0010268i,4.4134e-06+0.00010721i,-0.00031176+0.00057908i,-0.00022264+8.7781e-05i
0.0020419+0.00073387i,0.0034808-9.5556e-05i,0.0036906-0.001127i,0.0014943-0.00090155i,-0.00099848-0.00025144i,-0.0011468+0.00062946i,-0.00078244+0.0015701i,-0.00021834+0.00093858i,0.00052617-0.00036606i,0.00054386-0.00075724i,0.00011924+4.8817e-05i,-0.00016771+0.00052727i,-0.00042652-9.0107e-05i,8.2544e-05+0.00019467i,-0.00014334+0.000508i,-7.7633e-05+0.00041155i,3.4487e-05+0.00052288i,-0.00093474+0.00064128i,-0.0003387+0.00054151i,0.00071765+0.00040191i,0.0011623+0.00029987i,0.0015269+9.7193e-05i,0.0013143+0.00016923i
-0.00039707+0.00071508i,-0.00011175+0.00091822i,-0.00016341+0.0013352i,0.00012929-0.00050583i,0.0011278-0.0014477i,0.0011932-0.0015577i,0.0013455-0.0014975i,0.0014697-0.00046619i,0.00076778+6.9403e-05i,0.00059235-0.00010849i,-5.3418e-05+0.00019368i,-0.0011902+0.00039752i,-0.00093+0.00018976i,-0.00023187+0.00049093i,-0.00026617+0.00074386i,-0.00031097-7.0113e-05i,1.2615e-05-0.00020384i,0.00020573+0.00040486i,0.00036037+0.0011527i,0.00028597+0.0015009i,0.00063204+0.0006334i,0.00070266-5.494e-06i,0.000259-0.00019589i
-0.00059404+0.0012057i,-0.00032711+0.00057194i,0.00049139+0.0013933i,5.9922e-05+0.0007486i,0.00017549-0.0006066i,0.00044259-0.00041388i,0.00013048+0.00027116i,-2.8356e-05+0.00020544i,0.00031199+0.00022411i,0.00056111+0.00022796i,-0.00017587+1.4464e-05i,-0.0006785-0.00025614i,-0.00042108-0.00064024i,-0.00036886-0.0011617i,-0.00041381-0.0012288i,-0.00016384-0.00053431i,-0.00024184-0.00013993i,-0.00031781-6.3917e-06i,-0.00036101-4.1412e-05i,-0.0003272-0.00010687i,0.00072518-0.00026318i,0.0011693-0.00082462i,0.0005642-0.00078504i
1.4023e-06-0.00074395i,-0.00039864-0.00080938i,-0.000878-0.001467i,-0.00046507-0.0014751i,-2.8577e-05-0.00059562i,0.00060076-0.00024238i,0.00047562+2.5305e-05i,-7.1408e-05+0.00028503i,-0.00060559+0.00087662i,-0.00028824+0.0011277i,0.00042319+0.00047077i,0.00015774-5.2029e-05i,-0.00036209+0.00023473i,-7.238e-05+1.3093e-05i,-0.00015268-0.00021626i,-0.00091109+0.00052319i,-0.00064382+0.00097412i,-0.00034223+0.00089437i,-0.00031168+0.0012566i,0.00013497+0.0011913i,0.00056543+0.00049371i,0.00043258+0.0002027i,-0.0004108+0.00040206i
-0.00067558+0.00093876i,6.578e-05+0.0005431i,0.00088436+0.00082751i,0.0010579+0.00073956i,0.00013576-0.00054243i,2.0856e-05-0.00073644i,0.00029629-0.00018546i,0.00034096-0.00044222i,0.00025898-0.00056441i,-0.00014668+0.0002113i,-0.00064769+0.00060245i,-0.0005825+8.7405e-05i,0.00022384+8.9108e-05i,0.00011489+0.00013852i,-0.00045357-0.00011347i,-0.0007164+3.9739e-05i,-0.00052689+1.8931e-05i,-0.00038852-0.00014486i,8.0856e-06+0.00039458i,-2.4292e-05+0.00078688i,1.7114e-05+0.00064607i,4.8981e-05+9.5118e-05i,0.00022247-0.00033671i
0.00038774+0.00080956i,0.0001102+0.0015759i,-3.4358e-05+0.00077203i,0.00015802-0.00037487i,-8.9136e-06-0.00067654i,2.6768e-06-0.00057925i,0.00059612-0.00080558i,0.00098063-0.00087503i,0.0010586-0.00010463i,0.00027427-0.00034705i,-0.00026866-0.00075497i,-0.00061729+0.0001409i,-0.00039753+0.00075539i,0.00027847+0.00091524i,0.00074357+0.0011318i,0.00023412+0.0010775i,-0.00080517+0.00077018i,-0.0014694-6.5516e-05i,-0.00097371-8.706e-05i,-0.00011826+0.00032261i,-8.0379e-05+0.00016837i,-0.00016728+0.00072399i,-0.00025082+0.00031572i
-0.0016574+0.0011645i,-0.0017903+0.0010514i,-0.0010312+0.001623i,-0.00020428+0.001461i,-6.7054e-05+0.001701i,0.000156+0.0013523i,0.0001856+5.0837e-05i,0.00066621+2.7414e-05i,0.00067362+0.00056787i,-0.00010709+0.00028004i,-0.00061105+0.00021009i,-0.00055307-0.00077383i,-0.00060278-0.0017857i,-7.4162e-05-0.0013001i,-0.00025435-0.00082291i,-0.001433-0.00068331i,-0.0020363-0.00040173i,-0.0011365-0.00021413i,-0.00016402+0.00018614i,0.00016961+0.00088735i,0.00031318+0.00099802i,-9.4406e-05+0.00093604i,0.00015003+0.00052651i
-0.00068574-0.0016792i,0.00056216-0.0022022i,-3.9518e-05-0.0017877i,-0.0014702-0.00056954i,-0.0017241-0.00092047i,-0.0003074-0.0011826i,0.0015464+4.9495e-05i,0.0018374+0.0011306i,0.00093065+0.00058462i,0.0002573-0.0003665i,-0.00019411-0.00024139i,-0.00072796+0.00022618i,-0.00067654+0.00024599i,-0.00029017-0.00026717i,-0.00025304-0.00021261i,0.00022394-0.00025726i,0.00023966-3.4418e-05i,-0.00040393+0.00019448i,-0.00071057+0.00031346i,-0.00016147+0.00066714i,-0.00026766+0.00030166i,-0.00071587-0.00045544i,-0.00056005-0.00032948i
-0.0008983-0.00061612i,-0.0011442+0.0001297i,-0.0013181+0.00052149i,-0.00070426+0.00055557i,0.00041912+0.00053707i,0.00092412+0.00070308i,0.00050762+0.00075557i,-0.00012804+0.00072739i,-4.0737e-05+0.00012605i,-0.00019558-0.00060214i,-0.00050828-0.00034026i,-0.00053531+0.00039875i,-0.00015111+7.1137e-05i,-8.1849e-05-0.00047218i,-0.00049814-0.0003565i,-0.00095749-7.3251e-05i,2.2752e-05+0.0004954i,0.00066999+0.00067487i,0.00032217+0.0003171i,0.00074448+0.00075074i,0.00096119+0.00041595i,0.00052592-0.00047524i,7.2481e-05-0.00057533i
-0.0025745-0.00082618i,-0.002819+0.00014233i,-0.0026809+0.00011962i,-0.0031379+0.00014977i,-0.0030353+0.001327i,-0.0015291+0.0021843i,-0.00033877+0.0017043i,8.261e-05+0.00079612i,0.00014667-6.652e-05i,1.6329e-05-0.00083696i,-0.00027539-0.00081531i,-0.00031971-0.00013075i,-2.3333e-05-0.00027386i,-7.902e-05-0.0013278i,-0.00059631-0.0015211i,-0.00059324-0.00095057i,-0.00051928-0.00055191i,-8.9707e-05+0.0008327i,-4.7983e-05+0.0016009i,9.3059e-05+0.0010091i,0.000321+0.00022444i,0.00041261-5.6351e-05i,0.00097474+0.00012768i
-0.0027449+0.00018803i,-0.0019282-0.00013318i,-0.0017255+0.00018299i,-0.00078227-0.00014414i,0.0002215+7.3005e-05i,0.0005272-7.5042e-05i,1.9003e-05-0.00057707i,-2.6585e-05+0.00013242i,-0.0002334+0.00087074i,-0.00077723+0.0006833i,-0.0010359+0.00030774i,-0.00076488-0.00023376i,-0.00057193-0.00012847i,-0.00079005+0.00044333i,-0.00096067+4.826e-05i,-0.00079415-0.00074398i,-0.00046684-0.00076078i,-0.00016228-0.00023836i,-0.000454+3.5579e-05i,0.0001431+0.00045678i,0.00062011+0.00080681i,2.744e-05+0.00062525i,-0.00044891+0.00027624i
-0.00052809-0.00018798i,0.0001924+0.00011837i,0.001531+0.00079451i,0.0010298+0.00088186i,-0.00023328+0.00058243i,-0.00053776+4.0072e-05i,0.00052619-0.00032743i,0.000856-1.8035e-05i,0.00034634+0.00032274i,0.00070006+0.00010019i,0.00095412-0.0001903i,5.4521e-05+0.00042731i,-0.00064866+0.00044904i,-4.0751e-05+9.545e-05i,-3.4798e-06+0.00067297i,-0.00072963+0.00016087i,-0.00032391-8.5314e-05i,4.6457e-05+2.7009e-05i,0.00038001-0.00017735i,0.0010501+0.00038889i,0.00034136+0.0009005i,-0.00061347+0.00067343i,0.00021823-0.00011021i
0.00073547+0.00078024i,0.0014009+0.0020472i,0.00075863+0.0019158i,-0.00025088+0.00044311i,0.0005554-0.00085981i,0.0012087-0.0011452i,0.00091456-0.00060652i,0.00057693+3.8231e-05i,-8.5012e-05+3.8042e-05i,-0.00020862-0.00041398i,-9.6033e-05-0.0006441i,-0.00047677-0.00067541i,2.7287e-05-0.0012666i,0.0002559-0.0017142i,0.00034385-0.00061412i,0.00029567+0.00054083i,0.00023704+0.00066723i,0.00060121+0.00063365i,0.00036472+0.00070831i,0.00026806+0.001335i,5.7759e-05+0.0018244i,-0.00045986+0.00071213i,-0.00057363-0.00019064i
-0.0011265+0.00014175i,-0.001159+0.00014423i,-0.0019001+0.00073172i,-0.0016096+0.00078423i,-5.7707e-05+0.00084399i,0.0015824+0.00086375i,0.0022351+0.00054941i,0.0011482+0.00031659i,0.00058905+0.00024701i,0.0008222-0.00035002i,-0.00015332-5.5481e-05i,-0.00025593+0.00076591i,-1.6868e-05+0.00029853i,-0.00017883-0.00062096i,-0.00022233-0.0011611i,-0.00067971-0.0011564i,-0.0010605-0.00059178i,-0.0008111-0.00034115i,-0.00087258+4.3235e-05i,-0.00055579+0.00084857i,0.00032631+0.00080816i,0.00033337+8.7409e-05i,-5.0919e-05+0.00055828i
-0.00080387-0.00031348i,-0.00059856-0.00064181i,-0.00059907-0.00078129i,0.00015184+0.00041212i,0.00040577+0.0010802i,0.00013305+0.00054803i,0.00051852+0.0003588i,0.0012396+0.00031567i,0.00080057-8.7641e-05i,-0.00016074-0.00033962i,-0.00062701-0.00042711i,-0.00072637-7.7308e-05i,-0.00076631+0.00040555i,-0.00065441+0.00039025i,-0.00067254-0.00014692i,-0.00084587-0.00048355i,-0.00028256-0.00081874i,0.00053018-0.00015579i,4.9019e-05+0.00078998i,-0.00063525+0.0010686i,-0.00073891+0.00079367i,-0.00086682+0.00010624i,-0.00013924-0.00048601i
-0.00069033-0.0015386i,-0.00029146-0.00099399i,-0.00071721-0.00052894i,-0.0012418-0.00057655i,-0.0010632-0.0011564i,-0.00057024-0.00078098i,-0.00016694-0.0001403i,-0.00015387-0.00044525i,-0.000463-0.00078313i,-0.00028903-0.00051104i,-0.00041191+0.00048026i,-0.0007855+0.00075082i,-0.0010204+0.00049482i,-0.00082024+0.00024514i,-0.00078631+0.00035386i,-0.00032774+0.00057582i,-0.00027782-0.00051998i,-0.00085557-0.001372i,-0.00078001-0.00047711i,-0.00032502+0.00024347i,0.00035414+2.1456e-06i,0.00045999+4.5136e-05i,-5.5058e-05-3.6596e-05i
0.0012878-0.00053575i,0.00096781-0.0014572i,0.0010537-0.00048299i,0.0014461+7.7454e-05i,0.0005634-0.00014539i,-0.00032501-0.00018457i,-0.00017468+0.00021882i,0.00046227+0.00067164i,0.00094689+0.00028226i,0.0003796-0.00049428i,-0.00084275-0.00038888i,-0.00076097-0.00026054i,-0.00035903-0.00063974i,-0.00012709-0.00029742i,0.00027717+5.0972e-05i,0.00034332+0.00019333i,-4.4429e-05+4.8389e-05i,-0.00039534-0.00032105i,-0.00078228-0.00032735i,-0.00049457+0.00038694i,6.3931e-05+0.00078588i,0.00037091+0.00092065i,0.00065311+0.0012984i
-0.002586+0.00064141i,-0.0021399+0.0015818i,-0.00095194+0.0016902i,-0.00033291+0.00084194i,-0.00019605+5.0145e-05i,0.00017841+0.0002175i,0.000287+0.00047861i,0.0006026+0.00074663i,-0.00011731+0.00092595i,-0.00020695+0.0011491i,0.00078502+0.00095291i,0.0003865+7.2706e-05i,-0.0001292-0.0007318i,-0.00016146-0.0013877i,-0.0010556-0.001447i,-0.0011221-0.0011379i,-0.00040576-0.00070724i,-0.00096536+0.0001319i,-0.0013255+0.0010508i,-0.00041178+0.001096i,0.00057573+0.00085464i,0.0004181+0.00020184i,0.00010642-0.00046845i
-0.0010698-0.00083323i,-0.0010744-5.2142e-05i,-0.0013211+0.00045034i,-0.001912+0.00067912i,-0.0015839+0.00011967i,-0.00035237+0.00045819i,0.00059497+0.00027181i,0.0011632+8.3485e-05i,0.00079982+0.00017367i,0.00044554-5.4779e-06i,0.0004733+0.00012836i,-0.0003109-4.4408e-05i,-0.00046006+8.5548e-05i,-6.556e-05+3.7049e-05i,-0.00015259-0.00065178i,0.0001659-0.00066216i,0.00025329-0.00040406i,0.000535-0.00096088i,0.00060581-0.0010213i,0.00040612+8.9272e-05i,0.00041786+0.00068132i,0.00055063+0.00032224i,0.00071227+0.00023594i
