-0.0035176-9.0264e-05i,-0.0026859-0.00043074i,-0.0025633-9.7365e-05i,-0.0029035+0.0015518i,-0.0032113+0.0027545i,-0.0022779+0.0018742i,-0.0016203+0.00060144i,-0.0012448+0.0010522i,0.00011005+0.0018003i,0.0014115+0.0010189i,0.0015972+0.00021481i,0.0013097-0.00051215i,0.00096704-0.00050562i,0.00029633-0.00040883i,0.00016789-0.0003239i,-0.00025352+6.2473e-05i,-0.00012317+1.222e-05i,9.4876e-05-0.00027116i,-0.0007415-9.9531e-05i,-0.00074952-0.0003667i,5.0251e-05-0.00066645i,-0.00029228-0.00093704i,-0.0007073-0.00097908i
0.0010596-0.00098404i,0.0008329-0.0015976i,0.00028816-0.001762i,-5.2815e-05-0.0017522i,-0.00027019-0.002217i,-0.00050699-0.0022366i,-0.00053414-0.00073512i,-0.00077325+0.00038955i,0.00062986+0.00066506i,0.0013766+0.00062735i,0.0012458+0.00062695i,0.00077631+0.00066608i,0.00012144-8.6856e-05i,-5.9886e-05-0.00031278i,0.00035207+0.00034159i,0.00056145+0.00035197i,0.00037646+0.00015984i,0.00044644+0.00024692i,0.00047583-0.00019373i,0.00035629-0.00071968i,0.00035319-0.00050583i,0.00029023+9.78e-05i,0.00064647-0.00036935i
0.00019286+0.00034742i,0.00085172+0.00071063i,0.00073205+0.0016104i,0.0005886+0.0010583i,0.00049313-0.00020856i,-0.00014023-4.7492e-05i,-0.00069328+0.00015982i,-0.00029551+0.00010771i,5.7708e-05+0.00099887i,8.4521e-05+0.00058562i,0.0001677-0.00056446i,0.00057457-0.00045591i,0.0005291+6.8476e-05i,-6.0819e-05-0.00025084i,-0.00050812-0.00033757i,-0.0004175+0.00017979i,-0.00080231+0.00067795i,-0.0010718+0.00022824i,-0.00061943-0.0003175i,-0.00018762+0.00030706i,-0.00021125+0.00076027i,-0.00016108+0.00053491i,-0.00029882+0.00013781i
0.00055743+0.0012666i,-0.00066332-7.1391e-05i,-0.00081891-0.001558i,-0.0013698-0.0017939i,-0.001964-0.0015993i,-0.0017702-0.00086741i,-0.00093043+0.0003456i,0.00018026+0.0005693i,0.00066756+0.00021884i,0.00086308-0.00062764i,0.0012462-0.00088713i,0.000744-0.00020684i,6.1945e-05+0.000204i,-0.00021405+0.00070409i,-7.452e-06+0.00099166i,0.00071964+0.00052079i,0.00091003+0.00016925i,0.00070248+0.00036293i,0.00050621+0.00017474i,-0.00013976+1.4373e-05i,-0.00023673+0.00040689i,-0.00017613+0.00040315i,-0.00030091-0.00016354i
-0.0009735-0.00063448i,-0.00050584-0.00083269i,-6.7689e-05-0.0014348i,-0.00077254-0.0013136i,-0.00052778-0.00065697i,0.00065948-0.00047663i,0.00069495-0.00027843i,0.00014381-0.0002455i,-0.00011194-0.00010206i,0.0005519+0.00021167i,0.0011845+0.0011394i,0.00072254+0.0011532i,0.00041537+0.00069134i,0.0006118+0.00042004i,0.00074962+1.2614e-05i,0.0011862+9.6727e-05i,0.0014862+0.00028779i,0.0011493+0.00050296i,0.00016999+0.00030458i,-6.4137e-05+0.0003258i,-0.00034859+0.00054092i,-0.0011064+0.00039818i,-0.0008913-1.1547e-05i
-0.00045881+0.0013352i,0.00017427+0.0015049i,0.00075747+0.000322i,-4.0837e-05-0.0011022i,-0.00064109-0.001565i,-0.0009379-0.0011546i,-0.0010051-0.00079404i,-0.00041082-0.00064205i,0.00049854-7.8137e-05i,0.00098524+0.00076679i,0.00087021+0.00093065i,0.0002062+0.00075148i,0.00053634+0.00043222i,0.00043906-0.00021113i,0.00035909-0.0001572i,0.00034142+7.9457e-05i,-0.0006437-8.5614e-05i,-0.0001398-0.00037312i,0.00064557-8.4184e-05i,-0.00021684+0.00070644i,-0.00045582+0.000217i,-0.00040768-0.00042919i,-0.00034085-0.00085364i
-0.0019824-0.00056846i,-0.0025037-0.0014654i,-0.0020074-0.0014399i,-0.00063777-0.0016832i,8.3174e-05-0.0016613i,0.00023635-0.0010958i,-0.0001584-0.00040195i,-0.00011841+2.9621e-05i,0.00089059+0.00020153i,0.001381+0.00041563i,0.00087672+0.00019665i,0.00056547-0.00048881i,0.00087675-0.00091868i,0.00098176-0.0016629i,0.00071639-0.0011592i,0.00033794+0.00013095i,0.00036683+0.00023825i,0.00041151+0.00015124i,7.5076e-05+0.00035064i,2.8361e-05+0.00095451i,3.3302e-05+0.00075982i,-3.7804e-06-5.5373e-05i,-2.144e-06-0.00016413i
0.0017016-0.0014708i,0.0015742-0.0025564i,0.00091023-0.0031246i,-0.00048429-0.001899i,-0.00081451-0.00067566i,-0.00079454+0.00080171i,-0.00048234+0.0013967i,0.00017249+0.0010397i,-6.1059e-06+0.00040251i,0.00046764-9.9634e-05i,0.00036798-0.00026453i,-0.0005286+0.00010334i,-0.00030123+0.0010622i,0.00044583+0.0011189i,0.00061511+0.00013199i,0.00031397-0.00029827i,0.00015909-0.00050553i,0.00019311-0.00078841i,0.00073793-0.00034027i,0.0008753+0.0005333i,0.00032212+0.0006551i,-0.00067111+0.00069524i,-9.7486e-06+0.00031807i
0.0018034+0.0012432i,0.0026253+0.0013857i,0.0012129+7.5641e-05i,-0.00020072-0.00074905i,-0.00093854-0.0014263i,-0.00069871-0.0015281i,-0.00011981-0.00055472i,0.00050157+0.0003928i,0.00084477+0.00075484i,0.00094649+0.00073966i,0.00089579+7.1648e-05i,0.00024295-0.00052935i,-0.00010687-0.00022305i,-0.00014558+0.00011358i,1.5014e-05+0.00062855i,0.00072467+0.00086424i,0.00051346+0.0002518i,0.00017952-0.00075469i,0.00055632-0.0012282i,0.00043459-0.00050131i,-0.00032634+0.00040759i,-0.00010399+0.00084236i,6.796e-05+0.00055675i
-0.0019588+0.0010305i,-0.0027488+0.00059256i,-0.0032677+0.00022311i,-0.0026698-0.00037786i,-0.0018004+0.00025426i,-0.00077534+0.00089943i,1.8293e-05+0.00044441i,5.3315e-05+0.00026262i,0.00056136+4.8316e-05i,0.0018001+7.9309e-05i,0.0018676+0.00059196i,0.00099223+0.00069409i,0.0007149-6.1377e-05i,0.0006591-0.00026856i,0.00031755+0.00048635i,0.0003195+0.00039945i,0.00038594-7.6639e-05i,9.6401e-05-0.00033913i,-0.00058674-0.00039328i,-0.00083765-0.00031742i,-0.00025151-9.887e-05i,0.00028863+0.00010736i,0.00015474-7.3693e-05i
2.4166e-05-0.0025288i,8.7464e-05-0.0030223i,-0.00047833-0.0022296i,-0.00178+6.1377e-05i,-0.0022981+0.0011141i,-0.00092643+0.00064294i,0.0005824+0.00027134i,0.00060002+9.6483e-05i,0.00044358+0.00072447i,0.00024032+0.00078094i,-0.00024817-0.00070591i,-0.00012378-0.00088014i,0.00057628-0.00050321i,0.00064993-0.00048827i,0.00013678-0.00032852i,0.00016529-0.00044023i,-0.00034664-0.00072933i,-0.00044699-0.00042835i,0.00049918+0.00039049i,0.00043721+0.00075421i,-0.00019644+0.00054188i,-0.00016742-0.00020093i,-0.00044805-0.00016622i
