-0.0058883-0.0016588i,-0.003268-0.0005816i,-0.0015956+0.0012181i,-0.00019036+0.00097497i,0.0019795+0.0011084i,0.0027155+0.00088381i,0.0010209+0.00065284i,-0.00029256+0.0014071i,-0.00055097+0.0014553i,4.658e-05+0.00099478i,0.00056143+0.00039887i,0.00069415-0.0008215i,0.0005-0.0017561i,0.0010497-0.0017574i,0.0018577-0.0012866i,0.0010523-0.00083501i,-0.00022735-0.00019582i,-0.00031692+0.00021741i,-0.00023591+6.5876e-05i,-0.00040311+0.00041352i,-2.0211e-06+0.00055256i,1.2845e-05+4.0514e-08i,-0.00037654+0.0005323i
-0.0035471-0.0032507i,-0.0029669-0.0017861i,-0.0019316+8.0657e-05i,-0.0012877+0.0014647i,-3.1779e-05+0.0013237i,0.0011988+0.00048869i,0.00094472-0.00020691i,0.00028334-0.00081637i,-0.00012624-0.00057489i,-0.00051031+0.00055305i,-0.00047998+0.00028347i,-0.0007908-0.00022533i,-3.6154e-05-9.8325e-05i,0.00072552-0.00034466i,0.00089436-0.00042689i,0.0010227+1.3166e-05i,0.0010999-0.00067851i,0.00063884-0.00089808i,3.3043e-05-0.00082862i,-0.00061212-0.00053246i,-0.00087033-4.0206e-05i,-0.00070087+0.000352i,-0.00012799+0.0006843i
-0.00248-0.0055388i,-0.0023255-0.0033961i,-0.0012316-0.0014732i,-2.5184e-05-0.0012393i,0.00089951-0.00063891i,0.0015384-5.8094e-05i,0.0015423+0.00011615i,0.00062281+0.00027451i,3.466e-05-0.00070949i,-0.00083137-0.0009873i,-0.00092171-0.0001988i,0.00016787+0.00019089i,0.00072243+0.00038753i,0.00053918+0.00046746i,-4.7507e-05+0.00059533i,-0.00044456+0.00075723i,-0.00098247+0.00026877i,-0.00065467+0.00014361i,0.000196+0.00033656i,0.00042972-0.0003146i,5.2797e-05+0.00010405i,-0.00038854+0.00054935i,-0.00056428-0.00054848i
-0.0025482-0.0047009i,-0.0020449-0.0031852i,-0.001534-0.0021736i,-0.00085925-0.00081932i,0.00062036+3.0488e-05i,0.0020395-0.00017473i,0.0016857-0.00045465i,0.00099017-0.00031284i,0.00069896+0.00014669i,0.00080583+0.00049893i,0.00075559+0.00029376i,0.0004378+0.000238i,0.00046503+0.00074167i,0.00073281+0.00061333i,0.0010846+8.1481e-05i,0.00079189+0.0003382i,-0.0002603+3.764e-05i,-0.0011242-0.00068079i,-0.00071299-0.00056098i,-0.0004185-0.00026186i,-0.00063257+1.2607e-05i,-0.00033255+0.00017224i,-0.00023091+0.00013154i
-0.0018553-0.0025094i,-0.00037147-0.0010946i,0.0015237-0.00044792i,0.0013443-0.0001657i,0.00070737+0.00032084i,0.0013043-0.00018967i,0.00069108-0.00030836i,-0.00054084-4.057e-05i,-0.00024826-0.00071568i,0.00044391-0.00056164i,5.0342e-05+5.9015e-05i,-0.00016038-0.00015096i,-0.00026177-0.00037552i,-0.00023202-0.00072696i,0.00058343-0.00031221i,0.00072242+0.0001776i,0.00033141-5.6366e-05i,-0.00038194+0.00017795i,-0.00081598+0.00010476i,-0.00036583-0.00059849i,-0.00015745-0.00048568i,0.00037254-0.00020084i,0.00026463-0.00012035i
-0.00023231-0.0053629i,-0.00011831-0.0042003i,0.0009319-0.0032438i,0.00052452-0.0023003i,0.00027991-0.0014355i,0.00076322-0.00038523i,0.00099522+0.00025362i,0.00090734-0.00058642i,0.00025169-0.001402i,-0.00015392-0.00093985i,0.00027835+0.00019592i,0.00038364+0.00082093i,0.00031212+0.00020804i,0.00010947+4.141e-05i,-0.00035638+0.00018491i,-0.0004118-0.0004529i,-0.00047161-0.00087507i,-0.00054355-0.00079979i,4.4505e-05-0.00095519i,0.0004982-0.00073354i,0.00043525-0.00080189i,0.00028969-0.0007954i,0.00024802-0.00027432i
-0.0010911-0.0025372i,-0.00059844-0.0016137i,0.0015131-0.0012648i,0.0018564-0.0015886i,4.4655e-05-0.0011919i,-0.0008902-0.00068805i,-0.00045041-0.00067785i,0.00013339-0.0003794i,0.00016151+2.4955e-05i,0.00035409+0.00014232i,0.00041287+0.00010532i,0.00074401-0.00035899i,0.00079087-0.00042112i,0.00019121-0.00014216i,-0.00040457-0.00071286i,0.00017466-0.0011985i,0.00059382-0.0007501i,-0.00015436+2.1099e-05i,-0.00041375+0.00017822i,-0.00027449+3.7953e-05i,0.0006192-1.2549e-05i,0.00069914+0.00019084i,-0.00033794+6.0857e-05i
-0.00078993-0.0041107i,-0.0013022-0.0030467i,0.00011823-0.001366i,0.0011705-0.0017185i,0.0019411-0.0018332i,0.0020751-0.0012205i,0.00086067-0.0010821i,0.00040993-0.00083278i,0.00022999-0.00079416i,0.00010926-0.00060443i,-5.8163e-05+1.4694e-05i,0.00057939-0.00028446i,0.00060018-0.00092623i,-0.00017055-0.00086993i,-0.00060835+4.9285e-06i,-0.0002025+0.00021756i,0.00021212-0.00012606i,0.00056359+0.00020672i,0.00090564-0.00016834i,0.00047846-0.00059893i,-0.00011364-0.00042653i,-0.00017761-0.00076713i,-3.8808e-05-0.0010218i
0.00059276-0.00074607i,0.0020634-0.0010223i,0.0032697-0.0011861i,0.0034085-0.0021758i,0.0021572-0.0018648i,0.00064006-0.00063203i,0.000249-0.00044306i,0.00026913+0.00032273i,0.00021516+0.00097114i,0.00098925+0.00027398i,0.0012848-0.00048048i,0.00016467-0.00047184i,-0.001059+2.21e-05i,-0.0014494-0.00021148i,-0.001057-0.00072551i,-2.4059e-05-0.00074082i,0.00053587-0.00056286i,0.00040313+0.00025001i,-0.00045748+0.00052421i,-0.00093426+2.0949e-05i,-0.00073764+3.1952e-05i,6.7063e-05+0.00053792i,-3.5475e-06+0.00048897i
-0.0014668-0.0022775i,-0.0011177-0.0020502i,0.0003385-0.0014047i,0.00059774-0.00099978i,0.0005891-0.00092664i,0.001017-0.0015819i,0.00053957-0.0013768i,-5.5965e-05+7.7388e-05i,0.00042839+0.00071119i,0.00087926+0.0004998i,0.0010084+0.00014715i,0.00029362+0.00020158i,-0.00025928+0.00015266i,0.00069151-0.00055519i,0.0014029-0.0013192i,0.0010485-0.00095819i,0.00071055-0.00043369i,0.0006597-0.00026209i,0.00037353+0.00011493i,-0.00012811+0.00051216i,0.00017374+0.00067492i,0.00044158+0.00064099i,9.6983e-05+0.00087889i
-0.0013763-0.00066035i,0.00015302-5.9732e-05i,0.0015322+0.0011892i,0.0020162+0.0013726i,0.0024327+0.0011191i,0.0023595+0.00037941i,0.0014769+0.00011543i,0.0010308+0.00068042i,0.00089594+0.00037232i,0.00084971-0.00040191i,0.0010788+4.3659e-05i,0.00010008+0.00055999i,-0.00050581+0.00012063i,-0.0003056-3.3069e-05i,-9.7731e-05+0.00019073i,0.00032746-0.00020262i,0.00040991-0.00079993i,7.4315e-05-0.00099792i,-0.00026812-0.00035771i,5.1565e-05+0.00033578i,0.00033979+0.00018769i,0.00024172+0.00041672i,0.00031656+0.00063737i
