-0.0030314-0.0001683i,-0.0026437+0.00055039i,-0.0035962+0.0017806i,-0.0033551+0.0011584i,-0.0022883+0.0011917i,-0.00184+0.0021234i,-0.00045848+0.0021845i,0.0017078+0.0011536i,0.0017388+0.00041741i,0.0010575-7.7152e-05i,0.00067676-0.00079037i,0.00018676-0.00078668i,0.0005443-0.00028735i,0.0016939-0.00035242i,0.0025134-1.0426e-05i,0.00082919+0.00011627i,-0.00074775-0.00019783i,-0.00097801-0.00030047i,-0.0010979-0.00026965i,-0.0010559-0.00027343i,-0.00057954-0.00049621i,0.00011013-0.00043432i,0.00042913+4.573e-05i
0.00073-0.00054678i,2.4202e-05-0.00013752i,0.0007685+0.00025629i,0.00054377-0.00060416i,0.00034965-0.0010149i,0.00051531-0.00043608i,-6.311e-05+7.7431e-05i,0.0004348+0.00048405i,0.00083508+0.0010743i,0.00082137-6.182e-05i,0.00064439-0.0011782i,-0.00020951-0.0016177i,-0.00037043-0.0012564i,-0.00043469-0.00027995i,-0.00031362+7.95e-05i,0.00017667+0.00052647i,8.1905e-05+0.0010605i,3.5483e-05+0.00079767i,0.00077905+0.00037948i,0.00080192+0.0005167i,6.6264e-05+0.00062187i,0.00013699+0.00021352i,0.00028723+0.00072374i
-0.00036442+0.00088589i,0.0005237+0.0014558i,0.00094633+0.0017368i,0.001279+0.0017907i,0.0014649+0.0017429i,0.00047766+0.0018364i,0.00022502+0.0015757i,0.00049052+0.0012125i,0.00019299+0.00029538i,0.0009006-0.00060499i,0.00019128-0.00030891i,-0.0010669-0.00067384i,-0.0008872-0.00066635i,-0.00071492-0.00088715i,-0.00064602-0.0013618i,-0.00020847-0.0011152i,0.00037398-1.7147e-05i,0.00056793+0.0004318i,0.00024743+0.00034113i,5.0307e-06+0.00026296i,0.00032275-0.00021079i,0.00065357-0.0001749i,-0.00031044-0.00051848i
-9.7593e-05+0.0020982i,0.00013024+0.001725i,0.0012784+0.0012767i,0.0017292-0.00026491i,0.0014884-0.0010927i,0.001003+0.00047859i,0.0011558+0.0010798i,0.00091375+0.00069366i,-9.4916e-05+0.0010525i,-3.5197e-06-3.8515e-05i,0.00029414-0.0013044i,-0.00017708-0.00081593i,-0.00036222+0.00024194i,-0.00033361+0.00049514i,-0.0006609-0.00013686i,-0.00068797-0.00017378i,-0.00067252+0.00017734i,-0.00018473-1.0271e-05i,0.00027996-6.1128e-05i,4.5581e-05+0.00014203i,0.00047288+0.0003026i,0.00056099+1.6642e-06i,-7.8958e-05-0.00052332i
-0.00032713-0.00083342i,-0.00041508-0.00090134i,-0.00018886-0.00016079i,-0.00034741+0.00066711i,-0.00078735+0.00072306i,-0.00034889+0.00061955i,0.00044917+0.0008811i,0.00061849+0.00073563i,0.00033136-0.00016519i,0.00017923-0.00050886i,0.00022114-0.00037229i,2.9915e-05-7.1636e-05i,1.9435e-05+0.00036531i,0.00082046-1.1525e-05i,0.0015624-0.00061618i,0.001328-0.00074057i,0.001199-0.0010445i,0.0011483-0.00059816i,0.00058834-0.00050612i,0.00012071-0.00038896i,-0.0002846+0.00014158i,-0.00032443-0.00024191i,-0.00030983-0.0010713i
-0.0017015-0.001612i,-0.0020752-0.0014533i,-0.0021926-0.00031066i,-0.0022542+0.00087486i,-0.0010233+0.0017741i,0.00053763+0.0019334i,0.0011842+0.0019878i,0.0013461+0.0018907i,0.0012936+0.00084356i,0.0014471+0.00036273i,0.0017972-9.6887e-05i,0.0016463-0.00017515i,0.00033681-7.5277e-05i,1.8487e-06-0.00080709i,0.00067787-0.0010942i,0.00081069-0.00043799i,0.00019673+0.00045387i,9.1582e-06+0.00045436i,0.00045522-0.00024818i,0.0010445-0.000386i,0.0013642-0.00070293i,0.00040743-8.8138e-06i,-0.00069007+0.0010269i
0.0013657+0.00044689i,0.0024596-0.00042088i,0.0022704-0.00087308i,0.00085645-0.00080013i,0.00051274-0.0001551i,0.00090736+8.7572e-05i,0.0013428+0.00069763i,0.0012046+0.00098576i,0.00054612-8.1708e-05i,0.00082755-0.00066008i,0.00082654-0.00079323i,-0.00026284-0.00088694i,-0.00072695-0.00022168i,-0.0007562+0.00075536i,-0.00072487+0.0005927i,-0.00038456+0.00025185i,-0.00038495+0.00089536i,0.0001571+0.0014436i,0.0003779+0.0012866i,-0.00012635+0.0011162i,-0.00074008+0.00053572i,-0.00049678-0.00043379i,-0.00028986-0.0007489i
0.00059408+0.0024156i,0.00088144+0.0029691i,0.0012301+0.0010111i,0.00069368-0.0014819i,-0.00013248-0.0017879i,-0.00034879-0.00096548i,0.00020288+0.00050243i,-0.0001962+0.0010852i,-0.00024397-0.00012391i,0.00024716-0.0011651i,0.00044863-0.00055027i,-2.1458e-05+0.0005778i,-0.00087348+0.00047524i,-0.00059212-0.0002469i,0.00024362-0.00018614i,6.3354e-05+4.584e-05i,0.00012344-9.5152e-05i,-0.00013873-0.00040698i,-0.00052873+5.9068e-05i,-9.5513e-05+0.00083577i,-0.00060324+0.00034517i,-0.00041433-0.00040521i,-0.00020711-9.1076e-05i
-0.0013073-0.00010029i,-0.0018617+0.00051201i,-0.0012118+4.1272e-05i,-0.00079121-9.7811e-05i,-0.00040183+0.00086986i,0.00058862+0.002127i,0.00096058+0.0020495i,0.00042068+0.0014866i,0.00020997+0.00080179i,-1.4342e-05+0.00035021i,-5.0904e-05+3.9311e-05i,0.00036162-0.00053709i,0.00048765-0.00051592i,0.00048328-2.6629e-05i,0.00078178+3.5501e-05i,0.00022078-8.3282e-05i,-0.0004042-0.00013796i,-0.0003806-0.00022161i,-2.6757e-05-0.00085537i,0.00022269-0.00091151i,8.2524e-05+7.7544e-05i,0.00074117+4.6702e-05i,0.00084892-0.00027475i
0.0011308+0.00040951i,0.00098438-0.0013173i,0.00012904-0.0023343i,-0.00087503-0.0019625i,-0.00081362-0.0008237i,0.00051591+0.00022746i,0.001659+0.00073192i,0.0013455+0.00069223i,0.00073448+0.00064372i,0.00065616+0.00012324i,0.00010061-0.00027311i,-0.00061529-0.00028326i,-0.00061771-0.00027455i,-0.0006914-0.00034125i,-0.00080459-0.00045314i,-0.00026356-0.00068525i,0.00014175-0.00025811i,-7.2729e-05-0.00013772i,-1.5584e-06-0.00023427i,0.00060652-0.0002012i,0.0009311-0.00036837i,0.0012216-0.00056039i,0.0014999-0.00037902i
0.00061383-0.00070847i,0.0012358-0.00023091i,0.00065601+0.00058704i,-0.00048978+0.00052139i,-0.0011201+0.00077732i,-0.00052099+0.0025839i,0.0012365+0.0031731i,0.0014693+0.0015448i,0.00087218+0.00022685i,0.00096935+7.7381e-05i,0.00083458+0.00015145i,-0.0005123+0.00078694i,-0.0011301+0.0012761i,-0.00042241+0.00097941i,0.00062579+0.00058374i,0.00078394+0.00065617i,0.00069277+0.0010247i,0.00044362+0.0010184i,1.1277e-06+0.0007407i,-0.00067071+0.00024723i,-0.0010633-0.00066598i,-0.00042476-0.00085729i,-0.00078678-0.00063966i
