-0.002459+0.00030729i,-0.0014336-3.0797e-05i,-0.0022612+0.00057718i,-0.0018774+0.00075177i,-0.00086814+0.0017305i,-0.0010816+0.0016062i,-0.0011476+0.0012716i,0.00029309+0.0010247i,0.0017354+0.00045195i,0.0013577-8.7871e-05i,0.00085988-0.00016729i,0.0011154-0.00034158i,0.0011267-0.00075141i,0.0009343-0.0002898i,0.0010229-0.00038797i,0.00084699-0.00085881i,-0.00043041-0.0001453i,-0.0012984-1.2367e-05i,-0.00070337+0.00035746i,-0.00016297+0.00098439i,0.00063893+0.00061104i,0.00086552-0.0005783i,0.00037435-0.0011498i
-9.1558e-06-0.001831i,-0.00079104-0.00089088i,-0.0017624-0.00076711i,-0.0023284-0.00030553i,-0.0021458+0.00017915i,-0.0018146-0.00022824i,-0.00044931-0.00080398i,0.0010476-0.00068706i,0.00019792-0.00030251i,-0.00087255+0.00061565i,-0.0011404+0.0014112i,-0.0012581+0.0016208i,-0.00078044+0.0016237i,-0.00067927+0.00075245i,-0.00012778+3.0986e-05i,0.00063018-0.00026081i,0.00030567-0.00070869i,6.5022e-05-0.00047239i,-0.00010031+0.00030839i,-8.2525e-05+7.2288e-05i,0.00027316-6.2825e-05i,0.00013041+0.0006904i,2.0209e-06+0.00086897i
-2.2951e-05-0.00028457i,0.0001089-0.00055611i,-0.00066933-0.0010478i,-0.0018626+4.4734e-05i,-0.0021347+0.0011028i,-0.0012494+0.00041889i,-0.00038339-0.00029147i,0.00036109-8.6172e-05i,-0.00031453-0.00016979i,-0.00096611+0.00033207i,-0.00013255+0.00097767i,0.00075415+0.00045342i,6.2449e-05+0.00099431i,-0.00027746+0.0015567i,0.00034673+0.00063224i,-0.00020574+1.7772e-05i,-0.00038499-0.00044551i,-0.00013889-0.00013142i,0.00023626+0.0001418i,0.00062443-9.1208e-05i,-7.025e-05-0.00018051i,-0.00055846-0.00019494i,0.00019331+0.00013967i
0.001224-0.0010318i,0.0010321-0.0004951i,0.00015612-0.00032245i,-0.0013599+7.7506e-05i,-0.0024033+0.00022485i,-0.0011023-9.1694e-06i,0.00021661-0.00076393i,7.4695e-05-0.0012852i,0.00017923-0.00048672i,0.00017771+0.00047961i,0.00054424+0.00027509i,0.00091075+0.00013183i,-5.9009e-05-0.00016669i,-1.9369e-05-0.00045546i,6.8189e-05+0.00027656i,6.6864e-05+0.00036i,5.5028e-05+0.00010832i,7.8511e-06+0.00024562i,-0.00012857+0.00027242i,-0.00020772+0.000791i,8.4821e-05+0.00093134i,4.2272e-05+0.00021686i,-0.00029961+2.7596e-05i
-0.00098547+4.5554e-05i,-0.0016621-0.0008735i,-0.0022359-0.0011892i,-0.0020134-0.0013005i,-0.001189-0.00098266i,-0.00037803-0.00010028i,0.00033783+3.2682e-05i,0.00019869-0.00057473i,-0.00027749-0.0011446i,-0.00041689-0.00097695i,6.8828e-05-0.00026869i,0.00029211+0.00019939i,-0.00036791+0.00035852i,-0.00063222-7.6981e-05i,-0.00040494-0.00019714i,-0.00014406+7.5907e-05i,-0.00029644-4.5727e-05i,-0.00030489+2.6731e-05i,-0.0004321+0.00030337i,2.4679e-05+0.00038005i,-0.00041475+0.00014247i,-0.0011457-0.00029016i,-0.00062575-0.00016458i
5.357e-05+0.00016267i,0.0013245-0.00049422i,0.00074953-0.0017372i,-0.00072878-0.0016989i,-0.00089231-0.0015154i,-0.00015576-0.0010084i,0.00086868-0.0010622i,0.0016164-0.0018145i,0.0013786-0.00079688i,0.00012876+0.00018891i,-0.00042057-0.00049918i,-0.00046115-0.00032015i,-0.00067508+0.00011614i,-0.00036111+0.0003177i,-0.00021043+0.00014465i,-0.00021712+0.00010473i,-0.00030729+0.00038681i,-0.00049946-0.00016331i,0.00010372-0.00051098i,0.00035697+0.00019045i,-9.9224e-06+0.00060192i,-1.9635e-05+4.128e-05i,0.00013996-0.00048378i
5.6924e-05+0.00082605i,0.00071109+0.0004089i,0.00035965+0.00015438i,-0.00061777+0.00051265i,-0.00087945+0.0009841i,-0.0005978+0.0010729i,-0.0002057+0.00035883i,0.00044398-0.00024828i,2.0612e-05+0.00047032i,-0.00081879+0.00034868i,-0.00068805-0.00067598i,-0.00031457-0.0010911i,0.00011956-0.000652i,0.00056204+0.00029067i,0.00094494+0.00029796i,0.00067713+6.9734e-05i,-7.2344e-05+2.039e-05i,-0.00052643-0.00062646i,-0.0001746-0.00050411i,-5.8683e-05-0.00052302i,-0.00019202-0.00047993i,-0.00032593+0.00036565i,-0.00021737+0.00058137i
-0.0008042-0.0016256i,-0.0020979-0.0013821i,-0.0019457-0.0011818i,-0.0013853-0.001104i,-0.0014803-0.0007474i,-0.00053302-7.0833e-05i,0.00062384-0.00036258i,0.00052953-0.00015395i,-0.00010559-0.00019835i,-0.00035111-0.00046788i,-0.00085439-0.00046431i,-0.0010292-9.4664e-05i,-6.9181e-05-0.00027792i,0.00039628+0.00013058i,0.00071712+0.00051596i,0.00070079+0.000367i,9.7311e-05+9.2477e-05i,0.00022605-0.00057263i,0.00078188-0.0010743i,0.00010359-0.00087289i,-0.00047706-0.00031008i,-0.00037206+0.00030184i,2.4552e-05+0.00049381i
-0.00098482+0.0020774i,8.9257e-05+0.00086681i,0.00033834+0.00068696i,-0.00041002+0.00063816i,-0.00022554+0.00010736i,0.00019356+0.00015692i,0.00037619+0.00033896i,-0.00033646-0.00036966i,-0.00049061-0.0010593i,-0.0002234-0.0011101i,-0.00030497-0.0010459i,-9.4575e-06-0.00029897i,-0.00019842+0.00014205i,0.00033588-0.00011448i,0.0006284-0.00018923i,-7.6937e-05-9.4964e-05i,8.5384e-05+0.00018248i,0.00012121+0.00026826i,-4.3148e-05+1.9273e-05i,-0.00012198-0.00038373i,-7.5766e-05-0.00067607i,0.00042598-0.00043093i,0.00097896+0.00040581i
0.00043319-0.00082449i,-0.00040983-0.0015568i,-0.0009167-0.0018518i,-0.0012717-0.0016503i,-0.0023504-0.0011793i,-0.0020256-0.00051228i,-0.00068421+0.00028881i,-5.5356e-05+0.0004961i,0.0002994+3.3754e-05i,-8.4609e-05+0.00033806i,-0.00090894+0.000103i,-0.0013552+0.00021111i,-0.000886+0.0004362i,-0.00086831+0.00061432i,-0.0012464+0.00062431i,-0.00025003-0.00012813i,0.00045037+2.6378e-05i,-0.00035273+0.00071552i,-0.00073824+0.00042257i,-0.00035279+0.00041643i,-4.0726e-05+0.00045661i,-2.449e-05-0.00015382i,-0.00038817-0.00033394i
-0.00014521-0.0012162i,0.00026924-0.0012816i,-0.0010462-0.0006172i,-0.0022105-7.4034e-05i,-0.0019231+0.00054926i,-0.00055558+0.00097044i,0.00087224+0.00036387i,0.0015457+0.00012368i,0.00068225-0.00015013i,-0.00056429-0.0001236i,-0.001086+0.0002691i,0.00010482+0.00014261i,0.0010597+0.00082323i,0.00047714+0.00077384i,0.00037985+0.00022231i,0.00033472+0.00017899i,-5.3836e-05+7.9027e-05i,-0.00028248+0.00033959i,-4.0699e-05+0.00054611i,0.00026581-8.1628e-05i,0.00040892-0.00036073i,0.0003519-0.00032086i,0.00033942-0.00044565i
0.00099857-0.00028038i,0.0016131-0.0014777i,0.0012431-0.0013871i,0.00073127-0.00063056i,-5.1277e-06-0.00028391i,-0.00094302-0.00056954i,-0.0013208-0.00089613i,-0.00094097-0.0011231i,-0.00010763-0.00078766i,0.00021245+0.00019281i,0.00027932+0.000503i,0.00099498+0.00040776i,0.00096461+0.00029684i,6.6359e-05-0.0002081i,-0.00034635-0.00043964i,5.5991e-05-0.00010101i,0.00011357+0.00025734i,-0.00081231+0.00011686i,-0.00089047-4.7886e-05i,-0.00023094+9.3482e-05i,0.00023296-0.00040498i,0.0011868-0.00074877i,0.001253-0.00049372i
-0.00055855-0.0003395i,-0.00088275-0.0014524i,4.1145e-05-0.0014108i,-0.00022308-0.0011346i,-0.0017992-0.00054118i,-0.0011543-0.00063321i,-3.1425e-05-0.00057653i,-0.00011693-0.00057023i,3.0076e-06-0.00035912i,0.00038377-0.00069527i,0.00044153-0.0009637i,-0.00032567-0.0001363i,-0.0013393+0.00056691i,-0.0014872+0.00048468i,-0.0012559+7.9902e-05i,-0.0010082-0.00060172i,-0.0005099-0.00066171i,-0.00025024+3.443e-05i,0.00062399+0.00025816i,0.00081421+0.0004985i,0.0007174+0.00064727i,0.00049193+0.00048114i,-0.00011648-1.1714e-05i
-0.00054607+0.00084128i,-0.0010293+0.00014939i,-0.0013009-0.00031574i,-0.0010686-0.0001108i,-8.0058e-05+4.933e-05i,0.00020167+0.00048266i,0.00052896+0.00084351i,0.00069078+2.7165e-05i,-0.00042813-0.00027474i,-0.00032684-0.00018553i,0.00077571-0.00010506i,0.0006809-0.00018636i,0.00049555-0.00044176i,0.00034669-0.00028028i,-0.00039394+0.00016843i,-0.00060148-4.8026e-05i,-0.00046473-6.575e-05i,-0.00028742+0.00069917i,0.00039208+0.00093335i,0.00049455+0.00056248i,0.00028295+0.00039436i,-3.8463e-05+1.1232e-05i,-0.00036012-0.00048906i
-6.2591e-05-0.00084056i,9.8638e-05-0.00063681i,-0.0003384+9.0329e-06i,-0.00066031+0.00057599i,-0.0013128+0.0011929i,-0.00097965+0.00049663i,0.00040916-0.00072426i,0.00075727-0.0011082i,0.0002854-0.00084227i,0.00064912-0.00016866i,0.00094965+0.00059409i,0.00080347+0.00052558i,0.00011738-0.00018224i,0.00061915-0.0004519i,0.0011517+0.00014324i,0.00090557+0.00040579i,0.00045879+0.00013613i,0.00011344+0.00053245i,-8.0502e-05+0.00056853i,-0.00079726-0.00013699i,-0.0010762-0.00048606i,-8.1742e-05-0.00031901i,0.0016662-1.208e-05i
-0.00053867-0.00045527i,-0.001356+4.0236e-05i,-0.0019563+0.0009983i,-0.0024221+0.0010569i,-0.0016905-0.00024916i,-0.00026249-0.00055084i,0.00081233+0.00059728i,0.0014673+0.00049356i,0.00071434-0.00017667i,0.00049687-0.00013473i,-5.2922e-05-0.00029366i,-0.00048511-0.00036276i,0.00014813-8.474e-05i,0.0002896-0.00024937i,0.00010612-6.3044e-06i,-0.00022347+1.4017e-05i,-0.00045251-0.00064024i,-0.00031997-0.00033563i,-0.00027248-0.0002826i,-0.00023148-4.1154e-05i,9.5389e-05+0.00086784i,0.00053465+0.0014016i,0.00040957+0.0009932i
0.000185+0.0009229i,0.00057801-0.00022567i,0.00056917-0.00088139i,0.00017851-0.00098185i,-0.00018643-0.0008165i,-0.00072608-0.00036564i,-0.00064094-0.00055386i,-0.00041564-0.00045397i,-0.00014674-0.0001118i,0.00034496-0.00038986i,0.00021801-0.00028748i,0.00033612-4.9979e-06i,0.00026459+0.0005322i,0.00036743+0.00056103i,0.00059976-0.00022566i,0.00085525-0.00038032i,2.094e-06+4.5396e-05i,-0.00059618+0.00024677i,0.00024709+0.00025849i,0.00071408+0.00058989i,0.00014202+0.00039783i,-0.00011947+0.00017462i,0.00030901+0.00014108i
-0.0016332-0.00013554i,-0.001837+0.00010506i,-0.0018356+0.0005777i,-0.0017953+0.0010819i,-0.0013183+0.0011176i,3.3969e-05+0.00063869i,0.00086283-0.00010379i,0.00067629-8.4761e-05i,7.4348e-05+0.00051497i,4.24e-05+0.00039925i,0.00014908+0.00014085i,0.00024409+0.00018119i,-0.00017562-0.00010812i,-0.00082226-0.00011953i,-8.9043e-05+4.189e-05i,0.0011531-0.00068315i,0.0015245-0.00069588i,0.00070088+0.00047534i,-0.00034887+0.0004842i,-0.00052006-0.00021535i,-0.00010033-6.1062e-05i,0.00055654+8.0501e-05i,0.00055121+6.6034e-05i
0.001219-0.00072712i,0.00078052-0.0017373i,-0.0001609-0.0032316i,-0.0013915-0.0028547i,-0.002563-0.0017305i,-0.0021029-0.0011415i,-0.001082-0.0007257i,-0.00011491-0.00018322i,-0.00010918+0.00024725i,-9.7337e-05+0.00031749i,-9.2119e-05-0.00011943i,-0.00068836-0.00067305i,-0.0010007-0.00060581i,-0.00057121-0.0010569i,0.00032224-0.00065235i,0.00092008-0.00014542i,0.00036132-0.00059996i,4.1039e-05-3.8418e-05i,0.00048127+0.00013176i,0.00012388-8.9581e-05i,-0.000932-0.00012406i,-0.00094264-0.00061451i,-0.00017209-0.00070225i
-0.0020387-0.0027364i,-0.0014126-0.001955i,-0.0020453+0.00022634i,-0.0022824+0.0015592i,-0.0017838+0.0021903i,-0.00061681+0.0018153i,0.00050447-0.00046093i,0.00053322-0.00088998i,-0.00031115-0.00011913i,-0.00071179+0.00024554i,-0.0002376+0.0008842i,0.00051075+0.0010856i,0.00059323-1.8747e-05i,0.00045357-0.00026044i,0.00019405+0.00022161i,-0.0002249+0.00028936i,4.2942e-05+0.0003279i,0.00084369-0.00011457i,0.0011184-0.0004788i,0.00097839-0.0004494i,0.0006904-0.0002434i,0.00043174+1.253e-06i,-5.6471e-05+4.2696e-05i
-0.00044559+0.00054315i,-0.0018852+7.49e-05i,-0.0024703+8.9523e-05i,-0.0014015+0.00029531i,-0.00018352-0.00050471i,-0.00030495-0.00045159i,-0.00050832-0.00054195i,0.00026085-0.0011242i,0.00091672-0.00081419i,0.0010131-0.00018325i,0.00086495-4.3326e-05i,0.0008951-0.00019205i,0.00042133-0.00012758i,-4.2059e-05-0.00033151i,7.7918e-05-0.0004817i,4.228e-05-8.7894e-05i,0.00051666+0.0003814i,0.0011536+0.00039228i,0.0012392+0.00022452i,0.0010229-0.0007743i,0.00017198-0.0010554i,-0.00036907-0.00046488i,-0.00079429-0.00024265i
-0.00087761+8.087e-05i,-0.00090185-0.0010354i,-0.00084776-0.00079576i,-0.0015149-0.00030125i,-0.002363-0.00045185i,-0.0011017-0.0002156i,0.00047771+0.00023997i,0.00060054-0.00013253i,-9.1344e-05-2.4174e-05i,0.00050002+9.6478e-05i,0.0012585-0.00043456i,0.00095307-0.0011051i,0.00035938-0.00033505i,-0.00030122+0.00085417i,-0.00029313+0.0010474i,-0.00016705+0.00084631i,-0.00011224+0.00042628i,-0.0001008+0.00032416i,0.00022627-0.00074837i,0.0010176-0.0010557i,0.0008766+0.0003931i,0.00089456+0.0010325i,0.00039561+0.00028269i
-0.00026313-0.00019348i,-0.00016479-0.00083118i,-3.3274e-05-3.1992e-05i,-0.00096304+0.001389i,-0.0019176+0.0014202i,-0.0015872+0.00034691i,8.3755e-05-0.00014775i,0.00068698+0.00021601i,-0.00012931+0.0001987i,-0.00067918-0.00027448i,-0.0004789+0.00015713i,7.8346e-05+0.00072043i,0.00050517+0.0004414i,0.00038726-0.00010823i,-8.577e-05-2.7998e-06i,-0.00022032+0.00017428i,0.00017077-0.00020948i,0.00036798-0.00058035i,0.00077128-0.00056762i,0.00094717-0.00020769i,0.00054636+0.00022358i,0.00063797+0.00092045i,0.00047981+0.00078427i
8.1069e-05-0.0012145i,9.1417e-06-0.0011309i,-0.0010199-0.00079647i,-0.0015476+0.00011927i,-0.0011828+0.00077065i,-0.00018987+0.00070491i,0.00017435+0.00016711i,0.00031221-0.0001017i,0.00085486+0.00039655i,0.00080548+0.00067297i,0.00061605+3.4759e-05i,0.00079825-0.00039539i,-2.1954e-06-0.00029594i,-0.00032747-0.00056121i,-0.00013882-0.00032348i,-0.00038988+0.00016365i,-0.00039705+0.00034654i,-2.8335e-05+0.00035817i,0.00055825+0.00014195i,0.00097775-0.00050794i,0.0004634-0.00062241i,-3.494e-05+6.0486e-05i,0.00028491+0.00040024i
-0.00018662-0.0001513i,-0.0010431-0.00077662i,-0.0013827-0.0010913i,-0.0012517-0.00084952i,-0.0015662-0.00075707i,-0.0015949-0.0010231i,-0.00095294-0.0006763i,-0.00083421-0.00052526i,-0.00057263-0.00043911i,-0.00034532-0.00054954i,-0.00071533-0.0004143i,-0.00080342-5.8598e-06i,0.00014488+0.00058795i,-0.00018368+0.00023855i,-0.00090916-0.00022476i,-0.0002494-0.00046891i,0.00038947-0.00015496i,0.00087304-0.00016528i,0.00053416-0.00029753i,-0.00024818+0.00021184i,6.2459e-06+0.0014367i,-9.8193e-06+0.0015482i,-0.00014807+0.0004542i
-0.00055186-0.0011191i,-0.0014173-0.0011206i,-0.001748-0.0012738i,-0.0014132-0.00059925i,-0.0016258-0.00034916i,-0.001322-6.7909e-05i,-5.6994e-05+0.00026496i,0.00047937-0.0001119i,0.00073141-0.00073545i,-7.4434e-05-9.4382e-05i,-0.0011077+4.644e-05i,-0.0011634-0.00049882i,-0.00012704-0.0008746i,0.00043712-0.00071333i,-0.00021262-0.00032608i,-0.00057443-0.00036255i,-0.0002392+0.00014061i,2.6092e-05+0.00075773i,-6.4765e-05+0.00064212i,-8.0606e-05+0.0011215i,-0.00025987+0.00085402i,-0.00037379+0.0001363i,-0.00049892+6.5322e-05i
-0.00018677-0.00092361i,0.0005747-0.003156i,0.00084893-0.0031602i,-0.00069032-0.0013442i,-0.0018063-0.00016722i,-0.0010373-9.1792e-06i,-1.9993e-05-0.00082488i,0.00038066-0.0011544i,0.0008786-0.00052861i,0.0010945-7.8278e-06i,0.00017733-8.1948e-05i,-7.1214e-05-0.00014792i,0.00065743-0.00021611i,0.00049524+0.00014673i,-0.00012204+3.3898e-05i,4.2879e-05-0.00018171i,0.00035849-0.00032998i,0.000356-6.7972e-05i,0.00017569+0.00024642i,-0.00067618+0.0004356i,-0.00041346+0.00053349i,-5.3112e-05+0.00023042i,-0.00015577+0.00041872i
9.1698e-05-0.0010209i,0.00014536-0.00074308i,-0.00092399-0.00059689i,-0.0019535+0.00026666i,-0.0016386+0.00096927i,-0.0011518+0.00030409i,-0.0006036-4.8389e-05i,-0.00015567-0.00057224i,-0.00090601-0.00089825i,-0.0014776-0.00055636i,-0.00084789-0.00014284i,0.00056709+7.9262e-05i,0.00082701+0.00033065i,0.0001067+0.00085707i,-0.00032709+0.001378i,-0.00011663+0.00058772i,-0.000641+0.00040331i,-0.00098459+0.00068564i,-0.00042945+0.0011272i,-0.00031198+0.00089073i,-0.00061269+0.00053368i,-0.00035906+0.00050395i,5.6422e-05+0.00016525i
2.5038e-05+0.00060727i,0.00082044-0.00019651i,-3.3115e-06+6.4813e-05i,-0.00053591-0.00017146i,5.8122e-05-0.00081078i,0.00033838-0.00040344i,0.00070562-0.00016334i,0.00041727+0.00019716i,-0.0004076+0.00031591i,-0.00084822-0.00041994i,-0.00034723-0.00083748i,-0.00011301-0.0008783i,5.6268e-05-0.00013623i,0.00041495+0.00019491i,-0.00025642-0.00012346i,-0.00058971-0.00049079i,-0.00069333-0.00037296i,-0.00039722-0.00056581i,0.00012746-0.0011348i,0.00036908-0.0010409i,0.00086166-0.00042221i,0.00082982-0.00014395i,0.00045388+0.00027358i
-0.00042371+0.00065564i,0.00057271-0.00085687i,0.00061399-0.0022252i,-0.00082121-0.0018384i,-0.0014873-0.00047829i,-2.7201e-05+0.00019637i,0.00098031-0.00052134i,0.00041393-0.0012674i,-9.0065e-05-0.0011404i,-0.00026159-0.0009257i,-0.0002205-0.00099558i,-0.00022092-0.00067588i,3.5403e-05-0.00010181i,0.00018387-0.00020645i,-0.00031687-0.00027917i,0.00013354-0.00041055i,0.00050859-0.0003776i,0.00013892+0.00038035i,9.9655e-05+0.00061284i,0.00053882+0.00012089i,0.00027489+0.00012768i,1.8334e-05+0.00036316i,0.00013303+0.00032889i
-0.0011251-0.00078374i,-0.00099336-0.0011229i,-0.0017343+1.657e-05i,-0.0016484+0.00022055i,-0.0011544-4.5802e-05i,-0.00075461-0.00037944i,-0.0002208+2.4491e-05i,-6.4307e-05+0.00085377i,-0.00059052+0.0004653i,-0.00066876-3.2677e-06i,-0.00016986+4.3016e-05i,-0.00033587+0.00034105i,-0.00053394+0.00035073i,0.0002382+0.00033089i,0.00069806+0.00082072i,0.000417+0.0008092i,0.00018699+0.00032034i,0.0003947+0.00032274i,0.00038094+0.00024096i,-6.2173e-05+0.00049427i,-0.00054408+0.00098607i,-0.00084746+0.00047652i,-0.0007066+0.00010822i
0.0016798-0.0027194i,0.0015911-0.0031799i,-0.00083144-0.0033906i,-0.0029155-0.0021614i,-0.0029197-0.00046948i,-0.0011716-0.00015628i,-0.00027185-0.0010776i,-0.0010997-0.00087129i,-0.00085766+0.00037475i,-0.0009006+0.00035919i,-0.0013346-3.4779e-05i,-0.00062824-0.00013129i,0.0002907+0.0001423i,-6.0015e-05+0.00041917i,-0.00073368+7.6527e-05i,-0.00018123-0.00020798i,0.00029865+2.7929e-05i,-8.3933e-05+0.00014645i,-0.00014497+0.00062547i,2.8196e-05+0.00030742i,-0.00029709-5.932e-05i,-0.00096627+0.00022929i,-0.0011735-0.00013331i
