-0.002459+0.00030729i,-0.0014336-3.0797e-05i,-0.0022612+0.00057718i,-0.0018774+0.00075177i,-0.00086814+0.0017305i,-0.0010816+0.0016062i,-0.0011476+0.0012716i,0.00029309+0.0010247i,0.0017354+0.00045195i,0.0013577-8.7871e-05i,0.00085988-0.00016729i,0.0011154-0.00034158i,0.0011267-0.00075141i,0.0009343-0.0002898i,0.0010229-0.00038797i,0.00084699-0.00085881i,-0.00043041-0.0001453i,-0.0012984-1.2367e-05i,-0.00070337+0.00035746i,-0.00016297+0.00098439i,0.00063893+0.00061104i,0.00086552-0.0005783i,0.00037435-0.0011498i
0.00084197+9.9309e-05i,0.0006681+6.5515e-05i,-0.00046002-0.0014084i,-0.0024228-0.0012627i,-0.0032639+7.8235e-05i,-0.0020517-0.00011017i,-0.00041105-0.001804i,0.00032714-0.0018608i,0.00026644-0.00065522i,0.00030979+0.00040233i,0.00059164+0.00049978i,0.0013427+0.00054124i,0.0015676+0.00040202i,0.00086448-0.0007506i,5.3434e-05-0.00096484i,-0.00082326-0.00030924i,-0.00056348-8.0661e-05i,0.00015256+0.00050248i,0.00032343+0.00091115i,1.3942e-05+0.00083595i,-0.00068644+0.00017103i,-0.0011794-0.0002296i,-0.00056897+0.00032832i
0.00018286-0.00034417i,-0.00030496-0.00041034i,-0.00070301-0.00025799i,-0.00144+0.00026868i,-0.0013164+0.0012047i,-0.0010265+0.0016556i,-0.00054317+0.00104i,0.0002287+0.00058361i,0.00053369-0.00014731i,0.00074426-0.0010094i,0.00060895-0.00053456i,0.000218-0.00044837i,0.00034236-0.0002232i,0.00022724+0.000235i,-0.0003986+0.00023679i,-0.00050895+0.00051353i,0.00033658+0.00059116i,0.0010511+0.00063006i,0.00078062+0.00047006i,0.00051733+0.00019562i,0.00042635-9.5015e-05i,4.0181e-05-0.00028321i,-0.00074203-0.00015015i
-0.0018241+0.00039795i,-0.0007587+0.00096366i,-0.0010737+0.00099497i,-0.001856+0.00036793i,-0.0007876+0.00044614i,0.00044413+0.00040726i,-0.0001961-0.00012718i,-0.00069086-0.00047052i,-0.00028122+0.00010594i,-0.00013954-3.4805e-05i,4.2345e-05-0.00027865i,0.00054463-0.00058822i,0.00071877-0.0005265i,-0.00020429+9.9172e-05i,-0.00040268-0.00031709i,0.00038778-0.0010813i,4.6841e-05-0.00038615i,-0.00057887+0.00066071i,-0.00083222+0.00042442i,-0.00074185+0.0003374i,-0.00055696+0.00031517i,-0.00092114+0.00028532i,-0.00057826+0.00044365i
-0.0007289-0.00026901i,-0.00064783-0.0005248i,-0.0010715-0.00079118i,-0.0016337-0.00078774i,-0.0019257-0.00024878i,-0.0018052-0.00046828i,-0.0010403-0.00095514i,0.00022549-0.00084762i,0.00073527-0.00031124i,0.00010182-0.00052604i,-0.00041613+1.4184e-05i,-0.00036919+0.00066628i,1.196e-05+0.00029682i,0.00017516+0.00015638i,-0.00025128+0.00035482i,-9.5959e-05+0.00053622i,-8.719e-05-1.294e-05i,-8.93e-05-9.1743e-05i,0.00029773+0.00017336i,-0.00014451+0.00013282i,-0.00073506-0.0001319i,-0.0009378-0.00012382i,-0.0012308+0.00011295i
-0.0016612-0.0020388i,-0.0017215-0.0019091i,-0.0015185-0.0013409i,-0.0016256-0.00059605i,-0.001393-0.00027236i,-3.9813e-05-1.0534e-06i,0.00093271+0.00034153i,0.00055752+0.00073701i,-0.00071914+0.00039101i,-0.0010763+0.00038407i,-0.0003323+0.00030025i,0.00037387+0.00010243i,0.00016217-0.00021225i,-0.00044261-0.00023262i,-0.00032917-0.00047163i,7.3713e-06+8.3654e-06i,-0.00019333+0.00081232i,-0.00027303+0.00076336i,0.00047437+0.00013765i,0.00099174+4.7504e-05i,0.00024785+0.00019223i,-0.001072+4.2773e-05i,-0.0011488-0.00010994i
-0.0015756-0.0001782i,-0.0012693-0.00052617i,-0.0019541-0.00019222i,-0.0022184+0.00073179i,-0.0022704+0.00060739i,-0.0015146-0.00070695i,-8.3502e-06-0.00076574i,0.00043169-0.00025145i,0.00074175+9.9423e-05i,0.00090365+0.00082913i,0.00094559+0.0011604i,0.00068922+0.00046118i,0.00043864+0.00018225i,0.00053882-8.987e-05i,0.00065105-0.00048187i,0.00042079-0.0004999i,0.00058151-0.00024702i,0.00075709+0.0003163i,-0.00012848-0.00028851i,-0.00068634-0.0010262i,-0.00064853-0.0004664i,-0.00014099+0.00012746i,0.00037148-0.00022521i
0.0020781+2.5547e-05i,0.0012082-0.0010706i,-0.00067119-0.0015621i,-0.0017938-0.00041465i,-0.0021154-0.00023544i,-0.0012423-0.00011877i,-0.00026551-8.6855e-05i,-0.00039878-0.00057639i,-0.0007269-0.00073513i,-0.00069423-0.00061708i,-0.0005072-0.00067932i,-0.00029009-0.00093565i,-0.00015689-0.00065866i,-0.00013748-0.00020938i,-0.0004775+0.00020712i,-0.00091948+0.00019138i,-0.00096878+0.00014111i,0.00021498+0.00011695i,0.0011034-0.00014952i,0.00036829-0.0003859i,-2.0772e-05-1.158e-05i,0.00012584+0.001033i,-0.0001138+0.00091465i
-0.0010392+0.00069678i,-0.00054266-0.00037231i,-0.00090393-0.00056013i,-0.001465-0.0012825i,-0.0011735-0.0015751i,-0.00021321-0.0008002i,0.0007405-0.0003718i,0.00080761-0.00016901i,0.00029861-5.8154e-05i,5.813e-05+0.00012157i,0.00081265-0.00023805i,0.00092807+0.00017013i,0.00035855-0.00019978i,0.00016972-0.0012953i,0.00018764-0.0011689i,-9.8563e-05-0.0009669i,-0.00016874-0.00050915i,0.00053535-0.00074191i,0.0012041-0.00065111i,0.0015091-7.6427e-05i,0.0014534+0.00031215i,0.00054229+0.00010309i,-0.00074392-0.00080172i
4.3477e-05-0.0007369i,-0.0012647-0.0015966i,-0.0019219-0.0014517i,-0.0024244-0.00097162i,-0.0020305-0.00067184i,-0.0013859-0.00046804i,-0.00048785+0.00018639i,0.00049754+0.00087287i,0.00091211+0.00035882i,0.00037179+4.5116e-05i,-0.00040673+0.00033307i,-0.00051738+0.00031335i,-0.00039907-6.0765e-05i,-0.00014713+2.5401e-05i,-0.00038611-0.00029353i,-0.0013344-0.0011183i,-0.0010776-0.0011871i,-0.00035144-0.00082512i,-0.00019841+6.1292e-05i,0.00036653+0.00072231i,0.00044988+0.0005694i,-0.00041779+0.00020675i,-0.00049205-0.00010151i
0.00070028-0.0017036i,0.001226-0.0016574i,5.1159e-05-0.0018615i,-0.001587-0.0016686i,-0.001867-0.00073298i,-0.0013915-4.7766e-05i,-0.00045571-0.0011508i,-0.00057494-0.0014554i,-0.00071326-0.00049291i,-0.00011567-6.7341e-05i,-0.0004544+0.00081135i,-0.00071982+0.0011519i,-0.00036852+0.00030754i,-0.00037511-0.00011278i,-0.00040028-8.5005e-05i,-0.00062177-9.122e-05i,-0.00046707+0.0001456i,1.8473e-05+0.0002503i,-0.00078011+0.00037005i,-0.0011012+0.00060574i,-0.00017685+0.00045366i,0.00064799+0.0002951i,0.0002-3.2178e-05i
