0.00024258+0.00011504i,0.0015786+0.00047859i,0.0020027-9.364e-05i,0.00064577+0.00030761i,-3.9951e-05+0.00078364i,0.00077385+0.00033682i,0.00029239+0.00060997i,-0.00029322+0.00049025i,-0.00024557+0.0001641i,-0.00067193+0.00082708i,-0.00074728+0.00053784i,-0.00042999-0.0002489i,-5.9763e-05+0.00043733i,-3.8049e-05+0.0010006i,-0.00063195+0.0001101i,-0.0005947-0.00028093i,-0.00018049+0.00020123i,0.000207+0.00019756i,0.0003172+7.233e-07i,0.00015224+0.00011582i,0.0002498+0.00048324i,0.00023724+0.00023567i,0.000149-0.00015532i
-0.0014771+0.00078359i,-0.00046094+0.0015458i,0.00032923+0.0018617i,4.0528e-05+0.001779i,0.00050021+0.0019189i,0.0016999+0.0012704i,0.0015619+6.322e-05i,-0.0003291+0.00025684i,-0.00085532+0.0015147i,-0.00041125+0.0014346i,-0.0001664+0.00064393i,6.4172e-06+0.00052552i,0.00013393-2.7075e-06i,0.00032516-0.00071435i,-0.00024624-0.0003274i,-0.00070074+0.00023545i,-0.0013259+0.00058807i,-0.0011406+0.00079631i,-9.682e-05+0.00045114i,7.0489e-06+0.0005511i,-0.00022191+0.00019474i,-0.00047505-0.00037913i,-6.0611e-05-0.00017075i
0.00015016+7.4893e-05i,-6.0566e-05+0.00066306i,-0.00057964+4.5567e-05i,-0.0016501-0.00081201i,-0.0020546-0.0010091i,-0.00058492+0.0001546i,0.00023239+0.001084i,-0.00032743+0.00045485i,-0.00099851+3.8815e-05i,-0.000975+0.00075572i,-0.00053065+0.0011852i,0.00016535+0.00089068i,0.00060063+0.00029694i,0.00074986-0.00035875i,0.0011694+0.00017895i,0.00022476+0.00055783i,-0.00053108+0.00051867i,-0.00012444+0.00092496i,0.00012899+0.0011329i,1.0532e-05+0.00052152i,-6.5962e-05-0.0005462i,-0.0008735-0.00045809i,-0.0013945+5.0872e-05i
0.00031723-0.00069489i,1.4438e-05-0.00094374i,0.00066108-0.0011475i,0.000655-0.0012479i,-0.0004371-0.00098431i,-0.00028254-4.2679e-05i,8.0995e-05+0.00066988i,0.000166+0.00093699i,9.3922e-05+0.0012522i,-0.00060534+0.0010533i,-0.0007097+0.00091891i,-0.00060405+0.001099i,-0.00015031+0.00022961i,0.00018773-0.00062638i,-5.4994e-05+0.00018796i,-0.0005339+0.0003888i,-0.00085712-0.00010333i,-0.00032186+8.8388e-05i,0.00049346+0.00063896i,0.00026856+0.00086602i,4.5456e-05+0.00038942i,-0.00029591+0.0007924i,-0.0011987+0.00070669i
0.0031384+0.00042877i,0.003578+0.00061143i,0.003198+0.00011967i,0.0019148+0.000271i,0.00048813+0.00048681i,8.9476e-05+1.6159e-05i,0.00012306-0.00039517i,-0.00017687+0.00028966i,-0.00079808+0.00037381i,-0.00055083+0.00023699i,0.00023834+0.00098245i,0.00070179+0.0018369i,0.00012782+0.001975i,-7.8207e-05+0.0012387i,-0.00018578+0.00082768i,-0.00042288+0.00043143i,6.3075e-05+0.00059584i,0.00016044+0.00081341i,-0.00025149+0.00013763i,7.2306e-05-0.00024576i,0.00085271-0.0004331i,0.00043723-2.1463e-07i,0.00024718+0.0007129i
0.00046307+0.0010976i,0.0012871+0.0012691i,0.0011772+0.00040616i,0.00034195-0.0012643i,8.127e-05-0.0019031i,0.00028309-0.00056583i,0.00022959+0.00074837i,-0.00029198+0.00023012i,-0.00080413-0.0003983i,-0.001164-0.0004979i,-0.001609-8.4031e-05i,-0.00087676+0.00054446i,0.00082376+0.00041513i,0.0014747+0.00055526i,0.00022595+0.00087725i,-0.00085443+0.00075856i,-0.0011399+0.00062163i,-0.00033236+0.00014588i,-0.00015067+0.00030019i,-0.00066905+4.2154e-05i,-0.00055982-0.00080106i,-0.00020341-0.0014275i,0.00051762-0.0010718i
-0.0013705-0.00035977i,-0.00065384+2.6859e-05i,-8.9851e-05+0.0018562i,-2.9385e-05+0.0031493i,-0.0004667+0.0028061i,-0.00047656+0.0011566i,-0.00040465+0.00024278i,-0.00063206+0.00071115i,-0.00047626+0.00063851i,-7.5535e-05-1.3362e-05i,9.2373e-05+0.00070491i,-0.00024788+0.00092396i,-0.00055225-5.843e-05i,-0.00070786-0.00051121i,-0.0010073-0.00036058i,-0.00076108+0.00027856i,-0.00014138+0.00096012i,0.00017841+0.00085673i,-5.3538e-05+0.00033773i,-0.00028637+0.00033095i,-0.00015437+0.00070409i,0.00020122+0.0010596i,-8.0774e-05+0.0012947i
4.194e-05+0.00037611i,0.0002867-0.00013321i,0.00166-0.00052181i,0.0019703-0.00061248i,0.0009969-0.00063275i,0.00043732-0.00064879i,-0.00022636-0.00074346i,-0.00067013-0.00035559i,-0.00031835+0.0005587i,-0.00037493+0.0013094i,-0.0001537+0.00061199i,2.1902e-05-0.0003447i,7.0563e-05-9.1042e-05i,0.00052301+0.00092049i,-0.00023118+0.0014316i,-0.00067724+0.00084947i,-0.00040556-0.00025575i,-0.00041155-0.00066906i,0.00050275-0.00036785i,0.0011391-0.00037271i,0.00062074-0.00013866i,0.00061985+0.0003649i,0.00038002+0.00019767i
0.001732+0.00079748i,0.0017938+0.00042867i,0.0023179+0.00014735i,0.0011253-0.0003354i,0.00022883+0.00021436i,0.00035842+0.00028479i,0.00026943-0.00031696i,0.00042057-0.00050213i,-0.00028197+3.5835e-05i,-0.00081519+0.00099871i,2.8669e-05+0.00041165i,0.00026643+3.1668e-05i,0.00023961+0.00091482i,0.00023466+0.00096102i,0.00034092+0.0011901i,-0.00017921+0.00084231i,-0.00070985+0.00027515i,-0.00050639+0.00018324i,0.00025538+0.00029737i,0.0010549+0.00096073i,0.0012444+0.00094426i,0.00063828+0.00083483i,1.7804e-05+0.0012555i
-0.00071736-0.00044491i,-0.00073984-0.00016677i,-0.00047545-0.00039961i,0.00044774-1.4564e-05i,0.0012401+9.0766e-05i,0.00088923+0.00026621i,0.00052011+0.00032289i,-8.8186e-05+0.00024761i,-0.00043691+0.00041947i,0.00026969+0.00097639i,0.0006186+0.0013216i,0.00082262+0.00092127i,0.00098924+0.00023145i,0.00060627-0.00038805i,-0.00014609-0.00040551i,-3.0909e-05-0.00060708i,0.00069159-0.0005656i,0.00043927-0.00018581i,0.00011019-0.00011098i,-0.00015285+0.00029337i,4.9062e-06+0.00046772i,-0.00016251-4.6037e-05i,-0.00063634-0.00026784i
-0.00050957-0.00060514i,0.00059+0.00031244i,0.00032954+0.0006884i,-7.9698e-05+0.0012606i,-0.00030818+0.001931i,2.1126e-05+0.0012507i,8.2357e-05+0.0010065i,-0.00065934+0.00060597i,-0.00096628-0.00014444i,-0.00058049+0.00018903i,0.0001335+0.001325i,0.00048004+0.0013439i,0.00038455+0.00014944i,-0.00050192-0.00018289i,-0.0012395+9.2942e-05i,-0.0017782-0.00025086i,-0.0013245-0.00021248i,-0.00016567+0.0003607i,-9.3085e-05+0.0003756i,-0.0003524+0.00042337i,-0.00027731+0.00018157i,-0.00031009-0.00040322i,-0.00028993-0.00063778i
-0.0023625+0.00051885i,-0.0011583+0.00074082i,0.00016925+0.00027366i,0.00042952-7.9109e-05i,0.00027887-4.7797e-05i,0.00040972+0.00014955i,-0.00042724+0.0011988i,-0.0015521+0.0012941i,-0.0019133+0.00056633i,-0.00090115+0.0012289i,0.00014288+0.0017088i,0.00020856+0.0008667i,-0.00085067-0.00037434i,-0.0012839-0.0010837i,-0.0012733-0.00067723i,-0.0018241-0.00037949i,-0.0011597+0.00016197i,0.00038591+0.00044475i,0.00076862+8.9293e-05i,0.00037795+0.00036083i,-0.00018898+0.00056767i,-0.00017007+0.00018785i,2.4947e-05+0.00052793i
0.0004855-0.0020164i,0.00011638-0.0025747i,0.00029336-0.0024196i,-0.00014782-0.0013415i,-0.00043492-0.00056525i,-9.8679e-06+0.00035552i,0.00015717+0.00038306i,-7.3854e-05+1.2713e-05i,-0.00021669+1.4106e-06i,-0.00031115-0.00025776i,-0.00044611+2.0979e-05i,-6.2655e-05+7.675e-08i,0.00044869+0.00011246i,0.00043853+0.0012007i,0.00035315+0.0017032i,-0.000483+0.0016789i,-0.0014896+0.0011429i,-0.0010266+0.00084963i,-0.00016683+0.00070256i,-0.00038532+0.0009032i,-0.00059056+0.0013307i,-0.00017489+0.00034379i,0.0002783-0.00028989i
