-0.003201+0.00014319i,-0.0033336-0.00024468i,-0.0044859+0.00062932i,-0.0038641+0.0018037i,-0.0022691+0.0021424i,-0.0014451+0.0025958i,-0.00036694+0.0025615i,0.00083899+0.0021678i,0.00042687+0.0014357i,0.00027003+2.3797e-06i,0.00096505+0.00022459i,0.00063131+0.00035908i,0.00088315+0.00042602i,0.00072665+0.00071397i,-0.0004906+0.00098675i,-0.00041183+0.0005276i,0.0002003-0.00045324i,-0.000246-0.00023208i,-0.00027411-0.00057752i,0.00010384-0.00083775i,-0.00021849-0.00057309i,-0.00023519-0.00041157i,9.5755e-05+0.00037125i
0.0010934+0.00078959i,0.0014158+0.00094846i,0.0019516+0.00057538i,0.0019223+8.3161e-05i,0.0016582-0.00017452i,0.0016134-2.3622e-05i,0.0017728+0.00014344i,0.002111+0.00020446i,0.0017277-4.6148e-05i,0.0014291-0.00099055i,0.00050382-0.0015835i,-0.00028059-0.0013767i,0.0004808-0.00062758i,0.00082047-0.0005301i,0.00017636-0.00092454i,-0.00019392-0.00054039i,-0.00032329-8.9349e-05i,-0.00029922-0.0005543i,4.0314e-05-0.00071717i,0.00022221+0.00011398i,0.00017206+0.00053373i,0.00040428+0.00062369i,-0.00013602+0.0006805i
0.00053006-0.0020857i,0.000224-0.0016294i,0.00021494-0.0015292i,-0.0003403-0.0015032i,-0.00041216-0.000841i,-0.00035969+0.00066621i,-0.0005027+0.0019526i,-0.00018678+0.0014044i,0.00044966+0.00039417i,0.0003081-0.00048564i,0.00016061-0.0010488i,0.00087872-0.00047172i,0.0015018+0.00022505i,0.0012218-0.00034905i,0.00054949-0.0011568i,-0.00011686-0.00022165i,-0.00047866+0.00027817i,-0.00073745-0.00053509i,-5.6586e-05-0.00090258i,0.00074743-9.1522e-05i,0.00072719-0.00018605i,0.00019971-0.00054861i,0.00023087-0.00020958i
0.00068866+9.4338e-05i,0.00015821-0.00014779i,9.6381e-05+0.0011263i,-6.4853e-05+0.00061311i,0.00021951-0.00010398i,0.00068376+0.0011639i,0.0013458+0.0017291i,0.00065434+0.0013697i,-0.00046154+0.00074891i,-0.00032773+9.1802e-05i,-0.00058672-3.9062e-05i,-0.0010552+0.00011212i,-0.00078361-2.2859e-05i,-0.0007275+9.8701e-06i,-0.00051738-0.00019662i,-0.00011423-0.00061669i,-0.00042931-0.00046388i,-0.0001891-0.00069448i,0.00011406-0.00044111i,-6.3108e-06-0.00011193i,0.00043689+0.00014068i,0.00052682+0.00052764i,0.00064078+0.00038483i
-0.001102+0.00083055i,-0.0010015+0.0015917i,-0.0016129+0.0026984i,-0.00030651+0.0026126i,0.0012627+0.0021396i,0.0012729+0.0016017i,0.00066453+0.0014641i,0.00065731+0.0011989i,0.00040829+0.00062881i,-3.0943e-05+0.00051126i,6.2967e-05+0.00068024i,0.00026817+8.4193e-05i,-0.0004698-0.00011041i,-0.0010077-0.00016409i,-0.00047593-0.00055261i,-0.00014258+5.6648e-05i,-0.0001511+0.00040502i,0.00025369+0.00056125i,0.00099408+0.00076262i,0.00065131-0.00010559i,-0.0002105-0.0011181i,-0.00054808-0.0011378i,7.9764e-05-0.0010067i
-0.00060488+0.00044094i,-0.0010489+0.00061729i,-0.0015535+0.00010894i,-0.00021039-0.00032054i,0.00093484+0.00089206i,0.00053437+0.00095816i,0.0012034+0.00054076i,0.001706+0.00021737i,0.00040707+3.702e-05i,5.2724e-05+0.00064144i,0.00059702+0.00099574i,0.0011596+0.00087777i,0.00088566+0.00041765i,0.00022025+0.00016596i,0.00043385+0.00021084i,0.00025762-0.00017707i,-0.00020105-0.00068137i,-0.00012864-0.0008293i,4.0705e-05+0.00011777i,-0.00032483+0.0011435i,-0.0011141+0.00066588i,-0.00024077-0.00022607i,0.0011376-9.0241e-05i
0.00066808-0.0030015i,-9.5412e-05-0.0027709i,-0.00026405-0.0035105i,-0.0003641-0.0016587i,-0.0011135+0.00070359i,-0.00089443+0.0020378i,0.0005984+0.001912i,0.0014479+0.0003985i,0.00047533-0.00053269i,-0.00037355-0.00046153i,-0.0003336-0.00024595i,1.0478e-05-0.00041238i,-0.00096555-0.00050398i,-0.001917-0.0010648i,-0.0013207-0.00060122i,-0.00094958+0.00017937i,-0.00097137+0.00020361i,-0.0005638-0.00038211i,0.00061424-0.00039186i,0.0009682+0.00052952i,0.0002449-0.00025428i,-0.00063035-0.0012074i,-0.00034207-0.0011191i
0.0011379+0.0016673i,0.0012086+0.001584i,0.0022787+0.0015407i,0.00161+0.00097574i,0.001025+0.00061226i,0.00070565+0.0011753i,0.00052569+0.0020177i,0.00064143+0.0013167i,0.00055781-0.00033169i,1.9254e-05-0.0010732i,-0.00035432-0.0014235i,-6.87e-05-0.0016003i,0.00033441-0.00034272i,0.00022597+9.3008e-06i,-0.00017662-0.0008891i,6.6224e-05-0.00043219i,9.1758e-05+0.00070284i,-0.00019883+0.00038698i,-0.00019435-0.00040925i,-0.00048118-0.00010317i,-0.00068167+0.00036544i,0.00019935-0.00010713i,0.00043011-0.0010214i
-0.0017239+0.0010563i,-0.0018901+0.0010032i,-0.0011145+0.0019135i,-0.00028697+0.0021258i,0.00024278+0.0015954i,0.00067023+0.0013681i,0.0014672+0.0015413i,0.0017445+0.00034179i,0.00056572-0.0012039i,-0.00025704-0.00097512i,0.0001002-0.00055564i,0.00023222+0.00026682i,-5.1916e-06+0.00065753i,0.00037529+0.00036974i,0.00034399+0.00047056i,-1.3626e-05+0.00053868i,-0.00060292+0.00095115i,-0.0012596+0.00095369i,-0.00097027+0.00033968i,-0.00039893+0.00014471i,8.8283e-05+0.00045445i,0.00045625-0.00017644i,0.00046303-0.00067261i
-0.00057509-0.0015252i,-0.0013784-0.0017712i,-0.0019157-0.0020462i,-0.0016556-0.0020021i,-0.0019028-9.7137e-05i,-0.00089014+0.0022631i,0.0005442+0.0021196i,-0.00028211+0.0012027i,-0.0013539+5.4815e-05i,-0.00062641-0.0010254i,-0.00011332-0.00075348i,-0.00065152-0.00026291i,-0.00056814-0.00030702i,0.00030453+0.00027333i,0.00089964-0.00029371i,0.00048138-0.0010278i,-9.1182e-06-0.00048092i,-0.00020122+0.00064357i,-0.00024563+0.00083197i,0.00023577+0.0004914i,0.000537-0.00029575i,0.00031556-0.00034708i,0.00035232+0.00027717i
0.00083654-0.00025966i,0.00083346-0.00075707i,0.0010013-0.00082497i,0.0010157+9.4943e-05i,0.00029039+0.00046051i,-0.00025054+0.00052137i,5.4338e-05+0.0011414i,0.00044822+0.0011729i,0.00026609+0.00077272i,-0.00079416+9.9692e-06i,-0.00073424+9.4797e-05i,-0.00032695+0.00097595i,-0.00043967+0.00039664i,-6.0178e-05-0.00062348i,0.00033946+0.00010495i,0.00020657+0.00022848i,0.00012082-0.00095306i,-9.2025e-06-0.0011382i,-0.00022931-0.00035467i,-0.00022533+0.00013756i,-4.4201e-05-0.00011628i,-5.8141e-05-0.00027693i,-0.00032731-0.00035518i
