-0.003201+0.00014319i,-0.0033336-0.00024468i,-0.0044859+0.00062932i,-0.0038641+0.0018037i,-0.0022691+0.0021424i,-0.0014451+0.0025958i,-0.00036694+0.0025615i,0.00083899+0.0021678i,0.00042687+0.0014357i,0.00027003+2.3797e-06i,0.00096505+0.00022459i,0.00063131+0.00035908i,0.00088315+0.00042602i,0.00072665+0.00071397i,-0.0004906+0.00098675i,-0.00041183+0.0005276i,0.0002003-0.00045324i,-0.000246-0.00023208i,-0.00027411-0.00057752i,0.00010384-0.00083775i,-0.00021849-0.00057309i,-0.00023519-0.00041157i,9.5755e-05+0.00037125i
-0.00019283+0.003834i,-0.0004953+0.004948i,0.0012925+0.0047119i,0.0032423+0.0035898i,0.0028838+0.001613i,0.001952+7.5776e-05i,0.00127-3.9274e-05i,0.0012914+0.00050468i,0.0012104+0.00074808i,0.00098723+0.00088003i,0.0011879+0.00028693i,0.00055237-0.00035114i,0.00037369-0.00022967i,0.00076571-0.00055348i,0.00069662-0.00084738i,0.00012278-0.00094175i,-0.00017874-0.00033772i,-0.00027795+0.00040737i,-0.00016323+0.00052006i,-0.00012022+0.00030852i,8.8003e-05-0.00012249i,-2.8661e-05-0.00035569i,-0.00019004-9.5724e-05i
-0.00016801+0.0014505i,-0.0015362+0.00093403i,-0.0021212+0.00054074i,-0.0010479+0.00012032i,7.9365e-05+0.00045806i,0.00023298+0.00061726i,0.0007052+0.00052506i,0.0011919+0.00058398i,0.00080601+7.9298e-05i,0.00073126-0.00033332i,0.0007649-0.00035101i,0.00023734-0.00033862i,5.0101e-05-0.00022494i,-0.00011215+5.5091e-05i,-0.00041518+0.00036359i,-3.8692e-05-0.00022286i,-0.00013436-0.0006358i,-0.00045092-0.00011041i,0.00024582+0.00077072i,0.00035512+0.00082155i,0.00018893-0.00023039i,0.00012414-0.00051764i,-5.3971e-05-3.3088e-05i
-0.0018418+4.046e-05i,-0.0018191-4.3481e-05i,-0.00077331-5.7954e-05i,-0.00035814+0.001155i,-0.00062956+0.0025835i,5.6919e-07+0.0029731i,0.00061938+0.0025278i,0.00039266+0.0010979i,-0.0006175-1.1144e-05i,-0.000563-0.00065505i,0.00053972-0.00077197i,0.00039661-0.00084265i,0.00015305-0.00071691i,0.00080577-0.00013222i,0.00052054-0.00032187i,-8.4305e-05-0.00033279i,-0.00012655+0.000421i,-4.696e-05+0.00087745i,-0.00014721+0.00061131i,0.00010409+0.00011381i,0.00042036-0.00030433i,0.00081604-0.00043462i,0.001095+1.6793e-05i
-0.0020502-0.002885i,-0.0022109-0.0020844i,-0.0037091-0.00082778i,-0.0031345-0.0005271i,-0.00094989-8.9675e-05i,0.00061792+0.0012391i,0.00048688+0.0014676i,0.00065354+0.00055203i,0.00026501-1.7949e-05i,-0.00072995+9.8296e-05i,-0.00095034-0.00021623i,-0.0013569-0.00045825i,-0.0012545+2.9418e-05i,-0.00034062+0.00050252i,9.8758e-05+0.00061464i,8.4284e-05+0.0002233i,0.00056957-0.00031458i,0.00058039-0.00069447i,-0.00073457-0.001113i,-0.00097639-0.0015806i,-0.00019112-0.0010594i,0.00061401+0.00019233i,0.00042388-4.9511e-05i
0.002803+0.001515i,0.0023454+0.0021167i,0.0024571+0.0012073i,0.0024265-7.9599e-05i,0.0017701-0.00097994i,0.0011053-0.00021471i,0.0011413+0.00046886i,0.0015205+0.00034449i,0.0010734+7.2712e-05i,-0.00043357-0.00082422i,-0.0021173-0.00090616i,-0.0011946-0.00018164i,-0.00018623+0.00028455i,0.00044298+0.00023276i,0.0011079-0.00045831i,0.00081366-0.00093572i,-9.9261e-05-0.00035925i,-0.00033044+0.00088126i,-0.00020093+0.0011319i,-0.0006778+0.00057681i,-0.00079374-3.1867e-06i,4.6394e-05-0.00096088i,0.00056292-0.0013345i
-0.0010962-0.0034096i,-0.0010915-0.003367i,-0.0018365-0.003464i,-0.0026665-0.0018966i,-0.0021074+1.9402e-05i,-0.00098059+0.0013141i,0.0002849+0.0015458i,0.00075967+0.00032584i,0.00045669-0.00060139i,0.00048173-0.00017902i,-8.0792e-05+0.00020352i,-0.00056829+0.0003364i,-0.00060926+0.00049984i,-0.00076947+1.3329e-05i,-0.00065352-0.00027436i,-1.6604e-05-0.00036589i,8.4607e-05-0.00037495i,-0.00029514-0.00031815i,-0.0003996-0.00010333i,0.00031521-0.00031162i,0.00053495-0.00049511i,-0.00026164-3.6827e-05i,-0.00039936-7.152e-05i
-0.00043168+0.0019674i,-5.4395e-07+0.0027884i,0.00094984+0.00279i,0.0015215+0.0021319i,0.001182+0.0011145i,0.00088421+0.00055033i,0.00037872+0.00079465i,8.0015e-05+0.0011275i,0.00034511+0.0010274i,0.00040617+0.0011755i,0.00018485+0.0012336i,3.4011e-05+0.00076948i,2.3215e-05-0.00038674i,6.078e-05-0.00075714i,0.00020855-0.00031254i,-0.000406-0.00094058i,-0.00070355-0.0010609i,-0.00059264-4.987e-05i,-0.00053258+0.00067634i,-0.0004546+0.0010073i,-0.00011957+0.00022726i,-0.00010859-0.00075364i,-0.00050747+0.00018095i
-0.00086875+0.0014701i,-0.0013216+0.0012031i,-0.00089814-0.00052898i,0.00074104-0.0011799i,0.0017091+0.0001364i,0.00062442+0.00096645i,0.00052707+0.00077055i,0.00098432+0.00028584i,0.0013496-0.00035471i,0.0010908-0.00082251i,0.0009192-0.0011489i,0.00056157-0.0011784i,-0.00017146-0.0011835i,-0.00011461-0.00073848i,-0.00020519-0.00072682i,-0.00046136-0.00055563i,-0.00078577+0.00019773i,-0.00051505+0.0003465i,0.00018267+9.9625e-05i,-0.00046859+0.0002022i,-0.00039069-0.00031709i,4.4599e-05-0.00078604i,-0.00020277-0.00093695i
-0.0015869-0.00057848i,-0.0014798-0.0001579i,-0.00028926+0.00077051i,2.9618e-05-0.00062846i,1.2777e-05-0.00045634i,0.0011356+0.00099317i,0.0018506+0.00073349i,0.0013262+0.00030591i,0.00041316+7.5461e-05i,0.00029373-0.00077285i,0.0002301-0.00094638i,-0.00036701-0.00083105i,0.00014734-0.0011511i,0.00070835-0.00025802i,-0.00018011+0.00048553i,-0.001188-0.00065883i,-0.0011556-0.00093727i,0.00010181-0.00082454i,0.0010605-0.00054311i,0.00030158-0.00040435i,6.3509e-05+0.00020444i,0.00024019+0.00032638i,-0.0006569-0.00033214i
-0.00070433+0.00060429i,-0.0021055+0.00067139i,-0.0019286+0.00096946i,-0.0016857+0.0013338i,-0.00055717+0.0014877i,2.9985e-05+0.0016253i,0.00028678+0.00064388i,0.00083104+0.00022214i,-9.1595e-05-2.4483e-05i,-0.0015373-0.000296i,-0.0016499-0.00041781i,-0.00069415-0.00053019i,-0.00033031-0.00016976i,4.6913e-05+0.00071566i,0.00093297+0.0007474i,0.00032297+0.0001329i,-0.00046857+0.00042325i,-0.00027825+0.00068468i,-0.00010156+0.00086543i,-1.749e-05+0.00042413i,0.00054078-0.00046739i,0.00042454-0.00054635i,0.0006378+0.00020538i
-0.00016355+0.0002969i,-0.00084277+6.3029e-05i,0.00017159+0.00021011i,0.001182-0.00021144i,0.001483-0.00027718i,0.0018625+0.00048502i,0.0018865+0.00095517i,0.00073136+0.0005813i,-0.0008231+0.00069005i,-0.0018144+0.0013526i,-0.0014708+0.0018765i,-0.00054436+0.0016648i,-0.0003875+0.00087099i,-0.00041175+0.0004767i,3.5494e-05+0.00028349i,0.00065896-4.7106e-06i,0.00061165+0.00043765i,5.0803e-05+0.00091352i,-0.00023748+0.00047063i,-0.00019687-0.00013062i,0.00053988-0.00013597i,0.00057825+0.00021774i,8.4688e-05+0.00036713i
-0.00051699-0.00068337i,-0.00051921-0.0021282i,-0.00035381-0.0014877i,-0.00039647+0.00054377i,6.9082e-05+0.00022i,0.00055212+7.508e-05i,0.0010879+0.00053789i,0.0014618+0.00050153i,0.00050047-0.00040068i,-0.00025742-0.00083729i,-0.00018484-0.00047078i,-4.1404e-05-0.0010934i,1.4804e-05-0.0010812i,5.1213e-05-0.00058901i,4.8634e-05-0.00095162i,-0.00064394-0.0014802i,-0.00067218-0.0017886i,2.1417e-05-0.0014453i,6.9918e-05-0.00042842i,-0.00057266+0.00069169i,5.16e-05+0.00022317i,0.0012296-0.00051623i,0.00081673-0.00029664i
0.0013225-0.00078635i,0.0015846-0.00058925i,0.0016155-0.0011281i,0.0010638-0.00023669i,0.00034586+0.00073956i,0.00051632+0.0016326i,0.0012023+0.002011i,0.0011232+0.0008708i,0.00027513+0.00064142i,-0.00070443+0.00094216i,-0.00028449+0.0005061i,-0.00026643+3.207e-05i,-0.00083252-0.00051883i,-0.00071174-0.00066774i,-0.00061472-0.00049379i,-0.00076294-0.00076508i,-0.0012097-0.00079945i,-0.0016333-9.8192e-05i,-0.0010993+0.00018157i,-0.00010319+0.00023377i,0.00021969-1.5633e-05i,0.00012554-0.00048089i,0.00027806-0.00067959i
0.00063522-0.00027651i,6.2739e-05+0.00047432i,0.00050121+0.00026124i,0.00080988+0.00026293i,0.00075574+0.00045355i,0.00082947+0.00093526i,0.00077698+0.0019103i,0.00047218+0.00091142i,0.00030684-0.00055994i,0.000107-0.00045863i,0.00076622-0.00068752i,0.0013094-0.00134i,0.0015289-0.00055021i,0.00056081-0.0003393i,-0.00052413-0.00018263i,-0.00028305+0.00019085i,-0.00020109-0.0003397i,0.00035402-0.00028035i,0.0010203+1.3033e-05i,0.00083434+0.00059939i,-0.00043591+0.00077435i,-0.00074499+7.8725e-05i,-1.2614e-05-0.00018299i
0.00018751-0.00018227i,0.00071985-0.00073486i,0.0012617-0.00068379i,0.0010533+0.0005766i,0.0013981+0.0009528i,0.001299+0.00090769i,0.00070208+0.00090881i,0.0010614+0.00020369i,0.00038198-0.0003741i,-0.00037283-0.00056763i,-0.00012922-0.00075799i,0.00014224-0.0012187i,-0.00064688-0.0014772i,-0.0015474-0.00094181i,-0.0012899-2.6705e-05i,-0.00087775+0.00041007i,-0.00097967+0.00063299i,-0.00084079+0.00060016i,-0.00079614+0.00032557i,-0.00075422+0.00063763i,-0.00028698+0.0010822i,-0.00033237+0.00081383i,-0.000326+3.5728e-05i
-0.00022297-0.0011104i,-0.0011758-0.0016511i,-0.0022698-0.00098182i,-0.0016137-0.0013165i,-0.00013997-0.00098231i,0.00070019+0.00033352i,0.00097274+0.00083567i,0.0003097+0.00062821i,-0.00049686+0.00012366i,-0.0013613+7.8524e-05i,-0.0026067-2.5018e-05i,-0.0024575-9.9501e-05i,-0.0010959-0.00013114i,0.00036024-0.00092737i,0.00092538-0.0012494i,0.00051354-0.00060492i,0.0002753-3.9817e-05i,0.00018663-0.00035659i,0.00081919-0.00081772i,0.00092361-0.00033152i,0.000904+0.00016195i,0.0011563-0.00018333i,0.0007227-0.00051065i
0.00086701+0.00057045i,0.00092665+0.0001942i,0.0016786-0.00079227i,0.00062934-0.00060296i,8.5674e-05+0.00055379i,0.00091202+0.0021157i,0.0011636+0.0023636i,0.00079819+0.0016007i,0.00010921+0.00055439i,-0.0010752+0.00018367i,-0.00098434+0.00068123i,-0.00081169+0.0012022i,-0.00013836+0.0017316i,0.00079339+0.0011562i,0.0010258+0.0010702i,0.00035828+0.0011347i,-0.0007799+0.00046989i,-0.0010137+6.4742e-05i,-0.00022391+0.00013449i,0.00068385-0.00028914i,0.0013738-0.00054359i,0.0016113-0.00035244i,0.0011211-0.00044856i
0.00027158+0.0025756i,-6.7897e-05+0.0027221i,0.0004605+0.0035823i,0.00078361+0.0033013i,0.0014619+0.001635i,0.0019551+0.0010751i,0.00071697+0.0015629i,-0.00029442+0.00057489i,-0.0004814+0.0001936i,-0.00024028+0.00063944i,0.00043915+0.0011287i,0.00064604+0.0016098i,0.00049359+0.0013565i,0.00095205+0.00080033i,0.00065021+0.00034028i,1.3229e-06-0.00016505i,-8.9706e-05-0.00022203i,0.00013353-0.000288i,-0.00014489-7.1599e-05i,-0.00028261-2.837e-05i,0.00048448-0.00037958i,0.0010017-1.877e-05i,0.00085795+0.00062664i
0.00091939+0.0013841i,-0.00033757+0.0013401i,0.00012302+0.00085739i,0.0013996-5.282e-06i,0.0017076-0.00077762i,0.00063546-0.001169i,0.00018656-0.00084179i,0.00082214-1.1177e-05i,0.0014517+0.00033221i,0.0011713+3.3233e-06i,0.001101-0.00010166i,0.0015052-0.00020269i,0.0012511-0.00036578i,0.00071153-0.00050049i,0.0001641-0.0002554i,0.00067611+6.1704e-06i,0.0003442+8.5463e-05i,-0.00065717+0.00014294i,-0.00070328+0.00036449i,-0.00030688+0.00046373i,-0.00021632+0.0006688i,-0.00014288+0.00064542i,4.3544e-05+0.00069612i
-0.00081231-0.0003613i,-0.0018072+0.00014562i,-0.0027863+0.0012134i,-0.0025396+0.0011727i,-0.0012567+0.0013651i,-0.00021135+0.0018226i,0.00014709+0.00080483i,0.0001417+0.00017598i,0.00012275+4.1319e-05i,0.00027856-0.00054872i,-0.00020607-0.0013202i,-0.0012359-0.001261i,-0.0013593-0.0012644i,-0.0010972-0.0015007i,-0.00073287-0.00096031i,-0.00031547-0.00030309i,-4.3705e-05+0.00032823i,4.8659e-05+0.00026364i,-2.5573e-05-0.0008441i,-0.00031878-0.00059208i,0.00037908-0.00043225i,0.00064633-0.00065346i,4.1137e-05+3.8173e-05i
2.7028e-05-0.00041479i,0.00038218-8.765e-05i,0.00092267-0.00022647i,0.0014175+0.00028905i,0.0014909+0.0014276i,0.00188+0.0014876i,0.0017413+0.0010018i,0.00062788+0.00081715i,-1.9933e-05-0.00042294i,-0.00062475-0.0013366i,-0.0014065-0.0011102i,-0.0015956-0.00040583i,-0.00181+0.00072747i,-0.0013281+0.00047507i,-8.0867e-05+0.00024889i,2.6542e-06+0.0006639i,8.7853e-05+8.4703e-05i,0.00067146-0.00019223i,0.0010014-0.00034655i,0.0011283-0.00098763i,0.00068828-0.0011097i,0.00010144-0.00087792i,0.00021372-0.00082018i
-0.00057063-0.00108i,-0.00085073-0.0014372i,-0.00056847-0.0016668i,-0.00049866-0.0012191i,-0.00065519+0.00052168i,-0.00037949+0.0010838i,0.00075972+0.00057923i,0.001245+0.00054056i,9.204e-05+5.4165e-05i,-0.0010699-0.00012834i,-0.0015225+0.00024658i,-0.0018741+0.00014692i,-0.0013661+0.00077616i,-0.00044994+0.0014601i,-0.00091368+0.0012886i,-0.00075912+0.00075961i,0.00014303-0.00033235i,-0.00025782-0.0013897i,-0.00033922-0.0016374i,0.00012243-0.00078102i,-1.7954e-05-0.00016045i,5.2747e-05-0.00035312i,5.4778e-05-0.00029303i
0.002031-0.00052469i,0.0025545-0.00061986i,0.0022281-0.0014962i,0.00068091-0.00067939i,-4.6182e-05-0.00019962i,2.0753e-06+0.00025495i,0.00031177+0.00090274i,0.00040054+0.00051999i,0.00024565+8.741e-05i,-0.00014894+0.00020062i,-0.00098731+0.00066326i,-0.0011504+0.00053068i,-0.00073003+0.00010479i,0.0001055-0.00047998i,0.00099646-0.00021981i,0.00042077+0.00033947i,-0.00016163-0.00042367i,-0.00017718-0.00062718i,0.00011499-0.00064392i,0.00059587-0.0013781i,0.0011684-0.001344i,0.00061526-0.0006448i,-0.00033985-6.081e-05i
-0.0018605+0.00044711i,-0.0024807+0.001471i,-0.0020396+0.0024343i,-0.00056565+0.0027876i,-0.00049478+0.0025591i,-0.00021976+0.0018i,0.00027011+0.0008126i,1.168e-05+0.0012313i,-0.00021559+0.001719i,0.00036864+0.0015425i,0.00043679+0.0011262i,-3.5381e-05+0.00051151i,0.0003473-5.8557e-05i,0.00015377-0.00065363i,-0.00040205-0.00021636i,0.00019624+0.00053722i,0.00070581-5.8306e-05i,0.00046326-6.6064e-05i,-0.00039992-0.00020161i,-0.0012366-0.00030539i,-0.00052208-0.00034184i,0.00063809-0.00088531i,0.00055047-0.00050338i
0.0019735-0.001169i,0.0016146-0.0020609i,-0.00017166-0.002833i,-0.00069667-0.0021247i,2.2488e-05-0.0014626i,0.00029807-0.00029544i,0.00075358+0.0014918i,0.0016987+0.00081079i,0.0010861-0.00041431i,0.00066408-0.00079682i,0.0011707-0.0011371i,0.0012553-0.0012233i,0.00048541-0.0005816i,-0.00027648-0.00014559i,-0.00047847-0.00037627i,-0.00056818-0.00060446i,-0.00047425-0.00065755i,-0.00084293-0.00059062i,-0.00088719-0.00034714i,9.9351e-06-3.9201e-05i,0.00030203-9.9159e-05i,0.00078816-7.4316e-05i,0.0012113+0.00069294i
-0.0017452-0.0004832i,-0.0012781-5.3021e-05i,-0.001508+0.00086716i,-0.001237+0.0018616i,-1.1256e-05+0.00212i,0.00078828+0.0022258i,0.0009665+0.0020331i,0.00017341+0.00074206i,-7.4976e-06-0.00064086i,0.00064578-0.0012898i,0.00018641-0.00091545i,0.00037785-0.0003506i,0.00061594+0.00025637i,-0.00023294-0.00015917i,-0.00047171-0.00013775i,-0.00017864+0.00059135i,0.00035465+0.00021768i,0.00055687-9.3471e-05i,-8.5867e-05+0.00036274i,-0.00041098+3.1894e-05i,-5.0605e-05+0.00016382i,0.00021299+0.00061548i,-0.00043824+0.0004605i
0.00014882-0.0023749i,-0.0010436-0.0028603i,-0.0011912-0.0034038i,-0.00092311-0.0018526i,-0.00068616+4.2504e-05i,0.00014024+0.0012079i,0.00065635+0.0012194i,0.00051708+0.00014785i,0.000657-0.00083588i,3.0213e-05-0.00074283i,-0.00124-0.00021532i,-0.0016295+0.0003798i,-0.0017357+0.00075495i,-0.001685+0.00047906i,-0.00053828-0.00040415i,0.0004801-0.00093329i,-0.00016015-0.00067207i,-0.00056802-0.00040453i,0.0005743-0.0001397i,0.00096651+0.00030846i,0.0006016+0.00044414i,0.00010502+0.00044783i,-0.00016929+0.00014903i
0.0006199+0.00045414i,0.00060338+0.00075845i,-0.00030897+0.0012861i,-0.00017636+0.0014978i,0.0005265+0.0013284i,0.0012068+0.0011778i,0.00082048+0.0016528i,0.00031444+0.0011628i,0.00015226+1.289e-05i,-0.00020113-0.00035636i,-0.0008824-0.00010618i,-0.0011291+0.00038178i,-0.0006614+0.00099057i,-0.00084394+0.0013987i,-0.00094327+0.00013606i,-0.0004326-0.00061346i,-0.00054516-3.0271e-05i,-0.00067783-2.0447e-05i,-0.00010742-0.00055881i,2.2864e-05-0.0001917i,-8.1224e-05-0.00029574i,0.00012622-0.00026153i,0.00037434+0.00012567i
-0.0019383-0.0016776i,-0.0029132-0.0019645i,-0.0028482-0.0014155i,-0.0015376-0.00039273i,-0.0006183+0.00031432i,-0.00047505+0.00049129i,0.00059329+0.00045863i,0.0018464+0.00060901i,0.001035+0.0006475i,-0.00037702-0.00043986i,-0.00050634-0.0011905i,0.00018112+1.0001e-05i,0.00045319+0.0012417i,-3.5353e-05+0.0014914i,-9.4812e-05+0.0009452i,0.00067205+0.00027017i,0.00019712+6.7496e-05i,-6.8962e-05+7.059e-05i,-0.00022391+0.00012058i,-0.0002396+6.8038e-05i,0.00043791-0.00030621i,0.00056043-0.00018336i,0.00060425+0.0002724i
-0.0007392+0.0022499i,-0.0015299+0.0015473i,-0.00073526+0.0021102i,-8.2349e-05+0.0020888i,0.00058098+0.00065273i,0.00069394-5.5364e-05i,0.00083349+0.0004419i,0.00085577+5.0645e-05i,0.00058909-0.00022396i,0.00058799-1.0495e-05i,0.00063544+0.00021979i,0.001048+0.00039222i,0.00095823+0.00055467i,0.0004639+0.00064558i,0.00061685+0.00026267i,0.00058243-4.6309e-05i,7.9771e-05+0.00013372i,-0.00016396+0.00010657i,-0.00010995-0.00022032i,0.00060927+0.00066252i,0.0013581+0.0011486i,0.0014469+0.00035659i,0.00056757+0.0003215i
-0.00038417+0.0002296i,0.00016636+0.00036633i,0.00013075+0.0012191i,-0.00098929+0.0018473i,-0.00040384+0.0019189i,0.00063069+0.0014996i,0.0010758+0.0010572i,0.0012893+0.0011231i,0.00055422+0.0011651i,-5.8234e-05+0.00044283i,0.00078226-0.0007255i,0.0010027-0.0011779i,-4.7229e-05-0.0014334i,-0.00089024-0.0014547i,-0.00054745-0.0011544i,-0.00014909-0.0011674i,0.00040672-0.00087134i,0.00095431-0.00049605i,0.0010031-0.0007447i,0.0014257-0.00080149i,0.0012527-0.0010977i,0.00022181-0.0013367i,-6.321e-05-0.00095139i
-0.0013138-0.002048i,-0.002697-0.0021076i,-0.0032566-0.0011165i,-0.0026961-0.0002098i,-0.0016413+0.0005824i,0.00035069+0.0012167i,0.0015077+0.0013814i,0.0011304+0.00060249i,0.00015937-0.00013156i,-0.00022792+4.2997e-05i,-0.00014986-0.00041804i,0.00012264-0.0010366i,-1.1357e-05-0.00066329i,-0.00021991-0.000722i,-0.0012337-0.00083601i,-0.001342-0.00064985i,-0.00052329+1.0805e-05i,-0.0004416+0.00052568i,0.00011723+4.0616e-05i,0.00048897-0.001085i,-0.00032277-0.00096477i,-0.00095648+0.00014847i,3.3213e-06-0.0001143i
