-0.0032704+0.00013026i,-0.0021528-0.00011363i,-0.0033312-0.00050218i,-0.003567+2.2799e-05i,-0.0020581+0.00077346i,-0.00055177+0.0011127i,0.00021159+0.0010805i,0.00080097+0.0007844i,0.0010611+0.00066648i,0.00052009+0.00070161i,0.00033861+0.00029885i,-0.00019457-1.3763e-05i,-0.00042021+0.00011073i,0.00020654+0.00049405i,-0.00028426+0.0011224i,-0.00058993+0.00073503i,1.6396e-05+0.00068253i,-0.0007652+0.00051125i,-0.0011729+0.0001584i,-0.00039809+0.00041907i,-0.00051522+0.00015601i,-0.0006796-0.00024312i,-0.00038533+2.9241e-05i
0.0011987+0.00095418i,0.0019927+0.00054141i,0.0016718+0.0003157i,0.00084866-0.00055551i,-2.9019e-05-0.0010491i,-0.00048392-0.00047703i,-0.0003055-0.00050919i,0.00010233-0.001132i,0.00015084-0.0011525i,-0.00047244-0.00073785i,-0.00043856-0.00095993i,-3.0056e-05-0.0007199i,0.00025509+0.00055647i,0.00031882+0.00070391i,0.00039766-4.3222e-06i,0.00017078-0.00016942i,0.00040612+0.00038211i,0.00088002+0.0010503i,0.00053403+0.00033491i,0.00048165-0.00053983i,0.00032848-0.0003493i,0.00052471+5.5626e-05i,0.00094085-0.00044734i
0.00046615-0.00017544i,8.7244e-05-0.00025944i,0.0010826+0.00018997i,0.0013455-9.4567e-06i,0.00047409-0.00095625i,-0.00012655-0.0011384i,0.00037221-0.00079313i,0.00028554-0.0003552i,0.00052387+0.00039107i,0.0010036+0.00088741i,0.00042998+0.00010895i,-0.00031542-0.00015054i,-0.0005095-0.00016107i,-0.00019849-4.8895e-05i,-7.2778e-05+0.00035i,-0.00024684-0.00023804i,-5.0865e-05-0.00059006i,0.00073783-0.00020222i,0.00068158+0.00034438i,0.00035378-0.00018856i,0.00041144-0.00018118i,0.00029562-5.5929e-05i,0.0006082-0.00071277i
0.00049092-0.0019576i,3.3666e-05-0.0023475i,4.2624e-05-0.002811i,-6.4376e-05-0.0018824i,-0.00086644-0.0018i,-0.00085792-0.0016741i,-0.00023631-0.0014284i,0.00041862-0.0015854i,0.00016217-0.0016012i,-3.9441e-05-0.0012214i,1.2844e-05-0.00089174i,-4.0056e-05-0.00036527i,0.00031376+0.0003508i,0.00049396+0.00035442i,0.00011655+0.00039247i,-0.00054199+0.00033158i,-0.00088785-0.00015024i,-0.00032615-8.8408e-05i,-0.0002707+0.00031228i,-0.00041001+0.00069094i,-0.00040665+0.00054596i,-0.00020296-0.00013468i,0.00053497-0.00042578i
0.0029846-5.8689e-05i,0.0024398+0.00098874i,0.0033089+0.00061334i,0.0029144-0.00053692i,0.00062204-0.0010744i,-0.00081396-0.00089796i,-0.00050322-0.00058345i,1.3461e-05-0.001003i,-1.8869e-05-0.0010831i,-0.00043265-0.00056489i,-0.00082901-0.0010149i,-0.00042896-0.00080118i,4.2642e-05+0.00018615i,4.9638e-05+8.1648e-05i,-0.00049238-0.00038277i,-0.00081305-0.00031043i,-0.00046037+9.2056e-05i,-0.00012747+0.00033129i,-0.00021991-9.2484e-05i,-2.9685e-05+8.8371e-05i,0.00041691+0.00058139i,0.00017674-5.9403e-05i,-0.00041824-0.00058353i
-0.0014196+0.00055051i,-0.0014699+0.00060597i,-0.0016423+0.00028051i,-0.0016131+0.00075833i,-0.00096051+0.0002686i,0.00035729-0.00083263i,0.0010021-0.0010246i,0.00087992-0.00065371i,0.00015942-0.00087946i,0.00069523-0.0006372i,0.00026198-0.00027078i,-0.00081289-0.0004621i,-0.00083736-8.1085e-05i,-5.5288e-05+0.00080021i,0.00071056+0.00053349i,0.00080755+0.00058005i,0.00038781+0.00079526i,0.00052728+0.00082976i,0.00049981+0.0012962i,0.00015135+0.0014004i,0.00054564+0.00083679i,-0.00012883-0.00016764i,-0.00092985-0.00057561i
-0.00039012-0.00052905i,9.9897e-05-0.0004223i,0.00018123-0.00076973i,-0.00065355-0.0016501i,-0.0011561-0.0016599i,-0.00039603-0.0012539i,-0.00037953-0.0010315i,-0.00023737-0.0017586i,0.00078388-0.0022211i,0.00087047-0.0014825i,-5.5056e-05-0.00086302i,-0.00072979-0.00042529i,-0.00034307+0.00031678i,-0.00025191+0.00086236i,-6.4466e-05+0.00069393i,-8.876e-05-0.00048445i,0.00046601-0.00067041i,0.00082866+8.9394e-05i,0.00011952+0.00014253i,0.00026084+0.00020778i,0.00088249+0.000488i,0.0009699+0.0006685i,0.001358+9.052e-05i
0.00094129+0.00015205i,0.00038822+0.00027199i,0.00086055+0.0009874i,0.001091+0.0014257i,0.00028588+0.00098082i,-0.00015258+0.00075397i,2.0958e-05-0.00028739i,2.6162e-05-0.00091348i,-0.00017996-0.00066774i,0.00011177-0.00016242i,0.00083347+4.7147e-05i,0.00085121-0.0003468i,0.00048651-0.0012116i,0.00035814-0.0009384i,-2.7349e-05+4.1599e-05i,-0.00010193+0.00030665i,0.00023492+7.9404e-05i,0.00036375+0.00078739i,0.00018742+0.0015049i,0.00019516+0.001214i,-3.2514e-05+0.00073081i,-0.00053055+8.359e-05i,-0.00087658-0.00056164i
-0.00070189+0.00078735i,-0.00033424+0.0013318i,-0.0023578+0.0019942i,-0.0020008+0.0017538i,-0.00045728+0.0010835i,-8.2422e-05+0.00039155i,-1.0961e-05+2.9752e-05i,-3.7875e-05-0.00041666i,-0.00063015-0.00085912i,-0.00072224-0.00089953i,-0.00032747-0.00023166i,-0.00037725+0.00014106i,-2.0018e-05+1.0798e-05i,0.00042086+0.00040576i,0.00060668+0.00062801i,0.00071216+0.000395i,-4.6145e-05-0.00012069i,-0.00047199-0.00083854i,-0.0003551-0.00087721i,-0.00014918-0.00038196i,-1.2115e-06-0.00010282i,-0.00017664-0.00015138i,-0.00020338+0.00038271i
0.002218-0.0014038i,0.0020297-0.00174i,0.0018619-0.0032971i,0.001241-0.0032631i,9.9316e-05-0.0021819i,-0.00089077-0.0015139i,-0.00011141-0.001406i,0.00051981-0.0016786i,0.00021698-0.0015894i,-0.00044914-0.0016761i,-0.0007537-0.00173i,-0.0004151-0.0015518i,-3.9527e-05-0.0010921i,-1.0287e-06-0.00062589i,-0.00044982-0.00027942i,-0.00060315+0.00013247i,-0.00051936+0.0001301i,-0.00068757+0.00088547i,-0.00053067+0.0011935i,0.00018499+0.00042651i,3.9121e-05+0.00051167i,-0.00079241+0.00063302i,-0.00023954+0.00046282i
-0.0020161-7.7807e-05i,-0.0019486+0.00082517i,-0.0015843+0.0017054i,-0.00092088+0.0013274i,-0.00042966+0.00079658i,-0.00052027+0.00075097i,-0.00069915+0.00030277i,-0.00076096-0.00065883i,-0.001102-0.00094397i,-0.00092609+5.0522e-05i,-0.00074079+0.00070576i,-0.0001145+0.0005571i,0.0012569+0.00080422i,0.0014723+0.0013848i,0.00084265+0.0014448i,-9.1941e-05+0.001102i,-0.00085978+0.00024611i,-0.000149-4.8753e-06i,0.00016223-1.0087e-05i,-0.00054677-0.00037737i,-0.0004387-2.2697e-05i,0.00033687+8.4749e-05i,0.00099172-0.0006366i
0.0010106-0.00020891i,0.0017807+0.00099222i,0.0020742+0.0012514i,0.00051412+0.0010504i,-0.00041186+0.00046438i,-0.00018948+0.00014288i,0.00046821-0.00022289i,0.00059824-0.00066401i,-0.00038475+2.0886e-05i,-0.00080633-5.361e-05i,-4.203e-05-0.00062991i,-2.47e-05-0.00043987i,-0.00044254-5.393e-05i,-0.0010086+0.0003242i,-0.00087386+6.768e-05i,-0.00020646-0.000253i,0.00049098-0.00054059i,0.0006762-0.00033298i,-0.00011709-0.00010675i,-0.00061812-0.00045154i,-0.00095147-0.00099948i,-0.00023773-0.00071635i,2.2024e-05-1.5172e-05i
