-0.0055752-0.00055957i,-0.0054334+0.00053694i,-0.0049397+0.0040566i,-0.0026998+0.006578i,-0.00086453+0.0058203i,-0.00016444+0.0033854i,-0.00050298+0.0013571i,-0.00021369+0.00038484i,0.00012093-0.00010595i,0.00028891+0.00014328i,0.00061322-1.4827e-05i,0.00078294-0.00060325i,0.00030788-0.0007198i,0.00056489-0.00048872i,0.00094323-0.00067625i,0.00066591-0.0006299i,0.00023716-0.00029442i,-6.8576e-05-0.00076008i,-0.00018534-0.0007684i,-0.00038682-0.00043231i,8.7085e-05-0.0009034i,0.00029443-0.0011202i,0.00021159-0.00090457i
0.00010476-0.00083238i,-0.00013169-0.00059276i,-0.00060011-0.00022826i,-0.0013028-0.0003361i,-0.0015599-0.00010835i,-0.0012345+0.00015382i,-0.0010948-4.4819e-05i,-0.00062929-0.00021676i,-0.00019179-0.00043104i,-0.00017038-0.00087265i,0.00015256-0.00056385i,-0.00038955-0.00053129i,-0.0010846-0.00027794i,-0.0006659+0.00073116i,-0.00025838+0.00083298i,5.0111e-05+0.00037516i,0.0002177-2.4454e-05i,-2.9939e-05-0.00032026i,-7.0264e-05+0.00013519i,-0.00011223+0.00049298i,0.00022555+8.9164e-05i,0.00024139+0.00034401i,8.7437e-05+0.00022899i
-0.00027362+0.00045232i,0.00012714+0.00096196i,0.00031557+0.0016657i,0.00023154+0.0011388i,-0.00018294+0.00047046i,4.6201e-05-0.00016389i,0.00047525-0.0015854i,8.4431e-05-0.002252i,-0.00057132-0.0012046i,0.00054713-0.00013853i,0.0011146+0.00086898i,5.5751e-05+0.0010098i,-5.8512e-05+0.00093933i,-0.00013083+0.0005943i,-0.00010281-0.00063379i,0.00012616-0.00061022i,-0.00028707+3.4535e-05i,-0.00016421+0.00058939i,0.00049891+0.00043916i,0.00033608+8.0848e-05i,0.00029425+0.00037729i,0.00060875+0.00061146i,0.0012422-0.00039368i
0.0011168+0.0012802i,0.00098851+0.0016905i,0.00086845+0.0015037i,-0.00044445+0.0011406i,-0.0011633+0.00050057i,-0.00086763-0.00030806i,-0.00080193-0.0010164i,-0.00047077-0.00088565i,-0.00066062-0.00035477i,-0.00079256-0.00039039i,-0.0008188-0.00063742i,-0.00096877-0.00019377i,-0.00099456+0.00043793i,-0.0007901+0.00058812i,-0.00035015+0.00052445i,0.0002862+0.00045943i,0.00052492+0.00040362i,-1.4326e-06-9.8056e-05i,0.00010159-0.00037402i,0.00061323+0.00028477i,0.00031216+0.00052089i,-6.3673e-05-0.00064596i,0.0002344-0.0010784i
-0.00054731-0.0015519i,-0.0009883-0.0014836i,-0.0011909-0.00096738i,-0.001356+0.00056599i,-0.0013063+0.00088931i,-0.0003618+0.00055144i,-0.00025487-0.00043291i,-0.0016296-0.0010838i,-0.0011333-0.00053634i,7.6396e-05-0.00016659i,-0.00075111+2.0673e-05i,-0.00084512+0.00018858i,0.00011214+0.0002107i,0.00059888+0.00055074i,0.00050036+0.00040914i,0.00069057-3.6329e-05i,0.00026032+0.00023376i,-0.00063715+0.00044589i,-0.00089111+0.00042587i,-0.00050966+0.00053826i,5.0881e-05+0.00084067i,-0.00012594+0.00085678i,-0.00088432+0.00030907i
-0.00081004-0.0013001i,-0.0010136-0.00037743i,-0.00020288+0.00010212i,8.1804e-05+0.0010733i,-0.00097213+0.0013904i,-0.0013406+0.00091038i,-0.001195-5.6653e-05i,-0.00093677-0.0006134i,-0.00089462-0.001196i,-0.001003-0.00081833i,-0.00089209-6.974e-05i,-0.00042832+0.00021543i,-8.0092e-06+0.00010176i,0.00039795+0.00018877i,0.00034987+0.00046301i,0.00014303-0.00015625i,0.00011664+3.5153e-05i,-0.00012875+0.00063794i,0.00043981-7.8089e-05i,0.00068608+0.00031966i,-0.00027913+0.0013138i,-0.00081493+0.0013419i,-0.00033278+0.0013581i
0.00041152+0.00063721i,0.00079646+0.00035973i,0.00057394-5.6619e-05i,-0.00037139-0.00049563i,-0.0011195-0.00031861i,-0.0014785-0.00010182i,-0.00063027-0.00061708i,-0.00017256-0.00060615i,-0.00075279-0.00029717i,-0.00070458-0.00050267i,-1.9937e-05-0.00050161i,-3.1601e-05-6.5236e-05i,-0.00054885+0.00063718i,-0.00065925+0.00072475i,0.00014209+0.00027745i,0.00079181-0.00024023i,0.00076885+0.0003594i,0.00010335+0.00084466i,-0.00016821+0.0010185i,0.00041099+0.00068837i,0.00050338-0.00033659i,0.00074568-0.00069828i,0.00059463-0.00011797i
0.004118+0.00038002i,0.0027856+0.00021096i,0.001777-0.00064076i,0.00083428-0.0011998i,-0.00097803-0.00085066i,-0.0013385-0.00025748i,-0.00077471+3.3912e-06i,-0.00087601-0.00031336i,-0.00057233-0.0003718i,-0.00052749-0.00028625i,-0.0013067-0.0009628i,-0.0018992-9.9082e-05i,-0.0013607+0.0013312i,-0.00023522+0.0014528i,0.0005538+0.0014281i,0.00027055+0.00095341i,4.6241e-05+0.00026757i,0.00048968+0.00014085i,0.00064808+7.9823e-05i,0.00067159-0.00021423i,0.00086779-0.00011987i,0.00023663+0.00024653i,-0.00077851+0.00064331i
-5.2352e-05-0.00052861i,-9.9143e-05+0.00025691i,-0.00046523+7.1814e-06i,-0.00045857-0.00058172i,-0.00016013-0.00019123i,-0.0001393-0.00050691i,-0.00034595-0.0012699i,-0.00032204-0.0014731i,0.00012482-0.0014252i,0.00012134-0.00051711i,0.00069127+0.00016516i,0.00091775+0.00029168i,0.00065472-0.0003879i,0.00070388-0.0009455i,0.00063379-0.00029818i,0.00099217-0.00021963i,0.00064724-0.00042193i,0.00021383-0.00053687i,0.00013927-0.00052395i,0.00017281+5.7397e-05i,5.365e-05+0.00021286i,4.7925e-05-0.00026581i,0.00040776-0.00031406i
0.0031795-0.0002658i,0.0021835+0.00016871i,0.0017976+0.00024483i,0.001408-1.2649e-06i,1.5378e-05-0.001034i,-0.00079438-0.00029155i,-0.00079367+0.00016425i,-0.00056593-0.0006847i,-0.00018951-0.00054361i,0.00014817-0.00012016i,0.00011622-0.00039048i,-0.00030056-0.00027113i,-0.00020116+0.00026873i,-0.00034564+0.00041384i,-0.00077155+9.522e-05i,-0.00032748+0.00041067i,0.00039425+0.00085717i,0.00047376+0.00070864i,0.00094577+0.00060297i,0.0010918+0.00031337i,0.00042267+0.00053242i,3.6845e-05+0.0006267i,2.9886e-05+0.00076625i
-0.0013467+0.00043668i,-0.00073984+0.00030544i,-0.00062832-0.00017801i,-0.0006939-0.00043864i,-0.0011643+0.00011368i,-0.0010252+0.00019442i,0.00034051-0.00049275i,0.0004375-0.0010901i,0.00019088-0.0010075i,0.00081539-0.00079267i,0.0005101-0.00077144i,-0.00042716-0.00072775i,-8.162e-05+0.0003325i,0.00078832+0.00040673i,0.00089542-0.00066714i,0.00059609-0.0004949i,0.0005419-0.00011017i,1.1642e-05+0.00031903i,-0.00088114+0.00026747i,-0.0009175-0.00019341i,-0.001178+2.4328e-05i,-0.00093505+0.0001321i,-0.00063125+7.5724e-05i
