-0.0055752-0.00055957i,-0.0054334+0.00053694i,-0.0049397+0.0040566i,-0.0026998+0.006578i,-0.00086453+0.0058203i,-0.00016444+0.0033854i,-0.00050298+0.0013571i,-0.00021369+0.00038484i,0.00012093-0.00010595i,0.00028891+0.00014328i,0.00061322-1.4827e-05i,0.00078294-0.00060325i,0.00030788-0.0007198i,0.00056489-0.00048872i,0.00094323-0.00067625i,0.00066591-0.0006299i,0.00023716-0.00029442i,-6.8576e-05-0.00076008i,-0.00018534-0.0007684i,-0.00038682-0.00043231i,8.7085e-05-0.0009034i,0.00029443-0.0011202i,0.00021159-0.00090457i
-0.0015581+0.0028771i,-6.5307e-05+0.0029364i,0.00039382+0.0027235i,0.00075722+0.00092432i,0.001673-0.0011194i,0.0019627-0.0024373i,0.0015959-0.0022964i,0.0010145-0.0013599i,0.0014344-0.00073913i,0.00119-0.00024692i,-0.00048753-0.0010484i,-0.0012819-0.0016999i,-0.0014127-0.00076472i,-0.0014672+0.00038276i,-0.00070144+0.00123i,-0.00044119+0.0016328i,0.00021488+0.0013993i,0.0012699+0.00085727i,0.00078216-8.8064e-05i,0.00044611-0.00053454i,0.00039955-0.00054301i,-0.00076796-0.00076463i,-4.7879e-05-0.00042908i
-0.00016138+0.00043438i,-0.0020897+0.00076046i,-0.0020882+0.0011601i,-0.0012719+0.00051602i,-0.00052747-0.00092381i,0.00012104-0.0014217i,0.00098311-0.0013328i,0.0014075-0.001544i,0.001346-0.0022496i,0.00059181-0.0028657i,-0.00012703-0.0016998i,-0.00059869+0.00042057i,-5.5087e-05+0.00092561i,3.2966e-05+0.00043813i,-0.00051519+0.00040572i,-0.00062223+0.00095629i,-9.4988e-05+0.0005556i,0.00035694-7.9502e-05i,-0.00012963+0.00024502i,-0.00028361+0.00053376i,-7.3481e-05-0.00061306i,-0.00010605-0.00108i,0.0001805-0.00083741i
-0.00020649-0.0023029i,-0.0025378-0.0017826i,-0.0049687-0.0011461i,-0.0050955-0.00018056i,-0.0039696+0.00066386i,-0.0021319+0.00057798i,-0.00051024-0.00050746i,-0.00040136-0.0021907i,-0.001198-0.0031317i,-0.0018376-0.0022756i,-0.0005092-0.0010378i,0.0013341+0.00010406i,0.0017182+0.00055584i,0.0010177-9.3544e-05i,0.00081803-0.00041822i,0.00083687-0.00074399i,-0.00025026-0.0013891i,-0.00068516-0.0019643i,-0.00022214-0.001222i,-5.1641e-05+0.00040229i,-2.7301e-05+0.00068004i,0.00082594-8.7033e-05i,0.0016936-8.5577e-05i
0.00016579-0.0021918i,0.0001615-0.0033784i,0.00047011-0.0025341i,-0.00036787-0.0013229i,-0.00081765-0.001562i,-0.0012243-0.0013953i,-0.00087175-1.1729e-05i,-0.00094554+0.00038604i,-0.0017617-0.00022441i,-0.0012914-0.00039874i,0.00033045-0.00014555i,0.00051104+0.00023597i,-0.0008877+0.00021829i,-0.0011979+0.00013172i,0.00031473+0.00024398i,0.00084411-0.00061718i,0.00075402-0.0011868i,0.00053008-0.00028632i,-0.00014381-2.1053e-05i,-5.6612e-06-0.00017703i,-0.0004406+0.00060327i,-0.00078727+0.00087405i,6.0703e-05+0.0006005i
0.002069+0.0010763i,0.0024349+0.0013936i,0.0020124+0.0011075i,-0.00012135+0.00014463i,-0.0019862-0.00017654i,-0.0021822-0.00046769i,-0.00051425-0.00070857i,0.00044174+0.00054898i,-0.00016861+0.0020468i,-0.00078009+0.0018605i,-0.00038466+6.1186e-05i,-0.00035074-0.0012771i,-0.0016674-0.0010466i,-0.0024397+0.00030998i,-0.00090843+0.0011374i,8.6137e-05+0.0010296i,-0.0010884+0.0010728i,-0.0012628+0.0012654i,-0.00052433+0.00077023i,-0.00074823-0.00035586i,-0.00096886-0.00096719i,-0.00078662-0.0012202i,-7.297e-05-0.00029749i
1.3556e-05-0.00055024i,-0.00198-0.00043662i,-0.0017358+0.0006408i,-0.00034479+2.5117e-05i,0.00060411-0.0004868i,0.00049543-0.00039798i,0.0010159-0.00025155i,0.0023146+6.7441e-05i,0.0028373+0.00037306i,0.0021923+0.00034738i,0.0013743-0.00076999i,0.00067174-0.0013688i,0.00024482-0.00070639i,-0.00015763-0.00076555i,-0.0010521-0.0018219i,-0.0017484-0.0012917i,-0.0013638+0.00021904i,-0.00046745+4.1231e-05i,0.00030968-0.00028519i,-6.4836e-05+0.00039687i,-9.9173e-05-0.00027273i,6.5499e-05-0.0012328i,-0.00032876-0.00094229i
-0.00084608-4.5563e-05i,-0.00097932-0.0019909i,-0.0014817-0.0019939i,-0.0020103-0.0015326i,-0.0011322-0.0023592i,-0.00028731-0.0026036i,0.00011774-0.0021183i,0.0014503-0.0020269i,0.0025518-0.0014738i,0.0015817-0.0010152i,-0.00023545-0.00069035i,-0.0006312+0.0011567i,0.00010424+0.0020592i,0.00066926+0.0010571i,0.00058179+0.00025983i,0.00048941-0.00018059i,0.00087749-0.00021642i,0.0015176-4.0078e-05i,0.0014865+0.00042806i,0.0010873+0.00093215i,0.00076321+0.00048225i,0.00044483+0.00020967i,0.00025005+0.00012751i
0.0020859+0.0014765i,0.0021749-0.00084901i,0.0032928-0.0014739i,0.0029556-0.0010301i,0.00034484-0.0015695i,-0.0013128-0.0026946i,-0.0016374-0.0019927i,-0.001373-0.0021656i,-0.00033453-0.0032752i,0.00029534-0.0026227i,-0.00064285-0.0014057i,-0.0014515-0.00043673i,-0.0015275+0.00019618i,-0.00064254+0.0014772i,0.00016438+0.0027632i,0.00093554+0.0018633i,0.0017283-3.93e-05i,0.0018569-0.00076021i,0.00070164-0.00095487i,-0.0002671-0.00098021i,-0.0005817+9.15e-05i,-4.0885e-05+0.00096346i,0.0005382+0.00047737i
0.00049648-0.00052704i,-2.6929e-05+0.0012772i,-0.0020039+0.0009752i,-0.0030575-0.00016001i,-0.003197-0.00062157i,-0.0024525-0.00024704i,-0.0014305-0.00028005i,-0.0020552-0.0013177i,-0.0032232-0.0023026i,-0.0029401-0.0018789i,-0.0009447-0.0010144i,-0.00014279-0.00086105i,-0.00078881-0.00064943i,-0.0014136+0.0002217i,-0.001278+0.00095548i,-0.00052609+0.00059395i,-0.0003048+0.00046517i,-0.00079295+0.00028299i,-0.00055634-0.00016609i,-0.00015161+0.00020072i,-0.00027666+0.00023476i,-0.0001238-4.5285e-05i,0.00035516+7.0053e-05i
-0.0013137-0.0014451i,-0.002734-0.00023904i,-0.0032172-0.00070458i,-0.0027501+0.00034284i,-0.0029364+0.0016842i,-0.0020735+0.0018149i,-0.00056356+0.0010332i,-2.3758e-05+0.00041338i,-0.0016816+0.0013731i,-0.0026584+0.0019217i,-0.00083485+0.0016366i,0.00050789+0.00072951i,0.00052721-0.00058383i,-0.00015904-0.0014957i,-0.00050149-0.0010951i,-0.00081263-0.00089113i,-0.0019141-0.00063187i,-0.0020568+0.00016493i,-0.0010885+0.00015594i,-0.00064852-0.00043182i,-0.00047021-0.00049424i,-0.00033041+0.00052237i,-0.00039241+0.0003151i
-0.0019853-0.0010622i,-0.0034635-0.0017292i,-0.0034176-0.00046006i,-0.0021222+2.1516e-05i,-0.0010531-0.00023975i,0.00032307-0.00047127i,0.0013661+1.9861e-05i,0.0018852+0.0017749i,0.0011861+0.0029821i,7.102e-05+0.003573i,0.00028433+0.0020019i,0.00069514+0.0001876i,0.00023192+0.00047164i,0.00034627+0.0001273i,0.00086122-0.0013799i,0.00013646-0.0012154i,-0.00047999-0.00039744i,-0.00053063-0.0002481i,-0.00056982-0.00036335i,-0.00013832-0.00026125i,-0.00022002-0.00012242i,-0.00015648-0.0002998i,-0.00019448-0.00073664i
0.0016908-0.0040335i,0.0014481-0.0032333i,-0.0011302-0.0034442i,-0.0029088-0.0016872i,-0.0021073-0.00086064i,0.00095792-0.00099278i,0.0032445-0.0011292i,0.0040252-0.00065396i,0.0036476+0.00024235i,0.0025419+0.00041342i,0.0012212-0.00035649i,-0.00054302-0.00060922i,-0.0017565+0.0011712i,-0.0014483+0.0023668i,-0.00024632+0.0014738i,-5.5988e-05+0.00072704i,-0.00043455+0.00058589i,0.00065847+0.00078196i,0.0016529+0.00065861i,0.00045873+6.3531e-05i,-0.00054424+0.00014811i,0.00031006+0.00022474i,0.0013248+0.0006363i
0.00085015-0.0010499i,0.00065301-0.0015902i,-0.00078608-0.0030017i,-0.0020118-0.0026692i,-0.0018214-0.0016505i,-0.00030147-0.00097673i,0.00087204-0.0021713i,0.0020541-0.0041363i,0.0029906-0.0047893i,0.0019301-0.0042631i,0.00066863-0.0037204i,-1.7427e-05-0.0023229i,-0.00080272-0.00063453i,-0.001318-0.00011576i,-0.0015678+0.00036672i,-0.0010687+0.0019416i,2.7728e-05+0.0024265i,0.0011825+0.00075203i,0.00039315-8.5734e-05i,-0.00061801-0.00040491i,0.00016118-0.00039489i,0.00042098+0.00037744i,-2.1554e-05+0.00080066i
0.001075-0.0010377i,5.2816e-05-0.00049097i,-0.00028629+0.00031829i,-0.0022264-0.00015337i,-0.0042043-0.0010011i,-0.0038619-0.00141i,-0.0022794-0.0027357i,-0.0015079-0.0048212i,-0.0010008-0.0054022i,-0.0011922-0.003801i,-0.0019196-0.0022679i,-0.0015986-0.00048579i,-0.0010782+0.0010318i,-0.00023476+0.00039751i,-0.00041891-1.464e-06i,-0.00095039+0.00032139i,-0.00071771+3.6684e-05i,-0.00055674-0.00021142i,-0.0010406-0.00050824i,-0.00051657-0.0010783i,0.0011722-0.00098266i,0.0011391-0.00036188i,0.00046365+0.00017665i
-0.0022982+0.00028356i,-0.0020522-0.00076549i,-0.0017689+0.00032622i,-0.0018112+0.0010074i,-0.001023+0.00039865i,-0.00010718+0.00027725i,-0.00034458+7.4208e-05i,-0.0015295-0.0007138i,-0.0033266-0.0014824i,-0.003829-0.0012384i,-0.0026485+0.00056516i,-0.0014705+0.0013044i,-8.7438e-05+0.00065293i,0.00077789+0.00029522i,0.00082203-0.00055764i,0.00085621-0.0016304i,0.00092342-0.0018639i,0.00096085-0.0015047i,0.00091398-0.00074782i,0.00081684-9.4039e-05i,0.0006127+0.00016502i,0.00035145-0.00031939i,-0.00042199-0.0011786i
-0.0025131-0.00061466i,-0.0025195-0.00018966i,-0.0014039+0.0018054i,-0.00074169+0.0025644i,-0.00040279+0.0023016i,0.00030501+0.00087346i,0.00058791-0.00076878i,-0.00019598+0.00078496i,-0.00218+0.003152i,-0.0023862+0.0031823i,-0.00030584+0.0014757i,0.00094294-7.0169e-05i,0.00070674-0.0001525i,0.00021466+0.00033254i,0.00030379+0.00046718i,0.00038445+0.00030269i,-3.0862e-05+0.00017555i,-0.00055687+0.00045979i,9.0218e-05+0.00034584i,0.00052684+7.6573e-05i,8.9416e-05-0.00020897i,0.00059051+6.9471e-05i,0.00019139-0.00064679i
-0.00014053+0.00033739i,-0.00083763+0.00065821i,-0.0014627-0.0003981i,-0.0017014-0.0012122i,-0.0010177-0.0010617i,-0.00067032-0.00090948i,3.6321e-05-0.00017106i,0.002205+0.002726i,0.0022229+0.0047237i,0.00094761+0.0034052i,0.002114+0.00045609i,0.0025142-0.0010378i,0.0010751-0.00093977i,-0.00010812-0.00017165i,-0.00074707+0.00033801i,-0.00033735+0.00051565i,-0.000162+0.00075385i,-0.00038273+0.00092844i,-0.00090284+0.00077909i,-0.0012677+0.00077408i,-0.0017473+0.00046655i,-0.00094034-0.00026025i,0.00028116-0.00068518i
-0.0014117-0.00055127i,0.00024363-0.001195i,0.0015187-0.00047763i,0.00063734-0.00067107i,-0.00011165-0.0022646i,-0.00060465-0.0027059i,0.00099946-0.0023526i,0.0047145-0.0020858i,0.0058771-0.00093124i,0.0046613-0.0011266i,0.0029654-0.0019504i,0.00023018-0.0015968i,-0.0010177-0.0011436i,-3.9201e-05-0.00095733i,-0.00037872+2.6735e-05i,-0.0020114+0.00065167i,-0.0020685+0.00069437i,-0.001052+0.00022465i,-0.0012012+0.00013818i,-0.001546+0.00045506i,-0.0013572+0.00033231i,-0.0011398+0.00027527i,-0.0009607+0.00064895i
0.0015764+0.0030801i,0.0015963+0.0038538i,0.00069973+0.0033231i,2.812e-05+0.00096522i,-0.00044867+0.00025593i,-0.00057504-0.00044894i,-0.00048464-0.0027123i,0.0011627-0.0045776i,0.0029047-0.0059026i,0.0020611-0.0052697i,-1.7606e-05-0.0029831i,-0.0015816-0.00093476i,-0.0023405-0.00017258i,-0.0019314+0.00068071i,-0.0014257+0.0013274i,-0.00094146+0.00068408i,8.0375e-05+0.00025511i,0.00019353+0.00049846i,-0.00026492+0.00011381i,-0.0010406+0.00030226i,-0.001176+0.0012219i,-0.00069945+0.00091471i,-0.00053034+0.00055628i
-0.0031473+0.0012628i,-0.0048034+0.00090535i,-0.0041935+0.0015077i,-0.0016342+0.0015201i,0.00030552+0.0010853i,-2.4823e-05+0.0003513i,-0.001454-0.0008975i,-0.0026746-0.0031098i,-0.002986-0.0042167i,-0.0025429-0.002685i,-0.0020733-0.0013325i,-0.0016413-0.00067861i,-0.0012847-0.00015091i,-0.001074+0.00031736i,-0.00057238+0.00086716i,0.001086+0.0012107i,0.0018195+0.0009592i,0.0009786+0.00025706i,0.00079398+0.00026612i,0.00077139+0.00097653i,0.00056561+0.00073279i,0.00052776+0.00081842i,-0.00036394+0.0010144i
-0.0017924-0.0012149i,-0.00080661-0.00089453i,-0.00017055+0.00033521i,5.9834e-06+0.0017117i,-0.00087304+0.0017945i,-0.0015265+0.0004275i,-0.0026899-0.00018972i,-0.0043744+9.4326e-05i,-0.0050226+2.1154e-05i,-0.0038559+0.0006176i,-0.0020724+0.0015657i,-0.00010991+0.0015967i,0.0010209+0.00060502i,0.00075595+0.00037492i,0.00017166+0.0012613i,3.3402e-05+0.0015735i,-0.00010826+0.0013944i,0.00013106+0.0013941i,0.00085342+0.0015862i,0.0011516+0.0014821i,0.00042192+0.0008142i,-0.0010098+0.00016947i,-0.0010481-0.00055459i
-0.0023888-0.001231i,-0.0018788+0.00086548i,-0.0028688+0.0020717i,-0.0025712+0.0015605i,-0.00085803+0.0015734i,0.00033044+0.0011622i,3.5309e-05+0.00095482i,-0.00027815+0.0028894i,-0.00083285+0.0049326i,-0.00083986+0.0052807i,0.00067734+0.0036377i,0.0017706+0.0019165i,0.00085283+0.0018345i,0.00020787+0.0013982i,9.9312e-05+0.00017469i,-0.00017269-0.00040223i,0.00057229-0.0007611i,0.0011708-0.00065101i,0.00033262-0.00069261i,-0.00038188-0.00077224i,-0.00010108-0.00039458i,-0.00031413-0.00024817i,-5.5446e-05-0.00030483i
0.00046265-0.00060515i,0.00045995+0.00089794i,-0.0010768+0.00215i,-0.0015033+0.0011288i,-0.0012225-5.174e-05i,-0.00037674-0.00040398i,0.001896+0.00045633i,0.0041456+0.0025066i,0.0041787+0.00392i,0.0028935+0.0031093i,0.002449+0.0011574i,0.00122-0.00053982i,-0.00023198-0.00051099i,-0.00049395-0.0003359i,-0.00059178-0.00016862i,-0.00073626-0.00025431i,-0.000432-0.00102i,-0.0004159-0.0012907i,-0.00077635-0.0010661i,-0.0012156-0.0012078i,-0.00065469-0.0016347i,3.8765e-05-0.0018097i,-0.00013482-0.00067156i
-0.00035005-0.00080383i,-0.0022565-0.0017637i,-0.0025623-0.0018215i,-0.0024834-0.00099567i,-0.0022584-0.001579i,-0.001804-0.0017979i,0.00045837-0.0019556i,0.0036559-0.0029792i,0.0057403-0.0034668i,0.0060969-0.0034881i,0.0033845-0.0039749i,0.00052698-0.0038198i,-0.00028953-0.0024416i,-0.00084174-0.00046181i,-0.0016369+0.00076587i,-0.0014553+0.00060242i,-0.00065191-0.00018683i,-0.00036941-0.00060729i,-0.0011343-0.00040422i,-0.0017989-0.00056407i,-0.0017616-0.0004598i,-0.0015668+0.00043261i,-0.00098627+0.0008005i
0.0011814-0.0005747i,0.002519-0.0011822i,0.0020345-0.00028332i,0.00022886+0.0016477i,-0.00089138+0.0014246i,-0.00040801-0.00023438i,0.00023475-0.0024971i,-2.4105e-05-0.0060149i,1.729e-05-0.008208i,-0.00044977-0.006935i,-0.0012848-0.0042775i,-0.0015136-0.0019533i,-0.00077798+0.00014109i,0.00010313+0.00079389i,5.4556e-06+0.00097643i,-6.4757e-05+0.0020744i,-0.00010291+0.0020377i,-0.00069702+0.0014209i,-0.00071544+0.0011259i,-0.00068574+0.0004249i,-0.00087131+0.00019492i,-0.0011769-0.00011264i,-0.0014888-0.00093814i
0.0021897+0.0021317i,0.0020374+0.0026411i,0.00033307+0.00044203i,-0.0011803-0.0017859i,-0.0014892-0.0022134i,-0.0021788-0.0024941i,-0.0026495-0.0037335i,-0.0040322-0.0047175i,-0.0062785-0.0050686i,-0.0061911-0.0038847i,-0.0049133-0.0010731i,-0.0037113+0.00057793i,-0.0023365+0.0021458i,-0.0014634+0.0028514i,-0.0006187+0.0017403i,-0.00011952+0.00078056i,0.00046247+0.0011116i,5.812e-05+0.0012694i,0.00024813+0.001149i,0.0011946+0.0011084i,0.0013975+0.00010767i,0.0014162-0.00098005i,0.0013739-0.0012145i
-0.001929-0.0021501i,-0.0025667-0.0017398i,-0.0035674-0.00025216i,-0.002986+0.00076389i,-0.0017275+0.00012667i,-0.00096321-0.00039137i,-0.0008035+0.00030934i,-0.0022218+0.0016178i,-0.0041588+0.0046912i,-0.0038999+0.0057363i,-0.0025538+0.0038536i,-0.0017386+0.0020268i,-0.0011912+0.0011102i,-0.00060679+0.0013444i,0.00040904+0.0020242i,0.00089974+0.0013753i,0.00070458-5.6144e-05i,0.00021679-0.0010606i,0.00079352-0.00093979i,0.0018976+2.2319e-05i,0.0018075+0.00023166i,0.0010579-0.00025137i,0.00093476-0.00038736i
0.0023229-0.0013819i,0.0028098-0.001625i,0.0016957-0.0019928i,-0.00088064-0.0022958i,-0.0030528-0.0020907i,-0.0021641-0.0010169i,0.00019827+0.00043902i,0.0014627+0.0029442i,0.0018449+0.0051699i,0.0026634+0.0049623i,0.0033705+0.002521i,0.0036848+0.00038241i,0.0029736-0.00010845i,0.0014751-0.00011701i,0.00054166-0.00037304i,0.00034771-0.00077589i,0.0001634-0.0015585i,0.00019489-0.0019436i,8.0015e-05-0.0013714i,-1.7706e-05-0.0010447i,-9.6155e-06-0.0001689i,-0.00045846+0.00069405i,-0.00061537+0.00056065i
-0.00046628-0.0023741i,-0.00070057-0.0014663i,-0.00023707-0.00016044i,-0.0018429+0.00068702i,-0.0033461+0.0010321i,-0.0029346+0.0011552i,0.00050134+0.0011298i,0.0050159+0.0011449i,0.0077913+0.0012559i,0.0075056+0.0014066i,0.006128+0.00055393i,0.0039768-0.00028438i,0.0021171-0.00039261i,0.0011475-0.00055513i,0.00027223-0.00036743i,-0.00016594-0.00035601i,-0.00063751-0.00073079i,-0.00046987-0.0010412i,-0.00029884-0.0010972i,-0.00087527-0.0014984i,-0.0016206-0.0014637i,-0.0017331-0.0010564i,-0.00077016-0.0006991i
-0.0012319-0.00048442i,-0.0032227+5.5336e-05i,-0.0043747+0.00073424i,-0.0032673-0.00071782i,-0.001395-0.0012485i,-9.7111e-05-0.0016043i,0.001683-0.0026403i,0.0041533-0.0044915i,0.0047364-0.0069353i,0.0036104-0.0075817i,0.001702-0.0056557i,-0.00038502-0.0028068i,-0.0013575-0.0011565i,-0.00079031-0.00044716i,-0.00021663+0.0003966i,-0.00023743+0.00032139i,0.00024203+0.00080139i,3.3806e-05+0.00093979i,-0.00042449+0.00010817i,-0.00053246+0.00017145i,-0.00063523-0.0004622i,-0.00055791-0.0020711i,4.9862e-06-0.0021207i
0.00015093-0.00039813i,-0.00037805+0.00016703i,-0.00090507+0.00071544i,-0.00087681+0.0020855i,-6.4575e-05+0.0016099i,0.00036448-0.00079919i,0.00011628-0.0026334i,-0.00070651-0.0048787i,-0.0027942-0.0068529i,-0.0045785-0.0064215i,-0.0045441-0.0043505i,-0.0040048-0.0027984i,-0.0033225-0.001043i,-0.0027178+0.00097068i,-0.0010738+0.0010227i,-9.6685e-05+0.0013048i,-0.0010132+0.0013759i,-0.00088865+0.0009724i,-7.9388e-05+0.00090181i,-8.3594e-05+0.0012106i,0.00063873+0.00039435i,0.0012394-0.00084403i,0.0015612-0.00076808i
0.00010607-0.00082277i,-0.00038152-0.0016085i,-0.00081633-0.0027347i,-0.0023358-0.0028409i,-0.0030914-0.0023859i,-0.0025406-0.0019557i,-0.0030792-0.0015043i,-0.0063315-0.0010478i,-0.0096345-0.00049584i,-0.0095234+8.3599e-05i,-0.005475+0.00121i,-0.0018448+0.0020498i,-0.00056216+0.0014259i,-0.00052531+0.0005145i,0.00010777-0.00019646i,0.00055718-0.0010978i,0.0007778-0.0015215i,0.00094743-0.00099391i,0.00086442+0.00068128i,0.00072135+0.0018847i,0.0002554+0.0017847i,-0.00013079+0.0017202i,-0.00052864+0.0013058i
-0.0015049-0.001689i,-0.001954-0.00068367i,-0.0019455+0.00093048i,-0.0032387+0.0020125i,-0.0048385+0.002196i,-0.0040317+0.0016768i,-0.0022808+0.0013136i,-0.0024708+0.0029751i,-0.0037444+0.0054728i,-0.0026264+0.0069077i,-0.0003586+0.0066901i,0.00031764+0.0050612i,0.00067852+0.0021509i,0.001241-0.00033882i,0.0014587-0.00089172i,0.00093822-0.00064692i,0.00064684+5.8456e-05i,0.0011999+0.00053097i,0.0011739+0.00022183i,0.00017192-0.00036861i,-0.00046184-0.00033921i,-0.00033693-0.00032287i,-0.00030446-0.00073721i
-0.0016783-0.00046305i,-0.0017933-0.0023006i,-0.0022616-0.0026878i,-0.0021159-0.0018155i,-0.00010712-0.0013082i,0.0016367-0.0014602i,0.0028821-0.00064685i,0.0049151+0.0025113i,0.0066534+0.0057743i,0.0075114+0.0059244i,0.0056638+0.0035475i,0.0019787+0.00076648i,0.00013252-0.00092814i,2.5626e-05-0.00072102i,-1.5834e-05-5.0038e-05i,-0.0002702+0.00037015i,0.00034183+0.00072869i,0.00037099+0.00072132i,5.4038e-05-0.00026366i,0.0003642-0.0016414i,0.00024616-0.0023175i,-0.000295-0.0019183i,-0.0010663-0.00099532i
0.00056254-0.00033065i,0.0019303+0.0012548i,0.0014725+0.0031153i,5.2599e-05+0.0032731i,9.2769e-05+0.0014617i,0.001422-0.00051676i,0.0033362-0.0014518i,0.0065013-0.0015382i,0.0091321-0.001825i,0.0088574-0.0035787i,0.0051912-0.0050569i,0.0015955-0.0038742i,-0.00065306-0.001349i,-0.0016382+0.00019954i,-0.0017558+0.00068334i,-0.0022635+0.00082027i,-0.0023262+0.00034218i,-0.0015321+4.209e-05i,-0.00043841+0.00016513i,0.0002245+0.00013904i,0.00062388+0.00019253i,0.0008985+1.931e-05i,0.0013084-9.2118e-05i
-0.0039736+0.0029504i,-0.0049022+0.0018207i,-0.0040587-0.00072703i,-0.0032131-0.0026597i,-0.0010127-0.003818i,-0.00013008-0.0038275i,0.00014085-0.0046917i,0.0012409-0.0080222i,0.0012716-0.01065i,6.1754e-05-0.010538i,-0.0011307-0.007825i,-0.0014295-0.0037864i,-0.0019242-0.00067826i,-0.0023369+0.00045013i,-0.0025613+0.00058661i,-0.0022581-4.0031e-05i,-0.00039221-0.00097663i,0.00018365-0.0019422i,-0.00019709-0.0013752i,-0.00078439+0.00015851i,-0.0014166+0.00095751i,-0.00067237+0.0012575i,0.00041+0.00084912i
-0.0026143+0.00064414i,-0.0027982+0.0019207i,-0.00069663+0.0039584i,0.0008071+0.0038336i,0.00034506+0.0018274i,-0.0015763-0.00054383i,-0.0035409-0.0031086i,-0.0058188-0.0063657i,-0.0077542-0.0077266i,-0.0083349-0.0054845i,-0.0079498-0.0020146i,-0.0059416+0.0014383i,-0.0032374+0.0018927i,-0.0012967-0.00029953i,-0.00076981-0.0015963i,0.00033602-0.00094971i,0.0015868-0.0004578i,0.0011008-0.00073797i,-0.00034451+0.00031183i,-0.0011183+0.0013656i,-0.0011298+0.00057296i,-0.0014381+0.00026537i,-0.0013304+0.00014867i
-0.0023562+0.0019144i,-0.0017441+0.0019423i,-0.0019593+0.0023118i,-0.0025246+0.003009i,-0.0018895+0.0028021i,-0.00087686+0.00087873i,-0.0016894-0.00028282i,-0.0049547+0.00044499i,-0.008082+0.0029658i,-0.0072114+0.0048425i,-0.0035899+0.0042618i,-0.00058896+0.0024356i,0.0012428+0.0013764i,0.0020381+0.00078238i,0.0025342+0.00053645i,0.0017384+0.00095554i,0.00039317+0.00083221i,0.00046942+0.00038621i,0.00058516-0.00022158i,-1.606e-05-0.00036113i,0.00026789-0.0006252i,0.00043681-0.00091211i,-0.00011459-0.0011467i
-0.0014304+0.0026041i,-0.0010729+0.0030325i,-0.00076574+0.0043844i,-0.00054089+0.0042094i,0.00037946+0.0030142i,0.00041613+0.0019081i,0.00067637+0.0031953i,0.00079491+0.0072149i,0.00019274+0.010925i,0.0012064+0.010993i,0.0037188+0.0066183i,0.0045512+0.0019387i,0.003057-0.00083996i,0.0013538-0.0010585i,-4.088e-05+0.00046293i,-0.0004103+0.0010364i,-0.00058776+0.0011503i,-0.00045388+0.0017775i,9.4363e-05+0.0018012i,0.00084427+0.00052682i,0.0013477-8.4414e-05i,0.00085911-0.00019417i,0.00079628-0.00029639i
0.0015028-0.0014281i,-0.00020297-0.0015811i,-0.00088007-0.0032349i,-0.001917-0.0052329i,-0.0021328-0.0050494i,-0.00061815-0.0028753i,0.002119+0.00053512i,0.0056193+0.0038422i,0.0090876+0.0046606i,0.0098306+0.0030062i,0.0074741+0.00015325i,0.0038759-0.002262i,0.00043148-0.0020416i,-0.0015542-0.00033764i,-0.0030194+0.00090129i,-0.0030642+0.0010331i,-0.0010665+0.00070032i,0.00020511+0.00077257i,0.00055607+0.0010878i,0.00068282+0.0010697i,0.00078773+0.0010709i,-0.00041065+0.0012104i,-0.00066167+0.0010687i
0.0057652+0.001645i,0.0067048+0.0010322i,0.005163-4.9371e-05i,0.0027539-0.0023522i,2.0327e-06-0.004444i,-0.0020927-0.0053501i,0.0007874-0.0045958i,0.0066087-0.0062844i,0.01022-0.010408i,0.0081822-0.011147i,0.0028719-0.0091074i,-0.0020866-0.0052674i,-0.0043228-0.001736i,-0.0038485-0.00065181i,-0.00272-0.00085426i,-0.0013382+0.00034828i,0.00019418+0.0011148i,0.00054988+0.0003421i,-0.0002732-0.00057851i,-0.00078028-0.00046156i,-0.00086754+0.00016937i,-0.0011866-0.00013712i,-0.00089167-0.0012417i
0.00076621+0.0027085i,0.00080336+0.002842i,0.0020031+0.0011522i,0.00010531-0.00069971i,-0.0022738-0.00095816i,-0.0025177-0.0016128i,-0.00098183-0.0049735i,0.0005263-0.01028i,0.00024148-0.013833i,-0.0019239-0.012727i,-0.0042852-0.0084354i,-0.0049302-0.003598i,-0.0033407+0.00050537i,-0.00082453+0.0016435i,0.00088625+0.00062053i,0.0013685-8.5066e-05i,0.0011199+3.5134e-05i,0.00095139+0.00034545i,0.00091586-0.00038187i,0.00061693-0.0016955i,0.00036301-0.001532i,0.00044004-0.00088466i,-0.00024817-0.00091951i
-0.00079877-0.00064607i,-0.0013387-0.0015269i,-0.0027104-0.00014855i,-0.0028821+0.0014191i,-0.0027507+0.0014251i,-0.0028053+0.00050438i,-0.0040883-0.0012745i,-0.0076486-0.00245i,-0.011213-0.0024497i,-0.010986-0.00070991i,-0.0067013+0.0023266i,-0.0019489+0.003937i,0.00022121+0.0034962i,0.00056836+0.0025112i,0.00085359+0.001354i,0.00095543+0.00045151i,0.0001801-0.00049397i,-0.00050328-0.00096796i,-5.4277e-05-0.0010108i,0.00088285-0.0010842i,0.0010394-0.00080287i,0.00027626-0.00065816i,-7.6639e-05-0.00030768i
