0.00165+0.00074835i,0.00032325-0.0019661i,-0.00068943-0.0045949i,-0.0012069-0.0046674i,-0.0016526-0.0022645i,-0.002092+0.00053658i,-0.0010366+0.0019386i,0.00048369+0.0017442i,0.0012532+0.00040588i,0.0011504-0.00044387i,-0.00053087-0.00055464i,-0.0011483-0.0002778i,-0.00024342-0.00033169i,0.00023268-0.00043614i,0.00061773+0.00030589i,0.00075333+0.00052695i,0.00048142+0.00048958i,-0.0001911+0.0010679i,-0.00073751+0.0015843i,-0.00046907+0.00093095i,0.00030605-0.00013394i,0.00037959-0.00016819i,-0.00036956-0.00031571i
-0.00017288-0.0032397i,0.00047591-0.0029229i,0.00015525-0.0020919i,-0.00013758-0.00089974i,-0.00071584-0.00027557i,-0.00082075-0.00023045i,-0.00073973-0.00050728i,-0.00067996-0.00020374i,-0.00096003-0.00028256i,-0.00095279+0.00040453i,-0.00052027+0.0011061i,-0.00026309+0.00077731i,0.00055821+0.00057515i,0.0006114+0.0013084i,0.00020871+0.0013142i,0.00073763+0.00041872i,1.0979e-05-0.00036717i,-0.00086177-7.8102e-05i,-7.9079e-05+0.00076937i,0.00085547+0.0008168i,0.00077218+0.000198i,0.0001977+0.00023372i,1.5586e-05+0.0001032i
-0.001525+0.00068916i,-0.00098518+7.6307e-05i,-0.00044631-4.2726e-05i,-5.5937e-05-8.7935e-05i,5.8057e-05-0.00029332i,0.00036013-0.00028086i,0.00060942-0.00020361i,0.00058311-0.00049875i,8.5477e-05-0.00016423i,-0.00052411+0.00045562i,-0.00018038+0.00065497i,0.00015254+0.0006231i,0.00024421+0.00013343i,0.00040857+0.00016677i,0.00024271+0.00068631i,-0.00021139+0.0004708i,-0.00068294-7.3377e-05i,-0.00022034-1.6553e-05i,0.00058985+0.00019352i,0.00054231+0.00010581i,0.00098492-0.00017139i,-1.8177e-05+5.5412e-05i,-0.0011758-7.0504e-06i
0.0015991-0.00017888i,0.0013524+0.00034341i,0.00090677+7.0446e-07i,-0.00023729-0.0012765i,-0.0012645-0.00081197i,-0.0012192-0.00019244i,-0.0007057-0.00078097i,-0.00017599-0.0011206i,0.00037698-0.00070812i,-0.00019678-0.00016689i,-0.00010075+0.0002845i,0.0001554+0.001015i,-0.00041451+0.0009562i,-0.00073967+0.00030619i,-0.00098018-8.19e-05i,-0.00041409-0.00027633i,0.00019523+4.2376e-05i,-0.00046275+0.00047277i,-0.00044839+0.00046225i,0.0001017+0.00037388i,0.00025719-8.0069e-05i,0.00061796-0.00039528i,0.00026676+0.00037456i
0.0018193+0.00051621i,0.0012099+0.00034826i,0.0010274+0.00025596i,0.00026879-0.001165i,-0.00030344-0.0020518i,-0.00054362-0.0016976i,-0.00048043-0.0011892i,-0.0006495-0.00085592i,-0.0011735-0.0010212i,-0.00034585-0.00054516i,-0.00021099+0.00026838i,-0.00027839-7.5885e-05i,0.00038378-0.00038741i,0.00026195-3.565e-05i,-0.00065994-0.00060755i,-0.00067261-0.00057931i,-4.6746e-05-8.2954e-05i,0.00063062+0.00022342i,0.00075106-0.00018738i,0.00023117-0.00075319i,-0.00058057-0.00034161i,-0.00060225-0.00014951i,-0.00038909-0.00015916i
-0.00062754+0.0020998i,0.00026718+0.0019485i,0.0013531+0.00096753i,0.0012983+0.00025842i,0.002047-8.1352e-05i,0.0021027-0.00043512i,0.0008055-0.00070865i,0.00038908-0.00064992i,0.00021733-0.00055694i,-9.9585e-05-7.3165e-05i,0.0001016+0.00063003i,0.0007707+0.00053787i,0.00040398-0.00053934i,0.00033953-0.000899i,0.00033609-0.00097346i,0.00025558-0.00045751i,0.00049914+0.00062049i,-4.5771e-05+0.00082137i,-0.000657+0.00033983i,-0.00051017+5.482e-05i,-0.00027932-0.00010649i,7.2718e-06-0.00059235i,-0.00031533-0.0002534i
0.00015297+0.00029993i,-0.00013595+0.00041678i,-0.00030346-0.00029611i,-0.00092883-0.00030263i,-0.0015492-0.00086297i,-0.00096604-0.0014487i,-0.00033156-0.0012258i,-0.00052497-0.00090868i,-0.00018277-0.0010435i,0.00064296-0.00046539i,0.001106+0.00036209i,0.00055899+7.7212e-06i,-2.9472e-05-0.00054864i,8.5477e-05-0.00010505i,2.1104e-06+0.00032925i,0.00039489+0.00036489i,0.0011537+0.0004642i,0.00081812+0.00035682i,8.5904e-05-0.00045519i,9.7863e-05-0.00086662i,-0.00023649-0.00088075i,-0.00060276-0.00064938i,-0.00057128-0.00062322i
-0.00029386-0.00025232i,-0.00042923-0.00075492i,-0.00080434-0.00044457i,-0.00011906+0.00026067i,0.0013192+0.00018022i,0.00081314-0.00063286i,0.00030741-0.0013739i,0.00083417-0.0013774i,0.00074379-0.00086338i,0.00059939-0.00023118i,0.00044514-0.00012048i,0.00054574+0.00018213i,0.00059918+0.00081669i,4.6158e-06+0.00024636i,-0.0004684-0.00029905i,7.8222e-06-0.00018946i,0.0011454-0.0001655i,0.00059266-0.00064586i,7.8256e-05-0.0010008i,-0.00011159-0.00030901i,-0.000602+0.00052649i,-0.0004015+0.00060671i,0.00029178+0.00064485i
0.00051398-0.00031958i,0.001278+9.407e-05i,0.00037894-5.3531e-06i,0.0004597+0.00027149i,-0.00034979+0.00046326i,-0.00078279-0.00029241i,4.8885e-05-0.00023055i,0.00021654-0.00033482i,-0.00019511-0.00079244i,-0.00034034-0.00057676i,-0.00021254+0.00024084i,9.5435e-05+0.00031148i,-0.00030822+0.00070527i,-0.00077437+0.0012609i,-1.1913e-05+0.00049395i,0.00047463+0.00042831i,0.00041442+0.00063992i,0.00031121+5.6912e-05i,7.6365e-05+9.6031e-05i,3.1798e-05+0.00065391i,3.4413e-05+0.00033679i,0.00014844-0.00046024i,0.00041407-0.00036283i
-0.0016245-0.0013266i,-0.0015674-0.0017468i,-0.0016853-0.0021665i,-0.0012277-0.001752i,-0.00055694-0.00091249i,-0.00061873-0.0010708i,-0.00015118-0.0011063i,0.00014093-0.0003405i,0.00013009+0.0002273i,1.3901e-05-0.0001195i,0.00011146-5.8484e-05i,-0.0001937+0.00038037i,-0.00026433+0.00046874i,0.00029511+0.00024479i,6.2001e-05+0.00011722i,-0.00018685-0.00024921i,0.00052795-0.0002059i,0.00059488+0.00047449i,5.9131e-05+0.00080614i,0.00026883+0.00062774i,0.00021077+0.00024705i,-0.0005483-0.00043944i,-0.00054481-0.00083005i
-0.00069305+0.00034825i,-0.0012991+0.0005175i,0.00012192-0.00018626i,0.0010217-0.00060798i,0.00016282-0.0009182i,-0.00066111-0.0008717i,-0.0006035-0.00052903i,-0.00057553+9.72e-05i,-0.00032148+0.00039065i,0.00040063+0.0006977i,0.00061772+3.573e-07i,0.00067298-0.0004888i,-0.00012696-0.00049293i,-0.00098481-0.00099319i,-0.00029045-0.00092743i,0.00023231-0.00032541i,0.00025515-6.73e-05i,0.00071433+6.2561e-05i,0.00092066-0.0002137i,0.0010757-0.00095576i,0.00066618-0.0011244i,-0.00047854-0.00050944i,-0.00053979+0.00016043i
