0.001197+0.0014296i,0.0014049-0.00098258i,0.00083761-0.0019498i,-0.00010334-0.0021851i,-0.00065373-0.00093541i,-0.001934+0.00093578i,-0.0022044+0.0014131i,-0.0012767+0.00091858i,0.00011779+0.00065262i,0.0011132+0.00040985i,0.00086844+8.2592e-06i,0.00030853-0.00045099i,-0.00046385-0.00078068i,-0.00057502-0.00083947i,0.00055954-0.00087831i,0.00034564-0.00069383i,-0.0002595-0.00015811i,-0.00013555+0.00012381i,-6.8163e-05+0.00052525i,-0.00037165+0.00070432i,-0.0003214-0.00011595i,-0.00032435-0.00039726i,-0.00022253-8.8746e-05i
0.00096113-0.0013129i,0.00062056-0.00088425i,0.0010101-0.00075963i,0.00025752-0.00073148i,-0.0010308+0.00018088i,-0.00069851+0.0012302i,0.00012987+0.00088244i,-0.00074782+0.00084566i,-0.0018151+0.00068338i,-0.0011677+0.00039964i,-0.00022042+0.00089533i,-0.00031478+0.00038002i,-0.00037167-1.459e-05i,3.134e-06+0.000328i,-0.00037913+3.5718e-05i,-0.00086666+0.00030827i,-0.00066906+0.00062013i,-0.00043643-8.6723e-05i,6.5139e-05-0.0004566i,0.00024183-0.00034298i,0.00034146-0.00029274i,0.00045826-2.8396e-05i,9.5148e-05+1.2911e-05i
0.00043524-9.1332e-05i,0.0003225+0.0010193i,0.00017212+0.00077014i,-0.00033512+0.00060396i,0.00028309+0.001038i,0.0014746+0.0013362i,0.00031276+0.0006212i,-0.0011427-0.0005939i,-0.00083825-0.0010712i,-0.00035127-0.0010722i,0.00010345-0.0002736i,-0.00038747+0.00062431i,-0.00055137+0.00024524i,-0.0004102+8.4939e-05i,-0.00062219+0.00016621i,9.4522e-05-6.1031e-05i,0.00086854+0.00057696i,0.001007+0.00082118i,0.0010892-3.8021e-05i,0.0014841-0.00017925i,0.0014559+0.0001118i,0.00069036-0.00017071i,0.00053533-1.9229e-05i
-0.0016878-8.8761e-05i,-0.0025374+0.00050307i,-0.0024488+0.0011315i,-0.0022266+0.001445i,-0.0015386+0.002187i,-0.00099832+0.0022401i,-0.001052+0.0012031i,-0.0002817+0.00096402i,-3.7303e-05+0.0010858i,-0.0003363+0.0010441i,0.00040197+0.00051383i,0.0012753-0.0003055i,0.0006879-0.00070786i,-0.00055247-0.00089278i,-0.00052117-0.0006399i,0.00027877-2.2831e-05i,0.00069397+0.00082217i,0.0002579+0.0013617i,-0.00044528+0.0010361i,-0.00052718+0.00054498i,0.0001822-6.9027e-05i,0.00062831-0.00042532i,0.00023901-0.00046964i
-0.0010234+9.1987e-05i,-0.00047872-0.00012366i,0.0012288+0.00053129i,0.0013826+0.0011224i,0.00036028+0.00042974i,-0.0012259+0.00021996i,-0.0019665+0.00040655i,-0.0011519-0.00029352i,-0.00070588-0.00042142i,-0.0010083+0.00025211i,-0.00059139+0.0011248i,0.00023484+0.00011198i,8.4442e-06-0.0010364i,5.7815e-07-0.00013907i,7.4825e-05+0.00056517i,-0.00039719+0.00081058i,-0.0011024+0.00086901i,-0.00084127+0.00044639i,-0.00017321+0.00050745i,4.3488e-05+0.00058208i,-0.00033945+0.00038279i,-0.00064175-0.00017083i,-0.00018207-0.00053597i
-0.0037583+0.00046775i,-0.0028109-4.0358e-05i,-0.0015894+0.00093644i,-0.00092744+0.0024567i,-0.00012402+0.0032313i,4.8369e-05+0.0022731i,-4.5141e-05+0.00095027i,-0.0010136+0.0013952i,-0.0014793+0.0016599i,-0.00089498+0.00072559i,-0.0004832+0.00040088i,0.00015149-8.2553e-05i,0.00030321-0.00060515i,0.00047429-0.00066542i,-7.3274e-05-0.00023107i,-0.0010106+0.00019186i,-0.0007389+0.00028233i,3.0272e-05+0.00029406i,0.00045739+0.00032804i,0.00073341+9.991e-05i,0.00056602-0.00030746i,0.00032203-0.00020621i,1.3582e-05+0.00032204i
-0.0033864-0.0015114i,-0.0024195-0.00019119i,-0.0025061+0.0020641i,-0.0013654+0.0030285i,0.00016266+0.0032024i,0.00016484+0.0020391i,-0.00048865+0.00081774i,-0.00087647+0.00034738i,-0.001036-5.9289e-05i,-0.0005327-0.00017628i,0.00039713+0.00014475i,0.00086925+0.00015123i,0.00056849-0.00011711i,-0.00098222-0.00050406i,-0.001163-0.00046003i,2.8862e-05+0.00054979i,-0.00032193+0.0014183i,-0.00040593+0.000875i,0.00049787+6.3611e-05i,0.0004151-0.00023271i,-0.00041553-0.00036704i,-0.0011213-0.00033989i,-0.0010974+6.2284e-05i
0.0009093-0.0026944i,0.00082406-0.0022612i,-0.00080867-0.0012186i,-0.0017665-0.00010482i,-0.0013222+0.00074754i,-0.0015712+0.00061804i,-0.0017821+0.0012256i,-0.001652+0.0016373i,-0.0018683+0.00092683i,-0.0014002+0.00063396i,-0.00039739+0.00065619i,0.00026442+0.00059275i,3.951e-05+0.00017693i,-0.00034091+0.00013862i,-0.00057615+0.00014516i,-0.0002587-9.9466e-05i,0.0001677+0.00059631i,6.9496e-05+0.00070308i,6.7314e-05-0.00031749i,5.3036e-05-0.0010397i,9.6765e-05-0.0012004i,0.00058636-0.0010758i,0.00092336-0.0006629i
0.001668-0.0013919i,0.0012912-0.0016869i,0.0007294-0.0021071i,-0.00024539-0.0023845i,-0.0012449-0.0013867i,-0.00045391+0.00013219i,0.00019811+0.00022491i,-0.00072045+0.00058555i,-0.0010707+0.00089159i,-0.00057615+0.00031644i,0.00015333+0.0008062i,0.00058872+0.0010573i,0.00085989+0.00020709i,0.0010023-0.00042489i,0.00084845-0.00049839i,0.00058837-0.00039827i,0.00057863-0.00055337i,0.00056922+0.00024169i,0.00043955+0.00032764i,0.0002228-6.765e-05i,-0.00016398+0.00058227i,-0.0002325+0.00078698i,0.00058027+0.0014624i
-0.0023905-4.7185e-05i,-0.0022057+0.00065458i,-0.0018447+0.0018868i,-0.00073084+0.0018825i,0.00078789+0.0014219i,0.00093606+0.001247i,-0.00025465+0.00090187i,-0.00081927+0.00087457i,-0.0015579+0.00091482i,-0.0010507+0.0012773i,0.00026431+0.0013691i,0.00016574+0.00093139i,-0.00041866+9.6196e-06i,-0.0005898-0.00061264i,-0.00049742+0.00044056i,-0.00021181+0.00088569i,7.7192e-05+0.0005711i,-0.00055168+0.0010605i,-0.00067512+0.00059488i,0.00045006-0.00011281i,0.000704-0.00033939i,0.00044405-0.00091443i,0.00045182-0.00080921i
-0.0015126-5.6863e-05i,-0.0013472-0.00022645i,-0.0021469+0.0012381i,-0.0027355+0.0023655i,-0.0019168+0.0024813i,-0.0009867+0.0019022i,-0.0012875+0.0010277i,-0.0014825-0.00051795i,-0.001217-0.0006571i,-0.00089+0.00068311i,-0.00030134+0.0010931i,0.00029075+0.00052793i,0.00018398-0.00025979i,0.000335-0.00074949i,-0.00034818-0.00048029i,-0.0006361-0.00026472i,1.3926e-05+1.5959e-05i,0.00033947+0.00024738i,5.5037e-05-0.00035768i,-0.00053431-0.00043113i,-0.0010549+5.5818e-05i,-0.00071927-0.00024606i,0.00058419-0.00053596i
