0.00020642+0.00070023i,-0.0014834-0.00079654i,-0.0017394-0.0015979i,-0.0001207-0.0014293i,-1.69e-05-0.00059317i,-0.0012986+0.0015398i,-0.00049815+0.002282i,0.0010358+0.0012459i,0.0012908+0.00055103i,0.0014815+4.9478e-05i,0.001416-6.154e-05i,4.2738e-05-0.00031191i,-0.0010498-0.00013774i,-0.00082151+4.4493e-05i,-0.00013644-0.00051922i,0.00057502-5.6939e-05i,-0.00017957+0.00058111i,-0.0010656+2.4853e-05i,-0.00087815-0.00050704i,-0.0002822-0.00041678i,-9.0429e-06-0.00062169i,0.00052033-0.00080459i,0.00074048-0.00027447i
0.0026404-0.0004921i,0.0020244-0.00094095i,0.0029914-0.0015353i,0.0025579-0.0023456i,0.0004828-0.001555i,-0.0008403+0.00016008i,0.00011584+0.0010773i,0.0013323+0.00072319i,0.00088451+7.6358e-05i,-0.00015832+0.00011478i,-0.00019241+0.00015891i,0.00048488-8.1878e-05i,-0.00019133+0.00040951i,-0.00039688+0.00078687i,4.7955e-05+0.00059069i,2.6174e-05+0.00071518i,0.0001243+0.00068851i,-0.00013856+0.00022328i,-0.00020453+0.00023136i,0.00014398+2.7326e-05i,0.00020759-0.00053134i,0.00012157-0.00076505i,0.0003554-0.00092674i
-0.00046389-0.00016699i,-0.0017414+0.00011519i,-0.0014677-0.00076493i,-0.00026902-0.0008016i,-0.00049386-0.00012042i,0.00028206-1.2907e-05i,0.0014022+0.00034419i,0.0014006+0.00097246i,0.001324+0.00096005i,0.0013403+0.00077273i,0.0010606+0.00055098i,0.00056157+1.2516e-05i,-1.0338e-05-0.00031438i,8.925e-05+0.00043165i,-8.6988e-05+0.00013619i,-0.00025308+0.00013459i,-0.00022675+0.00039513i,-4.3942e-05+0.00052625i,-0.00066405+0.00078217i,-0.0011342+0.00018304i,-0.00051479-0.00021295i,-0.00025498-0.0001148i,-0.00046441-0.00047454i
0.001624-0.00066942i,0.0020583-0.001181i,0.0017908-0.0024049i,0.00090038-0.0019712i,0.00013107-0.0010887i,-0.00031547-0.00019102i,-2.8372e-05+0.00085698i,0.00046469+0.0008408i,-0.00014053+0.00086269i,-0.00053769-8.6784e-05i,-0.00030119-0.00045044i,-6.7325e-05+0.00053821i,8.763e-05+0.00021829i,3.8143e-05-9.0918e-05i,-0.0003109-0.00026475i,-0.00013827-0.0004211i,0.0002674-0.00036232i,-2.435e-05-8.3848e-05i,-0.00035518-1.5284e-05i,-8.1538e-05+4.0704e-05i,-0.00035084-3.7821e-05i,-0.00048124-0.00017726i,1.259e-05+0.00025567i
2.1196e-05+0.0029196i,0.0004454+0.0031889i,0.00079164+0.0028991i,0.00079222+0.0013124i,0.00052801-0.00020079i,0.00086418+0.00042415i,0.00079532+0.0014562i,0.0015505+0.0012829i,0.0019786+0.0009407i,0.00086776+0.00013844i,0.00047542-0.00094709i,0.00064183-0.00053267i,0.00014629+0.0005863i,-8.9237e-05+0.00042974i,-0.00084636-0.00049352i,-0.00094626-0.00035681i,-0.00032976+0.00063223i,-0.00054376+0.00095834i,-0.0011518+0.00023554i,-0.000922-0.0001823i,-0.00027692-0.00033846i,-7.5757e-05-0.00068436i,1.9809e-05-0.00029676i
-0.0010489+0.001077i,-0.001245+0.0016042i,-0.00047227+0.0011774i,0.00055248+0.00021911i,0.0014044+0.00056938i,0.0015464+0.0011662i,0.00094403+0.0010557i,0.00045458+0.001152i,0.00044182+0.00046406i,0.00038804-8.5756e-05i,0.00044369+0.00024054i,0.0003708+0.00076992i,-0.00023731+0.0006312i,-0.00068307+0.00017104i,-0.0006438-0.00020386i,-0.00038348+6.6419e-05i,-0.00079494-4.1973e-05i,-0.0012902+0.00022742i,-0.00095925+0.0013137i,-3.5995e-05+0.0011348i,-0.00023083+0.00070961i,-0.00066056+3.2529e-05i,0.00014285-0.00029192i
-0.00068406+3.7027e-05i,-0.0010792+0.0011242i,-0.0015749+0.00081976i,-0.0012987+0.00010215i,-0.00055834-0.00027123i,0.00053513+0.00033253i,0.0012265+0.0012589i,0.0011024+0.00088068i,0.0010576+0.00088898i,0.00061324+0.00097216i,0.00023146-0.00021364i,1.527e-05-0.00055919i,-0.00034918-8.6145e-06i,-0.00141+0.00056027i,-0.0019202+0.00013081i,-0.0006923-0.00023723i,-0.00025229+0.00022706i,-0.00025269+0.00023672i,-0.00028796+0.00071021i,-0.00045063+0.00061189i,0.00015156-0.00019745i,0.0003882+0.00029483i,0.00026382+0.0006959i
0.00058712+0.0019534i,-0.0001022+0.0011616i,-0.00053954+0.00052519i,0.0002551-5.283e-05i,0.00021757+0.00079814i,-0.00014798+0.0014928i,0.00068774+0.000791i,0.0010531+0.00031949i,0.00085082-0.00024336i,0.0013045-0.00050136i,0.0011484-0.00036131i,0.00070514-0.00025363i,5.1933e-05-7.2156e-05i,-0.00099813+0.0003262i,-0.00080633+0.00071424i,-0.00041554+0.00017658i,-5.1267e-05-0.00022012i,0.00019571+1.3816e-05i,0.00048792+0.00021539i,0.00068419+0.00054326i,0.00067109+0.00073595i,0.00034177+0.00021145i,-3.8966e-05-0.00030976i
-0.00089811+0.00041451i,-0.000461-0.00014019i,-0.00052444-0.0011313i,5.0268e-05-0.0015583i,0.00016721-0.00040768i,0.00035761-0.00015397i,0.0011187+7.1097e-05i,0.00076008+0.00058324i,-1.1525e-05-3.6941e-05i,-0.00066338-0.00054221i,-0.00049251-0.0001809i,-0.00029802-0.00050636i,-0.00068134-0.00019544i,-0.00052663+0.00020278i,0.0005894-7.3154e-05i,0.0009125+0.00022017i,0.00013161+0.00019914i,-0.00076617-0.00041162i,-0.0010411-8.3457e-05i,2.6041e-05+0.00056691i,0.00080685+0.0005916i,0.0002047+0.00055193i,-0.00074194+0.00012599i
-0.00091412+0.0017076i,0.0007406+0.0020394i,0.0010723+0.0020908i,0.0010996+0.0011489i,0.00050698+0.0012749i,1.214e-05+0.0018025i,0.00059228+0.0021635i,0.0011661+0.0014066i,0.0011798-0.00048842i,0.0011689-0.00094952i,0.00075855-0.00057051i,4.1521e-05-0.00058501i,1.2091e-05-7.1781e-05i,-0.00081095-1.3052e-05i,-0.00096475-0.00044523i,-0.00084225+7.7924e-05i,-0.00091836+0.00016374i,-0.00063987+3.7982e-05i,-0.00023756+0.00019719i,8.9799e-05+0.00025667i,-0.00012036-0.00021165i,-0.00015674-0.00054017i,-0.00011976-0.0003964i
-0.00075054+0.0015312i,0.00016946+0.00097637i,0.0010665+0.00069127i,0.00061192-0.00033795i,0.00031907-0.000411i,0.00095424+0.00049248i,0.00078349+0.00090292i,0.0002419+0.00072804i,0.00072685+0.00047286i,0.0012212+0.00038686i,0.00083377-4.6569e-05i,0.00028647-4.4944e-05i,-0.00031087+0.00051875i,-0.00027751+0.00068172i,0.00043893+0.00049506i,0.00038452-0.00024568i,0.00020598-0.00063096i,0.00047803-0.00016337i,0.0006119+0.00013762i,0.0004615+0.00054912i,-0.00011909+0.00011294i,0.00025779-0.00038038i,0.00082099+0.00034672i
0.0012174-0.00054457i,0.0022328-0.00071435i,0.0013616-0.00051194i,-0.00050881-0.00051588i,-0.0010985-9.6295e-05i,-0.0012575+0.00094216i,-7.7052e-05+0.0014995i,0.00081441+0.0014191i,0.0010318+0.00092671i,0.0010075-6.4067e-05i,0.00022576+0.00026836i,0.00020689+0.0013591i,0.00054278+0.00096082i,0.00054546+0.00025026i,0.00066139-0.00015441i,0.00026627+0.00060461i,-0.00047863+0.0008864i,-0.00048752+0.00020921i,-0.00048428-2.1317e-05i,-4.0376e-05+0.00016043i,0.00064278+0.00025922i,0.0001783-0.00084359i,-0.00062624-0.0014877i
-0.0019298-0.0020148i,-0.002205-0.0016199i,-0.002295-0.0013196i,-0.0020882-0.0013661i,-0.00092966+6.0944e-05i,-0.00027054+0.0019996i,-0.00064113+0.001679i,-0.00052903+0.00038784i,-0.00054454+0.00018279i,-0.00062303+0.00010989i,-0.00062337+0.00016207i,-0.00064741-0.00021119i,-0.00059359-0.0010888i,-0.00019943-0.0013743i,-0.00047915-0.00060384i,-0.00052264-0.00049779i,-0.0004555-0.0012346i,-0.00070323-0.00105i,-0.00086074-1.5568e-05i,-0.000245+0.00049012i,0.00072829-0.00026651i,0.0011362-7.8291e-05i,0.00092955+0.00056889i
-4.8214e-05+0.0015463i,0.00047214+0.0010545i,0.0010437-5.7228e-05i,0.00088739-0.00044635i,0.00095067+7.0251e-05i,0.0013885+0.0011869i,0.00093243+0.0016609i,0.00067039+0.0010795i,0.0013643-0.00015354i,0.0010392-0.00052296i,-0.00036092-2.9018e-05i,-0.00027411+2.3438e-05i,-9.5514e-05-0.00021551i,-0.00028965-0.0002774i,-6.8748e-05-0.00035971i,0.00016953-0.00039958i,2.942e-05-9.228e-05i,-0.00038502+7.7878e-05i,-0.00079592-2.0351e-05i,-8.6035e-05-0.00032828i,0.00026404-0.00042178i,1.3043e-05+0.00022886i,0.00065655+0.00036454i
-0.00048176+0.0016907i,-0.00010929+0.0010225i,0.0011936+0.00089809i,0.0012465+0.0002534i,0.00072608-0.00032445i,0.00076769+0.0010954i,0.0010247+0.0024446i,0.0013127+0.0015934i,0.00090233+0.000767i,0.00049672+0.00087616i,0.00013654+0.00099144i,-0.00032535+0.00013431i,-0.00021985-0.00052253i,0.00030965-0.00050961i,0.0007717-0.00066955i,0.00046399+8.4027e-05i,-0.00014652-4.5087e-05i,-0.00073793-0.00047948i,-0.00071955-0.00070647i,-2.992e-05-0.00044174i,-1.5169e-06+0.00014116i,6.2035e-05-0.00055134i,0.00034714-0.00079521i
0.0010556+0.00084659i,-0.00014918+0.0018539i,-0.00094626+0.00038771i,-0.0011017-0.00035185i,-0.0012675-0.00060378i,-0.00078702+0.00031621i,-2.2371e-05+0.0014284i,0.00084411+0.00089362i,0.0015841+4.1099e-05i,0.00090108-0.00031218i,-2.224e-05-0.0001369i,-0.00072079-0.00019065i,-0.00082844-0.00078596i,-9.7263e-05-0.001034i,-0.00048833-0.00091871i,-0.0011907-0.00028421i,-0.0010135-0.00070044i,-0.00065848-0.0012287i,-0.00035117-0.000604i,0.00037271-0.00021197i,0.00061961+0.0002446i,1.5752e-06+0.00057989i,-0.00057214+0.00031178i
-0.0011059-0.00039802i,-0.0024166+0.00016509i,-0.0024102-0.00071816i,-0.0023406-0.0011975i,-0.00092361-0.00027569i,0.00034512+0.00010844i,0.001318-0.00038234i,0.0020804+0.00017955i,0.00084927+0.00029809i,0.00026296+0.0002687i,0.00012144+0.00022588i,-0.0002696-0.00077192i,0.00051944-3.9687e-05i,0.00084471+0.00041198i,0.0005321-0.00029388i,0.00015251-0.00040962i,-0.0001707-0.0006699i,-0.00016002-0.00055567i,-0.00012444-0.00030928i,2.9786e-06-0.00028124i,-0.0004408-9.1889e-05i,-0.00052998+8.9784e-05i,1.897e-05-2.9276e-05i
0.00074606+0.0002834i,0.0018268-0.00049839i,0.0035073+0.00022356i,0.0028853+0.0011612i,0.0017092+0.00037875i,0.002457-0.00022296i,0.0022644+0.00042278i,0.0013445+0.00073066i,0.0012703+0.00010426i,0.00090832-0.00074438i,0.00053485-0.0010112i,-3.2947e-06-0.00090175i,-0.00075689-0.00049565i,-0.00071532-0.00014715i,4.5453e-05+0.00019708i,0.00041952+4.9475e-05i,0.00013487-0.0003382i,-0.00036189-0.00026813i,0.00033594+0.00012172i,0.0014899+7.6891e-05i,0.00097738-1.9643e-05i,-0.00030306+0.00015292i,-0.00046657+0.00041247i
0.0010769+0.0027215i,0.0011193+0.0017722i,0.001789+0.0013257i,0.001812+0.00047692i,0.00072958-0.00023261i,0.00041805+0.00037527i,0.00078251+0.00085409i,0.0010783+0.00082445i,0.00091453+0.00028065i,0.00056852-0.00028064i,6.6641e-05-7.0576e-05i,-0.00093443-5.9782e-05i,-0.0014856-0.00032136i,-0.00079671-1.1178e-05i,0.00027612+8.4857e-05i,0.00052877-0.00034907i,-0.00049571-0.000581i,-0.00050269-0.00080967i,0.00019737-0.00045505i,0.00048669-0.00017464i,0.00010437-0.00038094i,0.00015305-0.00095947i,0.00076771-0.0004189i
6.8737e-05+0.0020416i,0.00051233+0.0015728i,0.001373+0.00071716i,0.0017244-0.00025112i,0.0019196-0.0011976i,0.0017567-0.00034166i,0.0013467+0.00073667i,0.0010013+0.00033846i,0.00078071-0.00016135i,0.0013208+6.0025e-05i,0.0010493-6.4529e-05i,-0.00034259-0.00028552i,-0.00062585-0.00049091i,-0.00023373-0.00056635i,-0.00016297-5.8479e-05i,-0.00043722-5.9657e-05i,-0.00045509-2.1907e-05i,-0.00021225+0.00025634i,-1.3128e-05+2.1689e-05i,-8.3797e-05+3.2727e-05i,0.00028593+0.00037299i,0.00095012-1.0581e-05i,0.0010343+0.00016574i
-0.0017626+0.001028i,-0.0017+0.0010665i,-0.00069649+0.0018555i,-0.00011143+0.0013042i,0.00019059+0.0012216i,0.00081017+0.0017352i,0.0015565+0.0017671i,0.0010641+0.0015268i,0.00067845+0.00085992i,0.0010199+0.0003815i,0.00048403+2.675e-05i,-0.00026126-0.0011982i,-0.00014495-0.0016065i,-0.00030074-0.0010528i,-0.00050539-0.00081431i,-0.00028738-0.00032089i,-0.00023145-0.00041477i,-0.00049545-6.6662e-05i,-0.0010318+0.00040627i,-0.0010893+8.0799e-05i,-0.0010584+0.00016425i,-0.00061219+0.00011704i,0.00021235+0.00043203i
-0.0033073+0.001973i,-0.0023112+0.0014035i,-0.0013014+0.0020805i,-9.7591e-06+0.0020351i,0.0014815+0.0016142i,0.0014766+0.0014728i,0.0013612+0.001287i,0.0019366+0.00099758i,0.0016401+0.00073659i,0.0014833+0.001083i,0.0014608+0.00071426i,0.00082771-0.00050461i,0.00035838-0.0012268i,0.00010379-0.00071801i,-0.00095153-0.0001111i,-0.0014942-0.00041989i,-0.0014397-0.00027758i,-0.0007191+4.5329e-06i,0.00034291-0.00027774i,0.00057069-0.00026723i,0.00044168-0.00028404i,0.00036726+0.00017935i,0.00057909+0.00037886i
0.0010274+0.0013247i,0.00043642+0.0011423i,0.00051375+0.00074285i,0.00028243+0.0002765i,1.4094e-05+0.00037779i,1.8212e-05+0.0010296i,0.0012746+0.0014935i,0.0025183+0.0010083i,0.0021906+0.00027681i,0.0013824-0.00040448i,0.0012335-0.00062502i,0.00054951-0.00021777i,-0.00073493-0.00051471i,-0.0012324-0.00072446i,-0.00073858-0.00044373i,9.7091e-05-0.00020186i,0.00044187-2.8729e-05i,6.0982e-07+0.00020878i,0.0002102+0.00065587i,0.00090514+0.00060475i,0.00048023+0.00041006i,-0.0002976-0.00046923i,-0.00018072-0.00084662i
-0.0013571-0.00035906i,-0.0011688-0.00013677i,-0.0004738+0.00043893i,-0.00014831-5.249e-05i,0.00018304+0.00030544i,0.00068869+0.0014357i,0.00089573+0.0024832i,0.00045656+0.0012226i,3.4973e-05-0.0011031i,0.00048784-0.0011957i,0.00071589-0.00055011i,0.00079442-0.00030591i,0.00045384+0.00030295i,-0.00070159+0.00036318i,-0.0012545-0.00030981i,-0.00081086-0.00055787i,-0.0010186-0.00024122i,-0.001017-0.00025462i,0.00017467-4.4502e-05i,0.00029847+0.00093457i,-0.00017631+0.00082293i,0.00041659+0.00010661i,0.00057166+0.00046097i
0.00061234+0.00086213i,0.00037065-2.9413e-05i,-0.00044602-0.0010372i,-0.00073769-0.0012643i,-0.0001184-0.00085757i,4.7778e-05-0.00014124i,0.00026313+0.0009156i,0.00082423+0.0010641i,0.00087536+0.00087587i,0.00065574+0.00049952i,0.00054575-6.0419e-05i,-9.2135e-05+0.00040961i,-0.00025843+0.00055174i,-0.00064009+0.00055563i,-0.0011979+0.00025131i,-0.00055411-0.0003012i,-0.00072363-0.00085606i,-0.00095164-0.00036189i,0.00010227-2.3341e-06i,0.00069234+7.6693e-05i,0.00039005+0.000247i,-0.00052253-0.00010078i,-0.0012576-0.00085992i
-0.0011051-0.00097841i,-0.0012566-0.0010829i,-0.00074311-0.0019011i,-0.00059453-0.0012901i,-0.0011191+2.5918e-05i,-0.00097155+0.001095i,0.00014612+0.0016482i,0.001531+0.00088541i,0.0011198-0.00035515i,0.00055001-0.00026942i,0.00047578+0.00044596i,0.00070669+0.00056536i,0.00068072+0.00028983i,-4.9151e-05+7.7908e-05i,0.00044235-0.00022802i,0.0007441-0.00049537i,-0.00068519-0.00025693i,-0.0010988-0.00027529i,-0.00053788-5.8418e-05i,-3.9976e-05+0.00035059i,4.7593e-05+0.00064013i,-0.00047788+0.00022766i,-0.00076416+0.00012005i
0.00042787-0.00079353i,0.00050839-0.0010548i,0.00074929-0.0019929i,-1.3227e-05-0.0011336i,-0.0015005+0.00085916i,-0.0011806+0.0013146i,0.0005912+0.00059066i,0.0013887+0.00053936i,0.00025951+0.0010781i,-0.000557+0.00088472i,-0.00037975+0.0005348i,0.00048639+0.00014318i,0.00096691+0.00030873i,-8.2063e-05+0.00036944i,-0.00039708-0.00013103i,0.00029863-4.6346e-05i,-8.5252e-05-0.0001603i,-0.00076519-0.00017707i,-0.00081972+0.00057328i,-0.00039431+0.00092336i,0.00036449+0.00073813i,0.00045143+0.00074679i,0.00043473+0.00071869i
0.00056095+0.00023508i,0.0021824+0.00058296i,0.0030095+0.0012043i,0.0013268+9.0831e-05i,0.00042438-0.00016699i,0.00086318+0.00032557i,0.00054356+0.0002298i,-0.00015074-4.1145e-05i,-0.00032648+5.121e-05i,-0.00010781+0.00018865i,0.00018544+0.0001736i,0.00035067+0.00025249i,0.0002772-0.00016501i,-0.00043153-0.00032794i,-0.0009045-1.6191e-05i,-0.0013682+8.1008e-05i,-0.0013256-0.00069094i,-0.00021244-0.00081553i,0.00039712-3.0934e-05i,-0.00025252+0.00023147i,-0.00051685+0.00015888i,0.00034267-0.00037935i,0.00074974-0.00054455i
-0.0025499+0.0010366i,-0.0017652+0.0019444i,-0.0022884+0.0036046i,-0.0019285+0.0041353i,-0.00016439+0.0037027i,0.0013112+0.0027844i,0.0016885+0.0014967i,0.0013242+0.0014481i,0.00079404+0.00095547i,0.00041614+0.00022033i,0.0004134+0.00032311i,0.0001464-0.00032425i,-4.6891e-05-0.0014033i,2.8616e-05-0.0014966i,-0.00055634-0.00065657i,-0.0012006-0.00096284i,-0.00091195-0.0013461i,-0.00022741-0.00013188i,6.2993e-05+0.00083651i,0.00023113+0.00095716i,-0.00016746+0.0002032i,-0.00037328-0.00070085i,0.00033002-0.0009295i
-0.0011148-0.00057761i,4.4592e-05-0.0010844i,0.00034334-0.0011953i,-0.00066177-0.00091907i,-0.001156-0.00025957i,-0.00081047+0.00044616i,0.00051351+0.0012055i,0.00067111+0.0013302i,-0.00028135-2.0384e-05i,-0.00015831-0.0005094i,-0.00068346-8.6665e-05i,-0.00081317-0.00039267i,-9.8192e-05-0.00022829i,0.00069681+0.00020562i,0.00097243-4.7664e-05i,-0.00010637-0.00046659i,-0.0009493-0.00054459i,-0.00058806-0.00012283i,-0.00048799-0.00043868i,-0.00037725-0.0014461i,-0.00014371-0.0011488i,0.0002662+0.00012313i,0.0007749+0.0006416i
0.00018009-0.0024368i,-6.6265e-05-0.0031762i,-0.00061495-0.0032585i,-0.0013192-0.0021607i,-0.0012488-0.00065441i,-1.0264e-05+0.0013231i,0.0012129+0.0021761i,0.0010206+0.0013691i,0.00072773-0.00019947i,0.00026365-0.00051222i,-0.00023792+0.00045028i,0.00011057+0.00053158i,0.00037889-2.1033e-06i,5.3451e-05-0.0002655i,-8.8077e-05-0.00024761i,-7.1064e-05-0.00024807i,0.00013697-0.00029726i,0.0006052-0.00036813i,0.00023339-0.00021463i,-0.00034649-1.431e-05i,-0.00014239-0.00018828i,-2.6095e-05-0.00057137i,-0.00026394-0.00044696i
-0.0015502+0.00044753i,-0.0013232+0.00038353i,-0.0014633+0.0015014i,-0.0007418+0.0017448i,2.8742e-05+0.0011288i,0.00023382+0.00084983i,0.00065582+0.0015751i,0.00091778+0.00095066i,0.0012204-3.6714e-05i,0.0011285+0.00037168i,0.0004578+0.00063256i,-5.3207e-06-3.9133e-05i,-0.00015239-0.00068167i,-0.00055843-0.00066969i,-0.0008987-0.00019749i,-0.00043054-9.9703e-05i,-9.7586e-05-0.00037167i,-0.00010208-0.00074656i,0.00015701-0.00045594i,0.00036294-0.00019293i,-9.6158e-05-0.00010831i,3.6782e-05+0.00020938i,0.00044818+0.00072682i
