0.00020642+0.00070023i,-0.0014834-0.00079654i,-0.0017394-0.0015979i,-0.0001207-0.0014293i,-1.69e-05-0.00059317i,-0.0012986+0.0015398i,-0.00049815+0.002282i,0.0010358+0.0012459i,0.0012908+0.00055103i,0.0014815+4.9478e-05i,0.001416-6.154e-05i,4.2738e-05-0.00031191i,-0.0010498-0.00013774i,-0.00082151+4.4493e-05i,-0.00013644-0.00051922i,0.00057502-5.6939e-05i,-0.00017957+0.00058111i,-0.0010656+2.4853e-05i,-0.00087815-0.00050704i,-0.0002822-0.00041678i,-9.0429e-06-0.00062169i,0.00052033-0.00080459i,0.00074048-0.00027447i
-0.0013314-0.0011433i,-0.0016647-0.0016129i,-0.0017783-0.0022718i,-0.00054886-0.0015435i,-3.4364e-05+0.00031424i,0.00032395+0.0022286i,0.00062927+0.0023348i,0.0010109+0.0008758i,0.0010945-0.00035708i,0.0012878-0.00059269i,0.001429-0.00016634i,0.0011146-0.00053724i,0.0012261-0.00098839i,0.00013111-0.00076785i,-0.0012197-0.00027569i,-0.001077-2.3551e-05i,0.00029953-0.00038492i,0.0012238-0.00059078i,0.00088964+6.9835e-06i,7.4828e-05+0.00048933i,-0.00047404+0.00033034i,5.9454e-05+3.6565e-05i,0.00055137-0.00057051i
0.00043105-0.0010816i,0.001177-0.0012147i,0.0010863-0.00047688i,0.0006769-3.6297e-05i,0.00060062+0.00040811i,0.00078751+0.0012865i,0.0011136+0.0013918i,0.0012242+0.0011804i,0.00070451+0.0010983i,0.00036743+0.00047231i,0.00038969-0.00034402i,0.00036266-0.00039799i,0.00046824+0.00022354i,0.00036913+0.00072733i,0.0002799+0.0009532i,0.00011816+0.0013903i,-0.00045173+0.0011864i,-0.00017514+0.00053246i,-0.00012604+0.00042078i,-0.00060156+4.7518e-06i,-0.00016362-0.00033723i,0.00079839-0.00053883i,0.00075378-0.00038764i
0.00051196-6.1878e-05i,0.00064544-0.00012165i,0.0011365+0.0011454i,0.00090361+0.0013604i,0.00017188+0.00029879i,0.00026873+0.00060509i,0.0010082+0.0013246i,0.00093003+0.00084637i,0.00015494+0.00047436i,0.00013733+0.00018702i,-8.5909e-05+0.0004264i,-3.0011e-05+0.00034764i,-5.5603e-05-0.00029513i,-0.00040832-0.00057597i,-1.9225e-05-0.0007069i,0.00043155-0.00072444i,6.0502e-05-0.00043325i,-0.00033102-0.00045668i,0.0002321-0.00072274i,0.00080484-0.00081154i,0.0004715-0.00067015i,5.7857e-05-0.00011222i,-0.00030183+0.00024052i
-0.00069195+0.003354i,-0.00055897+0.003208i,4.077e-05+0.0027329i,0.00022303+0.001376i,0.00078636+0.00037094i,0.0014308+0.00046285i,0.0011676+0.0010558i,0.00083444+0.00084517i,0.00049535-0.00049594i,0.00045616-0.00097384i,0.00071208-0.0012356i,0.00047044-0.0018427i,0.000201-0.0011119i,-0.00038151-0.00022609i,-0.00082373-0.00013504i,-0.00042121+0.00021948i,-0.00074428+0.00023967i,-0.00074293+0.00026222i,-0.00098707+7.7954e-05i,-0.0010285-9.7089e-05i,-0.00069293-0.0002238i,-0.00016632-0.00076488i,0.00077802-0.00049251i
0.00046416-0.0012414i,0.00037761-0.00051547i,5.2483e-05-0.0010909i,-0.00014247-0.0016724i,-0.00061872-0.00055093i,-0.0012367+0.00096604i,0.00011731+0.0014933i,0.0014093+0.0014177i,0.0012542+0.00046231i,0.00044624-0.00045471i,-2.9388e-05+2.0607e-05i,-0.00079059+0.00068122i,-0.00084485+0.00092855i,0.00015996+0.00059526i,0.00035527-0.00046934i,0.00020617-0.0005598i,0.00063166-0.00029852i,0.0002627-0.001172i,-2.9192e-05-0.00079396i,9.4845e-05-0.00013639i,-0.00018875-0.00030812i,-0.00029665-0.00073175i,-1.6174e-05-0.00070323i
-4.5215e-05-0.0012004i,-0.00065399-0.0014093i,-0.0017042-0.0018351i,-0.0015024-0.0012263i,-0.0014641-0.00055866i,-0.00062159+0.00011786i,0.00089858+0.00060298i,0.0011587+0.00019504i,0.00065151-0.00080048i,0.00028451-0.00024509i,0.00080498+0.00048382i,0.001169+0.00011942i,0.00083219-0.0001262i,0.000654+9.9342e-05i,-0.00016825+0.00042028i,-0.0005482+0.00017105i,-8.4612e-05+0.00014334i,-4.8972e-05-3.7e-05i,-0.00035515-0.00034991i,-0.0001723-0.00020041i,0.00019078-0.0005003i,0.00030125-0.00075047i,0.00036204-2.5009e-05i
0.0022175-0.0014141i,0.00050946-0.0033954i,0.0001754-0.0043773i,-0.00050679-0.003043i,-0.00059007-0.0016357i,-0.0002934+0.00029476i,0.00046688+0.0013729i,0.001189+0.00034337i,0.0010571-0.00026028i,0.00043334-0.00012426i,0.00029652-7.9405e-05i,0.00033325+2.6389e-05i,3.8577e-05-0.00030027i,0.00029262-0.00026537i,0.0004649-0.00024981i,-0.00018097-0.00016681i,-0.00083701-2.3824e-05i,-0.00072836-0.00038516i,-0.00044266-0.0001195i,0.00026584+0.00036993i,0.00073007+0.0003982i,0.00015568+0.00017338i,-0.00053205-0.00011564i
-0.00018716+0.00039295i,-0.00078192-0.00011807i,-0.0014833+0.00079842i,-0.0002849+0.00087457i,0.0010693+0.00057607i,0.001541+0.00086082i,0.0012067+0.00059139i,0.0012635+0.00070922i,0.0010773+0.00080203i,0.00025758+0.00047147i,0.0001171-0.00034625i,0.00064278-0.0008519i,0.0009352-0.0011968i,0.0002595-0.0010289i,-0.0004182+4.6243e-05i,-5.5206e-05-0.00015696i,0.00036984-0.00069726i,0.00053487-0.00059006i,0.00014376-0.00013016i,-0.000393+0.00056383i,0.00010028+0.00095335i,5.8804e-05+0.00053512i,-0.00037558+0.00013928i
0.0011954+0.0010373i,0.00062974+0.00044396i,-0.00081667-0.00085401i,-0.00099644-0.0018049i,-1.7169e-05-0.00050768i,-0.00015748+0.0010348i,-0.00048184+0.001533i,4.583e-05+0.0017396i,0.000117+0.0015468i,0.00020804+0.00074675i,9.2856e-05+0.0004112i,0.00027397+0.0004455i,0.00052761-7.011e-06i,-0.0004603-0.00029663i,-0.00063208-0.00011027i,-0.00016728-0.00019887i,-0.00057732-4.1283e-05i,-0.0007772+0.00035591i,-0.00016448+0.00065847i,0.00025088+0.00062311i,-7.9296e-05-0.00011127i,-1.571e-05-0.00050729i,-0.00020625-0.00035987i
-0.00064279+0.0023723i,-0.0014529+0.0019638i,-0.00074112+0.0011214i,0.00058087+0.0010974i,0.00093878+0.0015973i,0.00098852+0.0013887i,0.00095263+0.0014621i,0.0014329+0.00073779i,0.0011836+0.00022052i,0.00063376-0.00050734i,0.00082316-0.0012556i,0.00030897-0.0014322i,-0.00032612-0.0012052i,-0.00077847-0.000904i,-0.00085548-0.00044975i,0.00014448-0.0003277i,0.00013726-0.00095338i,-0.00060454-0.00089051i,-0.0004487-0.00023031i,0.00037116-0.00028063i,0.00029262+6.9137e-06i,-0.00032425+0.00021491i,-0.00033278+5.5252e-05i
