-0.0064014+0.00050133i,-0.0081399+0.0015623i,-0.0072393+0.0059219i,-0.0020395+0.0074704i,0.0020751+0.0064802i,0.0023062+0.0029636i,0.0013866+0.00062397i,0.00090872+0.0010146i,0.0010719+0.0013266i,0.00191+0.0011601i,0.0024383-1.2685e-05i,0.0020554-0.001276i,0.0011822-0.0016056i,0.0007154-0.0014387i,0.0002649-0.00099657i,0.0002526+0.00021668i,0.00058773+0.00101i,-9.348e-06+0.00075694i,-0.0011065+0.00078995i,-0.0011545+0.00093349i,-0.00031104+0.00054332i,-0.00020612-0.00010005i,-0.00030095-0.00013402i
-0.001697+0.00071027i,-0.0010617+0.0009626i,0.00082529+0.0018307i,0.0025947+0.0025803i,0.0020611+0.0021177i,-0.00019952+0.00085884i,-0.00033617+0.00051075i,0.00034611+0.00019297i,0.00022944-0.0006493i,9.9377e-05-0.0010253i,0.00086046-0.00081496i,0.0014259+1.7335e-05i,0.00078116+0.00044648i,-4.3706e-05+1.2075e-05i,-0.00020335-0.000189i,7.7873e-05+3.0925e-05i,0.00098131+5.0502e-05i,0.0014245-0.00039921i,0.00074585-0.0004373i,5.9832e-05+0.00017989i,0.00010307+0.00032141i,3.1548e-05-0.00021249i,-0.00020917-0.00058522i
0.0015465-0.0011673i,0.0012102-0.0021181i,0.001098-0.0026296i,0.0013267-0.0028186i,0.00031245-0.0019591i,-0.00090298-0.00072996i,-0.00085348+0.00060495i,-0.00033592+0.00091613i,-9.7983e-05+0.00036644i,-0.00043526-0.0006092i,-0.00082793-0.00073857i,-0.0011137-0.00022791i,-0.0012338+0.00046581i,-0.00080438+5.9638e-05i,-0.00031775-0.00041001i,2.781e-06+0.00013432i,0.00030025+0.00058691i,6.9578e-05+0.00050248i,-9.6722e-05+0.00025942i,0.00039475+0.00013616i,0.00047045+5.6748e-05i,0.00027123+0.00023595i,0.00043446+0.00017486i
-0.00013522-7.8444e-05i,0.00028738-0.00014355i,-2.0625e-05+8.1169e-05i,-0.00045676+0.00016881i,-0.00031341+0.00039043i,8.5886e-05+0.00073503i,0.0002328+0.00069039i,0.00089474+0.00071152i,0.00091563+0.00038878i,0.00018304+0.00052934i,-0.0007051+0.00062337i,-0.00083755+0.0010127i,-7.1784e-06+0.0013016i,0.00056545+0.00072225i,0.00063783-2.8563e-05i,-0.0004377-0.00042616i,-0.0010353-0.00034523i,-0.00040534-7.9213e-06i,0.00018997+5.2426e-05i,0.00021673+0.00010708i,0.00046637+0.00020954i,0.00047886+0.00029551i,-0.00024307+0.0002536i
-0.00097037-0.00014349i,-0.00067431+0.00035177i,-0.00047448+0.0027793i,0.00092858+0.0024751i,0.0016757+9.8655e-05i,0.0011506-0.00021718i,0.00082096+0.00046998i,0.00019577+0.00069942i,-0.00045934+0.00017228i,5.2637e-05-0.00020842i,0.00052814+0.00010335i,-4.7602e-06-0.00036957i,0.00033889-0.00040407i,0.00024682+0.00030548i,0.00038137+0.00040924i,0.00075455+0.00031611i,0.0005741-0.0003535i,0.00047105-0.00058627i,0.00048954+8.4042e-05i,0.00099986-8.4403e-06i,0.00086067+0.00022319i,0.00064559+0.00049855i,0.00059899+9.6242e-05i
0.00064968+0.00095059i,0.0006938+0.00050316i,1.9655e-05+3.7602e-05i,0.00053087+9.7178e-05i,0.00087682+0.00066471i,-0.00017469+0.00065382i,-0.00017268+0.0011525i,0.00089443+0.0013768i,0.00069718+0.00027928i,-0.00051364+0.00036347i,-0.0010529+0.0011556i,-0.00075888+0.00063473i,-0.00090146-9.7567e-05i,-0.00096014-0.00032618i,-0.0010882-0.00061157i,-0.0011731-0.00043879i,-0.00067229-0.00090429i,4.4873e-05-0.0012934i,-4.2586e-05-0.00057864i,-0.00047643+0.00031598i,-0.00039004+0.00057105i,-0.00064786-0.00010579i,-0.00023626-0.00093932i
-0.00038807-0.001293i,-0.00038564-0.0013668i,0.0008522-0.00091944i,0.001207+0.00067192i,0.00077033+0.0018364i,-9.5445e-05+0.0015148i,-0.00074777+0.00050745i,-9.5006e-05-0.00052831i,0.00091769-0.0011659i,0.0011468-0.00035809i,0.00026988+0.00058743i,-0.00019654+0.0004898i,5.0848e-05+8.7285e-06i,-0.00021851-0.00094466i,-0.00029255-0.00080796i,-0.00028044-0.00021072i,-0.00062381-0.00028765i,-0.00022735+0.00011363i,0.00028825+0.00049209i,0.0001464-2.9011e-05i,0.00031626-0.00071485i,0.00062024-0.00044779i,0.00048306-4.7394e-05i
0.00032817+0.0010088i,-0.00078289+0.0016994i,-0.00058468+0.002259i,0.0012953+0.0017032i,0.0020587+0.00046951i,0.00036463-0.00037881i,-0.0003711-9.7448e-05i,-0.0001521-0.00053628i,-0.00025449-0.0010148i,-0.00024864-0.00031356i,-2.0132e-05+0.00035496i,0.00026353+0.0002495i,0.00013193-4.8338e-05i,-3.0573e-05-0.00048511i,2.2893e-05-0.00048908i,0.00040337+8.5208e-05i,0.00023542+0.00058753i,0.00051191+0.000613i,0.00051737+8.5984e-05i,-0.00051765-0.00020847i,-0.00025249+0.0002687i,3.2234e-06+0.0004412i,-0.00018953+0.0001727i
0.00082508-0.0012893i,0.00044294-0.0011669i,0.00031892-0.0010125i,0.00062502-0.00052612i,0.00028135+0.00023907i,0.00030136+5.3402e-05i,-0.00021345-0.00077516i,-0.00066442-0.0013633i,-0.00024108-0.001181i,-0.00028685-0.00039183i,-0.00074886-0.00082125i,-0.00087716-0.0012186i,-0.0003635-0.00095678i,0.00028012-0.0010133i,0.00048487-0.00019986i,0.0004194+0.00036551i,6.6483e-05+0.00045998i,9.2368e-05+0.00058577i,0.00034745+0.0007974i,-0.0008463+0.00038754i,-0.0018094+0.00020248i,-0.00098294+0.00048883i,5.7881e-05+0.00072135i
-0.00071858-0.00084796i,-0.001339+0.00059217i,-0.0014562+0.00073375i,-0.0010099+0.00019875i,-0.00056219+0.00024185i,-0.00017192+0.00049761i,6.8295e-06+0.0008081i,0.00075002+0.00045092i,0.00090357-0.00034025i,3.5908e-05-0.00048731i,-0.00015789+8.4484e-05i,0.00026719+0.00071857i,0.0006282+0.00012709i,0.00049227-0.00097453i,-9.7285e-05-0.00059274i,-0.00065594+0.00021057i,-0.00047248-5.6981e-05i,-0.00021218-0.00031071i,-0.00010485-0.00035824i,0.00039317-5.1071e-05i,0.00031431+8.1672e-05i,0.00019291-0.00013104i,0.00064166-0.00051927i
-0.0025253-0.0021498i,-0.0022856-0.0022365i,-0.0028244-0.0013327i,-0.0021326+0.00097425i,-0.0004511+0.0025551i,-0.00036825+0.0025675i,-0.00044068+0.0014238i,-7.422e-05+0.00036086i,-0.00031618-0.00034299i,-0.00019533-1.3439e-05i,-0.00027456+0.00046621i,-0.00068538-0.00067933i,0.00027954-0.0010812i,0.0014864-0.0010386i,0.0014595-0.0011163i,0.00056681-0.00017286i,0.00023542+9.1816e-05i,0.00024932+8.109e-05i,0.00014417+0.00067774i,0.00052021+0.00060312i,0.0010705+0.00035612i,0.00085176+0.00058884i,0.0005846+0.00088083i
