0.0010178-0.00089457i,0.0010548-0.0011857i,9.1367e-05-0.0024219i,-0.0008712-0.0022049i,-0.00048055-0.0011955i,-0.0001788+0.00077473i,8.7003e-05+0.0014019i,0.0016231+0.0011165i,0.0020667+0.00058398i,0.00094491-0.00025439i,0.0006995-0.0006088i,0.0011019-0.00038844i,0.0010243+0.00023039i,0.00029928+0.00049481i,-0.00031467+0.00055102i,-0.00019245+0.00039822i,-0.00058106+0.00041527i,-0.00097389+0.0010007i,-0.001005+0.00074632i,-0.00092501-0.00020029i,-0.00016394+0.00016497i,0.00066136+0.00071081i,0.00059397+0.0003039i
-0.0025091-0.0018295i,-0.0024559-0.0012401i,-0.0018202+0.00034102i,-0.0007559+0.0010916i,0.00050337+0.00037476i,0.0013133-0.00023883i,0.0012062-0.000196i,0.00066804+0.00030933i,0.00044139-8.4603e-06i,-3.893e-08-0.00016731i,-9.4685e-05+0.00030881i,0.00032813-0.00042706i,0.00055959-0.00068596i,0.00024174-0.00068925i,-0.00024345-0.0010417i,-0.00060574-0.00096038i,-0.00094081-0.00011397i,-0.0001471+0.00077808i,2.5885e-05+0.0005887i,5.5383e-05+0.00013551i,0.0007446+0.00037212i,0.00033012+0.00050709i,-0.00043162+0.00033291i
0.0002253-0.001306i,0.00040239-0.0010587i,-1.0329e-05+0.0001011i,-0.00010157+0.00054579i,0.00051387+3.5586e-05i,0.0014625-0.00020466i,0.0010053+0.00034575i,-0.00034022+0.00039252i,-0.00064187+0.00022039i,-0.00050947+0.0005322i,-0.0003812-0.00025495i,-9.5664e-05+9.8096e-05i,-0.00067052+0.00077923i,-0.00032356+0.00050897i,-0.00091682+0.00046145i,-0.001862-5.1455e-05i,-0.00067382-0.00011185i,-1.3361e-05+0.00026065i,-0.00056047-4.1413e-05i,-0.00049807-0.00060925i,8.3106e-05-0.00049513i,0.00069073+0.00010342i,0.00058116+0.00052196i
-0.00066133-0.001013i,0.00021207-0.0010316i,0.00079469-0.00033722i,0.0012726+0.00075116i,0.0013468+0.00094815i,0.00086336+0.00010149i,-0.00014204-0.00010252i,0.00021087+0.00025512i,0.0004476+0.00020862i,0.00062065+0.00049083i,0.00095898+0.00031005i,0.00010923-4.8999e-06i,-0.00015834+0.00017192i,0.00071015-5.2846e-06i,0.0010084+4.0546e-05i,0.00059148-4.7799e-05i,0.00030541+0.00021943i,-0.00020034+0.00047922i,-0.00067947-0.00049757i,-0.00044032-0.00091396i,-0.00036415-0.00067819i,-0.00013373-0.00020337i,0.00022568+0.00046779i
0.00022311+0.00046439i,0.00012931+0.0004109i,0.0005278+0.00020983i,0.00069206-0.00070945i,0.0010417-0.0014407i,0.0023362-0.00072171i,0.0016026+0.00034797i,0.00020838+0.00044938i,0.00028781-4.3974e-05i,0.00083497-0.00021909i,0.00031547+0.00010494i,-0.0009051+3.2297e-05i,-0.00037923-0.00020235i,0.00075516-2.5998e-05i,-0.0001956+9.7852e-05i,-0.0011037+0.00070336i,-0.0012076+0.0010692i,-0.00084016-0.00031927i,8.3728e-05-0.00027381i,-0.00022307+0.00053274i,-0.000807+0.00060725i,-0.00076539+0.00023237i,-0.00040562+8.2152e-06i
-0.001416+0.00081596i,-0.0010402+0.00054232i,-0.0016203+0.0010081i,-0.00077429+0.00084132i,-1.9034e-05+0.00029696i,0.00054592-0.00055937i,0.0007739-0.0012549i,-0.00011257-0.00065358i,-0.00069163-0.00042519i,-0.00015627-0.00073592i,0.00022706-0.00012054i,-7.3817e-05+0.00036336i,-2.5273e-05+0.00032643i,0.0003986-0.00041077i,0.00013822-0.00098622i,-0.00031391-0.00086423i,-0.00043459-0.00052441i,-0.00064434-0.00047452i,-0.00044401-0.0005826i,0.00022007-0.0002806i,0.00025917-1.3689e-06i,4.6876e-05-0.00034138i,0.00014635-0.00075413i
0.00039145-0.0011689i,0.00030533-0.0013935i,0.001285-0.0012184i,0.00062229-0.0008862i,-0.00034044-0.0012327i,0.0002318+7.3278e-06i,0.00017715+0.00094309i,6.0206e-05+0.001039i,-0.00011677+0.0002391i,0.00012063-0.00078181i,0.00083341-0.00080704i,0.00054813-0.00057187i,0.00047063-0.00057063i,0.00057072+5.5141e-05i,5.4008e-05+0.00024926i,0.00034057-9.5279e-06i,0.00027061-0.00068737i,-0.00061673-0.0008362i,-0.00078288-7.1112e-05i,-0.00051415+0.00027485i,-0.00033706+0.00036528i,3.3459e-05+0.00020997i,0.0005119-8.4468e-05i
0.0012384+0.00079254i,0.0018632+0.00023315i,0.002254-0.0013462i,0.0024781-0.002176i,0.0013229-0.0017528i,0.00029683-0.00085931i,5.5876e-05-0.00039194i,0.00041528-0.00031092i,0.00088353-0.00060319i,0.00051034-0.00040629i,-0.0004801-5.8759e-05i,-0.0012619-0.00053649i,-0.0014215-0.0012319i,-0.0013486-0.00040461i,-0.0011125+0.0011947i,-0.00013971+0.00095294i,-1.4678e-06-0.0005993i,-8.4496e-05-0.00086779i,-0.0004337-0.0010033i,-0.00045176-0.00075698i,-0.00055656-0.00022559i,-0.00083573-0.00027545i,0.00012518-0.00016743i
-0.00088087-0.00056513i,-0.00036063+9.4707e-05i,-0.00012252+0.0005922i,0.00038702+0.00089076i,0.00063358+0.0011013i,0.00091017+0.00051098i,0.00074021+0.00010301i,0.00041449+7.7752e-05i,0.00029324+0.00020614i,-0.00043263+0.00019348i,-0.00044094-0.00016687i,0.00016667-0.0001702i,7.1387e-05-0.00047089i,0.00019555-6.5248e-05i,0.00011862+0.0005046i,-0.00011637+0.00020397i,-0.00043631-8.1513e-05i,-0.00033714-0.00054967i,0.00040305-0.00041497i,0.00067636+0.00030481i,0.00081891+0.00080346i,0.00059615+0.00010273i,0.00097154-0.00034369i
0.0013739+0.00044626i,0.0011915-0.00031473i,0.00099724-0.00053107i,0.0016162-0.00076132i,0.0018935-0.00098974i,0.0013615-0.0011452i,0.00065859-0.00016873i,0.00029522+0.00018212i,0.00012192-0.00065243i,0.00050901-0.00039239i,0.0005275+0.00060928i,0.00022611+0.00034284i,0.00031588-0.00029827i,0.00019771-0.00049768i,4.0696e-05-0.00040239i,-0.00028704-0.00010694i,0.0009526-9.2247e-05i,0.0015186+0.00039532i,-4.2193e-05+0.00056899i,-0.00091755+5.2234e-05i,-0.00088696-0.00042975i,-0.00057727-0.00010803i,-0.00015369+0.00023865i
-0.002659-0.00062573i,-0.002386+0.00074599i,-0.0016327+0.0013149i,0.00022285+0.0019713i,0.0014428+0.0013744i,0.0013639-0.00011134i,0.00067379-0.00045684i,-0.0001045-0.00025625i,-0.00061371+0.00032704i,-0.00087539+0.00018423i,-0.000436-0.00019824i,0.00037476-0.00013861i,0.00071054-0.00014963i,0.00014225-0.00037524i,-0.00072309-0.00047403i,-0.0010244-0.00088198i,-0.00050134-0.00010424i,0.00034672+0.00073802i,0.00022007-0.00029745i,-0.00066501-0.0012877i,-0.00091218-0.001031i,-0.0012372-0.00029952i,-0.0014417+0.00031348i
