0.0015738-2.8016e-05i,0.00033504-0.0013483i,-0.00082096-0.002293i,-0.0010804-0.0017047i,-0.0011227+0.00027437i,-0.0010955+0.0013173i,-0.00058037+0.00086122i,-0.00010134+0.00064135i,-0.00044094-1.9533e-05i,-0.0005817-0.0009359i,-0.00013017-0.00086543i,-0.00081058-0.00025106i,-0.0011237+0.00015107i,0.00042787-1.0664e-05i,0.00097507+0.00013073i,0.0010543+0.00047936i,0.0010779+0.00071147i,0.00029155+0.00056252i,0.00026288+0.00022801i,0.00074085+0.000153i,0.0007349+0.0002064i,0.00067847+8.8281e-05i,0.00116-0.00068429i
-0.00090406-0.0018848i,-0.00067846-0.0015312i,-0.00040823-0.00071295i,-0.00039037+0.00015976i,-0.00075463+0.00022058i,-0.00058655+4.6787e-05i,-0.00039076-0.00019278i,-0.0013152-1.4981e-05i,-0.0018753+0.00065781i,-0.00074668+0.0016373i,0.00054418+0.00168i,0.00031465+0.00035353i,0.00040769-2.846e-06i,0.0010512-0.00011969i,0.00063671-0.00095047i,-2.4514e-05-0.0013207i,0.00039208-0.00085917i,1.2982e-05-0.00056949i,-0.00078669-0.00028175i,-0.00064732+0.00040759i,-0.0011726+0.00030697i,-0.0011127-0.0007541i,-7.2671e-05-0.0010799i
-0.0012554-0.00065924i,-0.0016008-5.8293e-05i,-0.0007552+0.0010908i,0.00043888+0.0020242i,0.00034928+0.0019643i,0.0001603+0.00081383i,-0.000289-0.00051266i,-0.0005304-0.0007888i,-0.00026479+2.7045e-05i,-0.00084355+0.00031866i,-0.00076871+0.00031055i,-0.00028479+0.00038187i,-0.0003559-0.00056112i,6.0393e-06-0.0008023i,0.00049035-0.00017608i,0.00081984+0.00015294i,0.00067096-0.00049791i,0.00012417-0.00078191i,-0.00028169-0.00019359i,-0.00069248+0.0005684i,-0.00063087+0.00062527i,-0.00017458+0.000532i,-0.00025907+0.00030417i
8.6044e-06+0.00061321i,0.00040128+0.00023471i,0.00011027+0.00080397i,0.00016784+0.00068824i,0.00024946+0.00055735i,7.3231e-05+0.00035171i,0.00030161-2.4589e-05i,-4.1269e-05+0.00012622i,-0.00080939+0.00025207i,-0.00074356+0.00026814i,-0.00061364+0.00063653i,-0.00024386+0.00033i,0.00031569-0.00038104i,0.00024455-0.00028114i,3.5907e-05-0.00022945i,0.00088397-5.7557e-06i,0.00094298+0.00068101i,1.3836e-05+0.00049716i,-0.00010279+8.9102e-05i,-2.627e-05+4.3822e-05i,-5.9378e-05+0.00023366i,0.00011244+0.00052651i,0.00044325-0.00012484i
-0.00011438+2.1853e-05i,0.00061641-0.0002266i,-7.1171e-05+0.00050591i,-0.00033674+0.00058789i,0.00063738+0.00046884i,0.00077181+0.00012852i,-0.00040695-0.00089776i,-0.00094855-0.00099857i,-0.00085706-1.0667e-05i,-0.0017158-3.0447e-05i,-0.002168-0.00068639i,-0.0010184-0.00034562i,5.3406e-05-0.000405i,-0.00027029-0.00038116i,-0.00061486+0.00012293i,-0.00030786-0.00038216i,0.00016777-0.0013518i,8.825e-05-0.0010493i,-0.00015009-0.00010126i,0.00026835-8.1566e-05i,7.9762e-05-1.1273e-05i,0.00036625-4.933e-05i,0.0010016+5.6112e-05i
-0.001165-0.00054888i,-0.00096513+0.00017124i,-0.0017963+0.0023271i,-0.0027013+0.002213i,-0.0017346+0.0014976i,-0.00070633+0.00072851i,-0.0005108+8.6262e-05i,-0.00078609+0.00011976i,-0.00056831+0.00047333i,-0.00070808+0.00057079i,-0.00078775+0.00071245i,-0.00024228+0.0007474i,0.00040531+0.00030108i,0.00079674+0.00018868i,0.0010308-8.8466e-06i,0.00044369-0.00046601i,-0.00041322-0.00019312i,-0.00098161+1.0139e-05i,-0.0013502-0.0003809i,-0.001043-7.0296e-05i,-0.00089003+0.00050221i,-0.00087338+0.00053062i,-0.0005681+0.0004952i
-0.0035512+0.0014487i,-0.003349+0.0018864i,-0.0023919+0.0043916i,-0.00015211+0.004689i,0.0019229+0.0032408i,0.0018414+0.0014982i,0.0010129+0.00014902i,3.2766e-05-0.00033005i,-0.00036071-0.00051168i,0.00010414+6.638e-05i,0.00044281+0.00056126i,0.0003763+0.0003166i,0.00032882+3.4002e-05i,0.00024408-0.00076465i,-7.3566e-05-0.0014067i,-8.0369e-05-0.00059264i,2.2695e-05-0.00022035i,-0.0005623-0.00049976i,-0.00078489-0.00086096i,-0.00015657-4.2042e-06i,0.00010054+0.00057195i,0.00040016-0.00057078i,0.00087416-0.00073368i
-0.001373+0.0011906i,-0.00039389+6.1334e-06i,-0.00056884+0.00094278i,-0.00043658+0.0018986i,0.00029469+0.0014885i,0.0012352-0.00017153i,0.00098358-0.00071525i,-0.00056445-0.00019656i,-0.00082762-0.00021017i,-0.0007787-0.00038318i,-0.0014283+0.00011689i,-0.00073563+4.955e-08i,0.00031629-0.00030444i,3.5464e-05-0.00060895i,-0.00033926-0.00098931i,-0.00050344-0.0011472i,-0.00050091-0.00083071i,-0.00060549-0.00071979i,-0.00075329-0.00057309i,-8.8479e-05+0.00029464i,0.00030054+0.00089045i,0.00025163+0.00056989i,0.00041115+0.00026682i
-0.0010621+0.0017597i,-0.0013391+0.0017684i,-0.00054341+0.0025346i,0.00036951+0.0027723i,0.00086648+0.0020482i,0.00034051+0.00057558i,-0.000499-0.0012658i,-0.00066653-0.00065089i,-0.00081273+0.0013412i,-0.00080533+0.0010323i,-8.9172e-05-0.00075762i,0.00039812-0.00096129i,-0.00043638-0.00025719i,-0.00053487+4.1541e-05i,-0.00033776+0.0001212i,-0.00078151-0.00024554i,-0.00088206-0.0006416i,-0.00043966-0.00056203i,-0.00036014-0.00027416i,-0.00059826+0.00010377i,9.6043e-05+0.00026248i,0.00098478+0.00015668i,0.00089075+0.00078679i
0.00030436-0.00043463i,0.0002947-0.00087443i,-0.000279-0.0006056i,-0.0010334-0.00010474i,-0.00078426+0.00019012i,0.00042114-0.00032885i,0.00020662-0.00065236i,-0.00079845+9.948e-05i,-0.0011883+0.0002859i,-0.00069603+0.00087091i,0.00033606+0.0016791i,0.00041035+0.00077717i,-0.00014774+0.00031658i,-3.4469e-05+0.00082491i,1.2538e-05+0.00015878i,-0.00037663-7.9675e-05i,8.2659e-05-0.00011854i,0.00012079-0.00027828i,-0.00091189-0.00040994i,-0.00029365-7.715e-05i,0.00046137-4.2448e-05i,5.2696e-05-0.00031803i,-9.5549e-05-0.00032866i
-0.0036153+2.4155e-05i,-0.0033671+0.00063412i,-0.003588+0.0016655i,-0.0023736+0.0019074i,5.0059e-05+0.001621i,0.00090751+0.00079479i,0.00020627-0.00043575i,-0.00061141-0.0012381i,-0.00082671-0.00035129i,-0.00039623+0.00095218i,0.00012647+0.00097669i,0.00065353+0.00041651i,0.00084513+0.00089177i,0.00069861+0.00029813i,0.00052381-0.00083313i,6.1656e-05-0.00030871i,-9.7067e-05+0.00035029i,-3.5488e-05+0.00025024i,0.00019129-0.00013599i,0.00023766-2.5505e-05i,0.00052673+9.6516e-05i,0.00063561+0.00040675i,0.00060885+0.00092368i
-0.0016205+0.0025452i,-0.001049+0.0024819i,-7.2576e-05+0.0023168i,0.00063655+0.0012309i,0.00054365+0.00026579i,0.00076101-0.0005354i,0.0011442-0.0011299i,0.00070717-0.00089523i,-0.00010263+0.00019058i,-6.544e-05+0.00061079i,-0.00014514+0.00044721i,-0.00080425+0.00039746i,-0.00040652+0.00014283i,0.00085339-0.00013029i,0.00076388-0.00063817i,-2.9137e-05-0.00052932i,-0.00023904-0.00013477i,0.00049332-0.00031708i,0.00070728+6.7129e-05i,7.9045e-06+0.00014495i,-3.8574e-05-0.00011697i,-0.00048339+0.00015998i,-0.00021726-0.0001915i
-1.7979e-05+0.00067383i,0.00039114+0.0016135i,0.0015819+0.00073086i,0.0014445-0.00018207i,0.0010398-0.00021967i,0.0001775-0.00066333i,-0.00035529-0.00086439i,0.00026584-0.0010263i,4.3797e-06-4.2976e-05i,-0.00087854+0.00087969i,-0.00097748+0.00065365i,-0.0011872+3.6945e-05i,-0.00094299-0.00012627i,-0.00014912+0.00020317i,-0.0003447+6.798e-05i,-0.000546-0.00066121i,0.000226-0.00095229i,0.00066119-0.00044223i,-0.00019318-0.00049049i,-0.00060977-0.00034644i,-0.00061919+0.00039583i,2.8166e-05-7.464e-05i,0.00097029-0.00097268i
0.00049836+0.00034871i,0.00020776+0.00017243i,0.00053713+0.00038264i,0.00071927+0.00047318i,0.00070085+0.000619i,0.00089378+0.00016681i,0.00075261-0.00040545i,-7.4944e-05-0.00065269i,-0.0014882-0.00025018i,-0.0020766+0.00016435i,-0.0011292-0.00030288i,9.502e-05-0.00079953i,0.00055316-0.00015496i,0.00049661+8.5828e-05i,0.00073173+0.00039868i,0.00021483+0.00063316i,-9.6607e-05-0.00055414i,-0.00060935-0.0014403i,-0.0012022-0.0011086i,-0.00025603-0.00036555i,0.00061552+0.00024096i,-0.00013163+0.00047046i,-0.0010539+0.00047021i
