0.00086924+0.0016526i,0.0015605+0.00051439i,0.0022008+5.7634e-05i,0.00058144-0.00059781i,-0.0010492-0.00043386i,-0.0022775+0.00078269i,-0.0022487+0.0018585i,-0.00066253+0.0017535i,0.00065978+0.0012899i,0.00049586+0.00071394i,0.0001936-2.7805e-05i,0.00033785-2.0798e-05i,0.0002624+0.00019991i,-0.00021844+0.00012022i,-0.00095176-0.0001842i,-0.00043004-7.5782e-05i,-0.0007235-1.0266e-05i,-0.00074298-0.00042646i,1.1595e-05-0.00042572i,0.00054381-0.00070615i,0.00095215-0.00039754i,0.00019394+0.00014265i,-0.00090883-2.7499e-05i
-0.000645+0.00081452i,-0.00014872+0.0010554i,-0.0010009+0.0010015i,-0.0013393+0.0008563i,-0.00080543+6.059e-05i,-0.0011726-0.00076999i,-0.001185-0.00076681i,-0.00017637-0.0007707i,-1.331e-05-0.0005998i,-0.00054705-0.00014114i,0.00040325+0.00042433i,0.0010447+0.0012177i,0.00024085+0.00095911i,4.727e-05+0.00056968i,0.00051841+0.00036596i,0.00067309+0.00050402i,0.000379+0.0013767i,-0.00061559+0.0021067i,-0.0010127+0.0016449i,-0.00034252+0.00051825i,7.1549e-05+0.00037108i,0.00061249+0.00065715i,0.00041901+0.00046165i
0.00047423-3.4287e-05i,0.00058357-0.0010563i,0.0020639-0.0013976i,0.0018496-0.00074004i,0.00092201-0.0012652i,7.3808e-05-0.0017275i,4.3582e-05-0.0009525i,-0.00011722+5.2061e-05i,-0.00042311+0.00053675i,-0.00029074+0.00099153i,0.00017202+0.0010667i,0.0006914+0.00047311i,0.00010471-0.00014508i,-0.00035-0.0005225i,0.00011+0.00030874i,0.00033759+0.00041033i,0.00018546-0.00017829i,0.000583+9.591e-05i,0.00095423+0.00021975i,0.00017593+2.3554e-05i,-0.00010439-0.00056089i,0.0001951-0.0010352i,-5.7165e-05-0.00049533i
-0.00038069+0.00054266i,0.00018447+0.00080216i,0.00014882+0.00036299i,-0.00047392-0.00014336i,-0.00076083-0.00025359i,-6.1838e-05+7.4258e-05i,-0.00013375+1.7419e-05i,-0.00057598-4.8581e-05i,-0.00061188+5.0339e-05i,-0.00059517+0.0003184i,-0.00032994+0.00057717i,0.00014099+0.00067974i,3.8327e-05+0.00034832i,0.00035759+0.0002848i,0.00074749+0.00049111i,0.00059344+0.00042826i,0.0001568+0.0006221i,-0.00039872+0.00052756i,-0.00014433-0.0002563i,0.0003932-0.00014295i,0.00041085+0.00032273i,0.00057455+5.0161e-05i,0.00028666-0.00035513i
1.8801e-05+0.0012i,0.00029212+0.0019338i,0.00072344+0.002314i,0.00085626+0.0015369i,-0.00015122+0.00078004i,-0.0006069-0.0001673i,0.00013672-0.00027905i,0.00054284+0.00013948i,0.00012512+0.00029469i,0.00023187+0.00034428i,0.00081588+0.000833i,0.00083571+0.00070435i,0.00058681-0.0004696i,-2.0636e-05-0.00092626i,-0.00026614-0.00089643i,0.00025523-0.00053853i,3.3277e-05+0.00044235i,-0.00054812+0.00086554i,-0.00065365+0.0010126i,-0.00039549+0.00074189i,3.8218e-05+0.00044985i,0.0006534+0.0002457i,0.00090073+0.00059706i
-0.0001163-0.0014673i,-0.00084267-0.0018698i,-0.00146-0.0016839i,-0.0013096-0.00085313i,-0.0013184-0.00066303i,-0.0015924-0.00069198i,-0.0012851-2.5768e-05i,-0.00079014+0.00029819i,-0.00062439+0.00018239i,1.1549e-06+0.00030448i,0.00048702+0.00093046i,0.00027976+0.00065707i,0.00030781-0.00017851i,0.00052086-0.00032252i,0.00044213+0.00034709i,-0.00013904+0.00048653i,-0.00018208-2.0378e-05i,-0.00031124+7.1468e-05i,-0.00070678+0.0002036i,-0.00041216-0.00030641i,-0.00029734-0.00022588i,-0.00044333+0.0002663i,0.00047708+0.00026741i
-0.00022717-0.0013851i,0.00069275-3.6164e-05i,0.0006283+0.0002117i,0.00027094+0.00091141i,0.00023678+0.00072337i,1.3834e-05-0.00047393i,-0.00094687-4.257e-05i,-0.00094242-0.00024683i,-0.00042602-0.00056762i,-0.00049353+3.9756e-05i,-0.00030674+0.0010485i,0.00019019+0.0012707i,0.00056571+0.00099176i,0.00039033+0.00085728i,-0.00013761+0.0010316i,-0.00052269+0.001316i,-0.0007921+0.00063501i,-0.00077164-0.00033824i,-0.00021664-0.00035123i,0.0001681+0.00011726i,-0.00023309+0.00044353i,2.8754e-05+0.00049685i,0.00081258+9.5492e-05i
0.0012747+0.00034856i,0.00038559+0.00098943i,0.00074665+0.0013397i,0.0010147+0.00039903i,-0.00041787-0.001142i,-0.0010419-0.0013197i,-0.00069384+7.1608e-05i,-0.001015+0.0012432i,-0.00088302+0.001089i,-0.00029855+0.00060887i,0.00030567+0.00019229i,0.00021648+0.00031648i,-4.2738e-05+0.00062123i,6.5688e-05-0.00022319i,0.00051428-0.00064502i,-0.0001057-0.00044318i,-0.00057755-0.00046098i,0.00031895-0.00024589i,0.0010752-0.00015178i,0.00065299-0.00058572i,-0.00027677-0.00061588i,-0.0003361+9.6052e-06i,-0.00022708+0.00044616i
0.00037573-0.00017722i,0.00082342-0.00011358i,0.00071334+0.0006606i,-0.00065864+0.00024002i,-0.0013705-0.0011151i,-0.0010981-0.0009525i,-0.0011283+0.00033804i,-0.0006462+0.00019248i,0.00016513+5.4715e-05i,0.00020783+0.00035872i,4.0051e-05+0.00061185i,-4.0401e-05+0.0011845i,0.00011554+0.00076233i,-0.00036214-0.00026063i,-0.00044363-0.00045143i,-0.00083577-0.00055027i,-0.00088985-0.00017642i,-0.0002302+0.00019968i,-8.6924e-06-0.00019088i,7.209e-05-0.00030264i,9.8348e-05-0.00029372i,0.0006611-0.00049818i,0.00048174-0.00018527i
0.00040142-0.0012147i,-0.00018829-0.0017346i,-0.00047931-0.00066513i,-0.00066056+0.00056215i,-0.00054639+0.00011566i,-0.00068565-0.00024255i,-0.00045902+0.00025753i,-7.0559e-05+0.00039343i,-0.00056291+0.00029032i,-0.00058749+0.00036676i,-0.00019108+0.00036477i,-8.0177e-05+0.00031012i,0.00033794+0.00042538i,0.00035405+0.00075038i,0.00047871+0.00038027i,0.0003767+5.872e-05i,0.00018096+0.00042278i,0.00018318+0.00091496i,-0.00020605+0.00090225i,0.0001694+0.00037148i,0.00094118-0.00027832i,0.00061368-0.00032003i,-0.00051596-0.00025538i
0.0010751+0.00090289i,-0.00018788+0.0012862i,-0.00015432+0.000576i,0.00029046-9.1163e-05i,-0.00082092-0.0010252i,-0.0018455-0.0018973i,-0.0013898-0.0013191i,-0.00098978-0.00041088i,-0.00058965+0.00051978i,-0.00040076+0.00082294i,0.00024243+0.00066587i,0.00054666+0.00045362i,0.00058496+0.00011129i,0.00048295-0.0001396i,-0.00015898-0.00036479i,-0.0010035-0.00030323i,-0.000917+0.00014379i,-0.00044656-1.6095e-06i,0.00023634-0.00049303i,0.00029522-0.00019062i,-0.00037545-7.132e-05i,-0.00061893-0.00010059i,-0.0010887-9.8078e-05i
