-0.0026758+0.0015738i,-0.0011473+0.0014681i,-0.0014061+0.001053i,-0.0011948+0.0002827i,-0.00078639+0.00094738i,-0.0013552+0.0017045i,-0.00094172+0.0013628i,0.0001344+0.0013428i,0.00095944+0.0015067i,0.0018151+0.00037231i,0.0019211-0.00091553i,0.0010479-0.0010232i,0.00049792-0.00059606i,0.00028703-0.00052789i,4.0079e-05-0.00032361i,-5.0291e-05-0.00028879i,0.00013539+0.00030125i,0.00011283+5.2648e-06i,-6.5947e-06-0.0011085i,-0.00030091-0.00091429i,2.976e-05-0.00019543i,0.00014933+1.9042e-05i,-0.00028116+1.6555e-05i
-0.29472+0.1651i,-0.3543-0.0094657i,-0.38454-0.26049i,-0.34004-0.36705i,-0.17546-0.37454i,-0.050183-0.38585i,-0.039371-0.30312i,-0.031993-0.14418i,0.00081343-0.028134i,0.012196+0.014266i,0.0068969+0.02655i,0.015088+0.042315i,0.032545+0.039443i,0.0194-0.0024173i,-0.02926-0.033357i,-0.065838-0.01694i,-0.063063+0.0090936i,-0.03937+0.0084464i,-0.029592-0.0038892i,-0.037894+0.0020911i,-0.03954+0.021488i,-0.026836+0.026595i,-0.011174+0.018355i
-0.16862-0.2123i,0.040338-0.20466i,0.25632-0.14234i,0.21396-0.061416i,0.01025+0.068188i,-0.10226+0.15461i,-0.11302+0.096797i,-0.073462+0.019609i,0.002314-0.0030144i,0.054875-0.016889i,0.052184-0.03197i,0.027255-0.032101i,0.0074764-0.025071i,-0.0090007-0.011042i,-0.01386+0.0098398i,-0.0047135+0.026686i,0.0028258+0.037144i,0.0012585+0.04784i,-0.00096809+0.0494i,-0.00014787+0.032594i,-0.0041749+0.011063i,-0.0045594+0.0017259i,0.0075208-0.0010809i
0.078669-0.2601i,-0.092789-0.083561i,-0.29503+0.16816i,-0.32286+0.2626i,-0.21469+0.17608i,-0.13716+0.083726i,-0.083536+0.11468i,-0.011141+0.14001i,0.022751+0.070672i,-0.0085259+0.013439i,-0.036446+0.0019349i,-0.036959-0.019134i,-0.042736-0.029256i,-0.051253+0.0026634i,-0.035657+0.040309i,-0.0032649+0.038513i,0.0071818+0.00090174i,-0.011118-0.036002i,-0.027186-0.041584i,-0.021513-0.020402i,-0.00031805-0.00056037i,0.0081881+0.0085015i,-0.0047274+0.014409i
0.45656+0.074955i,0.51238-0.025418i,0.48999-0.15187i,0.43547-0.16829i,0.35787-0.042312i,0.30962+0.090086i,0.26261+0.088038i,0.148+0.027128i,0.035028+0.010099i,-0.0029173+0.0017229i,-0.003874-0.011809i,-0.0083335-0.013731i,-0.010096-0.0089267i,0.013201-0.012204i,0.038006-0.025376i,0.03459-0.032297i,0.024563-0.020956i,0.028761-0.0030315i,0.035725-0.00075875i,0.027534-0.016506i,0.0043866-0.028068i,-0.012303-0.021649i,-0.011332-0.0094386i
-0.1478+0.54703i,-0.20875+0.61953i,-0.22379+0.52004i,-0.15339+0.3023i,-0.069236+0.035901i,-0.039068-0.14123i,-0.02024-0.17883i,0.0011491-0.13803i,-0.0057348-0.064218i,-0.0091674+0.0052803i,0.0045587+0.03713i,0.019775+0.043743i,0.035694+0.028421i,0.03742-0.0033089i,0.025934-0.023702i,0.019714-0.024972i,0.021173-0.016367i,0.019548-0.0086001i,0.0091497-0.0051875i,0.0028337+0.0015382i,0.0077605+0.0091133i,0.012194+0.0078494i,0.010586+0.0011764i
-0.48212-0.18698i,-0.41335-0.41218i,-0.23215-0.59351i,-0.12976-0.50967i,-0.02529-0.26063i,0.056742-0.11893i,-0.034107-0.083481i,-0.13861-0.024928i,-0.096008+0.036944i,-0.020564+0.030652i,-0.0010322+0.004232i,0.0098067+0.015287i,0.027479+0.028651i,0.02746+0.014065i,0.0071943-0.0093734i,-0.011606-0.013237i,-0.0099274-0.0095339i,0.005139-0.012659i,0.010533-0.0044044i,-0.0019797+0.0205i,-0.0090595+0.04172i,0.00021479+0.034826i,0.0048908+0.011085i
0.00034574-0.39415i,0.076762-0.12297i,0.18686+0.26781i,0.15201+0.35188i,-0.10402+0.22257i,-0.30984+0.19348i,-0.22669+0.24614i,-0.048582+0.22352i,0.014448+0.12674i,-0.0049436+0.072712i,-0.023986+0.077435i,-0.035866+0.073067i,-0.047736+0.05436i,-0.055534+0.051436i,-0.060356+0.061701i,-0.061405+0.060062i,-0.065818+0.04318i,-0.072973+0.023436i,-0.067927+0.0050356i,-0.046016-0.0087064i,-0.019171-0.018296i,-0.0055335-0.019769i,-0.0087331-0.0098014i
0.44411-0.2772i,0.20905-0.43562i,-0.15821-0.43406i,-0.21509-0.25296i,0.020627-0.064273i,0.22583+0.017798i,0.27561+0.038238i,0.24057+0.037114i,0.15102+0.014211i,0.042857-0.020012i,-0.032577-0.04501i,-0.062947-0.037457i,-0.044926-0.0094886i,-0.0046911+0.0030032i,0.032358+0.0090395i,0.058182+0.019087i,0.060427+0.02149i,0.041878+0.01997i,0.027826+0.013494i,0.022399-0.0017295i,0.0094785-0.010854i,-0.0060039-0.0051133i,-0.010326+0.0022768i
0.42372+0.66173i,0.66782+0.7042i,0.7083+0.49234i,0.4909+0.25362i,0.21625+0.14306i,0.070098+0.076027i,0.02239-0.064319i,-0.030682-0.18789i,-0.060356-0.1584i,-0.015307-0.064369i,0.036766-0.015463i,0.041407-0.0034043i,0.014295-0.0020808i,-0.0030906+0.0053976i,0.0013819+0.0084306i,0.0084696-0.0036654i,0.017508-0.014764i,0.028652-0.020238i,0.01584-0.02412i,-0.019405-0.020619i,-0.044146-0.0095372i,-0.044963+0.00011597i,-0.031284-0.0018623i
-0.73255+0.36428i,-0.88994+0.39766i,-0.75039+0.28676i,-0.38837+0.13203i,-0.05447-0.085026i,0.011958-0.25796i,-0.13309-0.19345i,-0.20929-0.018564i,-0.14555+0.04107i,-0.072188+0.013439i,-0.035193-0.01482i,-0.013313-0.037644i,0.0027049-0.055921i,0.0097332-0.07338i,-0.002467-0.089969i,-0.021721-0.085722i,-0.024057-0.059343i,-0.0018012-0.035723i,0.025411-0.026226i,0.032731-0.014775i,0.030503+0.0055597i,0.034281+0.015937i,0.031047+0.0023536i
-0.26915-0.5733i,-0.021989-0.61966i,0.33994-0.52936i,0.32812-0.36889i,0.026123-0.065405i,-0.12282+0.24207i,-0.046766+0.30255i,0.03099+0.20011i,0.029506+0.10039i,0.0052059+0.049286i,-0.011487+0.046019i,-0.02124+0.062823i,-0.023637+0.077314i,-0.021004+0.085943i,-0.018047+0.089908i,-0.015992+0.08628i,-0.016195+0.069037i,-0.032063+0.048925i,-0.045601+0.042074i,-0.031899+0.035811i,-0.011011+0.017276i,0.0011213-0.0021154i,0.0060266-0.0063097i
0.27084-0.44354i,-0.030156-0.26692i,-0.32965+0.13931i,-0.28423+0.25506i,-0.1224+0.029832i,-0.052397-0.11253i,0.048493-0.053285i,0.14213-0.0032452i,0.099528-0.0076806i,-0.0083252-0.0019985i,-0.0835+0.017282i,-0.11641+0.035049i,-0.10342+0.031203i,-0.06894+0.00053961i,-0.054377-0.026111i,-0.058733-0.027939i,-0.057655-0.013673i,-0.0326+0.0041805i,0.0031211-0.0046912i,0.014822-0.042045i,0.0061205-0.06274i,-0.0017503-0.055902i,-0.011042-0.045928i
0.72673+0.18843i,0.80162-0.15109i,0.44869-0.43448i,0.072102-0.26704i,0.029045+0.0497i,0.12945+0.085149i,0.10053-0.07066i,0.041189-0.15718i,0.088331-0.12573i,0.13124-0.082266i,0.075259-0.069413i,0.0010958-0.043603i,-0.01196-0.0081636i,0.013099+0.0080294i,0.036897+0.0083353i,0.046028-0.005919i,0.02903-0.022049i,-0.00091603-0.024473i,-0.014767-0.018154i,-0.0099303-0.01757i,-0.017354-0.019244i,-0.035909-0.0037413i,-0.032055+0.0063803i
-0.29612+0.92027i,-0.13315+1.2445i,0.15927+1.1117i,0.30611+0.63153i,0.18363+0.16735i,-0.064334-0.024714i,-0.20637+0.058498i,-0.20555+0.1886i,-0.17845+0.19752i,-0.15355+0.1412i,-0.1147+0.09193i,-0.077687+0.037441i,-0.057141-0.017188i,-0.042735-0.034221i,-0.026644-0.02102i,-0.0071289-0.0092286i,0.019418-0.016583i,0.036113-0.038649i,0.03134-0.041817i,0.025927-0.01066i,0.041487+0.016673i,0.062012+0.013279i,0.067664+0.0042641i
-0.76884-0.38378i,-0.89966-0.48325i,-0.69749-0.45166i,-0.39053-0.2286i,-0.10855+0.045928i,0.08769+0.16987i,0.1398+0.15508i,0.16256+0.10038i,0.18544+0.021873i,0.14294-0.073144i,0.074152-0.15795i,0.014629-0.19822i,-0.017264-0.15159i,0.0032956-0.05899i,0.049047-0.019957i,0.08311-0.028561i,0.095876-0.037395i,0.073065-0.027802i,0.032934-0.0022595i,0.011297+0.017221i,0.00967+0.034382i,0.020155+0.045295i,0.032058+0.032048i
0.22931-0.57036i,0.29475-0.44305i,0.35594-0.11169i,0.27047-0.045793i,0.027304-0.19496i,-0.1276-0.28325i,-0.1383-0.30632i,-0.21677-0.22441i,-0.32929-0.048109i,-0.30342+0.093719i,-0.14867+0.15576i,0.028264+0.12006i,0.10528+0.026769i,0.059928-0.026234i,-0.008125-0.015736i,-0.039588-0.0013821i,-0.05923-0.017256i,-0.065738-0.038758i,-0.036333-0.04208i,0.0064549-0.032706i,0.025656-0.030097i,0.019451-0.036696i,0.0042681-0.037472i
0.52391-0.028366i,0.28452-0.17673i,-0.18675-0.095299i,-0.27569+0.13237i,-0.042457+0.15964i,0.056166+0.070805i,0.063777+0.077333i,0.1768-0.012398i,0.29439-0.19499i,0.24178-0.25734i,0.023069-0.17004i,-0.15106+0.019645i,-0.13763+0.15844i,-0.058046+0.13449i,-0.037589+0.063836i,-0.037494+0.054053i,-0.0088926+0.081395i,0.020107+0.11095i,0.020787+0.12118i,0.010829+0.097362i,0.0051363+0.057939i,0.0016349+0.031263i,-0.0033082+0.0048204i
0.18557+0.72362i,0.48867+0.6692i,0.54618+0.24907i,0.26212-0.029342i,0.0020421+0.010483i,-0.083625+0.093472i,-0.1362+0.1922i,-0.097236+0.43645i,0.032329+0.61706i,0.074838+0.5223i,-0.022077+0.29925i,-0.13635+0.11594i,-0.1548+0.0063923i,-0.085223-0.012454i,-0.0028374+0.024399i,0.064466+0.041972i,0.10182-0.0036814i,0.057716-0.09534i,-0.037021-0.13654i,-0.088506-0.084587i,-0.06908-0.0063176i,-0.003485+0.03986i,0.065726+0.059084i
-0.19039+7.306i,2.4018+6.8851i,5.7919+5.9332i,6.7613+2.4648i,5.578-1.2257i,3.0953-3.1035i,0.79847-2.1297i,0.071489-0.041083i,0.80127+1.0527i,1.5163+0.39921i,0.94226-0.79464i,-0.15695-1.1407i,-0.88507-0.74614i,-1.2466-0.010271i,-1.0951+0.65799i,-0.56764+0.88761i,-0.028181+0.70883i,0.24843+0.28881i,0.13247-0.070583i,-0.15737-0.14813i,-0.336-0.083961i,-0.33938+0.008123i,-0.20447+0.05052i
-0.037936-0.66835i,-0.15615-0.74923i,-0.23282-0.49779i,-0.31467-0.17483i,-0.42095-0.01538i,-0.45003-0.032444i,-0.37939-0.097678i,-0.25031-0.10285i,-0.13485-0.098537i,-0.12557-0.11013i,-0.14255-0.086389i,-0.066344-0.11816i,0.010435-0.18846i,0.0041372-0.13446i,-0.012505-0.011721i,0.0027648+0.041083i,0.019315+0.028383i,0.0055293-0.0058134i,-0.031463-0.034784i,-0.058545-0.046677i,-0.042331-0.030093i,0.020076-0.0052766i,0.062055+0.0076589i
0.56514-0.13963i,0.62392-0.21457i,0.46558-0.1485i,0.29828-0.032086i,0.15771+0.052113i,0.046019+0.13376i,0.022115+0.17601i,0.039225+0.18138i,0.09387+0.16477i,0.15125+0.096038i,0.13567+0.027909i,0.10527-0.036458i,0.07062-0.12533i,0.027123-0.15102i,0.020895-0.096727i,0.029171-0.062083i,0.0025795-0.065104i,-0.038808-0.046109i,-0.036789+0.0072712i,0.010901+0.050857i,0.051663+0.053613i,0.055191+0.027362i,0.028854+0.00063736i
0.11918+0.50374i,0.14226+0.50563i,-0.020348+0.31163i,-0.16051+0.19451i,-0.068594+0.14578i,0.14376+0.037624i,0.33796-0.033261i,0.5008-0.065958i,0.50871-0.13234i,0.29323-0.1418i,0.048387-0.011039i,-0.041323+0.13673i,-0.030442+0.13735i,-0.037712+0.057586i,-0.050253+0.024057i,-0.052976+0.017364i,-0.065352+0.0092188i,-0.049135+0.025767i,0.0083685+0.049561i,0.059441+0.032733i,0.061383-0.02411i,0.011025-0.064087i,-0.033234-0.053989i
-0.45854+0.08597i,-0.4124+0.11073i,-0.14896+5.5123e-05i,0.014582-0.098536i,-0.0087385-0.067919i,-0.070397-0.016435i,-0.12847-0.067639i,-0.15763-0.19203i,-0.1269-0.27898i,-0.054087-0.2006i,0.078903-0.056707i,0.19497-0.02504i,0.17814-0.045519i,0.10621-0.029201i,0.070833-0.019493i,0.048769-0.03952i,0.023183-0.057862i,0.0015089-0.059175i,-0.017641-0.045047i,-0.036438-0.035814i,-0.046293-0.040493i,-0.038038-0.047443i,-0.016728-0.048305i
-0.084352-0.32806i,-0.13877-0.14543i,-0.059709+0.19201i,-0.0047885+0.27804i,-0.1618+0.15707i,-0.34488+0.11961i,-0.29174+0.13386i,-0.1559+0.075665i,-0.075616+0.03347i,0.0638+0.051322i,0.23446+0.025747i,0.26916-0.037473i,0.16719-0.043137i,0.059626-0.0041081i,0.014886+0.025079i,0.015693+0.03232i,0.00775+0.024876i,-0.034356+0.012898i,-0.069324+0.015743i,-0.048667+0.04234i,0.0083404+0.061499i,0.051251+0.053584i,0.068208+0.03716i
0.30711-0.19925i,0.14782-0.44554i,-0.19348-0.51673i,-0.30247-0.32024i,-0.078379-0.11371i,0.17944-0.12072i,0.23389-0.23684i,0.14381-0.2533i,0.030619-0.15855i,-0.10488-0.072836i,-0.23671+0.01081i,-0.2474+0.10278i,-0.13458+0.10721i,-0.022388+0.027253i,0.033839-0.03437i,0.06131-0.039799i,0.093197-0.010631i,0.12927+0.022061i,0.13366+0.021526i,0.089121-0.0047949i,0.03456-0.015878i,0.013679-0.012018i,0.010723-0.016654i
0.25195+0.432i,0.5974+0.44515i,0.73902+0.2226i,0.4958+0.054935i,0.15565+0.095858i,-0.032723+0.15215i,-0.10702+0.10886i,-0.11986+0.051429i,-0.10088+0.043444i,-0.092437+0.086971i,-0.083895+0.12232i,-0.0781+0.095784i,-0.092505+0.049246i,-0.10105+0.02512i,-0.094246+0.012018i,-0.081294-0.010023i,-0.073504-0.049317i,-0.078053-0.087316i,-0.077814-0.087991i,-0.061179-0.058199i,-0.041152-0.030453i,-0.02948-0.0088669i,-0.024156+0.0090213i
