-0.0026758+0.0015738i,-0.0011473+0.0014681i,-0.0014061+0.001053i,-0.0011948+0.0002827i,-0.00078639+0.00094738i,-0.0013552+0.0017045i,-0.00094172+0.0013628i,0.0001344+0.0013428i,0.00095944+0.0015067i,0.0018151+0.00037231i,0.0019211-0.00091553i,0.0010479-0.0010232i,0.00049792-0.00059606i,0.00028703-0.00052789i,4.0079e-05-0.00032361i,-5.0291e-05-0.00028879i,0.00013539+0.00030125i,0.00011283+5.2648e-06i,-6.5947e-06-0.0011085i,-0.00030091-0.00091429i,2.976e-05-0.00019543i,0.00014933+1.9042e-05i,-0.00028116+1.6555e-05i
-0.0005139-0.0014599i,-0.00060044-0.00013828i,-0.00098205+0.0013539i,-0.0007773+0.0012958i,-0.00022445+8.9529e-05i,0.00048237-5.1801e-05i,0.00070524-0.0003103i,0.00042568-0.00019383i,0.00019833+0.0012033i,-1.2158e-05+0.0011187i,-0.00028204+0.00062152i,-0.00012423+0.00096744i,0.00072971+0.00094065i,0.0003675+0.00050079i,-0.00035998+0.00068989i,0.00042164+0.00046649i,0.00094846+0.00043599i,0.00031879+0.00062015i,0.00012599+0.00038548i,-2.8566e-05+4.6073e-05i,-0.00045771+0.00042483i,0.00012453+0.00071205i,0.00021676+0.00034352i
-7.9964e-05-0.00032767i,0.00019569-0.0015216i,0.0003137+0.00025205i,0.00034839+0.0010581i,0.00060668+9.6411e-05i,0.00067512-0.0003697i,0.00053709-0.00027625i,0.00042404-0.00024589i,-0.00010028+8.5913e-05i,-0.00057724+0.0002999i,-0.00024438+0.00022586i,0.00037663+0.0002218i,0.00078549+0.00013405i,0.00010376+0.00073836i,-0.00013402+0.00048913i,0.00033377+0.00025282i,0.0004142+0.00045334i,0.00074252-5.4629e-05i,0.00046255-0.00024823i,0.00045256+0.00057425i,0.00046218+0.00065372i,0.00026574-0.00024892i,0.00035848-0.00035331i
-0.0002471+0.00017226i,-2.5974e-05+0.00095474i,-0.00021099+0.0011777i,-0.00029859+0.0011447i,1.1518e-05+0.0011443i,0.00075194-1.7456e-05i,0.0014009-0.00029209i,0.00060447+0.00031028i,0.00035247+0.00012148i,0.00092866-0.00047907i,0.00055707-0.00033443i,0.00035021-0.00018495i,0.00011974-0.00032183i,0.00012154-0.00046049i,0.00095275-0.00034798i,0.001251-0.00037637i,0.00046415-0.00023777i,3.4329e-05+0.00018268i,0.00019842+0.00074263i,1.1571e-05+0.0012104i,-0.00016959+0.0011437i,0.00014857+0.00070576i,0.00015426-3.7837e-05i
0.0021572-0.00016607i,0.00097178-0.00044365i,0.00055227-0.0013212i,0.00027647-0.0020188i,-0.00065876-0.0017065i,-0.0017641-0.0004009i,-0.0013494+0.00052847i,-1.4567e-05+0.00072928i,0.0007276+8.8976e-05i,0.00056398-0.00051814i,0.00033616-0.00029384i,0.00038453+2.0552e-05i,3.6451e-05-0.000155i,-0.00052135-1.4908e-05i,-0.00064643+0.00028905i,-0.00031726+0.00017625i,0.00012099+6.2212e-05i,0.00079791+0.00019844i,0.00073804+0.00057605i,0.00093889+0.00056642i,0.0010668-0.00025015i,0.0006922-0.00049847i,0.0002512-0.00069197i
-0.0020747+0.0004429i,-0.0024398-0.00064829i,-0.0015447-0.00090415i,-0.00076872-0.0011665i,-0.00024388-0.0013107i,-8.2263e-06-0.0013806i,0.00015363-0.00076323i,0.00046924+3.88e-05i,0.00071081+0.00070241i,0.00065628+0.0008516i,-0.00046231+0.00066394i,-0.0012126+0.00070304i,-0.00029542+0.00031219i,4.5921e-05+0.00013571i,1.3507e-06-3.2496e-05i,-0.00043988-4.579e-05i,-0.00094383+0.00039191i,-0.00056351+3.0215e-05i,4.92e-05-0.00059896i,-3.2043e-05-0.0004545i,-0.00015712-0.00016893i,0.0001988-0.00041246i,0.00010369-0.00033536i
-0.00090413-0.0013491i,-0.001104-0.00038711i,-0.00059663+0.00038502i,0.00035517+0.0007135i,0.00030586+0.001578i,0.00011469+0.0017188i,0.00034694+0.00077264i,0.0007249-0.00046552i,0.0012713-0.00063477i,0.000616-6.8699e-05i,-0.00013695+0.00042972i,0.00020244-3.9825e-05i,-0.00030355-0.00057407i,-0.00095836-0.00075431i,-0.00061264-0.00027771i,-0.00027678-0.00024044i,-0.00053956-0.00013934i,-0.00056571+2.9684e-05i,0.00077525-0.0003753i,0.0016975-0.00062412i,0.00083686-0.0002137i,-8.0142e-05-0.00043232i,0.0005797-4.736e-05i
-0.00025922+0.00022171i,-0.0013099+0.00084918i,-0.0022476+0.00018889i,-0.0017289-0.0012506i,-0.0010879-0.00085115i,-0.00029501-0.00022588i,0.0010856+0.00035961i,0.00080928+0.00021298i,-6.8637e-05-0.00078148i,9.7524e-05-0.00054739i,9.6151e-06-0.00029239i,0.00051244-0.00077767i,0.0010721-0.00096239i,0.00048359-0.00098101i,-0.0002389-0.00016486i,-0.00094281+7.661e-05i,-3.7293e-05-0.00037596i,0.00076206+0.00013769i,0.00027941+0.00066425i,0.00034521+0.00058836i,0.0004444-9.7585e-05i,0.00051012-0.00065615i,0.00087076+0.00018643i
-0.00042962+0.00015458i,-0.00038706-1.3997e-05i,0.00066749-0.0012444i,0.00096924-0.001387i,-5.2314e-05+2.6983e-05i,-0.00060299+0.00084895i,-0.00022593-3.679e-05i,-0.00037165-0.00041449i,-0.00034531-0.00051091i,0.00036253-0.00054779i,0.00058172+0.00039561i,0.00021027+0.00077442i,-0.0001047+0.00081218i,-0.00020129+0.0004763i,-0.00054412-0.00011751i,-1.3732e-05+0.00019862i,0.00061592+0.00037566i,-1.2917e-05+3.213e-05i,-0.00029943+0.00018314i,-0.000132+0.00047754i,-0.00013508+0.00044467i,0.00027067-0.00013846i,0.00063301-5.3799e-05i
0.00045648+0.00046367i,0.00091351+0.0006185i,0.00060861+0.0015519i,6.392e-05+2.0344e-05i,-0.00041933-0.0013452i,-0.00020934-0.0009612i,0.00091895+3.8601e-05i,0.0010403+0.00035351i,0.0013463+6.0366e-05i,0.0016817+0.00016124i,0.00066668+0.00090347i,-0.00071668+0.00076152i,-0.001075+0.00041509i,-0.00088946+0.00083639i,-0.00025349+0.0014591i,0.00017332+0.0013409i,0.00016207+0.00059823i,-7.8233e-05-0.00049892i,0.00032685-0.0007077i,0.00021233-0.00051931i,-1.055e-05-0.00075139i,-0.00028885-0.00055449i,-0.00050387-0.0003827i
0.00088449-0.0003937i,0.00096271+0.00019328i,0.0017902-0.00012392i,0.0016751+0.00010727i,0.0003722+0.00055272i,0.00018976+0.00070433i,0.00076103+0.00013499i,0.00088328-0.00027665i,0.00080126+0.00027946i,0.00064694+0.00054901i,0.00051408-9.7853e-05i,-0.00040705-0.00050835i,-0.00090487-0.00030599i,-0.00010019-0.00029967i,0.00020592-0.00019117i,0.00041163-0.00031902i,0.00029185-0.0002735i,2.7938e-05-8.1541e-05i,0.00057219-0.00022177i,0.00092596-0.00029482i,4.5739e-05-0.00044794i,0.0001415-0.0010803i,0.00064789-0.00053068i
-0.00026121-0.00097519i,-0.00035291-0.00057232i,-0.00024075+3.4186e-05i,2.5663e-05-0.0003452i,-4.0896e-05-0.00063739i,-0.00025937-0.00054486i,0.00049031+7.784e-05i,0.00045991+0.00028794i,-0.00038676+1.0432e-05i,-0.00065194+0.0007679i,-0.00044299+0.0007618i,-0.00020693+0.001083i,-0.00024184+0.00045052i,-0.00024491-0.00066143i,0.00041036-0.00085936i,0.0002393-0.0010077i,-0.00075664+4.3151e-05i,-0.00054843-9.5694e-05i,-0.00038531-0.00080101i,-0.00080272-0.00038337i,-0.00043532+6.4584e-05i,7.8719e-05-0.00032417i,0.00027332-0.00028314i
-0.00034541-0.0001094i,-0.00051667-0.00049728i,0.00063672-3.1682e-05i,0.00046454-0.00019342i,0.00023479-0.0001525i,0.00082785+0.00055606i,0.00046033+0.0012555i,0.00039081+0.0011111i,0.00016411+0.00037396i,0.00038142+9.0447e-05i,0.00065491-0.00041487i,0.00055055-0.00033903i,0.00059125+0.00051671i,0.00066052+0.00069254i,0.00069714+0.00092552i,3.4887e-05+0.00098975i,-5.5961e-05+0.00058952i,0.00017917+0.00058287i,2.968e-05+0.00066481i,0.00014521+0.0002025i,0.00051388+7.9982e-05i,0.00045913+0.0002085i,0.00018125+0.00024584i
0.000711-0.00082217i,0.00013402-0.0018163i,0.00061518-0.0015785i,0.0010317-0.00082039i,-0.000414-0.00021041i,-0.0019472+0.00015772i,-0.001583+2.9619e-05i,-0.00026956-0.00021886i,0.00067515+0.00022794i,0.00036621-0.00027477i,-0.00010928-0.00060021i,-0.0005223+6.0251e-05i,-0.00067792+0.00014679i,-0.00021786-0.0002428i,0.00018417+4.5633e-05i,0.00010912+0.0009417i,-2.7882e-05+0.00079439i,0.00042911+0.00012447i,0.00024945+0.00015647i,-1.4294e-05-1.6782e-06i,-7.0476e-05-0.00047003i,1.5366e-05-0.00056527i,0.00028434-6.9386e-05i
-0.0013006+0.00035693i,-0.00081559-0.00064281i,5.323e-05-0.0016278i,0.00016383-0.00098234i,-0.00046063+0.00052989i,0.0002653+0.00083729i,0.00066183+0.00038855i,-0.00026995-2.5848e-05i,-0.0010403+0.00035493i,-0.00071148+0.00034478i,0.00040274-3.6944e-05i,0.000899+0.00058351i,0.00071906+0.001161i,0.00064544+0.00039585i,0.00068479-0.00038442i,0.00073093-0.00073807i,0.0005532-0.0010018i,-8.8316e-05-0.00059964i,-0.00048031-0.00037067i,-0.00058133-0.00041774i,-2.8801e-05-0.0007885i,-0.00014954-0.00079062i,-0.00045485-0.00023572i
-4.777e-05-0.0028253i,-0.0010823-0.0020898i,-0.0017696-0.0022138i,-0.001826-0.0017906i,-0.0021861-0.00067282i,-0.0017519+0.00085532i,-0.00057062+0.00061711i,-0.00037364-0.00012307i,-0.00080189-0.00035463i,-0.00055591-0.00024011i,6.2872e-05+0.00017701i,0.00048378+0.000565i,0.00065869+0.00056475i,0.00079762+0.00048857i,0.00023941+0.00054831i,-0.00083648+0.00028002i,-0.0002908-0.00021973i,0.00051227-6.3545e-05i,7.7715e-05-1.2976e-05i,-0.00031924-0.00022579i,-0.00040684-0.00050698i,-0.0003047-0.00061465i,0.00021277-0.0004691i
-0.0020116+0.00039724i,-0.0025774+0.00052336i,-0.0026874+0.0014551i,-0.0017101+0.0020556i,0.00015496+0.0017796i,0.0015074+0.0011172i,0.0010877+0.00054187i,-0.00017676+0.00024227i,1.827e-05+0.00043529i,0.00060747+6.4433e-05i,0.00025679+0.00013421i,-0.00031168+0.00013872i,-7.2797e-05+4.7347e-05i,0.00022039+0.00077918i,0.00019128+0.00069201i,4.9169e-05+0.00043108i,-0.0002228+0.00058903i,-0.00023164+0.0008495i,0.0001024+0.00042162i,0.00025631-0.00026651i,-5.8987e-05-0.0002968i,-2.3609e-05-2.5847e-05i,0.00032891+0.00018389i
0.00071913+0.00054848i,0.0012282+0.00029773i,0.0012041-0.00019753i,0.00072597-1.0769e-07i,-0.00068125-0.00018775i,-0.0009713-0.00013453i,0.00011586+0.00017436i,0.00014028-0.00086449i,-7.1227e-05-0.00031042i,0.00087816+0.0009057i,0.00057473+0.00081335i,-0.00042144+7.4165e-05i,-0.00052019+0.00019586i,0.00020332+0.00044468i,0.00019086+0.00045041i,-0.00051104+0.00026589i,-0.00042711+0.00014761i,-0.00055469+0.00074127i,-0.00056192+0.00026508i,-1.4283e-05-0.00015003i,0.00042313+0.00018282i,0.0004828+0.00069031i,-0.00021516+0.00023814i
-0.00051564-0.00055534i,-0.00049615+9.9796e-05i,0.00030045+0.00019787i,-0.00036403-3.7879e-05i,-0.00014299-0.00071185i,0.00031411-6.5164e-05i,-0.00048683+0.00056212i,-0.0006141+0.00019493i,0.00036139-0.0006269i,0.00046808-0.00093333i,7.1315e-05-0.00047999i,0.00046588-0.00061756i,0.0004509-0.00034193i,-0.00011681-4.7642e-05i,-7.0568e-05-0.00035702i,6.2519e-05-0.0008298i,4.137e-05-0.0010406i,-0.00011292-0.00070584i,-2.8496e-05-0.00049978i,0.00021326-0.00044688i,6.915e-05+0.00038111i,-1.7605e-05+0.0010847i,-0.00035877+0.0010554i
8.6147e-05-0.0016846i,-0.00064007-0.0011438i,-4.9068e-05-0.0010724i,0.00076403-0.00070525i,0.00028877+0.00032111i,-0.0001363+0.00041532i,0.00048111-0.00045251i,0.00085084-0.00031896i,0.00011974+0.00018059i,-3.451e-05-1.3221e-05i,-0.00010077-0.00025515i,-0.0004458+0.00029244i,-0.0010387+0.00030154i,-0.0008938-0.00027115i,-0.00028318-0.00073042i,-0.00068689-0.0012609i,-0.0012153-0.0010163i,-0.0012486-0.00032453i,-0.0011521-0.00011748i,-0.00077549-0.00050438i,-0.00056017-0.00086635i,-0.00054165-0.0010293i,-0.0001735-0.00068256i
0.0017473+0.00047029i,0.00041783-9.0511e-05i,0.00034461-0.00036997i,0.00069466-0.0010023i,0.0005718-0.0021832i,0.00037022-0.0019939i,0.00014017-0.00073674i,3.3503e-05-0.00035755i,-8.1727e-05-0.00021037i,0.00014147+5.8334e-07i,-3.9291e-06+0.00010519i,-0.00038428+0.00063106i,0.00013896+0.00030136i,0.0001243-0.00065222i,-1.0811e-06-0.00092789i,5.7432e-05-9.639e-05i,-9.4116e-05-9.4375e-05i,-0.00015523-0.00058818i,-0.00061307-0.00019406i,-0.00031414-4.9219e-05i,-0.00012572-1.7697e-05i,-2.7035e-05+9.8704e-05i,0.0004642-0.00018362i
0.00094691-0.0016863i,-0.00015332-0.0006833i,-0.0012819-1.4998e-05i,-0.00089369-0.0006273i,0.00021399-0.00056373i,0.00033909-0.00012995i,0.00083339-0.00010658i,0.001643+4.0213e-05i,0.0011301-0.00020695i,0.00038074-0.00053695i,8.2313e-05-9.9322e-05i,-0.0004645+0.00076826i,-0.000752+0.00090839i,-0.00040946-0.00069013i,-0.00020263-0.0016047i,-0.00034803-0.0012167i,1.1841e-05-0.001481i,-9.4652e-05-0.0010803i,7.0152e-05-0.00051895i,0.00036907-0.00058022i,3.4352e-05-0.00050959i,-0.00037011-0.00030577i,-0.00078443+6.4148e-05i
0.0020225-0.00082984i,0.0012786-0.0010643i,0.00084789-0.0020666i,0.00094777-0.0020249i,0.00021693-0.0007392i,-6.2511e-05-0.00013648i,0.00058902-5.4017e-05i,0.0013607+0.00028835i,0.0017109-0.00021599i,0.00084055-0.00047296i,-0.00061542+0.00015143i,-0.00053916+0.00046124i,0.00053287+0.00072364i,0.00028704+0.00059372i,0.00053529-0.00018984i,0.00073396+0.00038819i,2.5289e-05+0.0012469i,-8.9169e-05+0.0010315i,-8.6664e-05+0.00021516i,-0.00030504-0.00051375i,-0.00031276-0.00067038i,5.6368e-05-3.0111e-06i,0.00020513-0.00028701i
0.00092914-0.0017094i,0.00061328-0.0023283i,0.00079482-0.0015851i,0.0004735-0.0010354i,-0.0002716-0.0013023i,-0.00081362-0.00073784i,6.7883e-05-0.00054693i,0.00058544-0.00036048i,0.00050753+3.2889e-05i,0.00042458+0.00010826i,-0.00032546+1.9914e-05i,-0.0011257+0.00061372i,-0.00065882+0.0010666i,2.9955e-05+0.00039914i,-0.00042879-4.0514e-05i,-0.00095458-0.00019628i,-0.00024946+3.4056e-05i,-0.00038779+0.00071137i,-0.00014412+0.0010475i,0.0010864+0.00052403i,0.00063249+0.00052111i,0.00032395+0.00055077i,-0.00016735+0.00026698i
7.1023e-05-0.0016866i,0.0010527-0.0016475i,0.0011856-0.001864i,0.00055157-0.0011583i,0.00028421-6.6092e-05i,0.00050526+0.00047115i,0.00087686+0.00049246i,0.00049588+0.00049085i,5.5889e-05+0.00034071i,0.00022731-0.00036758i,3.6634e-05-0.0012731i,-2.6978e-05-0.001473i,0.00084807-0.00022398i,0.001036+0.00071769i,0.00015509+0.00058993i,-0.00028187+0.00011247i,-0.00021727+0.00031243i,-0.00030699+0.00020662i,0.00023434-0.00011074i,0.00091078+0.00021081i,0.0005548+6.6925e-05i,-0.00038093-0.00043386i,-0.00028229-0.00039687i
0.001311+0.0015564i,0.00098719+0.00087256i,0.0014837+0.00018525i,0.0002819+0.00013096i,-0.001037-4.8848e-05i,-0.0010073+8.5852e-05i,-0.00019333+0.00049593i,0.00013475+0.00041175i,0.00096088+0.00032345i,0.0016252+0.00021343i,0.0011185+0.0001354i,-9.8573e-05+0.00037314i,-0.00084739-0.00029762i,-0.00057815-0.0010932i,-0.0007777-0.00039424i,-0.00090738+0.00010966i,-0.00015716+0.00060613i,-0.00021719+0.00044209i,-0.0005502-0.00019276i,-0.00091172-0.00014388i,-0.00099122-0.00013034i,-0.00031447-0.00036534i,0.00017587-0.00046491i
0.0015639+0.00050271i,0.0010118+0.0011571i,0.00064916+0.00037281i,0.00051804-0.0016049i,-9.8845e-05-0.0019363i,-0.00077363-0.00061842i,-0.00047221+0.00032971i,0.00035961+0.00069206i,0.0004669+0.00060007i,-0.00051092+6.5977e-05i,-0.00087377-0.00030809i,-0.00029722+0.00033714i,0.00064958+0.00093674i,0.00039064+0.00091967i,-0.00078276-0.00042164i,-0.00041889-0.00094465i,0.00032077+8.7979e-05i,0.00035077+0.00025654i,-0.00019342+0.00040413i,-0.00032549+0.0006211i,0.00016492+6.2043e-06i,0.00048298+9.3298e-06i,-0.00038308+0.00048839i
-9.1939e-05-0.00016218i,0.00010088-0.00040363i,0.0004211-0.0005064i,0.00028647-0.00078165i,-0.00034989-0.001479i,-0.00029871-0.0010423i,-0.00046958-0.00010039i,-0.00040178+0.00046279i,0.0002041+0.000395i,0.00024472+5.7248e-05i,7.7841e-05-0.0004328i,-0.00029013-0.00035894i,-0.0006703-0.00016859i,-0.00064151-0.00035811i,-0.00023129+3.8847e-05i,0.00019321+0.00017554i,0.00011204+0.00038237i,-0.00028624+0.00099963i,0.00029421+0.00081653i,0.0011476+0.00018155i,0.00050251-0.00053611i,-0.0002054-0.00070063i,-0.000864-0.00047003i
-0.00033833-0.0017143i,-0.00081838-0.00039123i,-0.0018874-0.00039732i,-0.0024333-0.00060373i,-0.0015162+0.0002303i,-0.00087176+0.0014193i,-0.00038105+0.0014847i,0.00077751+0.00046884i,0.0011132-0.00011635i,0.00032807+0.00029482i,-1.8095e-06+0.00037831i,0.0003169-0.00030676i,0.00050393-5.8811e-05i,0.00018047-0.00042219i,0.00022662-0.0012112i,0.0002811-0.00081487i,0.0003675-0.00025053i,0.00019324-0.0004303i,4.5969e-05-0.0011089i,0.00016226-0.00091679i,0.00038793-0.00041679i,6.6222e-05-0.00028757i,-0.00030745-0.00035006i
0.0019068+0.00074747i,0.0010149+0.00045511i,0.0004448-0.00047048i,0.00037393-0.0011565i,0.00043904-0.0014319i,0.00081437-0.0012322i,0.00069319-0.00085434i,0.00063622+0.00016144i,0.00034183-0.00024328i,-0.00021871-0.00085278i,-0.0005078-7.3158e-06i,-0.00033091+0.00013194i,-0.00033635+0.00016876i,5.9134e-05+0.00063823i,0.00072236+0.00044278i,0.00018134+0.00045676i,-0.00075374+0.0005502i,-0.001045+0.00034297i,-0.00076084+0.00040222i,-0.00023745+0.00036801i,-0.0003425+0.00055929i,-0.0005762+0.00094433i,-3.08e-06+0.00035942i
0.0031087+0.00072662i,0.0032661-0.00054105i,0.0022035-0.00186i,0.00093558-0.0023074i,0.00029987-0.0015967i,-6.2051e-05-0.00057288i,-0.00053643+0.00051876i,-0.00037626+0.00044635i,6.599e-05-0.00050149i,0.00040535-0.0013097i,0.00061494-0.0010573i,0.00023253-0.00027986i,0.00046315+0.00011971i,0.00069626+0.00036934i,0.00082571+0.00049961i,0.00045463+0.00075377i,-0.00054687+2.7026e-05i,-0.00084494-0.00045014i,-0.00051236-0.00024491i,-0.00028921+9.8112e-06i,8.3585e-05+0.00031021i,0.0001454+0.00014364i,0.00042192-0.00051306i
0.0014308-0.0012993i,0.0012453-0.00089743i,0.0012188-0.00065337i,0.0003827-0.0013247i,-0.0013318-0.0013044i,-0.0018168+0.00080312i,-0.0004373+0.0015969i,0.0015117+0.0011533i,0.001698+0.0011359i,0.00052866+0.00030339i,0.00015065-0.0002804i,0.00011835+0.00014626i,0.00047773-0.00012209i,0.00057895+0.000399i,0.00059552+0.0010225i,0.00055696+9.1381e-05i,0.00071656+0.00011287i,0.00084126+0.00016854i,0.00074108+0.00029221i,0.00055794+0.00078481i,0.00014714+0.0001121i,6.9099e-05-0.00051074i,0.00012556+0.00018619i
-0.0011169-0.00072087i,-0.00099739-5.8664e-05i,-0.00084932+0.0017579i,-0.00076796+0.0013932i,-0.00060866-0.00021301i,9.7236e-05-0.00070735i,0.0013185-0.0009335i,0.00093072-0.0013868i,0.00019831-0.0010699i,0.00044652-6.9713e-05i,0.00052803+0.00061139i,0.00027396+0.001019i,-0.00042888+0.00038158i,-0.00064337+3.9842e-05i,9.3953e-05-3.7927e-05i,0.00044439-0.00019326i,-1.1898e-05+0.00013602i,-0.00044433+0.00083381i,-0.0003392+0.00057458i,0.00021685+3.137e-05i,1.7179e-06-0.00025543i,-0.00064581-0.00055477i,-0.00051748-0.00039397i
-0.00044956-0.0016582i,-0.00055665-0.0012282i,-0.00077469-0.00064497i,-0.00038414+0.00021479i,-0.00027315+0.0011509i,-0.00045361+0.0011413i,-0.00049373+0.0012058i,-0.00018336+0.00074817i,0.00064595+0.00022352i,0.00055265+0.00036181i,-0.00015488+0.00043724i,-0.00053154+0.00037887i,6.0142e-05+5.355e-05i,0.00096004-0.0002586i,0.00051029+0.00026668i,-0.00075033+0.00063372i,-0.00080485+0.00054189i,-0.00054369+0.00032565i,-0.00044707+0.00019272i,0.00026713+0.00060981i,0.00072607+0.00074307i,8.4457e-05+0.00027905i,-0.00058871+7.8206e-05i
0.00088305+0.0018727i,0.0020336+0.0011711i,0.0013106-0.00023036i,0.00075812-0.0013514i,0.0010332-0.0017623i,0.0010904-0.001132i,0.0010473+0.00044275i,0.00057562+0.0010014i,0.00039436+0.00061187i,0.00096409+0.00046092i,0.00080108+0.00071414i,0.00092747+0.000273i,0.00035956-0.00073883i,-0.00041143-0.00064867i,-0.00011702+0.00016213i,0.00061689+0.00010138i,0.00057637+0.00026816i,-3.4586e-05+0.00060807i,-0.00035907+0.00037253i,-0.00042876+0.00051545i,-0.00033633+0.00082046i,-0.00035328+0.00046385i,-0.00039699-1.8774e-05i
-0.0018171+0.00067528i,-0.0017419+0.00082624i,-0.0011008+0.0011862i,-0.00041008+0.0011986i,1.7991e-05+0.0010979i,0.00025434+0.00020663i,0.00050222-0.00035545i,0.00085561+0.00023793i,0.0010996+0.00048412i,0.0013229+0.00029938i,0.00017418+0.00054825i,-0.00047101+0.0005995i,0.00095061-9.2441e-06i,0.0012999-0.00021611i,0.00058336-1.7231e-05i,0.00017375-0.00018655i,-0.00026793-0.00045228i,0.00017656-0.0003058i,0.0011818+0.00010917i,0.0010079-0.0001587i,0.00087543-0.00039647i,0.00023065+0.00022463i,-0.00013896+0.00066825i
-0.0029402-0.0008316i,-0.0012995-0.00092494i,-0.00077547-3.8997e-06i,-0.0007361+0.00095083i,-0.00023098+0.00167i,0.00025285+0.002157i,4.3467e-06+0.0015939i,-0.00020069+0.00010136i,0.00030909+0.00025335i,0.00013371+0.00043939i,3.8599e-05+7.0878e-05i,0.00029404+0.00067037i,6.6866e-05+0.0009717i,-0.00051894+0.0004187i,-0.0010106-5.8574e-05i,-0.0010801+0.00032704i,-0.00087039+0.0004685i,-0.00079842+0.00035067i,-0.00075154-0.00015165i,-0.00077693-0.00062817i,-0.0011237-0.0008055i,-0.00041357-0.0009173i,0.00012691+6.3871e-05i
0.0012734-0.0024828i,0.0015107-0.001987i,0.0015735-0.0011526i,-0.00010991-0.00054225i,-0.0017926-0.00049026i,-0.0011534+0.00011322i,0.00021759+0.00012772i,0.00045034-0.00018763i,0.00038353-0.00035861i,0.000908-0.00059846i,0.00067902+0.00041692i,0.00010453+0.0019962i,0.00068818+0.0019145i,0.0010887+0.00068435i,0.00032616-7.4891e-05i,5.7593e-05+8.9222e-05i,0.00047335-0.00031577i,0.00022437-0.00067347i,-0.00060269-0.00038426i,-0.0012443-0.00092286i,-0.00080453-0.00079234i,-0.0001569+3.1715e-05i,-0.00034944+0.00027271i
-0.00041388+0.00091289i,0.00048628+0.0014838i,0.00049897+0.0017936i,0.0013411+0.00076829i,0.0013977-0.00012398i,0.00034848-0.00047725i,0.00030935-0.00031105i,0.000258-1.4587e-05i,-0.00014743+2.2392e-05i,8.4853e-05-0.00068939i,7.3757e-05-0.00052297i,-0.00033581+7.6852e-05i,-0.00031183+0.00041823i,9.8738e-05+0.00079007i,0.00020113+0.00055633i,0.00012476+0.0008298i,3.3919e-05+0.00079984i,-0.00052313-0.00012336i,-0.00039554-0.00094948i,-5.2679e-05-0.0016313i,0.00019725-0.00095291i,0.00049292+0.0002255i,3.1464e-05+0.00046103i
0.00066362+0.00073619i,-0.00019565-4.9553e-05i,-0.00017076-0.00085621i,-0.00064662-0.0013962i,-0.001706-0.000999i,-0.0021281+0.00032242i,-0.0014253+0.00043953i,-0.00052402-4.2632e-05i,0.00012875+0.00047113i,0.00037266+0.0007584i,-4.6394e-06+0.00093598i,-0.00074012+0.00099926i,-0.00032622+0.00048302i,-0.00046102+0.00011858i,-0.00068135-0.00028111i,-7.3123e-05-7.359e-05i,0.00060016-0.00010635i,0.00071196-0.00049497i,0.00026072+0.00043553i,7.2022e-05+0.0010342i,-0.0003453+0.00084934i,-0.00091096+0.00012406i,-0.00099244-2.7918e-06i
-0.00061167-0.0014188i,3.8101e-05-0.001655i,-0.0003989-0.00091496i,-0.00081697-0.00058179i,0.00059572+1.2008e-05i,0.0008811+0.00042048i,-0.00015305+0.00072101i,-0.00073681+0.00085039i,-0.00035648+0.00028346i,0.0013317-0.00023101i,0.0010975+0.00024403i,-0.00017174+0.00073944i,-0.00021011+0.00056307i,0.00055662+0.00037917i,0.00049424-7.9346e-05i,0.00016778-0.00011026i,-9.0151e-05-0.00082185i,0.00017166-0.00086981i,-0.00019913+0.00078353i,-0.00012946+0.00097018i,0.00020075+0.00026414i,-5.7686e-05+7.2825e-05i,-0.0001971+0.00016631i
-0.00045473-0.00112i,0.00024253-0.00072541i,-0.00050149-1.0926e-05i,-0.00044667+0.00055684i,0.00041903+9.065e-05i,0.00070531+0.00024898i,0.001023+0.00041204i,0.0009485+0.00093401i,0.00036319+0.00090854i,0.00047869+0.00048927i,0.00059367+0.00089566i,-0.00027981+0.0012489i,-0.00045056+0.00086022i,-0.0003067+0.00036076i,-0.0002621+0.00010526i,0.00032509+0.00054734i,3.6629e-05+0.00083633i,-8.0662e-05+0.00057773i,0.00069541+0.0003296i,0.0012491+0.00029792i,0.0012193+0.00033046i,4.5512e-05+0.00023809i,-0.00076978+8.8514e-06i
0.0016607-0.00059134i,0.0016389-0.00073247i,0.00057137-0.001993i,-0.00043764-0.0010594i,-0.0012868+3.6834e-05i,-0.00090915+0.00016041i,-8.6626e-05-0.00017999i,0.00050725-0.00089905i,0.00059969-0.0012391i,0.00040467-0.00055448i,0.00063093-0.00014709i,0.0008589-0.00013411i,0.0010734-0.00044818i,0.00074043-0.00091223i,0.00033623-0.00087796i,0.00020413-0.00051681i,-0.0002656-1.6508e-05i,-0.00030416+0.00015996i,3.5731e-05+0.00052831i,0.00028823+0.0010654i,0.0007147+0.00076927i,0.00085246+0.00034723i,0.00051746-9.8996e-05i
