-0.000202-0.00059837i,-0.00092255+0.00042098i,-0.0016388-0.00012823i,-0.00063008-0.00094706i,0.00037023-0.0010846i,0.00055015-0.00045494i,0.00057994+0.00026212i,0.00087231-6.1913e-05i,0.0016921-0.00048469i,0.001672-0.00034194i,0.00063958-0.00037293i,0.00042726-0.0012672i,0.0008323-0.0016668i,0.0003869-0.0010092i,-0.00038338-1.0094e-06i,-0.00063907+0.0010412i,-6.5037e-05+0.00099574i,0.00029204+0.00065373i,-0.00029685+1.3683e-05i,-0.0003473-0.00080858i,0.00047401-0.00052103i,0.00059869-0.00072903i,-0.00036311-0.00060791i
-0.0020683-8.0601e-05i,-0.0019399+0.00056435i,-0.0020052+0.0013027i,-0.0011956+0.0022982i,0.00053379+0.0017487i,0.0018619+0.00032982i,0.0018719-0.00059022i,0.00086583-0.0013558i,5.7426e-05-0.00134i,0.00086777-0.00073339i,0.001348-0.00055553i,0.0010882-0.00039541i,0.00069978-0.00033731i,-0.00014249-0.00040114i,-0.00083212-0.00057177i,-0.00053274-0.0007908i,0.00018058-0.00019958i,0.00050016+0.00022458i,0.00039749-0.00058221i,0.00046485-0.00075394i,0.00096134-0.00040007i,0.00081256+6.144e-06i,-9.4966e-05+0.00030777i
0.0014494+0.00083573i,0.00036872+0.00093644i,0.00057967+0.0011494i,0.00038921+0.00095223i,3.8092e-05-7.842e-05i,-0.00017152-0.00037953i,0.00016364-0.00082384i,0.00078803-0.00097333i,0.00085903-0.00091102i,0.00074433-0.0012618i,0.00063217-0.0010479i,0.00092794-0.00039182i,0.00061229-0.00022379i,-0.00033768+1.9919e-05i,-0.00015001+0.00058742i,0.00033497+0.00080058i,0.00059467+0.00075303i,0.0010393+0.00044297i,0.00057245+0.00023536i,0.00020926+0.00031409i,4.8922e-05+0.00051309i,0.00042587+0.00030648i,0.0012352-0.00018158i
-0.00044929+0.0013458i,-0.0012092+0.0014851i,-0.00023619+0.00088987i,6.3619e-05+0.00067338i,0.0003718+0.00030082i,0.00038973+9.8925e-05i,0.00055604+0.00025678i,0.0007164-0.00054084i,0.00039453-0.0013668i,0.00017982-0.0012395i,-0.00015168-0.0004128i,0.00030682-0.00035886i,0.00085503-0.00057462i,3.4997e-05-6.737e-06i,-0.00051609-0.00046645i,0.00018374-0.0011847i,0.00024302-0.00043192i,0.00044911+0.00020425i,0.00099222-9.5487e-05i,3.6842e-05+0.00017662i,-0.00086094+0.00029251i,-0.00078279-0.00030497i,-0.00040687-0.00094152i
0.00019381-0.0020239i,-0.0008146-0.00090335i,-0.0019279+0.00040797i,-0.0012856+0.0018339i,-8.0545e-06+0.0021905i,0.0010637+0.0015226i,0.0008617+8.985e-05i,3.666e-05-0.0012733i,-0.00097959-0.0015399i,-0.00090234-0.00088142i,-0.00033235-0.00034651i,-0.00048279-6.3416e-06i,-0.00027987+0.00012152i,-7.4139e-05+8.809e-05i,-0.00010232+0.00069162i,-0.000276+0.001047i,-0.00086186+0.0013452i,-0.0011534+0.001557i,-5.3739e-05+0.00057501i,0.00041002+0.00040322i,-6.6216e-05+0.00079011i,-2.6498e-05-4.6752e-05i,-0.00024833-0.00055858i
0.000349-0.00042049i,0.00031246-0.00045907i,0.00014983-0.00024185i,-0.00061743-0.00053418i,-0.00046843-0.00071381i,3.2371e-05-0.00055348i,0.00010942-0.00041968i,-0.00021319-0.00076966i,-0.00069491-0.001259i,-0.0010866-0.0011333i,-0.00034352-0.0004718i,0.00037351+0.00030272i,0.0008366+0.00039441i,0.00063575+0.00062413i,0.00024813+0.00050141i,-6.9783e-05-0.00028202i,0.00049866-0.00086706i,0.00049741-0.00042892i,0.00072291+7.1234e-05i,0.0011243+0.00026113i,0.00095288+0.00043999i,0.00082981+0.00020203i,0.00036647-0.00013133i
0.00012287+0.00037094i,-4.3718e-05+0.0010668i,-0.00052154+0.00084256i,-0.00043113+0.00046061i,1.1841e-05+0.00052972i,0.0011004+0.0003452i,0.0014373+1.6187e-05i,0.0011031-0.0006617i,0.00062797-0.0011472i,-0.00048876-0.0012324i,-0.00027347-0.00083065i,0.00091716-0.00047488i,0.0013529-0.00087993i,0.0012128-0.0013558i,0.00063746-0.00074509i,-0.00067598+8.6018e-05i,-0.00018381-0.00028022i,0.0012225-0.00022864i,0.00074936+0.001071i,0.00011637+0.0010758i,0.00017382+0.00023657i,0.00025056-0.00032018i,0.00036921-0.00026552i
0.00045017-0.0017006i,0.00014624-0.0013869i,-0.00099916-0.0010519i,-0.0018946+0.0011887i,-0.00092396+0.0019471i,0.00081432+0.0011967i,0.00088432+0.0005531i,-0.00013755-0.00038581i,-0.00024849-0.0012714i,-7.5754e-05-0.0014838i,-8.3187e-05-0.00076202i,0.00020376-0.00082592i,0.00046475-0.00039965i,-0.00019174+0.00032006i,-0.00042483+2.5939e-05i,0.00023453-0.0001792i,0.00035212-0.0006886i,8.713e-05-0.00063217i,0.00058717-0.00015351i,0.00065977+0.00027688i,0.00095263+0.00051054i,0.0011172-2.8676e-05i,0.00052071-0.0005451i
0.00029135+0.00066264i,0.00056827+0.001309i,0.00030832+0.001501i,-0.00017507+0.00086429i,0.0004359+0.00033032i,0.0011038-0.0002074i,0.00073009-0.0003522i,0.00023094+0.00018693i,0.00037185+3.3657e-05i,0.00029899-0.00022543i,0.00032475-0.00050166i,-6.8762e-05-0.0011311i,-8.8562e-05-0.00064488i,0.00020277-7.5483e-05i,0.00019152+7.673e-05i,-5.7677e-05-0.00018742i,-0.00031827-0.00014253i,-0.00048523-0.00026138i,-0.0002594-0.00060214i,-0.00032286+0.00011361i,-0.00056354+0.00052999i,-0.00033784+0.00060787i,0.00018241+0.00026306i
-0.00084683+8.041e-05i,-0.0011468+0.00098603i,-0.0018928+0.00084461i,-0.00079608+0.00046882i,0.00036121-0.0003383i,8.7929e-05-0.00076303i,0.0001104-0.00093646i,0.00068111-0.0011994i,0.00057912-0.0010805i,0.00029825-0.00095515i,4.9762e-05-0.00053923i,0.00028345-0.00013299i,0.00056747-0.00040311i,0.00043621+0.00017087i,0.0001497+0.00048147i,0.00011961-2.6691e-06i,0.00036517+0.00022478i,0.00052923+3.4718e-05i,0.00096816+0.00041087i,0.0010449+0.0011212i,0.00081722+0.0011129i,0.00076569+6.4899e-06i,0.00029365-0.0010111i
-0.00025599+0.00059045i,-0.00097672+6.1801e-05i,-0.0016025-7.6759e-05i,-0.0013845+0.00083788i,-0.00023845+0.001716i,0.0006213+0.0011591i,0.00030235-0.00075808i,0.0001456-0.0015121i,8.1911e-05-0.0014031i,-4.2011e-05-0.0015655i,0.00017017-0.00080847i,0.00058454+0.00029902i,0.001283+0.00088771i,0.0016759+0.00037774i,0.00041661-0.00010111i,-0.00098972-0.00055886i,-0.00054673-0.00054659i,0.00012364+0.00023576i,-0.00027082-0.00015821i,-0.00051437-0.00059363i,-7.9206e-06+0.00029225i,0.0002285+0.00043201i,8.5537e-05-0.0004737i
-0.0017505+0.00064345i,-0.0027901+0.0020305i,-0.0023425+0.0031804i,0.00018633+0.0022585i,0.0025903+4.444e-05i,0.0017437-0.0010345i,7.3969e-05-0.00039109i,0.00075609-0.00033714i,0.00053467-0.00090937i,-0.0010451-0.00064725i,-0.0011058-0.00076302i,7.1296e-06-0.0013567i,0.0013071-0.00079069i,0.00089316-0.00025217i,-0.00023568-0.00041776i,-0.00071617-0.00030787i,-0.00052783-0.00056393i,-0.00014616-0.00065647i,-0.0007844+0.00026267i,-0.00073985+0.0003356i,0.00018085-0.00018084i,-1.0868e-05-1.0229e-05i,0.00036569+1.8552e-05i
-0.00018066-0.00098985i,-0.00080466-0.0009889i,-0.0022134-0.0012752i,-0.0024411-0.00091879i,-0.00053869+0.00012154i,0.00043952+9.0662e-05i,0.00026873+6.2824e-05i,0.00040796-6.1783e-05i,0.0008499-0.00015453i,0.0010658-0.00029999i,0.00070089-9.8786e-05i,0.00020537+4.4787e-05i,0.00060139+0.00024956i,0.00039476-5.0199e-05i,-0.00048397+0.00011251i,-0.0003983+0.00025943i,0.00022972-7.4382e-05i,-1.1516e-05+0.0004338i,-0.0007175+0.00064113i,-0.00096445+0.00012195i,-0.0015709-5.376e-05i,-0.0012885-0.00015722i,-0.0004415+6.6381e-05i
0.00037204-0.0014968i,0.0016989-0.00093039i,0.00042668-0.0006689i,-0.00079378-0.00034497i,-0.00043232+0.00029266i,-5.8068e-05+0.00014938i,0.0005401-0.00020239i,0.00092838-0.00066151i,0.00042007-0.0017346i,0.00017275-0.0011308i,-0.00014894+0.00058251i,-0.00043832+0.00073358i,-6.1244e-05+0.00015458i,0.00019773+0.00042993i,0.00017717+0.00046388i,1.1562e-05+0.00022391i,0.00015437+0.00060774i,0.00023492+0.00095736i,0.0001529+0.0013842i,-0.00046218+0.0017331i,-0.00036714+0.0012604i,0.0003712-0.00047662i,0.00090936-0.00065157i
0.0012938+0.0010106i,0.00068204+0.0015748i,-0.0002005+0.0010029i,-0.00090376+0.00039448i,0.00018555-8.22e-05i,0.00039929-0.00044576i,-0.00013325-0.001163i,-6.4228e-05-0.0016167i,-0.00020705-0.0010013i,0.00014386-4.0758e-05i,0.000258+0.00024709i,-0.00011666-0.00011648i,4.5036e-05-0.00088894i,0.00027063-0.0013284i,0.00047523-0.00087606i,0.00018222-0.00040526i,-0.00018416+0.00047492i,-0.00038651+0.00072274i,-0.00085907+7.6538e-06i,-0.00054914-0.0007508i,8.417e-05-0.00085592i,-6.2997e-05-0.00051518i,7.5887e-05-0.00046208i
-0.00086317+0.00090822i,-0.0019641+0.0011735i,-0.0021006+0.00091573i,-0.00057695+0.0011362i,0.0008257+0.00095901i,0.00065932-0.00041963i,1.0141e-05-0.0014992i,5.3079e-05-0.0014055i,-0.00045311-0.0015234i,-0.00067187-0.0016622i,-0.00010578-0.0017361i,0.00055193-0.00061133i,0.0004587-0.00021381i,-8.0432e-05-0.00051674i,-0.00023768+0.00018694i,-0.00011498+0.00059669i,-6.9441e-05+0.0001525i,-0.00078448-5.691e-05i,-0.0006099-4.1658e-05i,0.00026788-0.00012085i,0.00060045+0.00031359i,0.0003931+0.00050613i,0.00034624+0.00049077i
6.737e-05-0.00065117i,-0.0010763-0.00024715i,-0.0011571+0.00021107i,0.00014331+0.00011921i,0.00069253+1.4918e-05i,0.00086425+0.00018811i,0.0010336-0.00043521i,0.00063604-0.00098122i,8.5529e-05-0.00071804i,-4.1569e-05-0.00040206i,-6.6341e-05-0.0002836i,8.7603e-05-0.00021727i,0.00050898-0.00048923i,0.00024834-0.00031136i,-4.0229e-06+0.00031828i,0.00012204+0.00076594i,-0.00038949+0.00041213i,-0.00077623-0.00018173i,-0.00013705-2.7051e-05i,0.00090007-2.2669e-05i,0.0008988-0.00039562i,0.00038322-0.00022389i,0.00071697+4.9741e-05i
-0.00019646-0.00099359i,-0.0011009-0.00020317i,-0.0028838-0.00023183i,-0.0018124-0.00025966i,0.00066923+0.00044234i,0.0015754+0.00030972i,0.0013699-0.00020847i,0.0004882-0.00023368i,-0.00023823-0.0010579i,-0.00040374-0.0017099i,-0.00035179-0.00090914i,0.00030984+0.00032558i,0.00056419+0.00033398i,0.0002124-0.00079029i,4.6081e-05-0.0011493i,0.00042639-0.00067653i,0.00053073-0.00011795i,2.467e-05-7.5172e-05i,-9.5113e-05-0.00065664i,8.5471e-05-0.00071188i,0.00013881-1.1817e-05i,0.00034201-0.00013684i,0.00034987-0.00086201i
0.00016426+0.0016766i,0.00026342+0.00038703i,0.00027217+6.6879e-05i,0.0013106-0.0003114i,0.0020382-0.00066231i,0.0013921-0.0011821i,-6.2354e-05-0.0012478i,-0.00079995-0.0013749i,-9.7641e-05-0.0016632i,0.00048472-0.0016061i,0.00051996-0.0010029i,0.0014674-0.00065418i,0.00099231-0.0001709i,-0.00048455+0.00067658i,-0.00049221+0.00031845i,8.0272e-05-0.00038138i,-0.00024525+0.00010096i,-0.00047217+0.00023426i,0.00076842-0.00022334i,0.0011354+0.00019497i,0.00054488+0.00016163i,0.00011367-0.00010537i,0.00027701+4.6669e-05i
