-0.00098925+0.00022607i,0.00073808-0.0012143i,0.00079952-0.00045741i,0.00037071+0.00049611i,0.00011739+0.00097719i,0.0011472+0.0012729i,0.0019722+0.0012317i,0.0017332+0.001047i,0.0015165+0.00112i,0.0012878+0.00057089i,0.00069112-0.00051337i,0.00047744-0.00096067i,-9.9719e-07-0.0013884i,-0.00058643-0.0012206i,-0.00024503-0.00086513i,-0.00037527-0.00046743i,-0.00084584-0.00017227i,-0.00069984-0.00039973i,-0.00042936-0.00059517i,-0.00017489-0.0004822i,4.686e-05-0.00023616i,0.00030612-0.00014247i,0.00029976+0.00034943i
0.00075709-0.00059583i,0.0016823+0.00021186i,0.0014553+0.0012423i,0.00057451+0.0020343i,0.00062381+0.0015931i,0.0012449+0.00058977i,0.00082316+0.00019128i,-0.0003379+0.00027708i,-0.00058842+0.00034676i,-0.00022087+0.00062844i,-0.00018828+0.00032357i,0.00022208-0.00035091i,0.00071586-0.00031142i,-0.00017077-0.00018411i,-0.0010728+0.0003447i,-0.0011293+0.00020625i,-0.00082771-0.00013723i,-0.00039363-0.000329i,0.00023257-0.00040115i,0.00034042-0.00044505i,-0.00028171+0.00063973i,-0.00021414+0.0007836i,0.00056293+0.00024902i
0.0018048-0.0011523i,0.0020916-0.0023231i,0.0024659-0.0031791i,0.0016329-0.0024432i,-0.00021808-0.0010061i,-0.00033797+0.00035722i,0.00072798+0.00080127i,0.00066836+0.00062621i,0.00045548-0.00016219i,0.00036516-0.00030867i,-0.00022824+0.00046519i,-0.000156+0.00039977i,0.00038677-0.00062958i,0.00045466-0.00075847i,0.00016447+0.00032551i,9.5606e-05+6.0525e-05i,0.00031936-0.00038551i,0.00020659+0.00028759i,-0.00016936+0.00057496i,0.0001317-5.5356e-05i,0.00062497-5.4177e-05i,3.6219e-05-0.00017898i,-9.264e-06-0.00025961i
-0.00048893-0.0010779i,-0.00070948-0.00050833i,0.00057766+0.00024711i,0.0011887+6.6573e-05i,0.00019789+7.2743e-05i,0.00072565-0.00026589i,0.0012563-0.0005365i,0.00031649-3.7038e-05i,0.00033579+0.00049774i,0.00089549+2.2202e-05i,0.001217-0.00011162i,0.0012332+0.0006539i,0.00090523+0.00083782i,0.0001545+0.00044974i,-0.00039018+0.00042653i,0.00031464+0.00061672i,0.00046577+0.00058023i,-0.00045073+0.00014268i,-0.001238-0.00020137i,-0.00054649-0.0001172i,-0.00042511-3.1692e-05i,-0.00086015-0.00036756i,-0.00060109-0.00075558i
-0.0006035-0.0011604i,-0.00051666+0.00026267i,-0.00056967+0.001038i,0.00030218+0.00031555i,0.0014354+0.00052535i,0.0021159+0.00068464i,0.0020514+0.00024448i,0.0018609+0.00010363i,0.00096343+0.00022123i,0.00031276+0.0010276i,0.00043778+0.0014799i,0.00080065+0.00044516i,0.00088113-0.00033142i,0.00051789-0.00047061i,0.00012017-0.00062104i,-0.00071427-0.00092808i,-0.00021626-0.0011186i,0.00034006-0.00065433i,-2.159e-05-0.00043547i,-7.5813e-06+0.00028782i,-0.00026152+0.00067377i,-0.00026636+0.00056808i,0.00054681+0.00023723i
0.0016423+7.53e-05i,0.0028045+0.0006632i,0.0028986+0.00062647i,0.0021591-3.5129e-05i,0.001245+0.00020874i,0.00054509+0.00098953i,0.00097513+0.001347i,0.0013257+0.0011328i,0.00085542+0.00039182i,0.00021997-0.00036405i,2.6609e-05-0.00045173i,0.00062769-0.00090973i,0.00054606-0.00056355i,-0.00019695-0.00033926i,-0.00055811-6.0495e-05i,0.0001308-0.00014799i,0.00053693-0.00014149i,-9.2693e-07+0.00018417i,0.00013388+0.00010813i,0.00046386+0.00038554i,5.052e-05+0.00064155i,-0.0002706+0.0001303i,2.2679e-05+3.423e-05i
-0.00038917+0.0003139i,0.00070928+8.3075e-05i,0.0015683-5.3361e-05i,0.00066847+0.0002895i,-0.00018994+0.00014953i,0.0012614+8.4649e-05i,0.0022009-0.00025146i,0.0020295-0.00061502i,0.0015525-0.00070079i,0.00075564-0.000448i,0.00053265-0.00026175i,0.001259+0.00012234i,0.0017579+0.00055627i,0.00091179+0.00039531i,-0.00034469+2.7323e-05i,-0.00017704-0.00018997i,-0.0007049-8.4527e-05i,-0.0013662-0.00018585i,-0.00049633+0.00011775i,0.00036489+0.00065374i,0.0002475+0.00059561i,5.4497e-05+0.00019396i,-0.00013948-0.00030319i
-0.00042932-0.0014398i,0.00046486-0.0010986i,0.0012588-0.0011121i,0.00064265-0.00063381i,-0.00016321-0.0004123i,0.00049867-8.2245e-05i,0.001373+0.00040757i,0.0013853+0.00063596i,0.00010279+0.00063692i,-0.00087719+0.00014692i,-0.00072745-0.00091854i,-0.00020655-0.0013122i,-0.00072349-0.00069936i,-0.0013487+9.5921e-05i,-0.00021734+0.00044221i,0.00069325+0.00016246i,0.00054995-0.00023503i,0.00044882-0.0002939i,-0.00051625-0.0002327i,-0.0011841-0.00029867i,-0.0010421-0.00075358i,-0.00083278-0.0014391i,-0.00027227-0.0014688i
0.0017965-0.0005292i,0.0016578-0.0012606i,0.0019504-0.001277i,0.0017143-0.0013793i,0.00032789-0.0018026i,4.2281e-05-0.0015171i,0.00098537-0.00015501i,0.00051382+0.00047064i,-0.00011201+0.00058361i,-0.00011096-1.962e-05i,-0.00049234-0.0004523i,-0.00018477-0.00045565i,-0.00028695-0.0003982i,-0.0010011+0.00029615i,-0.00096694+0.00081552i,-0.00068217+0.00045213i,-0.00051276+0.00066084i,-0.00036446+0.00060139i,0.00013282-0.00015519i,0.0008452+1.5184e-05i,0.0012065+0.00026754i,0.0012702+0.00054897i,0.001292+0.00029178i
0.00073994-0.00013526i,0.00070163-0.00090896i,0.00073857-0.0005519i,0.00088583-8.9864e-05i,0.00042537-0.00018147i,0.00059081+0.00010543i,0.00053873+0.00038913i,-0.00021743+0.00025541i,-0.0006895+0.00028861i,-0.00048327+0.00052678i,-0.00015471+0.00050176i,-0.00052651+0.00016222i,-0.00037724-0.00020703i,-0.00018302+0.00049136i,-0.0004412+0.00037579i,-0.00029225-0.00028428i,0.00011202-4.6358e-05i,-0.00028109+0.00010981i,-0.00038022-7.2936e-05i,1.6558e-05-9.1445e-05i,0.00012888+2.2794e-05i,-0.00012649-2.3265e-05i,-0.00035283-0.00029199i
0.0028576-0.00021922i,0.0031329-0.00096584i,0.0027589-0.0015773i,0.0013328-0.0015151i,0.00041973-0.00074879i,0.00035618-4.6145e-05i,0.00070986-9.4545e-05i,0.0014532+9.1228e-05i,0.0014007+0.0004618i,9.333e-05-0.00012164i,-0.00034396-8.1396e-05i,0.0007663+0.00036814i,0.0010703+0.00030816i,0.000477+0.00011904i,0.00028847+0.00039047i,0.00041805+0.00048382i,0.00051447+0.00027356i,0.00025738+0.00069717i,-0.00011543+0.00044269i,-0.00016953+0.00024223i,0.00041453+0.00046556i,0.00088627+0.00013705i,0.00029362-0.00024094i
-0.00030974-0.0017194i,0.0003063-0.0014273i,0.00078022-0.00059894i,0.00062187+0.00027895i,0.00028445+0.0006035i,0.00050201+0.00061766i,-0.00026079+0.00015617i,-0.00040736+0.00038725i,-1.2286e-05+0.00074918i,-0.00039389+0.00034764i,-0.00078149+0.00018247i,-0.00019603-0.00048296i,0.00026955-0.00096948i,0.00064619-0.00083793i,0.00090334-0.001036i,0.0003038-0.0011467i,-0.00045339-0.00097813i,-0.00076959-0.00090924i,-0.00018411-0.00042195i,0.00018336+0.00039166i,-0.00036777+0.00052892i,-0.00057078-0.00034467i,-0.00022388-0.0013033i
0.00041646-0.0010849i,0.00052952-0.00091375i,0.00071746-0.00089553i,0.00040021-0.00038324i,-0.00040723-3.0617e-05i,4.3044e-05+0.00028583i,0.00056123+0.0005632i,0.00067567+0.00096315i,0.00050157+0.0012962i,0.00033928+0.00076385i,0.0001033+0.00042664i,-5.7512e-05-0.00028964i,0.00021522-0.00061167i,0.0010345-0.00054339i,0.0016613-2.6548e-05i,0.00039924+0.0001381i,-0.0007135-0.0007226i,-0.00016476-0.00051885i,0.00061485-0.00042098i,0.00028112-0.00084658i,0.00015349-0.00020666i,0.00014072+0.00025755i,8.717e-05+0.00026099i
-0.0010242-0.00040564i,0.00034336-1.4814e-05i,0.0013095+0.00083935i,0.00070048+0.0018391i,0.00060692+0.001601i,0.001576+0.00079804i,0.0012221+0.00078062i,0.00046554+0.0007991i,0.00021703+0.00045306i,-5.2399e-05+0.0003534i,-0.00026083-0.00011602i,-7.7193e-05-0.00035369i,-8.0143e-05-0.00027291i,6.8339e-05-0.00065055i,-0.00010728-0.00041639i,-0.00023588+0.00016781i,5.8388e-05+0.0003995i,0.00027949-0.00038793i,-3.0017e-05-0.00091272i,-6.6085e-05-0.00063989i,0.00037087-0.00082982i,0.0010138-0.0007268i,0.0013993+0.00011901i
0.0029959-0.0013411i,0.002624-0.0010032i,0.0026503-0.0013787i,0.0011617-0.0020209i,-0.00053218-0.0015528i,-0.00047935-7.9047e-05i,0.00015399+0.00041485i,0.0010405+0.00011208i,0.0014544+0.00030525i,0.00083398+1.793e-05i,-7.9655e-05+0.00014364i,-0.00042573+0.0005349i,-8.8993e-05+0.001012i,-0.00094868+0.0012124i,-0.0014438+0.0011241i,-0.0008785+0.0013874i,-0.00050317+0.00091708i,-1.2789e-05+0.00048022i,-1.9294e-05+0.00070801i,-0.00020309+0.00086937i,-9.9603e-05+0.00031361i,-0.00020231-0.00016629i,0.00017732-0.00013204i
0.0018651-0.0015764i,0.00052001-0.0018111i,0.00018868-0.0014154i,0.00032381-0.0011194i,-0.00011089-0.0010162i,0.00064122-0.00044863i,0.0019762-1.7019e-05i,0.0024241+0.00081719i,0.0019544+0.0011795i,0.00090411+0.00088955i,0.00016276+0.00037469i,-0.00068748+1.9744e-05i,-0.0011195+0.00028253i,-0.00018078+0.000649i,0.0010862-0.00010757i,0.0010435-0.00092418i,7.7932e-05-0.00041388i,-0.0010936-0.00024197i,-0.0016816-0.00094133i,-0.0014795-0.00057221i,-0.00081832+0.00014515i,-0.00024227-8.4396e-05i,0.00054386+0.00014921i
0.00020888-0.00084545i,0.00024202+4.4908e-05i,0.00068955+8.584e-05i,0.00060365-7.757e-05i,0.00010678+0.00026508i,0.00066733+9.4226e-05i,0.0018161+4.4652e-05i,0.001028+0.00072546i,0.00028677+0.00040411i,0.00039216-0.00054299i,0.00010058-0.00091943i,-7.3184e-05-0.00052026i,-0.00046401-0.00025532i,-0.00042537-0.00054212i,6.7945e-05-0.00073009i,-0.00035654-0.00055164i,-0.00048704-0.00042218i,-7.4218e-05-0.0007393i,1.4556e-05-0.00039776i,0.00023661+0.00026766i,0.00016019+0.00031402i,-0.00017431+0.00042063i,-0.00038016+0.00080589i
0.00050692+0.0016479i,0.0015782+0.0018123i,0.0021658+0.00039582i,0.0016644-0.00077424i,0.00071583-0.00063259i,0.00068767-0.00043633i,0.00044216+0.00026325i,-0.00018895+0.0016071i,0.00039698+0.0017776i,0.00084269+0.0008966i,0.00098678-0.00038539i,0.00042214-0.0012429i,0.00012304-0.00087958i,0.00061383-0.00058842i,0.00051321-0.00084473i,-3.6979e-05-0.0009329i,-0.00035544-0.00040996i,-0.00032296-0.00024473i,0.00049344+0.00027442i,0.00093634+0.00093483i,0.00026541+0.00078914i,-0.00025714+0.00053553i,-0.0003111+0.00040154i
