-0.0033089+0.00055602i,-0.0034137-0.00022382i,-0.0042453-0.0010592i,-0.0027784-0.0014774i,-0.0014572-0.00093005i,-0.0010198+0.00010307i,1.2993e-05+0.0010202i,0.00084384+0.0010354i,0.00083916+0.0012439i,0.00048663+0.0013863i,0.00056364+0.00025276i,0.00026439-0.00062394i,-0.0003338-7.1806e-05i,-0.00053061+0.00053515i,-0.00013832+0.00013783i,9.4533e-05-9.582e-05i,-0.00036567+0.00011816i,0.00032916+0.00059119i,0.00093059+0.0012057i,0.00042721+0.0010629i,-2.0474e-06+0.00032455i,-0.00026181-0.00036799i,-0.00048288-6.4798e-05i
0.00061535+0.0020672i,3.9831e-05+0.001606i,3.2967e-05+0.0011809i,-2.1444e-05+0.0002655i,-0.00065683-0.00053655i,-0.00055872-0.00070688i,-0.00078312-0.00069887i,-0.0012859+0.00022191i,-0.0012595+0.00098259i,-0.00081396+0.00078293i,0.00036801+0.00072779i,0.00069522+0.000671i,0.00067552+0.00098378i,0.00081829+0.001145i,0.00070582+0.00024453i,0.00036677-0.00055011i,-1.4787e-05-0.00065318i,0.00017063-0.000119i,0.00010401-0.00031676i,4.5038e-05-0.00026782i,-0.00022305+0.0003848i,-0.0001532+0.00053937i,0.00015217+0.00052382i
0.00048021+0.0026969i,0.0010992+0.0018695i,5.3462e-05+0.00096078i,0.00036629+0.00038453i,0.0011441-0.00028061i,0.00081492-0.00021492i,-0.00024044-0.00052138i,-0.00059844-0.0005479i,-0.00059822-0.00057074i,-0.0008188-0.00047828i,-0.001027-1.4992e-05i,-0.00050867-9.43e-05i,0.00052556+7.4157e-05i,0.00037736+0.00070474i,-0.00090181+0.00078076i,-0.00073435-8.0212e-05i,-0.00016114-0.00029108i,-0.00050906+0.00052285i,-0.00072554+0.00085368i,-8.196e-05+0.00040318i,0.00041223-0.00022585i,-6.0129e-05-0.00088424i,-0.00089735-0.0011323i
-0.00039313+0.00045484i,-0.00039539+0.00037283i,0.0010967+0.00072408i,0.0017802+2.3816e-05i,0.0016021-0.0013303i,0.001327-0.0022329i,0.00027243-0.0013923i,-0.0011224-0.00064539i,-0.0012656-0.00041821i,-0.0010985+0.00016607i,1.8112e-05+0.00021515i,0.00061764-0.00022175i,0.00014022-9.6388e-05i,0.00013352+0.00069969i,0.00018513+0.00014281i,-6.5735e-05-0.00047204i,-0.00097978-0.00026187i,-0.0016398-0.00025172i,-0.0012088+2.0049e-05i,-0.00042282+0.00054358i,-0.00076066+4.0163e-05i,-0.0014388-0.00040739i,-0.00084755+0.0001818i
-0.0022322+0.00089248i,-0.0016347+0.00065313i,-0.00036027+0.00060681i,0.0010492+2.9733e-05i,0.00096141-0.00094541i,-9.814e-05-0.0017326i,-0.00098463-0.001285i,-0.00064647-0.00060516i,-0.00059434-0.00063094i,-0.00077401-0.00029998i,-0.00029134+0.0005058i,-0.00039861+0.00083358i,-0.00041508+0.00022217i,0.00024979-0.00019475i,0.0003548-0.00032773i,-0.00021877+0.0001354i,8.6015e-05-0.00071666i,0.00048666-0.0011866i,0.00028757+8.4301e-05i,0.00065054+0.00013468i,0.00098539-0.00038538i,0.0006914-0.00078554i,0.00033758-0.0003208i
-0.00047277+0.0008429i,0.00017614+0.0016997i,-0.00013195+0.0014991i,-0.00069635+0.00031133i,2.8259e-05+0.00017974i,0.00081884+0.00074033i,0.00080696+0.00073324i,-0.00019907+0.00017895i,-0.00055897-0.0002445i,0.00026205-0.0002809i,0.00068314-0.00043482i,5.6943e-05-0.00012288i,-4.7652e-06+0.0007729i,0.00030921+0.00121i,0.00028673+0.00070253i,0.0001562+3.3522e-05i,-0.00013894-6.0449e-05i,-0.0002777+0.00016602i,-0.001143+0.00035328i,-0.0010246+0.00052318i,-0.00065922+0.00071413i,-0.00043812+0.00039433i,-0.00037498-4.6776e-05i
0.00027779+0.0024203i,0.00099555+0.0011573i,0.0014956+0.00016323i,0.0014685-0.0011026i,0.0015408-0.0019846i,0.00090743-0.0018417i,0.00039807-0.00094558i,-8.1033e-05-0.00053013i,-0.00062659-0.00016628i,-0.00068365+0.00055196i,-0.00035825+0.00040013i,-0.00090981-6.4068e-05i,-0.0014193-0.00013619i,-0.00084291-0.00052181i,-3.2399e-05-0.00087292i,0.00044847-0.00075i,9.4137e-05-0.00026535i,-0.00046802+0.00033762i,-0.0010725+1.7988e-05i,-0.001092-0.00059514i,-0.00072331-0.00047914i,0.00018528-0.00021884i,0.0006379+0.00079256i
-0.0012614+0.00063532i,-0.0015039+0.00038353i,-0.0018696+0.00022326i,-0.0011287-0.00028866i,-0.00049935-0.00062962i,-0.00037095-3.9195e-05i,-0.00011546-0.00012393i,-4.374e-05-0.00015254i,-0.00070321-6.0598e-05i,-0.00032033-7.9144e-05i,0.00021644-0.00032755i,-0.00018816-0.00029852i,-0.00040734+0.00072638i,-0.00087603+0.00073928i,-0.00080386-3.7538e-05i,-0.00038104+0.00034455i,-0.00020777+0.00028483i,3.463e-05-6.3582e-05i,-1.8266e-06+0.00025915i,-0.0006349+0.00028257i,-0.0010022-9.2407e-05i,-0.0010827-0.00056986i,-0.00082366-0.00082166i
0.0021663-0.0010244i,0.0025511-0.00095494i,0.0022889-0.00049578i,0.0013123-0.0012264i,0.00088208-0.0026176i,1.7681e-05-0.0020454i,-0.00060261-0.0005815i,0.00016245-0.00027182i,0.0008329-3.6749e-05i,0.00042189-0.00025112i,0.00036887-0.0011386i,0.00063364-0.0012837i,-8.0037e-05-0.0010158i,-0.00085543-0.0009032i,-0.00046751-0.0005941i,0.00043118-0.0002485i,0.00023757-5.4139e-05i,-0.0002234-0.00048267i,-0.00030827-0.0006351i,-0.00044454-0.00085429i,-0.0006019-0.0010479i,-0.00075403-0.00031857i,-0.00077989+0.00021577i
-0.00069914-0.0018526i,-0.00066535-0.002657i,-0.0013211-0.0017321i,-0.00096505-0.00068736i,-0.00031743-0.00015082i,0.00010724+0.00018268i,-0.00042731+8.7414e-05i,-0.00025647-0.00011047i,6.2875e-05+0.00024671i,-0.00080371+0.00062525i,-0.001011+0.0011485i,-0.00028059+0.0017442i,-0.00040005+0.0016665i,-0.00040152+0.0013347i,-0.00029423+0.0017044i,9.8723e-05+0.0018433i,0.00020204+0.00071998i,0.00018374-0.00083933i,0.00078151-0.0010482i,0.00067796-0.00025177i,0.00014679+0.00010606i,-0.0003597+0.00013223i,-0.00033043-0.00031143i
0.0013882-0.00087188i,0.0010455-0.0012809i,0.00057796-0.0018626i,0.0014004-0.0019762i,0.00094889-0.0010542i,0.00012518-0.00060872i,3.9123e-05-0.00055465i,-0.0005288+9.0152e-05i,-0.00081007-0.00055448i,-0.00082703-0.0015194i,-0.0003971-0.00053446i,7.9531e-05+0.0006493i,-1.1542e-05+0.00037393i,-0.00030317-0.00043346i,-0.00011579-0.001104i,0.00037942-0.00072355i,0.00088045+0.00014891i,0.0006368+0.00012071i,0.00052637+0.00024266i,0.0003135+0.00042859i,0.00012181-0.00022258i,0.00066556-0.00074573i,0.0013278-0.00074285i
-0.0006199-0.0014546i,-0.00102-0.0013373i,-0.00011611-0.001926i,-2.6706e-05-0.0012122i,-0.00067566-0.00037833i,-0.0003916-0.00037035i,-3.1389e-05-0.00019053i,-0.000684+0.00025376i,-0.00081744-0.00034328i,-0.00046013-0.0003803i,-0.00043929-2.4229e-05i,-0.00081135-0.00024358i,-0.0014784-0.00011004i,-0.0011557+0.00021157i,-0.00064551+0.00030233i,-0.00045926+0.00021539i,-0.00031544+1.775e-05i,-0.00012917+0.00017704i,0.00031726+0.00058093i,-0.00022902+0.00014863i,-0.00084861-0.00063513i,-0.00072482-0.0011949i,-0.00064445-0.00064573i
-0.00014302-0.0019697i,0.00022924-0.0018826i,-0.00061343-0.0014373i,-0.0010786-0.00066937i,-0.00058813+0.00044016i,0.00017585+0.00051282i,0.00012764-0.0005854i,-2.8608e-05-0.00040267i,1.3914e-05+0.0002677i,-2.4137e-05+0.00054852i,-0.0003329+0.00091315i,-0.0010848+0.00093866i,-0.0005829+0.00090451i,0.00022569+0.00046633i,0.00027405-0.00038829i,0.00033863-0.00076524i,0.00020561-0.00010405i,-4.4245e-05+0.00086659i,-0.00032035+0.00064608i,-7.4935e-05+8.8827e-05i,0.00022458-0.00021393i,-0.00055896+0.00011205i,-0.00071008+0.00030465i
0.0013302+0.00050475i,0.0013085+0.00038809i,0.0020268+0.00055925i,0.001722+0.00015763i,0.00060352-0.0010108i,-0.0002532-0.0011787i,-0.00022983-0.00084862i,0.00045916-0.0001081i,0.00083762-5.7426e-05i,0.00062445-0.00046052i,-2.5715e-05-0.00018948i,-0.0002832+0.00027919i,-0.0012982+0.00037762i,-0.0013854+0.000176i,-0.00053121+0.00015274i,-0.00015211+6.3686e-05i,-0.00082514+0.00019294i,-0.00080825+4.5275e-06i,0.00025062-0.00015131i,-8.7823e-05-1.6625e-05i,-0.00060277+0.00023931i,-0.00068688-0.00011684i,-0.00047682-0.00058052i
0.00081014+0.0011862i,0.00063212+0.001744i,0.0016289+0.0018725i,0.00084627+0.00060898i,-5.009e-05-0.00060264i,-9.3407e-05-0.00027176i,0.00040224+4.0742e-05i,0.00036207+0.00043001i,-0.0003019+0.00096538i,-0.00064926-1.3678e-05i,-0.00067047-0.00074793i,-0.00057555-0.0008557i,-0.00016795-0.00079173i,-0.00085113-0.00026091i,-0.00068337-1.5979e-05i,0.00077492+0.00055627i,0.00054643+0.00090352i,7.9633e-06+0.00049136i,-0.00018695-0.00016846i,-0.00069139-0.00046559i,-0.0010507-0.00030396i,-0.0010875-0.0007272i,-0.001068-0.00077574i
-6.4353e-05+0.00094262i,-0.0003928+0.00078421i,0.00073016+0.0014273i,0.0019968+0.00066367i,0.0019149-0.0015853i,0.0017177-0.0023311i,0.00095966-0.0013505i,-0.00023727-0.00055507i,-0.00052883+0.00017676i,-3.297e-05+0.0009628i,0.00027185+0.0012193i,0.00020768+0.00093764i,0.00072613+0.0003975i,0.00064301-0.00021501i,0.0001446-0.00019211i,0.00019643-0.00016423i,0.00062518-0.00045115i,0.00097958-0.00062978i,0.00044793-0.0010068i,0.00020394-0.0009254i,-5.206e-06-0.0004049i,-0.00038126-0.00032787i,1.2767e-05-0.00057029i
-0.0013366+0.0010692i,-0.001308+0.00079732i,-0.00088062+2.0707e-05i,-0.00047071+0.00027271i,7.8987e-05+0.00045737i,-1.7366e-05-0.00056396i,-0.00027301-0.0010305i,-0.00071728-0.00062762i,-0.0010661+0.00045212i,-0.00025407+0.0013541i,0.00069772+0.0011424i,0.00084489+0.0008701i,0.00023758+0.00068064i,0.00019464-0.00016398i,0.00070045-0.00082179i,0.00028631-6.3857e-05i,-0.00011687+0.00053301i,-6.0114e-05+0.0003415i,6.7892e-05+3.6131e-05i,0.00040636+0.00016656i,0.00040345+0.00053467i,-0.00031985+0.00055033i,-0.00089554+0.00028356i
5.3332e-05-0.00092759i,-0.00044217-0.0015942i,-0.001799-0.0014556i,-0.0022962-0.0010746i,-0.0012922-0.00069895i,-0.00020979-0.00091504i,-0.00011578-0.001181i,-4.6526e-05-0.00094017i,-0.00033027-0.00059123i,-0.00085458-0.00035635i,-0.00076413-0.00020889i,-0.0010239-0.0001119i,-0.00068224-0.0001233i,-0.00019619+9.7056e-05i,-0.00084283+0.00035082i,-0.00066463+0.00018142i,4.1947e-05+8.9893e-05i,0.00071774-0.00041854i,0.00056556-0.00036954i,-0.00066063+0.00044891i,-0.001292+0.00018866i,-0.00098506-0.00028535i,-0.00039673-0.00048059i
0.00068814+0.0013241i,0.0021702+0.0011409i,0.0033279+0.0014784i,0.0028576+0.00049379i,0.0021918-0.00063013i,0.0012344-0.00042545i,-6.8775e-05-0.0001732i,-0.00048665-0.00027564i,-8.3914e-05-0.00025284i,0.00011205+1.1759e-05i,-0.00069715-0.00019171i,-0.00015322-0.00020146i,7.4654e-05+5.8519e-05i,-0.00029026+0.00012353i,-0.00013908+0.00068951i,-9.5349e-05-0.0001782i,0.00023133-0.00096254i,-9.3937e-05-0.00042918i,-0.00054532-0.00031663i,-2.736e-05-0.00084944i,-5.5825e-05-0.00061348i,-0.00054296-0.00057623i,-0.00063465-0.00068386i
-0.001381-0.00070813i,-0.0021372+0.00026694i,-0.0018848+7.2158e-05i,-0.00015606-0.00021474i,0.00027283+0.00011675i,-0.00032595-0.00024158i,-0.00045382-0.00050772i,-0.00022528+2.2456e-05i,-0.00038397+0.0004023i,-0.00054252+0.00070294i,-0.00062712+0.00072675i,-0.00034599+0.001133i,-9.72e-05+0.0012578i,0.00047106+0.00055885i,0.00043441-9.5435e-05i,-0.00068719-0.00028398i,-0.00024522-0.00022296i,0.00095918-0.0002082i,0.00046931-0.00013973i,-0.00025595-6.6013e-05i,-0.0004543-0.0002187i,-0.00098646-0.00028596i,-0.0010367-0.00045689i
-0.0025071-0.0021163i,-0.0016645-0.0023024i,-0.0012934-0.0015016i,-0.00079952-0.0010145i,0.00031994-0.00012132i,0.0020792+0.00094099i,0.0023518+0.00085079i,0.00062717+0.00025133i,-0.00067152+0.00051308i,-0.0010987+0.00074898i,-0.0011326-6.1035e-05i,-0.00060998-0.00048899i,-0.00049724-0.00032867i,-0.00090162-0.00024334i,-0.00048551-0.00013801i,0.00017406-0.00041612i,0.00046092-0.00082406i,0.00090152-0.00075241i,0.00070707+0.00013078i,-0.00015256+0.00014838i,-0.00075901-0.00010882i,-0.00078407+0.00016295i,-0.00072176+0.00044341i
-0.00070993+0.0016798i,-0.00024649+0.0014127i,-5.443e-05+0.0015965i,0.0005838+8.4285e-05i,0.0010653-0.0012264i,-5.9146e-05-0.0013972i,-0.00059007-0.0012317i,-0.00056398-0.0013249i,-0.0012317-0.0010375i,-0.0011269-0.0002054i,-2.6326e-05+0.00010266i,0.00018309-2.0861e-06i,0.00021236+0.00016067i,-4.6319e-05-4.7394e-05i,7.8666e-05-0.00017642i,3.5864e-05-0.00087787i,-0.00061709-0.00089094i,-0.00057268-4.7864e-05i,-0.00051928+0.00010133i,-0.00032579-4.6866e-05i,0.00011345-0.00039233i,-0.00035267-0.00040601i,-0.0002378+0.00052812i
