-0.0019991-1.2307e-06i,-0.0022339-0.00068244i,-0.0020075-0.00053819i,-0.0018687-0.00056446i,-0.0022625+8.8745e-05i,-0.0023911+0.0013181i,-0.0019287+0.0015196i,-0.00060801+0.0017647i,0.0010803+0.0018426i,0.001106+0.0014841i,0.00061965+0.00073791i,0.00083242-3.5517e-05i,0.00040137+0.00012719i,-0.00019983+0.00055301i,-0.00065574+0.0010163i,-0.0008531+0.0009658i,-0.00092385+0.00029112i,-0.00032393-0.00036942i,0.0008162-0.00028507i,0.0016999-0.00021511i,0.0011476-0.00074821i,0.00047089-0.0010552i,-6.2458e-05-0.00044397i
-0.00018229-0.00026946i,-0.00062305+8.7043e-05i,-0.001147-0.0007955i,-0.00082709-0.0012807i,-0.00088177-0.00058148i,-0.0011812+0.00059455i,0.0005184+0.00077994i,0.0016377+0.00041789i,0.0012866+0.00050722i,0.00047701+0.00041755i,-0.00046889+0.00047829i,-0.00021705+0.0006719i,0.00040884+0.00096023i,0.00031894+0.00069322i,0.00047012+0.00016686i,-0.00048137+1.3271e-05i,-0.00044847-0.00037809i,-7.1268e-05-0.0010232i,-0.00066928-0.0013956i,-0.0007239-0.0011076i,-0.00029341-0.0010995i,-0.0002707-0.00094846i,-0.00087648+1.9206e-05i
0.00062787+0.0011649i,0.0013067+0.00024413i,0.0015611-0.00058347i,0.00045676-0.00075449i,-0.00025259-0.00019276i,-0.00015229+0.00034489i,-0.00032095+0.00033619i,-0.00029623+0.00061094i,-0.00050767+0.0012969i,-0.0010951+0.00089358i,-0.0011376-0.00031138i,0.00060977-0.00091183i,0.0016345-0.00059935i,0.00068883+0.00043108i,0.00036265+0.0010247i,0.00051885+0.00059071i,0.00042542-4.7614e-05i,0.00069138-0.0002888i,0.0010072+0.00016933i,0.0003802+6.9414e-05i,0.00014621-7.1224e-05i,0.00030851+0.00029666i,0.00050481+0.00040013i
0.00020545+0.0011597i,0.00037528+0.0017157i,0.0016024+0.0013146i,0.0019545+0.00086586i,0.00091625+0.00050204i,0.00016411-0.00013264i,0.00034758-0.00018676i,0.00087832-0.00026107i,0.00050698-0.00026254i,0.00075712+0.00028383i,0.001259+0.00073831i,0.00068244+0.00016358i,0.00041054-0.00021248i,0.00043752+0.0002691i,0.00032401+2.3952e-05i,-0.00010352-0.00030032i,-0.00042509-0.00045744i,5.379e-05-0.00040536i,0.00045006+0.00013073i,0.00030477+0.00083437i,0.00023771+0.00044372i,-8.2664e-05-8.6571e-05i,-0.00088998-4.612e-05i
-0.00090043+0.00095329i,0.00094977+0.00066719i,0.0017584+0.00037598i,0.0015805+0.00091799i,0.0012952+0.0013484i,0.0010375+0.00074448i,0.00061414-5.4382e-05i,0.00022927-0.00019421i,-0.00014718+0.00022749i,0.00030277-0.00039949i,0.00052619-0.00043282i,0.00018699+2.6107e-05i,-0.00016922+0.00017015i,0.0001159+0.00068576i,0.0005765+0.00075943i,0.00052424+0.00059697i,0.0011017+0.00059579i,0.001362+0.00052912i,0.00066626+0.00054519i,0.00041031+0.00010558i,0.00042105-0.00039905i,-0.00040509-0.00046806i,-0.0006705-0.00029199i
0.00035863+0.0016505i,-0.00027428+0.0019333i,3.8727e-05+0.001246i,0.00043271+0.00074554i,0.00013353+0.00066245i,0.00056651+0.00069079i,0.00088672-0.00012988i,0.00062366-0.00058153i,0.00044147+0.00013575i,0.00011612+0.0008034i,0.00031911+0.00019832i,0.0011305-0.00017452i,0.00077637-0.00048856i,0.00037103-0.00045606i,0.00076333+0.00079718i,0.00094792+0.0010446i,0.00067609+0.00062271i,0.00087037+0.00051611i,0.00082467+2.6428e-05i,0.00067568-8.3977e-05i,0.00069681+0.00018872i,0.00086881-4.3591e-05i,0.00071689+0.00013856i
0.00098181+0.00097041i,3.8414e-06+4.5598e-05i,0.00041206-0.00070292i,0.00039606-0.00092127i,0.0002911-0.0009876i,0.00031648-0.00124i,0.00056285-0.0013155i,0.0005341-0.00048413i,0.00041615+0.00068086i,0.0010509+0.00049277i,0.00064737+9.9503e-05i,-0.00022716+0.00013556i,0.00032125+0.00022087i,0.00075044+0.0001297i,0.001068+0.00038011i,0.0014838+0.00073285i,0.0015109+0.00040394i,0.0010061+0.00029382i,-6.6916e-05+3.045e-05i,-0.0010308+0.00017753i,-0.0005771+0.00070966i,-0.00035722+0.00040038i,-0.00033489-0.00020878i
-0.0011856-0.00031301i,-0.00050822-0.00061846i,-0.00069078+0.00038268i,-0.0006811+0.0015866i,-0.00026727+0.002353i,0.0001105+0.0021093i,-7.4068e-06+0.0011246i,-1.5695e-05-0.0001897i,5.0854e-06-0.00099737i,0.00031715-0.00051444i,0.00089352+0.00021835i,0.00076331+0.00082743i,0.00087889+0.00062717i,0.00103+0.00010288i,0.00033414+1.0341e-05i,0.00016782+8.0572e-05i,0.00042049+0.00041181i,0.00022022+0.00041463i,0.00033189-0.00023983i,0.00082954-9.3092e-05i,0.00035434+1.4106e-05i,-3.9593e-05-0.00049444i,-0.00026231-0.00036038i
-0.00030498-0.0022123i,0.00019403-0.0012344i,4.2669e-05-0.00081652i,-0.00087138-0.00047203i,-0.0016335-0.00067762i,-0.00033964-0.00068175i,0.00075637+0.00013823i,-7.9653e-05+0.000785i,-0.00032267+0.00067204i,0.0001492+0.00026672i,0.00025396+0.00051874i,0.00018855+0.0012314i,5.6007e-05+0.0015553i,-8.4771e-06+0.00094089i,0.00044062+0.00030459i,0.0011359+0.00065688i,0.00048478+0.00096124i,0.00049391-0.00013015i,0.00015462-0.0006292i,-0.00074886-0.00014063i,-0.00030765+0.00043927i,5.1632e-05+0.00032606i,-0.00019711+6.3729e-05i
0.0021774-0.0009957i,0.0011924-0.0015204i,0.0015084-0.0028941i,0.0010398-0.0039405i,-0.00028835-0.0032724i,-0.0010086-0.001041i,-0.00049586+0.00061428i,0.00049782+0.00047927i,0.0013069-0.00053612i,0.0010621-0.00069787i,0.00045246-0.00030433i,0.00018404-0.00026981i,0.00046448-9.0175e-05i,0.0011656+0.00033794i,0.0012385-0.00026581i,0.00097927-0.00065581i,0.00084887-0.00029606i,0.0010356-0.00048617i,0.0007147-0.00046943i,0.00029245+5.3476e-05i,0.00054009+0.00028404i,0.00024648-7.3643e-05i,0.00033546+0.00027463i
0.0012823-0.00080384i,0.0018188-0.0017288i,0.0021071-0.0016739i,0.0016633-0.0019452i,0.00047746-0.0015304i,-0.00048667-0.00080892i,-0.0005502-0.00080187i,-0.00043201-0.00077081i,0.0004983-0.00051595i,0.00066787-0.00031384i,0.00031206-3.4544e-05i,-2.7396e-05+0.00033576i,-0.00068121-0.00012158i,-0.00055904-0.0007755i,-0.00042007-0.00074874i,-0.0010185-0.00019448i,-0.00020996-0.00014968i,0.00032387-9.5695e-05i,-0.00036192-4.8197e-05i,0.00064217+0.00051827i,0.00098961+0.0010677i,7.1347e-05+4.0457e-05i,-0.00035546-5.0327e-05i
