-0.0020766+0.0016275i,-0.0018097+0.0011855i,-0.0029784+0.00092465i,-0.0024553+0.00087737i,-0.0011759+0.0021996i,-6.6522e-05+0.0031643i,-0.0002641+0.0020719i,-0.00033987+0.0018929i,0.00085558+0.0019497i,0.0015992+0.001213i,0.0018899+0.00045876i,0.0014514-6.5836e-05i,0.00051857-0.000544i,0.00056211-0.00026784i,0.00088562-4.4613e-05i,0.00044927-0.0005399i,-0.00073443-0.00047653i,-0.00075305+0.00018011i,0.00045566-7.6287e-05i,0.0010487-0.0009345i,0.00071115-0.00097666i,0.00062119-2.2339e-05i,0.00039793-0.00012804i
0.00067582-0.0010809i,0.00013305-0.0020474i,-0.00052481-0.0027892i,-0.00024565-0.0017876i,-7.438e-05+0.00027739i,-0.00057937+0.0013902i,-0.00066369+0.00091256i,0.00021156+0.00035506i,0.00027154+0.00080227i,-0.00022315+0.00075553i,-0.000406+0.00036038i,-0.00040962-9.8338e-05i,-0.00016544-0.00069176i,-0.00083241-0.00047364i,-0.00075721-0.00013859i,-0.00022585+0.00018924i,-0.00047682+0.00078409i,-0.00038569+0.00041475i,0.00020503+3.0228e-05i,0.00046605+0.0005i,0.00043948+0.00047542i,0.00040892-0.00042686i,0.00017435-0.0012319i
0.00031783-0.00090954i,-0.0002445-5.6965e-07i,-0.00079118-0.00041253i,-0.00079329-0.00031034i,-0.00084012+0.00038499i,-0.0015994+0.00038262i,-0.0017791+0.00044577i,-0.0012092+0.0014012i,-0.00065044+0.0012647i,-0.00030824+0.0005708i,1.4335e-05+0.00050605i,0.00056128+0.00049215i,0.00058915+0.0009792i,0.00053005+0.00034069i,7.1611e-05-0.00035118i,-3.09e-05-4.2469e-05i,3.9424e-05+0.00022819i,-0.00013466-1.5924e-06i,-0.00020999+0.00062736i,4.4671e-05+0.001005i,-0.00030288+0.00041645i,-0.00083139-0.00036053i,-0.00080716-0.00072232i
0.0010503-0.00023558i,0.00089318-0.00031696i,0.00070167-8.4417e-05i,0.00017462-0.00078552i,-0.00077347-0.0014468i,-0.00086879-0.00049556i,-0.0013226-0.00015845i,-0.0011914-0.00028437i,-0.00014015+0.0012213i,0.00027825+0.0017512i,-0.00015705+0.0010153i,-0.00021361+0.00055178i,0.00050168+9.9402e-06i,0.00021584-0.00027314i,-0.00054402-0.00015481i,-0.00072999-0.00024285i,-0.00050168+8.5597e-06i,-6.4799e-05+0.00065399i,0.00024087+0.00050513i,-0.00014198+0.00011095i,-0.00016696-8.5469e-05i,-0.00013923+0.00027988i,-0.00051155+0.00077936i
0.00020096+0.0014819i,-0.00017946+0.00072064i,0.0003812+0.00086925i,0.00086439+0.00092643i,0.0012591+0.0017044i,0.0019401+0.0018792i,0.00056649+0.0014727i,-0.00093324+0.0014822i,-0.00054502+0.0012921i,0.00052554+0.00079505i,0.0011327+0.00059469i,0.00027081+0.0016127i,-0.00069555+0.0012757i,-0.00040289+5.0133e-05i,8.359e-05-0.00075888i,0.00035906-0.00074677i,-2.5856e-05-0.00086747i,-0.00077384-0.0010525i,-0.00069379-0.00096884i,-0.00038535-0.00096125i,-0.00047878+0.00010334i,0.00017098+0.00083599i,0.00058703+0.00048638i
-0.0004159+0.0012519i,-0.0005708+0.0014636i,-6.3169e-05+0.00029678i,-0.00040789-0.00048291i,-0.00018208+2.6842e-05i,-0.00066533+0.00034267i,-0.0014661+0.00015627i,-0.00086868+0.00028889i,-5.17e-05+0.00066638i,0.00010788+0.00035068i,-5.9734e-05-0.0001174i,0.00051598-0.00013826i,0.0011449-0.00015556i,0.0010475+0.00019158i,0.00092335+0.00056298i,0.00036325-0.00022126i,0.00033446-0.00073432i,0.00030156-0.00037423i,0.00020172+0.00014521i,0.00024974+0.00027783i,1.4745e-05-0.00011013i,-0.00034637-0.00063241i,-1.0528e-05-0.00077307i
-0.00052785+0.00044308i,-9.65e-05+0.00043504i,-0.0001984+0.00069888i,0.00012161+0.00093503i,0.000617+0.0013824i,0.00049921+0.0004617i,-0.00047608-7.6226e-05i,-0.00067607-9.9806e-06i,-0.00021175+2.9052e-05i,0.00021357+4.577e-05i,0.00049013-0.00024785i,0.00055854+9.29e-06i,-0.00011312+0.00025923i,-0.00019118-0.00062954i,8.2079e-05-0.00098673i,0.00016661-0.00077029i,0.00071173-0.0004476i,0.0012181-1.0632e-05i,0.00074959+0.00014349i,3.0012e-05+0.000537i,-0.00033884+0.00056976i,-0.00023897+0.00073437i,0.00029889+0.0008934i
0.00092922-0.00017832i,0.00042384+0.0007203i,0.00026963+0.00056615i,0.00082469+5.2623e-05i,-0.00023061+0.0010153i,-0.00074764+0.0013509i,-0.00015598+0.0011257i,-0.00039397+0.0013184i,-0.00020253+0.0012916i,0.00011248+0.0004813i,5.2928e-05+0.00036517i,-0.00036533+0.0011039i,-0.00077893+0.0015423i,-0.00042181+0.00041303i,0.00021839-9.4851e-05i,0.00031455+0.00031824i,0.00062729+4.9924e-05i,0.00074462-0.00050669i,0.0004052-0.00061253i,0.00049756-0.00033633i,0.00061589-0.00066911i,0.00068206-0.00081971i,0.00035718-0.000607i
0.00064428-0.00099442i,-0.00054024-0.00093887i,-0.0016012-0.0023626i,-0.0026431-0.0018193i,-0.0024262-0.00064607i,-0.0014345-0.0001746i,-0.0014216+0.00078271i,-0.0010841+0.00081898i,-0.0005693+9.1297e-05i,-0.00070803+9.4537e-05i,-0.00085494-0.00039756i,-0.00030898-0.00022778i,0.00021443+0.00057988i,1.2945e-05+0.00013823i,0.00010193-0.00017531i,0.00017989-0.00017704i,0.00023878-0.00018747i,0.000193-0.00011933i,0.00026392-0.00060892i,0.0006926-0.00062148i,0.00088082+0.00010139i,0.00028367+0.00088555i,-8.9153e-05+0.00074787i
0.0025254-0.00016485i,0.0037758-0.00036588i,0.003702-0.0014271i,0.0019327-0.0013512i,0.00065049-0.00092981i,0.00044114-7.6532e-05i,0.00017341+0.00094099i,-0.00037967+0.00060361i,-0.00041206+0.00070922i,-0.00018293+0.00080466i,3.3767e-05+0.00031643i,7.8808e-05+1.013e-06i,0.0003104+0.00038062i,0.00017009-0.00026071i,-0.00010521-0.0012938i,0.0001115-0.00063134i,-0.00010723+0.00034923i,0.0004269+0.00014152i,0.00035101-0.0004667i,-3.6621e-05-0.00039167i,-5.783e-05+0.00016754i,-0.00054215+0.00017762i,-0.00031641-7.8612e-05i
0.0020008+0.001693i,0.0014355+0.0016953i,0.0020203+0.0013011i,0.0014455-0.00014256i,-0.00062421-0.00075934i,-0.0013126-0.00010661i,-0.0010765+0.00013453i,-0.0011711+0.00022474i,-0.0013119+0.00050764i,-0.00053323+0.00019393i,-0.00060304+0.00030323i,-0.0010468+0.00069732i,-0.0004229+0.0012389i,-6.6319e-05+0.001084i,0.00020282+0.00023993i,0.00088434-0.00011351i,0.00023619-0.00064641i,-0.0007977-0.00039105i,-0.00070259-0.00020083i,-0.0001329-0.00059903i,-0.00011284-0.00065664i,-6.9275e-05-0.00033345i,2.4929e-06-0.00027825i
