-0.00052085-0.00015247i,-0.00016193-0.0011126i,-0.0016077-0.0029969i,-0.0026952-0.0030423i,-0.00272-0.0014077i,-0.0021465+0.00072666i,-0.00095628+0.0015333i,-8.3908e-05+0.00084588i,0.00092323+0.00083399i,0.0011894+0.0009246i,0.00014868+6.3436e-06i,0.00024993-0.00042669i,0.00072604-4.7139e-05i,2.6456e-06-0.00075613i,-0.00056054-0.00075829i,-0.00038173+0.00012043i,0.00018998+0.00058428i,0.00040057+0.0003677i,0.0005621-0.00062157i,-2.871e-05-0.00029458i,-0.00058179+0.00053466i,-0.00035137+0.00036866i,-0.00037713+0.00017389i
0.00098031-0.00029345i,0.00071312-0.0015936i,0.00084839-0.0025477i,0.00166-0.0019434i,0.0026541-0.0007206i,0.0025203+0.00033232i,0.0017341-0.00022704i,0.0010322-0.00032752i,0.00017054-0.00012839i,0.00026549-0.00031092i,9.5795e-05-1.594e-06i,0.0002842-0.00015583i,0.00041336+0.00033311i,2.2869e-05+0.00041045i,-0.00011768+0.00016155i,0.00015089+0.00032855i,0.00016424+0.00012026i,0.00011966-0.00047503i,0.00021806-0.00097361i,2.7336e-05-0.000556i,0.00010122+0.00054047i,0.00036205+0.00085604i,0.00055547+7.315e-05i
0.0018538+0.00095132i,0.0021603+0.00021388i,0.0020445-0.00020267i,-4.6018e-05+7.467e-05i,-0.0013912-0.00010252i,0.00035932+4.0624e-05i,0.001515+0.00064478i,0.00051714+0.00099532i,2.7978e-05+0.00055367i,-0.00019679+6.5444e-05i,-0.00058834+0.00012898i,-0.00021688+0.00045334i,-4.8278e-05+0.00054866i,-0.00030109+0.00013216i,1.6051e-05+0.0006727i,0.00025474+0.00098276i,0.00039107+0.00036004i,0.00044726-1.297e-05i,5.9102e-05-6.1237e-05i,0.00036219-0.00010237i,0.00038172-0.0004697i,-4.0801e-05-0.00038188i,-0.0008341+0.00018058i
0.00049498-8.7283e-05i,0.0014114-0.00069827i,0.00040333-0.0019363i,-0.0017172-0.0024917i,-0.0022986-0.00085704i,-0.00097935+0.00063893i,-0.00052533-4.2624e-05i,-0.0012079-0.00012847i,-0.0010504+0.0011363i,-0.00064463+0.0017366i,-0.0001548+0.001741i,0.00075008+0.001343i,0.0014856+0.00043043i,0.00063898+0.0002317i,-0.00033155+0.00088284i,-0.00028599+0.0010428i,-0.00037327+0.00088121i,-0.00025704+0.00035817i,-0.00021637+3.2366e-05i,-0.0006128+0.00021403i,-0.00046812-9.7374e-05i,-0.0006819-0.00075554i,-0.00093738-0.00077628i
0.0018234+4.4811e-05i,0.003068-0.0015876i,0.0028891-0.0026473i,-0.00036125-0.002103i,-0.001283+0.00050235i,0.00030551+0.0013804i,0.00064042+0.00020387i,-0.00040231-0.00045957i,-0.00086101-0.00032815i,-0.00085117+0.00014265i,-0.00025213+0.00037466i,0.00053821+0.00018176i,0.0004363-7.7083e-05i,-0.00018497+0.00012693i,-9.7107e-05+0.00011618i,0.00047497-0.0001681i,0.0011994-0.00018765i,0.00059044-0.00038829i,5.3726e-05-0.0002527i,0.00026158-0.00023423i,0.00022535+7.2555e-05i,-0.00037288+0.00018251i,-0.00088605-5.3499e-05i
0.00056699+0.0035259i,0.0012229+0.002723i,0.00091805+0.00081074i,0.00068776-1.5784e-05i,0.0013114+0.00026564i,0.0013534-3.3736e-05i,0.00054828-0.00047193i,0.00010596-0.00097938i,0.00051044-0.00051184i,0.00043976+0.00027489i,-0.00055266+0.0007315i,-0.0010187+0.00065535i,-0.00089409+0.00045453i,-0.00078422+0.00059959i,-0.00057888+0.00084077i,-0.00034535+0.00046147i,0.00022903+0.00014061i,0.00045153+0.00060384i,0.00055453+0.00059269i,0.00018747+0.00079579i,-0.00021744+0.00064281i,0.00044359-1.692e-05i,0.0010509-0.00017943i
-0.00024256-0.001095i,-0.00029476-0.0016271i,-0.0018411-0.0020214i,-0.0027177-0.0015657i,-0.0024637+8.6608e-05i,-0.00094913+0.00082751i,0.0010244+0.00029873i,0.0011218-1.0234e-05i,0.00020453+0.00035453i,0.00012208+3.3668e-05i,0.00064365+8.8857e-06i,0.0013772+0.00016761i,0.0010198-0.0002166i,0.00029112-0.00045811i,0.00021657+7.0122e-05i,0.00056176+0.00069222i,0.00034525+0.00059009i,-0.00022426+0.00033682i,-0.0011706+0.00042904i,-0.0013996+0.0003539i,-0.00094576+0.00024255i,-0.00028336+1.6704e-05i,0.00083469-0.00013895i
0.000323+0.00013231i,0.0016965-0.0010444i,0.0017205-0.0019826i,0.00055332-0.00096416i,-0.00063238+0.00058581i,-0.00035754+0.0010325i,4.2706e-05+0.0010413i,-0.00015981+0.00060465i,-0.00040417-4.0524e-05i,-0.00098873-0.00035951i,-0.0011487-0.00034852i,-0.00057378-0.00013389i,-0.00010223-0.00016457i,0.00022401+0.00024177i,0.0005387+0.00088214i,0.00070765+0.0012302i,0.00076991+0.00083141i,0.00033716-8.4246e-05i,-0.00038243-0.00050397i,-0.00065916+1.8514e-06i,-0.00092715+1.5469e-06i,-0.00095768-0.00024381i,-0.00029469+0.00046941i
-8.6367e-05+0.00064941i,3.5978e-05-0.0005694i,-0.00093566-0.0011586i,-0.0018446-0.0008198i,-0.0010836-0.00029194i,0.00054585-0.00012978i,0.00094471-0.00088924i,0.00032974-0.00084588i,-0.00010437-0.00091371i,-0.00042167-0.0012688i,-0.00013634-0.00076507i,-0.00059759-0.00025173i,-0.00060073+7.4248e-05i,-0.00013331+1.0593e-05i,-0.00021393-0.0005737i,0.00024407-0.00034892i,-0.00016951-0.0003704i,-0.00074581-0.00073918i,1.2928e-06-0.00027632i,0.00027259+0.00035401i,7.8512e-05-2.8492e-05i,-1.8064e-05-0.00057035i,0.00061521-0.00058118i
0.00074725-0.00094689i,0.001356-0.0017266i,0.00098882-0.003267i,-0.0006097-0.0044094i,-0.0011857-0.0031895i,-0.00043241-0.0012101i,0.0001622-0.00028566i,0.00058766-0.00055752i,0.00064282-0.00075389i,0.00037731-0.00020015i,0.00035632+0.00054371i,0.00014423+0.00025088i,-6.3765e-05-0.00052881i,1.9156e-05-6.9038e-05i,-0.00011468+0.00060543i,-0.00039022+0.00046853i,0.00018158-0.0004978i,0.001122-0.00066486i,0.00076964-7.2423e-05i,0.00042912+0.00066763i,0.0007631+0.00085957i,0.00027241+0.00053442i,-0.00011548+0.0002169i
0.0018946-0.00046678i,0.0033859-0.00089885i,0.0025426-0.0012629i,0.00057024-0.00042121i,-0.00070897+0.00073757i,0.00012278+0.00057214i,0.00083293-0.00028276i,0.00039372-0.00025777i,-5.0503e-05+0.00034573i,0.00023863+0.00033364i,0.0003545+0.00056549i,0.0003152+0.00072379i,0.00046352+0.00091411i,0.00043515+0.00057542i,0.00025659+0.00024641i,-5.5519e-05+0.00057134i,-0.00014735-2.7304e-05i,9.1505e-05-0.00021804i,0.00019735+0.0002861i,0.00014474+0.00063581i,-9.6973e-05-3.4645e-05i,-0.00047753-0.00032704i,-5.4425e-05+0.00057964i
0.0020041+0.0018219i,0.0036536+9.177e-05i,0.003441-0.0014568i,0.0017963-0.0015503i,0.00052551-0.0011813i,-6.5892e-05-0.00035232i,-4.0697e-05+0.00041566i,0.00070241-4.3947e-06i,0.00086211-0.00082763i,0.00068597-0.00069754i,0.0002142-7.7329e-06i,-0.00016179+0.0001368i,-0.00040806+0.00012681i,-0.00075728-0.0003076i,-0.00077521-0.00084705i,-0.00025026-0.00051134i,4.1062e-06-0.00014706i,-0.00020331+0.00012368i,-0.0006271+0.00037524i,-0.00050333+0.00041544i,-0.00022501+0.00014064i,-0.00036926+0.00022878i,-8.3261e-05+1.8648e-05i
0.001801-1.5422e-05i,0.0016398-0.0013509i,0.00087583-0.0022096i,-0.00082823-0.0029188i,-0.00089966-0.001593i,0.00038333-0.00063632i,0.00057534-0.0010946i,-0.00060253-0.0010377i,-0.00086573-0.00063241i,-0.00044609-0.00037529i,-0.00037845-0.00012547i,-0.00046752+0.00059918i,-0.00059269+0.00042948i,-0.00015185+2.2421e-05i,0.0008744+0.0006589i,0.0011102+0.00017832i,0.00059316-0.00051247i,0.00048104-0.0001442i,0.00053003+0.00068979i,0.00040776+0.0012683i,-0.00041916+0.00058213i,-0.00074472+0.00072269i,-0.00025902+0.0011382i
0.0018694+0.0014479i,0.0029658+0.00020177i,0.002113-0.0017119i,0.00080726-0.0026181i,0.00070918-0.00061628i,0.00084175+0.0016909i,0.00039361+0.001673i,0.0004961+0.00042695i,-0.00016067-0.00013468i,-0.0010328+0.00021441i,-0.00075897+0.00075634i,-0.0013966-8.6019e-06i,-0.0012806-0.00045949i,-0.0006802+0.00046229i,-0.00084689+0.00043507i,-0.00036793-0.00022822i,-0.00013064-0.00034043i,-0.00030195-0.00012022i,0.00014342+0.00042177i,1.9368e-06+0.00043457i,0.00012506+0.00011565i,-6.5042e-05+0.00045749i,-0.00064767+0.00046435i
0.00071441+0.00012881i,0.0020506-0.00081499i,0.0016406-0.00112i,0.00015882-5.7621e-06i,-0.00028766+0.0016868i,0.00047694+0.0017078i,0.001076+0.00053439i,0.001013+0.00028637i,-1.2567e-05+0.00051415i,-0.00074999+0.00056941i,-0.00044938+0.00024438i,-0.00041547+0.00020519i,-0.00047806+0.00013441i,-9.9449e-05+8.8497e-06i,-0.00057836+0.00020209i,-0.00077531+0.00030851i,-0.0004423+0.00037237i,-1.1106e-05+0.00014413i,0.00011357+0.00028735i,0.00018499+0.0008123i,2.7975e-05+0.00074729i,-0.00074032-9.6551e-05i,-0.0007084-0.0002419i
6.6832e-05-0.00031391i,9.8703e-05-0.0003096i,-0.00035606-0.0015168i,-0.00092844-0.0020712i,-0.0018453-0.00077533i,-0.0009066+0.0005507i,0.00035403-0.00036068i,0.00025335-0.000798i,-0.00054678-0.00045133i,-0.00071538-0.00055775i,0.00018669-0.00046064i,8.5781e-05+0.00029341i,-0.0008454+0.00030231i,-0.00038354+0.00067843i,0.0004047+0.000383i,0.00060051+0.00028627i,0.00045055+0.0010023i,-0.00056401+0.00085732i,-0.0011989+0.0003452i,-0.00041548-0.00029777i,0.00011393-0.00045859i,0.00012923+0.00025796i,0.00028745+0.00050752i
-7.8425e-05-0.00059876i,0.000436-0.00055465i,-0.00054733-0.0013102i,-0.001707-0.0009025i,-0.0016077+0.0009357i,-0.00048546+0.0021231i,0.00031981+0.0011432i,-3.9756e-05-0.00027175i,-0.00039548-0.00030641i,-0.00029438+0.00065159i,3.973e-05+0.0010093i,-5.5334e-05+0.0013255i,-0.00013369+0.0012106i,0.00038427+0.00078651i,0.00067163+0.00056415i,0.00042369-5.6084e-05i,0.00034244-9.1777e-07i,0.0001438+0.00068735i,0.00043556+0.0004785i,0.00018877+3.5662e-05i,-0.0006468-0.00059838i,-0.00047907-0.00092683i,0.00045353-0.00022526i
