-0.0030314+0.0018319i,-0.0027027+0.0014259i,-0.0032131+0.0010109i,-0.0014851+0.0010058i,0.00064785+0.00092261i,0.0015083+0.00025657i,0.00027897+0.00084911i,-0.00021045+0.0014092i,0.00070121+0.0010351i,0.0011044+0.000682i,0.00097114+0.00028999i,0.00080243-0.00057598i,9.7803e-05-0.0012745i,3.8696e-05-0.0010535i,0.00014178-0.00025036i,3.1967e-05+0.0006379i,-9.8161e-05+0.00071377i,-0.00011058+0.00068043i,-0.00010063+0.00072859i,0.00034757+0.00076184i,0.00057134+0.00037666i,0.00012432+6.2977e-05i,7.0955e-05+3.9041e-05i
-0.00071581-0.00053622i,-0.0012871-0.0020145i,-0.002181-0.0022601i,-0.0023169-0.00020752i,-0.0015058+0.00099053i,-0.0013763+9.83e-05i,-0.0012868-0.0004248i,-0.0012929-0.0001878i,-0.00033125-0.00040513i,0.00058105+0.00077422i,-0.00038111+0.0018601i,-0.00039316+0.0010697i,-0.0004388-5.624e-05i,-0.00057211-7.1424e-05i,7.5778e-05+0.00036886i,0.00039578+0.00053424i,0.00013293+0.0010154i,-0.00010794+0.00076202i,0.00031574-2.3983e-05i,0.00056716+5.3129e-06i,0.00060097+0.00022863i,0.00014071+0.00043675i,-0.00037126+0.00040542i
-0.00070349-0.0025292i,-0.0011251-0.0016355i,-0.0028557+0.0010708i,-0.0021949+0.002334i,0.00047163+0.0019793i,0.0018687+0.00075648i,0.0010717-0.00035676i,-0.00017417+0.00022101i,-0.00055889+0.00065569i,-0.00024563+0.00031052i,3.4709e-06+0.00043963i,0.0005182+0.0004551i,0.00057399+0.00015422i,7.8467e-05+0.00039527i,-0.00010856+0.00058543i,0.00028116+0.00048914i,0.00035088+0.00073762i,-2.1916e-05+0.0010289i,-0.00059154+0.00039059i,-0.00065214-0.0007748i,-0.0003197-0.00088772i,-0.00035798-0.00072009i,7.2756e-05-0.00063702i
-0.0014337+0.00071119i,-0.0018267+0.00090347i,-0.001746+0.0016751i,0.00036819+0.0010675i,0.0022169-0.0006706i,0.0021164-0.001419i,0.00021125-0.0012083i,-0.00084319-2.0279e-05i,-0.00047074+0.0012649i,-9.8137e-05+0.001534i,7.2077e-05+0.00021721i,0.00063243-0.00080637i,0.00096953-0.00045449i,0.00019163-0.00075784i,0.00021876-0.00060955i,0.00080663-0.00046802i,0.00079204-0.0009991i,0.00062021-0.0011722i,0.00033974-0.0013024i,-6.4793e-06-0.0011776i,8.8411e-05-0.00097801i,0.00071352-4.0573e-05i,0.000615+0.00065899i
-0.00026901-0.00022944i,-4.2219e-05-0.0014826i,0.00064962-0.0017035i,0.00037494-0.00081843i,-0.00083744-0.00094117i,-0.0017919-0.0017375i,-0.0012862-0.0012842i,-0.00024499-0.0004669i,-0.00014837+0.0001035i,-8.5461e-05+0.00059042i,0.00025676+0.0006098i,-0.00018704+0.00034754i,-0.00080547+0.00024302i,-0.00080587+0.00025454i,-0.00022662+0.00021788i,0.00015709+0.00031139i,0.00025009+0.00061207i,1.7073e-05+0.00018521i,6.8123e-05-5.6174e-05i,-0.00015403+0.00048181i,-0.00052978-0.00012749i,-2.9359e-05-0.00061854i,-0.00029889+0.00052435i
-3.3945e-05-0.0016616i,-0.00040308-0.0018657i,-0.0013523-0.0007182i,-0.0016899+0.00099849i,-0.00057322+0.0023639i,0.00088808+0.0020283i,0.00063442+0.0004958i,0.00026349+0.00048708i,-0.00022727+0.00077444i,-0.00023756+0.00050789i,0.00094056+0.0009708i,0.00098508+0.00080435i,-0.00018355+0.00036797i,-0.00034816+0.00038956i,-0.0001031+0.00027171i,-0.00010145+0.00064364i,-0.00053431+0.0010823i,-0.00092476+0.00047325i,-0.00036601+0.00024075i,0.00021359+0.00014368i,1.4681e-05+0.00045596i,7.4039e-05+0.00031469i,0.0012315-0.00037491i
-0.00026743-1.7593e-05i,0.00026453-0.00014645i,-0.0010003-0.00021887i,-0.0010288+0.00034679i,0.00032935+0.00063876i,0.00084649-0.00027557i,-0.00031738-0.00085987i,-0.00055342-0.00047362i,3.2468e-05+2.4904e-05i,-0.00019605+0.0003803i,-0.00044586+0.00061297i,-0.00050579-0.00010424i,-2.6247e-05-0.00061267i,0.00036824-4.2256e-05i,0.00058857+0.00082032i,0.00020296+0.00082139i,-0.000268-1.3246e-05i,-0.00026137-0.00080306i,-0.00052887-0.001068i,-0.00022782-0.00089423i,-0.00055081-0.00079242i,-0.00072913-0.00099616i,-0.00047404-0.0010048i
0.0011924-0.0010462i,0.00021616-0.00085225i,0.00023824-0.0014721i,0.00031648-0.0021292i,0.00019072-0.0014636i,0.0007864+5.4887e-05i,0.00079666+0.00020915i,2.0038e-05+0.0007342i,-0.00059828+0.0010178i,-0.00056476+0.00017979i,2.7609e-05-0.00015239i,-0.000302+0.00010296i,-0.00076325+0.00072466i,0.00018437+0.00074972i,0.00072119-0.00010246i,0.00079955-0.0008441i,0.00035767-0.00080018i,-0.00052486-0.00021953i,-0.00041225-0.00015423i,0.00010449+4.7992e-05i,-0.00027145+0.0012748i,-8.908e-05+0.0014872i,0.00040868+0.00052159i
-0.0015702+0.00042056i,-0.0012264+0.00030142i,-0.0012963+0.0014874i,-0.00024919+0.0024413i,0.00171+0.0024803i,0.0018751+0.0013445i,0.00087297-3.6747e-06i,-4.8353e-05-0.00075217i,0.00051507-0.00068683i,0.0017056+0.00044216i,0.0016767+0.0011072i,0.0014193+0.00011706i,0.00083586-0.00091678i,0.00028867-0.00081898i,0.0004642-0.00043433i,0.00014548-0.00036392i,-0.000184-4.1723e-05i,-0.00080158-0.00029068i,-0.0013676-0.00066454i,-0.0013828-0.00043808i,-0.00053226+0.00015077i,-0.00015527+5.7206e-05i,-0.0005952-0.00080555i
-0.00099903-0.0012058i,-0.0010136-0.00094017i,-0.0014127-0.0016011i,-0.0025324-0.0018081i,-0.0023823-0.00091774i,-0.0013314-0.00063202i,-0.001057-0.00075553i,-0.0015378-0.00049695i,-0.00096167+0.0001189i,-0.00048823+0.00032238i,2.9567e-05+0.00011976i,0.0002151+0.00015574i,0.00014522-7.6328e-05i,0.00050215-0.00050197i,0.00040972+7.2577e-05i,7.2705e-06+0.00076191i,-0.00050366+0.00033322i,-0.00087745-0.00026995i,-0.00050954-0.0002096i,-0.00027087-3.2356e-05i,0.00013616+1.369e-05i,0.00038524-0.00060516i,0.00056362-0.00082448i
0.0009632+0.00012397i,0.00090819+0.0009225i,-0.00020335+0.00082633i,0.0002765+0.00055655i,0.00089627+0.0003694i,0.00077411-0.00033978i,0.00061737-0.00033161i,0.000891+0.00019335i,0.0013163+4.4508e-05i,0.00092377-0.00045096i,0.00057764-0.00069784i,0.0009202-0.00022019i,0.0007557+0.00073524i,-0.00012711+0.00090989i,-0.00037+0.00056357i,-0.0002899-0.00067747i,-0.00015287-0.0012885i,-0.00022304-0.00015283i,-0.00080787+0.00011776i,-0.00061948-0.00067961i,0.00029075-0.00048159i,0.00026493+0.00010764i,-0.000253+5.5092e-05i
