-0.00074699+0.00023502i,-0.00085014+0.00079529i,-0.0010104+0.00071246i,-0.00081511+0.00036332i,-0.001104+0.00089894i,-0.00041779+0.00069927i,-0.00010365+0.00087319i,0.00023942+0.0014917i,0.0011289+0.0019347i,0.00092621+0.0006927i,0.00024922-0.00077665i,-0.00027746-0.0011986i,-0.00038719-0.00090316i,4.5967e-05-0.00045053i,0.0010093+0.00012563i,0.00062983+0.00069046i,-0.00046005+4.3735e-05i,-0.00071995-0.0007663i,0.0001015-0.0010736i,0.00086928-0.0008859i,0.0006721+4.3563e-05i,0.00060219+0.00026671i,0.00099014-4.7207e-06i
-0.0008224+0.0014153i,-0.0009731+0.001015i,-0.00052346+0.00057618i,-7.9216e-05+0.00045375i,-0.00090185+0.0014269i,-0.0017255+0.0012659i,-0.0015781+3.6725e-06i,-1.4283e-05-0.0010837i,0.00090761-0.0012357i,0.00069235-0.00072433i,0.00044631-6.6111e-05i,0.00011765+0.00015276i,0.0002267-0.00011394i,0.00032439+2.4795e-06i,0.00027528-0.0002438i,0.00015242-0.00053928i,-1.0479e-05+0.00024621i,0.00096063+0.00068105i,0.00083861-4.5813e-06i,-0.00010548+1.7625e-05i,8.5575e-05+0.00065242i,-0.00011704+0.00068368i,-0.00033653+0.00070903i
-0.00070504-0.0002914i,-0.00017698-0.00027206i,0.00013655+0.00071619i,0.0002122+0.00080461i,-0.00050191+0.0003222i,-0.0016947+0.00060088i,-0.0014576-0.00030084i,-0.00036799-0.0013423i,0.00027506-0.001109i,0.0003798-0.00080154i,0.0002067-0.00036903i,2.0549e-05+0.00027478i,-0.00072743+2.5928e-05i,-0.0014135-0.00063201i,-0.00097948-0.00041465i,-0.00069895-0.00032695i,-9.8966e-05-0.00056856i,0.00026133-0.0001448i,9.9147e-05+0.00029073i,0.00014912+0.00020192i,0.00074151+0.00067716i,0.00039037+0.0012516i,-0.00016639+0.00074358i
-0.00013469+0.00021232i,0.0008744+0.00065753i,0.00015683+0.0009268i,-0.0013716+0.0015019i,-0.0011195+0.0013099i,0.00062958+0.00057414i,0.00077388-9.5772e-05i,-0.00031287-0.00041604i,-0.00057114-0.00018315i,-0.0007458+6.7106e-06i,-0.00087486-0.0003867i,-8.8228e-05-0.00095745i,0.00072436-0.00078821i,0.00026191-0.00094031i,-4.792e-05-0.001374i,0.0010405-0.00055954i,0.001347-2.0564e-05i,0.00044885-0.00048269i,0.0003882-0.00045028i,-6.7814e-05-4.362e-05i,-0.001372+3.2181e-05i,-0.0010629-0.00049505i,-0.00025728-0.00094904i
-0.0015541+0.00057326i,-0.00199+0.00058214i,-0.00081353+0.00044708i,0.00068832+0.0016249i,0.00096471+0.0019204i,0.0011588+0.00055504i,0.00084207-0.00013745i,0.00018999-0.00025818i,-0.00057015+9.587e-05i,-0.00048742+0.00051379i,-0.00014664+0.00026363i,4.2509e-05-0.0010502i,-0.00019537-0.0010226i,0.00010054-0.00011132i,0.0010236-0.00041992i,0.00032968-0.00039353i,-0.00019059-0.00061789i,0.00018543-0.000402i,-5.856e-05-0.00040545i,0.00011313-0.00051494i,4.9532e-05+0.00019447i,-0.00091903+0.00060912i,-0.0010376+0.000885i
-0.0012026+0.0018449i,-0.0014731+0.0016636i,-0.0012871+0.0015184i,-0.0013621+0.0016851i,-0.00060237+0.0013977i,-0.00059798-1.0407e-05i,-0.00098315-0.00084108i,-0.0010839-0.0010253i,-0.00094206-0.0010838i,7.5631e-05-0.00047487i,0.00064794-0.00062859i,0.00040096-0.0011302i,-0.00017619-0.00056048i,-8.5684e-05-0.00067375i,0.00046127-0.00077532i,0.00025317+7.519e-05i,1.3186e-05+0.00049586i,-0.00050677+0.00071809i,-0.00050536+0.00030057i,-0.00049098-0.00016534i,-0.00046598+0.00030837i,0.00036076+0.00061951i,0.00076551+0.00038581i
0.00011773-0.00087509i,-0.0016182-0.0005907i,-0.0016475+0.00014438i,-0.0003093+0.00059797i,-0.00052568+0.0015742i,-0.0013368+0.0022463i,-0.00086086+0.0010115i,0.000567-0.00040004i,0.00045378-0.00075419i,-0.00059171-0.0001108i,-0.0014163+0.00056438i,-0.0012555+0.00069386i,0.00014487+0.00090744i,0.00044487+0.00099735i,-0.00043803+0.00035549i,-0.00047709+0.00026919i,-0.00058389+0.00043751i,-0.00085244+0.00033842i,-0.00047359-0.0003739i,-4.6114e-05-0.00065892i,-1.99e-05-6.4293e-05i,-8.4053e-05+6.9637e-05i,4.0609e-05-0.00055684i
0.0018672+0.00079855i,0.002358+0.0010309i,0.0016649+0.00063246i,0.0010661-0.00043387i,0.0007744-0.00027097i,-3.6507e-05+0.00019156i,-0.00073774-3.1173e-05i,-0.00039896+2.0523e-05i,-0.00022648-7.0587e-05i,-0.00054724-0.00010171i,-0.00070039-0.00076093i,-0.0010138-0.00087395i,-0.00090673-0.00025458i,-0.00038084+9.4649e-05i,0.00017608-0.00019828i,0.00024602-0.00051754i,-0.00029042+5.3658e-05i,-0.00079677+0.00033563i,-0.00039803+2.6636e-05i,-0.00018446+0.0007193i,9.0535e-05+0.00085919i,0.00015038+2.7607e-05i,-9.5882e-05-0.00032958i
0.0014833+0.00042581i,0.00065694+0.0016349i,0.00014742-8.9166e-05i,-0.00067883-0.00098995i,-0.0017808-0.00061573i,-0.0022115-8.2608e-05i,-0.0013725-0.00018164i,-2.3128e-05-0.00057294i,0.0007668-9.9031e-05i,0.00047269+0.00028324i,-0.0008181+0.00014573i,-0.0010006-0.00029557i,-0.00041406-0.00016769i,-0.00021743+9.8437e-05i,-0.00068713+0.00010819i,-0.00061215+1.995e-05i,-0.00020977+9.0459e-05i,-0.00022266-0.00033927i,0.00026417-0.00075143i,0.00076124-0.00053655i,0.00085372-0.00033791i,0.00060802-6.9013e-05i,0.00030608-0.00080392i
0.0013144+0.0010138i,0.00046825+0.00092866i,-0.00060205+0.00043041i,-0.00064692+0.00091397i,-0.00061488+0.0011932i,-0.00054493+0.00099036i,-0.00077241+0.00025291i,-0.00042174-0.00055877i,8.5721e-05-0.00070561i,-4.1638e-05-0.00060447i,-0.00037242-0.00033294i,-0.00030258-0.00027268i,0.00039483-2.4858e-05i,0.00047554+0.0008021i,0.00020113+0.001421i,-0.00033466+0.0013272i,-0.00064048+0.00069804i,-0.00043484+0.00034141i,-0.00016256+1.3055e-05i,-0.00046291-0.00031079i,-0.00092399-6.9995e-05i,-0.00081554+0.00017389i,-0.00038109+0.00044995i
-0.002881-0.0015004i,-0.0027291-6.6745e-05i,-0.0021584+0.0014005i,-0.00126+0.0019561i,-0.00098989+0.0021124i,-0.00040213+0.0011883i,-0.00010172-6.3524e-05i,-6.3972e-05-0.00057649i,-0.00043793-0.00088007i,-0.00036762-0.001305i,-0.00065883-0.00041531i,-0.00055259+0.00056968i,0.00049674-0.00010712i,0.00078541-0.0010761i,0.0010682-0.0006997i,0.00086766-7.3781e-05i,0.00019568-2.0821e-05i,-0.00024949-0.00013414i,-0.00022576+6.3668e-05i,-0.0001786-0.00037759i,-0.0002106-0.0008894i,-0.00037648-0.00039776i,-0.00020198+0.00021573i
-0.0002701+0.00079613i,-7.8595e-05+0.00081328i,-0.00018864+0.0016951i,-0.00028325+0.0012305i,-9.768e-05-0.00024407i,-0.00028044-0.00025855i,-0.00061428-0.00044213i,-0.00066628-0.00050376i,-0.00057471-0.00035945i,-0.00056108-0.0012007i,-0.00035979-0.0013087i,-0.00045201-0.00028575i,-0.00060365+0.00017481i,-0.00075188+0.00022528i,-0.00077129+0.00010884i,-0.0005712-3.6497e-05i,-0.00046874-0.00065758i,-0.00033666-0.00061969i,-0.00024572-0.00017781i,-0.000196+4.669e-06i,-0.00065743+0.00026941i,-0.00045373+0.00026963i,0.00030146+0.00011777i
9.8865e-05+0.001321i,-0.0011516+0.001943i,-0.002108+0.0018312i,-0.001429+0.00075546i,-0.00098334+0.00092249i,-0.0011311+0.00088769i,-0.0016017+0.0004303i,-0.0018315-0.00018479i,-0.00079306-0.00065524i,-0.00021258+2.1436e-05i,-0.00038755-0.00021633i,-0.00018305-0.00042394i,0.00015609-0.00010885i,0.00099445-0.0011034i,0.00045541-0.0014521i,-0.00052784-0.00035511i,6.6942e-05-0.00018026i,0.0007-0.00044425i,6.8713e-05-6.7031e-05i,-0.00064513+0.00041299i,-9.699e-05+0.00079176i,0.00096685+0.00031731i,0.0015034-0.00035827i
-0.0012376-0.0012864i,-0.0012029-0.00053741i,-0.0015695-0.00076592i,-0.0010548-0.00078061i,-0.0007083+0.00017571i,-0.0009516+0.00073663i,-0.0010155+8.531e-05i,-0.0011215-0.00094584i,-0.00093694-0.0013827i,-9.1898e-05-0.00087839i,0.00016953+0.00026499i,0.00019831+0.00021585i,6.0839e-05-0.00043833i,6.444e-05+0.0001206i,0.00038108+0.00070291i,9.7578e-05+0.00071155i,-0.0002668+0.00049682i,-0.00020588-0.00014607i,0.00050538-0.00078403i,0.00083442-0.00088532i,0.00058596-0.00032588i,-0.00012994+2.7287e-05i,-0.0007737-0.0001122i
0.00055802+0.0016951i,4.5528e-05+0.001321i,0.0011638+0.0015837i,0.0015015+0.0013487i,0.00063489+0.00059073i,-0.0006364+0.00038154i,-0.0014326+0.00026979i,-0.001389-0.00021764i,-0.00076897-0.00074861i,0.00030781-0.00072127i,0.00083693-0.00057077i,0.00057342-0.00062711i,0.00062827-0.00027251i,0.00046674-0.00015733i,-0.00029192-0.00058798i,-0.00049126-0.00035264i,4.05e-05-0.00028729i,0.0005206-0.00064676i,0.00011937-0.00051751i,-0.00015162+5.2448e-05i,-0.0001471+0.00042501i,-0.00039883-0.00065008i,0.0001282-0.0014916i
0.00039457+0.0011044i,-0.00067461+0.0011127i,-0.001468+0.0008895i,-0.0023749+0.00046627i,-0.0021598+0.00057723i,-0.00099401+0.00031094i,-0.00055577-0.00022989i,-0.00035983-0.00063329i,-0.00081697-0.0010967i,-0.00093956-0.00091932i,-0.00039086+0.00024176i,-0.00030191+0.00080712i,-4.7953e-05+0.00057529i,0.00011464+0.00054174i,-0.00027323+0.00082512i,0.00014469+0.0004983i,0.00025979+0.00032883i,0.00026277+0.00073017i,0.00055573+0.00065777i,0.00027197-7.2107e-05i,-0.00024993+9.7126e-05i,-0.00034426+0.00025947i,-0.00010898-0.00044246i
0.0004745-0.0007616i,-0.00062606-0.0017329i,0.00029748-0.0010258i,0.00088541+0.00030621i,0.00014123+0.00067382i,-0.0003997+0.00025693i,0.00030055-0.00050451i,0.00018819+8.8919e-05i,-0.00089512+0.00060859i,1.925e-05-0.00034808i,0.00073471-0.00052133i,-0.00023947-5.5388e-05i,-0.00080204-8.746e-05i,-0.00094927+0.00032703i,-0.00067098+0.00086684i,-7.1504e-05+0.00037143i,-0.00023609+0.00029424i,-0.00075585+0.00027188i,-0.00050672-0.00077086i,-0.00014797-0.0011822i,7.406e-05-0.00081447i,-0.00025416-8.6631e-05i,-0.00058972+3.2616e-06i
-0.0010971+0.0006588i,-0.0015299+0.00057144i,-0.0023902+0.0018419i,-0.00211+0.0024814i,-0.00056868+0.00098084i,-2.6035e-05-0.00051172i,-0.00031516-0.00083383i,-0.00056446-0.00066764i,-0.0010253-0.00064323i,-0.00097784-0.00062826i,-0.00053089-0.00017206i,-0.00025848+0.00023433i,-0.0002984+0.00047751i,-0.00024047+0.00084838i,0.00052912+0.00023876i,0.00047328-0.00019461i,-0.00026951-0.00020152i,-0.00046035-0.00018774i,-0.00024571-0.00038918i,-2.0602e-05-0.00025923i,-7.9492e-05-5.709e-06i,-0.00038366+0.00026446i,-0.00051018+0.00025602i
-0.0011707+0.00067839i,-0.0017595+0.0016194i,-0.0016802+0.0017266i,-0.00081987+7.2037e-05i,-0.00029639-0.00019802i,-0.00021534-0.00016823i,0.00027956-0.0006241i,0.00041501-0.00034691i,0.00023928-8.8046e-05i,0.00070061-6.1944e-05i,0.00059625-0.00046729i,0.00070042-0.00082338i,0.00072121-0.00061357i,4.0868e-06+0.00022161i,-0.00021808+0.00041573i,0.00045683-8.9931e-05i,0.00025919-0.00034298i,-0.00027783+8.2622e-05i,-0.00046578+0.00047638i,-0.00069799+0.00037784i,-0.00056386+0.00021051i,-0.00046318-0.00038913i,-0.00055595-0.00052615i
0.00075688-0.00019936i,0.00015855-2.0147e-05i,-0.00090641+0.0011509i,-0.00059581+0.0015325i,-7.0292e-05+0.0012706i,-0.0001395+0.00071993i,0.00022118-0.00046971i,0.00072787-0.0012268i,0.00013411-0.00051721i,-0.00024469+4.8973e-05i,0.00057541-0.00027249i,0.00039813-0.00071907i,0.00047131-6.5837e-05i,0.0011862+0.00039832i,0.0011393-0.00025345i,0.0010593-0.00052244i,0.0012632-0.00023575i,0.00094483+1.5916e-05i,0.00015796-0.00038069i,-0.00083199+0.0003983i,-0.0011326+0.00052378i,-8.9189e-05-0.0001749i,0.00036135+0.00025237i
-0.0031781-0.00076479i,-0.0035576+0.00058236i,-0.0023285+0.0010921i,-0.0011353+0.00143i,-0.00046998+0.0015809i,0.00036438+0.0011803i,0.00072802+0.00036688i,0.00018297+0.00011124i,-0.00058943+0.0005558i,-0.0004802+0.0005301i,-0.00039998+0.000203i,-0.00030724-0.00018664i,0.00018922-0.00046042i,-0.00041886-0.00080255i,-0.00017879-0.00015609i,7.1224e-05+0.00059904i,-0.00017316+0.00026142i,-0.0003305+5.1328e-05i,-0.00030234-9.6841e-05i,0.00045263+0.00011268i,0.00085095+0.00087881i,-0.00020774+0.0010556i,-0.0010493+0.00015815i
