-0.0041682+0.0014103i,-0.0048331+0.0022814i,-0.00462+0.0046912i,-0.0026776+0.0051911i,-0.00083827+0.0035337i,-0.00077942+0.0012919i,-0.0016469+0.0005763i,-0.00080658+0.00071084i,0.00037596+0.00093058i,0.0011246+0.0008036i,0.0013262-1.5119e-05i,0.00095345-0.00079969i,0.0006778-0.0010314i,0.00021199-0.00090019i,-0.00055174-0.00033482i,-0.00064677+0.0004479i,-0.0002676+0.0012738i,0.00010913+0.0012711i,0.00044415+0.00039132i,0.000171+0.00022663i,-4.5597e-05+0.00052307i,-0.00056813-0.00041032i,-0.00048482-0.00049434i
-0.00052057+0.00033337i,-0.0017636+0.00043207i,-0.0024856-0.00051827i,-0.0023326-0.0022597i,-0.0022518-0.0014391i,-0.0014045+0.00016349i,-0.00061217+0.00028779i,0.00020397+0.00061153i,0.00018867+0.00073061i,-0.00055249+0.00012768i,-0.0005459-0.00057599i,-8.8493e-05-0.00022338i,-0.00011802-1.3647e-06i,-1.947e-05+7.3572e-05i,0.00023549+0.00082871i,0.00025268+0.00056744i,0.00025657+0.00010126i,-0.0004408+1.3596e-05i,-0.00074989-0.000484i,-0.0010986+0.00016118i,-0.00069749+8.8835e-05i,0.00040874-0.00088551i,0.00030618-0.00052313i
0.0014557-0.0001304i,0.0010639-0.00039887i,7.8217e-05-2.6956e-05i,0.00034035+1.2033e-05i,4.4238e-05-0.0014265i,-0.0014011-0.0020674i,-0.00088629-0.0010511i,-0.00045001-5.1832e-05i,-0.00068341+0.00011226i,-0.00023195-0.00065861i,-1.5676e-05-0.00091752i,-4.8897e-05-0.00038823i,0.00024785-0.00031441i,0.00065112-0.00047369i,0.00013954-0.00017335i,-0.0001897+0.00020938i,-6.8029e-05-0.00044759i,0.00012848-0.0012049i,0.00066221-0.00035384i,0.0011824+0.0010851i,0.0013585+0.0011876i,0.00038939+0.00051357i,-0.00059169+3.3728e-05i
-0.00074762+0.0014455i,-0.0016486+0.0017473i,-0.0017556+0.0016575i,-0.0020505+0.00059909i,-0.0018914+0.00075069i,-0.0011848+0.0013366i,-0.00089936+0.0008345i,-0.00064935+0.00048323i,-0.00042469-0.00012389i,-0.00067689-0.00019979i,-0.00036707-0.00013754i,-0.00032174+5.5441e-05i,-0.00039926+0.00044492i,0.00028226+0.00041025i,0.0005491+0.001023i,0.00049884+0.00083367i,0.00029265+4.4734e-05i,-0.00014995-2.9907e-05i,-0.00056352-0.00019079i,-0.000536-0.00039473i,-0.00042836-0.00047864i,0.00015908-0.00074245i,0.00040567-0.00069032i
-0.00036243+0.00062401i,0.00080044+0.00014427i,0.0026434+0.00067182i,0.0022959+0.00076975i,-5.0113e-05+5.2845e-05i,-0.0018112-0.00045248i,-0.0020376-0.00041001i,-0.0010077-0.00021106i,0.00021334+3.4897e-05i,0.0003297+0.00034047i,0.00022708+0.00043138i,-0.00020601+0.00063429i,-0.0011476+0.0006349i,-0.0012115+0.00013602i,2.0845e-05-0.0005622i,0.00035813-0.00059512i,-0.00057356-0.00039514i,-0.00028843-0.00051154i,0.00072102-0.00039465i,0.0010602+2.114e-05i,0.0013472-0.00059893i,0.0012416-0.00040079i,0.00077119+0.0002096i
-0.00035015-0.0023261i,-0.0016727-0.00034995i,-0.002764+0.00068447i,-0.0028255+0.00040804i,-0.0024944+6.4028e-05i,-0.0019839-7.7761e-05i,-0.0010583+0.00022665i,-0.00078887+0.00015048i,-0.0011006-0.00048125i,-0.00043971-0.00089582i,0.0002089-0.0004631i,0.00022435+0.00013634i,0.00030135-0.00023703i,0.00087531-0.0010552i,0.00058732-0.00027283i,-0.00061142+0.00099672i,-0.001079+0.00092028i,-0.0003185+0.00075956i,0.00040994+0.00057036i,0.00062168+2.4068e-05i,0.00079927+0.00014497i,0.00052552-0.00010212i,-0.0001604-0.00091406i
0.0008208+2.1723e-05i,0.00066985-0.00060168i,0.0011342-0.0010855i,0.00056676-0.0013733i,-0.0010219-0.00028368i,-0.0012056+0.00081155i,-0.00097368+0.0011422i,-0.0011621+0.00073429i,-0.00069735+0.00018118i,0.00043363+4.0422e-06i,0.00068291-0.0001237i,-0.0007403-0.00093817i,-0.00079449-0.00094075i,0.00035922-2.106e-05i,0.00015341-0.00012671i,-0.00015603-0.00041665i,0.00022177+0.00029469i,0.00035805+0.00082988i,0.0003707+0.00053105i,0.00064728+7.2475e-05i,0.0011498-0.0011139i,0.0014457-0.0016997i,0.0013923-0.00032485i
-0.0015678-0.00018747i,-0.0014198+0.00068191i,-0.0015724+0.0017105i,-0.0019095+0.0012844i,-0.0016995-0.00028201i,-0.0019168-0.00059685i,-0.0015282-8.0871e-05i,-0.00021825+0.00055767i,-0.00010458+0.00038866i,-0.00022551+2.1215e-05i,5.0782e-05+0.00030007i,7.6032e-05+0.00028372i,-0.00044265+0.00044235i,-0.00087635+0.00038583i,-0.00040956-0.00023286i,0.00048266-7.7466e-05i,0.00075821+0.00055215i,0.00094178+0.0011947i,0.00064513+0.0014342i,0.00018493+0.0010859i,0.00013832+0.00075828i,-5.4811e-05+7.0381e-05i,-0.00018934-0.00061987i
-0.00029595-0.00073637i,-0.000579+0.00014475i,-0.00037692+0.0012834i,-0.00072414+1.0488e-07i,-0.002045-0.0010077i,-0.0022921-0.00052212i,-0.0012181-0.00083668i,-9.0552e-05-0.00081327i,0.00067426+7.8704e-05i,0.00053223+0.001119i,0.00024506+0.0010952i,0.00035229+0.00026821i,0.00059578+0.00021159i,0.0006793+0.00024442i,0.00072364+0.00015302i,-5.259e-05+0.00033674i,-0.00054816+0.00077116i,0.00012721+0.00073806i,0.00013817+0.00018108i,-0.0002115-0.00064603i,-8.8784e-05-0.001048i,0.00024444-0.00035079i,2.2942e-05+0.00037643i
-0.00021973-0.0013148i,0.00012703-0.00054035i,0.00016732-1.0847e-06i,-0.00081147-0.00040411i,-0.0020504-0.0012899i,-0.001821-0.0013925i,-0.00051611-0.00087018i,0.00011741-0.00022598i,-0.000392-5.6955e-05i,-0.00030095+4.8732e-05i,-0.00019084-0.0001352i,0.00015605-0.00044136i,0.0010055+0.00057714i,0.000856+0.0011146i,0.00036829+0.00033743i,0.00029208-0.00045178i,0.00070733-0.00038899i,0.00034161-0.00033577i,-0.00027544-0.00066818i,9.1842e-05-0.00056622i,0.00041324-0.00061722i,-3.1463e-05-0.00052417i,8.8262e-05-0.00054029i
0.00030118-0.0015379i,-0.00055977-0.0012682i,-0.0017851-0.0016294i,-0.0023882-0.0013907i,-0.0024216+0.0004849i,-0.0020812+0.001311i,-0.00047034+0.001764i,0.00066789+0.0018749i,0.00067957+0.0010727i,4.341e-05+0.00024312i,-0.00067916-2.1928e-05i,-8.2148e-05+0.00052263i,0.00066745+0.0013009i,0.00032651+0.0013102i,7.5798e-05+0.000345i,-3.8258e-05-0.00052253i,-0.00045046-0.00054921i,-0.00016617-0.0004539i,0.00092171-0.00065102i,0.00089328-0.00048557i,2.1131e-05+3.7016e-05i,-0.0002032+0.00018475i,0.00032477+0.0002505i
0.00073609+0.00053881i,0.0010834+0.00093197i,0.0019168+0.0014654i,0.00097132-0.00042434i,0.00030394-0.0022325i,-0.00062628-0.0015195i,-0.0010714-0.00018977i,-0.0005426+0.00042326i,4.8277e-05+0.00019463i,8.6327e-06-0.0002902i,-0.00022216-0.00046829i,-0.00021062-0.00020652i,-4.9498e-05+0.0003773i,0.00014415+0.000791i,0.00021501+0.00076204i,1.1273e-05-0.00024334i,0.00042085-0.00084399i,0.00035168-0.0010589i,0.00038564-0.0011654i,-0.00024349-0.00010349i,-0.0006165+3.5564e-05i,-0.00052201-0.00020492i,-0.00038238+0.00054655i
-0.0015202+0.00025843i,-0.0018091+0.0017741i,-0.0018877+0.0026018i,-0.0017897+0.0019284i,-0.0019677+0.00037444i,-0.0014245+9.1124e-05i,-0.00078055+0.00088922i,-4.2008e-05+0.00054553i,0.0004352-5.5459e-05i,0.00085888-5.5674e-05i,0.00070659-0.00026234i,-0.00011459+0.00016708i,-0.00024298+0.00030122i,0.00061734+0.00043075i,0.00052015+0.00077972i,-0.0001301+0.00070186i,0.00029938+0.00014935i,0.00092241-0.00048021i,0.00059132+0.00014082i,-0.0002382+0.00068114i,0.00013343+0.00012899i,0.00038947-6.8473e-05i,-0.00014956+0.00017779i
0.0013003-0.0015272i,0.0019252-0.0017469i,0.0021892-0.0024424i,0.00040112-0.0020238i,-0.0014702-0.0013153i,-0.001725-0.00079118i,-0.00094128-3.1467e-05i,-0.00047692-0.00040951i,0.00025906-0.0010393i,0.0011563-0.00086504i,0.0013864-0.00043302i,0.0015229-0.00031893i,0.00076684+0.00019443i,0.00061995+0.00071218i,0.00043244+0.00078472i,-0.00012228+0.00049978i,0.00019308+0.00010797i,2.493e-06+1.3208e-07i,-3.2595e-05-0.00012885i,0.0005264-0.00029695i,0.00091745+0.00017144i,0.00087868+0.0006276i,0.00074417+0.00072746i
-0.00023137-0.00045225i,-0.0011087+0.0005058i,-0.001649+9.7975e-05i,-0.0021831-0.00055248i,-0.0024547+9.4026e-06i,-0.0016461+0.00016639i,-0.0006003+0.00036609i,-0.00047747+0.00026448i,-0.0011675-0.00018902i,-0.00094376+7.8034e-06i,-5.1175e-05-7.5655e-05i,2.7104e-05-0.00045368i,-0.00037762+5.3698e-05i,-0.00084606+0.00035626i,-0.00019064+0.00035948i,-3.5521e-05+0.00087449i,-0.00031654+0.00044783i,-0.00010414-0.00058353i,5.077e-06-0.00035933i,-0.00027475+2.8936e-05i,-0.00036049-0.00022113i,-0.00045094-0.00055882i,0.00022074-0.00032648i
-9.3488e-05+0.0019302i,-0.00037264+0.002077i,0.00061009+0.00057351i,0.0016246-0.0003337i,0.00064313-0.00065493i,-0.00078556-0.0011509i,-0.00075944-0.00077434i,-0.00061154-0.00058753i,-0.00063898+4.4405e-05i,3.9205e-05+0.00050786i,0.0004631-0.00012283i,-0.0003612-0.00040307i,-0.00040274-0.00024273i,-0.00015284-6.3614e-05i,-0.00043362-0.00027678i,-0.0011869-0.00041879i,-0.0012915-0.00024672i,-0.00070719-0.00029782i,-0.00034879-0.00060963i,-0.00018888-0.00016805i,-9.5349e-05-0.00019165i,9.275e-05-0.00037013i,8.1097e-05+0.00038002i
-0.0010609-8.2383e-05i,-0.0014762-0.00015474i,-0.0014253+0.00040341i,-0.00090841+0.0010549i,-0.00090698+0.00069305i,-0.0012449+0.00026059i,-0.00090913+0.00079551i,-0.00024819+0.00085279i,-0.00086174+0.00037233i,-0.00045042+7.7377e-05i,0.00070289-0.00029182i,0.00069601-0.00076317i,0.00013255-0.0006862i,-0.00033715-0.00020985i,-2.8811e-05+3.7003e-05i,0.00035871+0.00027909i,0.0001776+0.00015341i,-0.00041621+0.00017487i,-0.0001636+0.00028282i,0.00072986+9.4448e-05i,0.00050444-0.00041865i,-1.0792e-05-0.00032496i,0.00029567+0.00028346i
-0.00039543+0.0010277i,0.0004814+0.0010165i,-0.00026486+0.00056483i,-0.00085507-0.00075664i,-0.00099381-0.00080402i,-0.00094502-0.0002731i,-0.0003484+0.00021504i,0.00052539+0.00044869i,-6.5706e-05+0.00015584i,-0.00087092-0.00011888i,-0.00080031-0.00068807i,0.00039791-0.00069i,0.0011261-3.7336e-05i,0.00045399+0.00031146i,0.00014179+0.00059115i,0.00023638+0.00047483i,2.6374e-05+0.00060349i,0.00028691+0.0012443i,6.132e-05+0.00071667i,-0.00040435-0.00013164i,0.00016098-8.7861e-05i,-0.00032596+0.0001569i,-0.00070568+0.00058234i
0.00079765-0.00034865i,0.00055237-0.00015777i,0.00064716-0.0002024i,0.00023396-0.00058638i,-0.0008936-0.0016038i,-0.0013344-0.0011665i,-0.0010227+0.0008104i,-0.00051972+0.00068259i,2.398e-05-0.00044982i,-0.00031054-0.0011522i,-0.00078246-0.00052764i,-0.00046633+0.00070729i,-0.00047217+0.00054094i,-0.00036276-7.918e-05i,0.00031761-0.00019894i,0.00057468-0.0005698i,0.00053262-0.00070631i,0.00013432-0.00031195i,0.00038988-0.00034927i,0.00085459-1.7084e-05i,0.0006155+0.00024157i,3.7131e-05+0.00014679i,-0.00085679-3.2016e-05i
0.00042546+0.0014329i,0.0004584+0.0011954i,-0.00039996+0.00079929i,-0.0019183-0.00017308i,-0.0013333-0.0015745i,-0.00087665-0.0016961i,-0.00072738-0.00042965i,-0.00026962+0.00020589i,-0.00032216+0.00029141i,0.00013132+0.000658i,0.00041599+0.0006618i,0.00023601+4.4653e-05i,-0.00047896+0.00018049i,-0.00072871+0.00038387i,-0.00043959-0.00021735i,0.00064295-0.00074114i,0.0011072-0.00041388i,2.8663e-05+0.00054924i,-0.00048829+0.00096351i,-0.00041081+0.00085118i,-0.0004515+0.00072085i,-0.00038025-0.00019681i,-2.0909e-05-0.0010343i
0.001856+0.00097007i,0.002034+0.00085677i,0.0026828+0.00068982i,0.0025601-0.00066895i,0.00084216-0.00078278i,-0.0013156+0.00031994i,-0.0018921+0.00061161i,-0.00091211+0.00028979i,-0.00065655+0.00046372i,-0.00066447+0.00084392i,-0.00024814+0.00058247i,-8.1123e-05+0.00017435i,-4.9379e-05-0.00059955i,4.2213e-05-0.0011029i,0.00026877-0.00048376i,4.2666e-05-8.1727e-05i,-2.7992e-05-0.00064272i,-5.8581e-06-0.0007365i,0.00021436-0.00051029i,0.00053115-1.2372e-05i,-0.00062121+0.00063883i,-0.00095426+0.00020055i,-2.4157e-05-0.00025085i
-0.0024948+0.00093512i,-0.0025365+0.001285i,-0.002252+0.0015184i,-0.0021511+0.0007733i,-0.0016156-0.00020671i,-0.0012523-0.00084612i,-0.0010611-0.00023722i,-0.00065561+0.00034225i,-0.00024301-0.00025235i,0.00057514-0.00042153i,0.00093719-0.00037103i,0.00034897+0.00034165i,0.00013149+0.00052818i,0.0006695-0.00045554i,0.0011261-0.00079566i,0.00082983-0.0002472i,-6.4319e-05+1.0401e-05i,-0.00019161-0.00021022i,0.00038141-0.00027818i,0.00067909+0.00012125i,0.00030317+0.00010186i,-0.00068735-0.00017891i,-0.0011424+0.0002007i
-0.00048583+9.0937e-05i,0.00022205-0.0004382i,0.0003735+0.00052713i,0.0001285+0.001557i,-0.00014314+0.00076789i,-0.0010707+0.00020789i,-0.0010617+0.00075181i,-8.182e-05+0.0011202i,0.00016235+0.0012313i,0.00014242+0.001285i,0.00069917+0.00048038i,0.00040459+3.9963e-05i,0.00038553+0.00025425i,0.00057935+0.0005798i,9.2298e-05+8.0973e-05i,-0.00041315-0.00019948i,-0.0011371+9.8105e-05i,-0.0014351+0.00017037i,-0.00093327-0.00010068i,-0.00074906+0.00032352i,-0.00056893+0.00092147i,-0.00038891-1.4491e-05i,-0.00016146-0.00090918i
-0.00031046-8.1453e-05i,-0.0010852+0.00033912i,-0.0010746+0.00010763i,-0.00055494-0.00083605i,-0.00066901-0.001245i,-0.00060765-0.00072006i,-0.00042499+0.00071677i,-0.00013935+0.0015368i,-0.00063225+0.0011024i,-0.00098845+0.00056978i,-0.00014018+4.3721e-05i,0.00032155-2.431e-05i,0.00047892+0.00014922i,0.00043051+0.00021595i,0.00045711-0.00042861i,0.00034673-0.00015686i,0.0004297+0.00072178i,3.4161e-05+0.00095571i,-0.00047107+0.00024354i,-0.00072109-0.0002864i,-0.0003398-0.00014736i,0.00033714+0.00016213i,0.00029743+0.0006106i
0.0016906+0.00097446i,0.0014244+0.0013091i,0.00098178+0.00016197i,0.00013032-0.00059178i,-0.0013904-0.0013388i,-0.0030622-0.0015387i,-0.0021872-0.00030476i,-0.00047963-8.4504e-05i,0.00028112-0.00017002i,0.00053946-0.00017319i,0.00093431-0.00081207i,0.00066725-0.00088151i,-3.0761e-05-0.00059568i,6.1367e-05-0.00091994i,0.00068745-0.00063161i,0.00079767-0.00013027i,0.00091004-0.0001268i,0.0011288-0.00045406i,8.6946e-05-0.0010364i,-0.00080843-0.00079023i,-0.00022264-0.00068237i,0.0005327-0.00015341i,0.00094262+0.00025474i
-0.0021237-0.00014242i,-0.0021681-9.8684e-05i,-0.0010346+2.7261e-05i,-0.00064517-0.00047269i,-0.0012414-0.00052407i,-0.001695+0.00028259i,-0.0016311+0.00088882i,-0.0011198+0.00082394i,-0.00038567+0.00074814i,-0.00021141+0.0010492i,-0.00085419+0.0001564i,-0.00047354-0.00043999i,0.00059279-0.00055971i,7.3641e-05-0.00093978i,-0.0003133-0.00063332i,-0.00010784-0.00048993i,-0.00042625-0.00010806i,1.6674e-06+0.00054657i,0.00047454+0.00049016i,-5.1735e-05+0.00037801i,-0.00063724+0.00021065i,-0.0011903-4.5095e-05i,-0.00087723-0.00050258i
0.003387-0.0011468i,0.0021852-0.00040047i,0.00064724-0.0012762i,0.00037687-0.002319i,-0.00074593-0.0021215i,-0.0014472-0.00033313i,-0.00058801+0.00095647i,0.00025053+0.0010265i,0.00033533+0.0014576i,-0.00017311+0.0018209i,-7.5624e-05+0.0014i,0.00030621+0.00074986i,5.1697e-05-0.00039661i,0.00015757-0.00083178i,0.00034559-0.00016962i,0.00034928+0.00014575i,0.00056457+0.00052527i,0.00089178+0.00055084i,0.0013393-5.3947e-05i,0.00095891-0.00063283i,-4.8879e-05-0.00097429i,3.5498e-05-0.00048858i,-0.00016834+0.00020716i
0.0010867+0.00080903i,0.00013288+0.00031062i,-0.00026604-0.00045303i,-0.00086615-0.00085851i,-0.0019548-0.0013759i,-0.0026816-0.00030047i,-0.002094+0.0014428i,-0.00073997+0.0016156i,-4.1892e-05+0.00049196i,-0.00023187-1.8689e-05i,-0.00054741+0.00016359i,-0.00026646-0.00028247i,0.00032702-6.2362e-05i,0.00050641+0.0011331i,0.00036098+0.0013518i,0.00092054+0.00034177i,0.00072809+0.00010342i,0.00040299-1.7922e-06i,0.00074654-4.5425e-05i,0.00038239+0.00023578i,-0.0003683+0.00034018i,-0.00061701+0.00032056i,0.00055047-9.2742e-05i
-0.00098671+0.00048603i,-0.00043459+0.00055804i,-8.8148e-05+0.0014572i,-8.7933e-05+0.0017354i,0.00020355+0.00084267i,-4.6241e-05-0.00010946i,-0.00037721-0.00042869i,-0.00065626-0.00041359i,-0.00031463+8.2015e-05i,0.0002828+0.00080787i,-0.00014318+0.0009015i,0.00011485+2.8807e-05i,0.00077753-0.0005933i,0.0003848-0.00053429i,0.00036735-0.00046707i,0.00081394-0.00088466i,0.00041991-0.00082256i,-0.00013924-7.8841e-05i,-0.00026738-0.00026385i,-7.5661e-05-0.00044234i,-0.00033898-0.00024623i,-0.00063622-0.00017024i,-0.00065615+0.00050014i
0.000369-6.0956e-05i,-0.00072589-0.00013566i,-0.00089357-0.0013471i,-0.00090621-0.001333i,-0.0018641-0.001196i,-0.0020747-0.001118i,-0.0014396-0.00099175i,-0.00057878-0.00077227i,0.00039982-0.00062617i,0.00060383-0.00053692i,-0.00037948-0.00012546i,-0.0012659+0.0001988i,-0.0005214+0.00034276i,0.0010018-5.8271e-05i,0.0015884-0.00069849i,0.00079044-0.00084908i,-7.3972e-05-0.00058895i,4.2241e-05-0.00023836i,-0.00010458-0.00067901i,0.00062247-0.00080876i,0.0005165-0.00034936i,-0.00043815-0.00044589i,-0.00047996+6.9467e-07i
0.001113-0.00071176i,0.00068036+0.0002758i,0.00017165-0.00057169i,-0.0013675-0.00060123i,-0.0020041+9.7157e-05i,-0.0017375+0.0011288i,-0.0012875+0.0018069i,-0.00043501+0.0014585i,-0.00090022+0.00022666i,-0.00076407-0.00071089i,0.00076433-0.00043396i,0.00096512+0.00026866i,0.00033872+0.00012688i,0.00042565-0.00038865i,0.000381+0.00026103i,3.6133e-05+0.00041768i,-0.00017668-0.00020539i,-0.00088365-0.00089556i,-0.00089249-0.0013521i,-0.00041083-0.00088575i,0.00070044-0.0003682i,0.0010913-0.00046863i,0.00074962+9.2472e-05i
-0.0017178+0.00015818i,-0.0010517+0.00063925i,-0.001668+0.001351i,-0.001031+0.00075291i,-0.00023322-0.00053654i,-0.00076707-0.0013965i,-0.00091925-0.00092013i,-0.00065185+0.00029766i,-0.00084898+0.00051794i,-0.00084851-0.00045807i,-0.00022372-0.00067345i,-1.5701e-05-5.9301e-05i,-0.00021568+0.00015643i,0.00022177+0.00055547i,0.00037246+0.00014777i,0.00012845-0.00067394i,-0.00018586-0.00086129i,-0.00014579-0.00054956i,0.00035898-0.00043025i,0.0001729+0.00025349i,-8.0357e-05+0.00048777i,-0.00027746+4.9843e-05i,-0.00048362+0.00014126i
