-0.0041682+0.0014103i,-0.0048331+0.0022814i,-0.00462+0.0046912i,-0.0026776+0.0051911i,-0.00083827+0.0035337i,-0.00077942+0.0012919i,-0.0016469+0.0005763i,-0.00080658+0.00071084i,0.00037596+0.00093058i,0.0011246+0.0008036i,0.0013262-1.5119e-05i,0.00095345-0.00079969i,0.0006778-0.0010314i,0.00021199-0.00090019i,-0.00055174-0.00033482i,-0.00064677+0.0004479i,-0.0002676+0.0012738i,0.00010913+0.0012711i,0.00044415+0.00039132i,0.000171+0.00022663i,-4.5597e-05+0.00052307i,-0.00056813-0.00041032i,-0.00048482-0.00049434i
0.00010658+0.0015572i,0.00041769+0.00098668i,0.00066716+0.0012603i,0.00076161+0.001104i,-0.00029145-0.00063438i,-0.00088051-0.0017121i,-0.00092669-0.0010111i,-0.00079866+0.00022448i,-0.00057301+0.0010781i,-0.0001083+0.00096481i,0.00019969+0.00028996i,-0.00017601-0.00071335i,7.539e-05-0.0004923i,0.00050281+0.00067524i,0.00087006+0.0014772i,0.0010882+0.0014976i,0.00041939+0.00024129i,-4.3798e-05-0.0007264i,-0.00030897-0.00074002i,-0.00031556-0.00077788i,0.00032205-6.7704e-05i,0.00034389+0.00036487i,0.00018066+0.00021934i
-0.0014228-0.001023i,-0.0018897-3.2261e-05i,-0.0027706+0.0015356i,-0.0024926+0.0022861i,-0.0019502+0.0019635i,-0.0020688+0.0012066i,-0.0014937+0.00091685i,-0.00012706+0.0014182i,-4.307e-05+0.0010926i,-0.00025459+0.00016699i,0.00020426-0.00059733i,0.00033211-0.0005548i,0.00029074+4.5886e-05i,0.00029646+0.00055195i,-0.00014541+0.00068174i,8.8234e-05+0.0006523i,0.00057598+0.00086639i,0.00023652+0.00072387i,6.5681e-06+0.00033692i,0.00013988+0.00012919i,0.00011462+0.00012361i,-0.00044509+5.0422e-06i,-0.00069808-0.0002451i
0.0017423-0.00154i,0.0011103-0.0017304i,0.00012564-0.0015817i,-0.00015546-0.0018727i,-0.0016327-0.0016824i,-0.0024563-0.0014523i,-0.0014366-0.00085696i,-0.00072532-0.00031547i,-0.00058861-9.242e-05i,-0.00040708-0.00041211i,-8.8928e-05-0.00056527i,8.8916e-05-0.00048152i,0.00036063-0.00071181i,0.00035472-0.00016905i,0.00032089+0.00059631i,0.00021715+0.00061536i,-6.1446e-05-5.6878e-05i,-0.00025707-0.00076046i,-0.00058763-0.00032417i,-0.00084044+0.00036949i,-0.00053971+0.00047044i,0.00039834+0.0011932i,0.00067318+0.00099585i
0.00080132-0.00037985i,-5.1676e-05+0.00028012i,-0.0011056+0.00068124i,-0.0014002+0.00064948i,-0.0017387-4.5429e-05i,-0.0019994-0.00068741i,-0.0013264-0.00042072i,-0.00031251-0.00013798i,-0.00020416-0.00043143i,-0.00055135-0.00013836i,-0.0010227+0.00084606i,-0.00054851+0.00097851i,-3.172e-05+0.00057896i,-2.0175e-05+0.00072455i,0.00053844+2.6288e-05i,0.00087435-0.00036807i,0.00031337+6.2366e-05i,-0.00015293-0.00060876i,-2.6514e-05-0.0016402i,0.00021461-0.0012018i,-7.0027e-05-0.00054859i,-0.00027023-0.00050599i,0.00040941-0.00042453i
9.5958e-05+0.0015049i,0.00090036+0.0017082i,0.0017528+0.0009861i,0.00091963-0.001066i,-0.00080806-0.0027912i,-0.0021534-0.002157i,-0.0023336-0.00084315i,-0.0017602-0.00029348i,-0.00015366-0.00035674i,0.0011117-1.8812e-06i,0.00098308+0.00016471i,0.00040657-0.00048003i,0.00061897-0.0005952i,0.00091944+0.00021834i,0.00044198-0.00029397i,0.00013284-0.00094149i,0.00029975-0.00040115i,-8.9647e-05-7.695e-05i,-0.00088386+0.00025187i,-0.00088039+0.00064676i,-0.00028065+4.6562e-05i,-5.2222e-05-0.00037511i,0.0006441-0.00035147i
-0.00099756-4.8702e-05i,-0.00051924+0.00018207i,-0.00052613+0.00048132i,-0.00049271+0.00073525i,-0.0010447+0.0002965i,-0.00091027+0.00016225i,-9.0688e-05+0.00078251i,0.00026786+0.00052272i,2.0355e-05+5.2692e-05i,8.3574e-05+3.6298e-05i,0.00062616-2.1725e-05i,0.00043158-0.00013216i,0.00061193-0.00018365i,0.0008502-0.00036864i,0.00049531-0.00094831i,0.00083562-0.0013922i,0.00085907-0.00011573i,0.00044224+0.00046362i,0.00087239+6.8169e-05i,0.00079346-2.565e-05i,0.00014316+0.00050337i,-0.00057198+0.00065142i,-0.0007238+0.00042195i
0.0020193-0.0021779i,0.0020759-0.0020583i,0.00070536-0.0023754i,-0.0012557-0.0030343i,-0.0018985-0.0020512i,-0.0010565-5.1296e-06i,-0.00035117+0.00039865i,0.00037544-0.0003606i,-7.1375e-05-0.00045401i,-0.00080637-0.00039881i,-0.00036108-0.0008725i,0.00020064-0.00054626i,0.00013918-0.00039277i,-2.259e-05-0.000619i,0.00019185+4.76e-05i,-0.00012807+0.00049259i,-0.00077589+0.00045134i,-0.0011171+0.00041302i,-0.0013431+0.0003591i,-0.00087037+0.00054858i,-0.00016409+0.00069936i,-0.00013019-4.1192e-05i,1.977e-05-0.00051838i
-0.0011356-2.9491e-05i,-0.0016629+0.00084188i,-0.0020879+0.0019318i,-0.0021931+0.0020198i,-0.001404+0.00074955i,-0.00096702+0.00064962i,-0.00041894+0.00034796i,1.6897e-05-0.00026223i,0.00013425-0.0006556i,0.00029819-0.00041958i,-0.0003075+0.00094283i,-0.00077377+0.00095629i,-0.00015525-8.6969e-05i,0.00086639-5.9863e-05i,0.0013113+0.00058286i,0.0004824+0.00063656i,-7.6745e-05+0.00050239i,-0.00040185+0.00043995i,-0.00033897+0.00016986i,0.00015368+0.00031311i,0.0001288+0.0003329i,0.00063281+0.00062747i,0.000567+0.00057767i
-0.0009797-0.00085428i,-0.00010955-0.00094113i,-0.00079622-0.00098875i,-0.0021508-0.0012547i,-0.0022155-0.00082283i,-0.0013664+7.175e-05i,-0.0009292+0.00018961i,-0.00036055-0.00012252i,-5.7943e-05+0.00015737i,-0.00067711+0.0014286i,-0.0013303+0.00066934i,-0.00050471-0.00089243i,0.00089251-0.00056793i,0.00080731-0.00012382i,6.7792e-05+5.2164e-05i,-5.5638e-05+0.00035684i,-3.7002e-05+0.00024744i,0.00030844-0.0001751i,0.000702+0.00023343i,6.6765e-05+0.00085875i,-0.00040819+0.00062055i,0.00032811+0.00063828i,0.00029526+0.0005362i
0.00063137-0.00091156i,0.0011798+0.00054776i,0.00077506+0.0014123i,-0.00018691+0.0016959i,-0.0015719+0.00076055i,-0.0024331+9.5057e-05i,-0.0018876+0.00075578i,-0.0015547+0.00014318i,-0.001478-0.00074631i,-0.00098222-0.00042435i,-0.0001187-0.00073651i,0.00014897-0.00064853i,-0.0004598+8.1505e-05i,-0.00062022+8.4244e-05i,0.00015522-5.8007e-05i,0.00068471-0.00025546i,5.3861e-06-0.00068977i,-0.00064357-0.00053978i,-0.000572-0.00045898i,-0.00059477-0.0002158i,-2.1389e-05+0.00026364i,0.00060858+0.00042028i,0.00050224+0.00077506i
