-0.0054303+0.00030285i,-0.0043747+0.0016084i,-0.0040722+0.0030497i,-0.0016764+0.0026278i,0.00081498+0.0020866i,0.0013317+0.0013627i,0.00087133+0.001058i,0.00060364+0.0012146i,0.00094081+0.0007576i,0.0010345-0.00018098i,0.00097388-0.00056811i,0.00062026-0.00056178i,0.00025421-0.00094551i,0.00075673-0.0023232i,0.0016842-0.0030143i,0.001697-0.0018809i,0.0012576-0.00071081i,0.001172-0.00024503i,0.00046557-0.00031418i,-0.00012458-0.00034454i,-0.00011174-0.00018942i,0.00027589-0.00013457i,0.00059991+0.00023451i
-0.00069643+0.0017076i,0.00014676+0.00043666i,0.0012858+0.00064451i,0.001012+0.00034514i,0.00036767-0.00063732i,0.00044843-0.0011453i,0.00025874-0.00066255i,-0.00045669-0.00033039i,-0.00091294+0.00021912i,-0.00049657+0.00037267i,0.00032558+9.3111e-05i,9.6958e-05+0.00027162i,-0.00054907+0.00042023i,-0.00050932-0.00015766i,-0.00024167-0.0010107i,-0.00040414-0.00038581i,-0.00029937+9.318e-06i,0.00023164-0.00019156i,0.00029251-2.4019e-05i,-0.00012318+0.00035785i,0.00046992+0.00033129i,0.00069102-9.5221e-05i,0.00017741-0.00020094i
-0.00023151-0.00097065i,-0.00097766-0.00064211i,-0.0014153-0.00013532i,-0.0018861-5.3457e-05i,-0.0013581-0.00064106i,-0.00075847-0.00077254i,0.00034045-0.00099107i,0.0011726-0.0011384i,0.00071673-0.00083333i,0.00027395-0.00077899i,0.00064389-0.00015733i,0.00075053+0.00096257i,0.00049848+0.00064925i,6.6266e-05-9.3392e-05i,0.00025141-0.00032849i,0.000462-0.0004141i,0.00044661-0.00036142i,0.00022562-0.00025919i,0.00041507-0.00034944i,0.00017778-0.00027048i,-0.00053777+0.00031077i,-0.00054368+0.00040924i,-0.00024726-0.00011906i
0.0012874-0.00097218i,5.8052e-05-0.00065143i,-0.0008929-0.0012009i,-0.00077263-0.00043812i,-0.00053356+0.00022027i,0.00063127-0.00032366i,0.0010783-0.00026981i,0.00056732-0.00059877i,-0.00044839-0.0010489i,-0.0014128-0.00019242i,-0.0009838+0.00071454i,-6.0924e-05+8.4548e-05i,0.00034431-0.00051618i,0.00037124-0.00038263i,-3.6584e-05-3.3795e-05i,-0.00056083-0.00010086i,-0.00080902+2.9957e-05i,-0.0011604+0.00023546i,-0.00089921+0.0001084i,4.5195e-06-4.1109e-05i,-0.00010889-8.394e-05i,-0.00053952-0.00024823i,-0.00017659+0.00052138i
0.00098192-0.0013883i,0.00098796-0.0024158i,-0.00032637-0.0018179i,-0.00032591-0.0007764i,0.00012753-0.0009771i,-2.8067e-05-0.0011581i,-0.0004884-0.001321i,0.00035946-0.00060648i,0.0011847+0.00065764i,0.00044432+0.00069287i,-0.00072052+0.00013481i,-0.0012889+0.00028204i,-0.0014207+0.00042984i,-0.00087821+5.6032e-05i,-0.00021444-0.00026723i,-0.00034464-0.0001247i,-0.00067886-0.00043707i,-0.00032541-0.00055215i,-6.3219e-05+7.8245e-05i,2.5451e-05+0.00082219i,-2.2819e-05+0.00096347i,3.9147e-05-0.00012816i,5.1259e-05-0.00066058i
0.0010552+0.0014322i,0.000966+0.00039649i,0.0017783-0.00023081i,0.0020819+0.00026161i,0.0011141+0.0011021i,-4.025e-05+0.00055219i,-0.00026227-0.00073825i,-0.00072881-0.00050911i,-0.0011019+0.00085102i,-0.00031989+0.00090374i,-0.00035763-0.00026977i,-0.0004969-0.00012907i,8.167e-05-8.2257e-05i,0.00040099-0.00027039i,0.00034798-0.00026742i,5.8078e-05-0.00056122i,-0.00027035-0.0002612i,-0.00084334+0.00025671i,-0.0014765+0.00028596i,-0.0013732+8.0419e-05i,-0.00077942+0.00066072i,-0.00039061+0.0010799i,-0.00068629+0.00043846i
0.00027438-0.0017164i,0.00049124-0.0017061i,0.00035088-0.0015076i,1.7129e-05-0.0016264i,0.00037887-0.0019737i,0.00057426-0.0014146i,3.382e-05-0.00010946i,-0.00017927-0.00043834i,0.00071001-0.0012397i,0.00084471-0.00090487i,-0.0003118-0.00030664i,-0.0010461+0.00043873i,-0.0013762+0.00071842i,-0.0013505+0.00050742i,-0.00046177+0.00084942i,2.9831e-05+0.00074166i,0.00040031-0.00014555i,0.00051887-0.00041174i,0.00048431-0.00021195i,0.00097735+0.0002729i,0.0010062+0.00016061i,0.0006685-0.00032701i,0.00047644-0.00017817i
0.00080999-0.0017012i,0.0006872-0.00018264i,6.6164e-05-0.00029505i,-0.00056896-0.00093674i,-0.00033062-0.00064166i,0.0002103-0.0015336i,1.3401e-05-0.0018907i,1.7484e-05-0.0013046i,-0.00015798-0.00014439i,7.1672e-05+9.2796e-05i,0.00026182-0.00025346i,0.00025456+9.1031e-05i,-8.3603e-05+0.00065806i,-0.00071633+0.0002967i,-0.00017405-8.4748e-05i,4.2383e-05+0.00060695i,-0.00058334+0.00083896i,-0.00043378+2.3243e-05i,0.00049433-0.0010652i,0.0011702-0.0016398i,0.0011216-0.00055122i,0.00055039+0.00027087i,0.00013026-8.1363e-05i
-0.00099289+0.0009273i,-0.0001716+0.00095691i,0.00082938+0.00062349i,0.00092781+0.00030473i,0.0008862+0.00013498i,0.0014749-0.00074717i,0.0011273-0.001238i,0.00054862-0.00035173i,-8.5416e-06+0.00018544i,-0.00093274+6.4401e-05i,-0.00080032-0.00030802i,8.6385e-05-0.0002895i,-4.247e-05-0.00032178i,-0.00040897-0.00097962i,-0.00032128-0.00052473i,-8.9463e-06+0.0005051i,-0.00035136+0.00085025i,-0.001126+0.00073211i,-0.00079421+5.8846e-06i,-0.00070903-0.00054076i,-0.00096021-0.00061159i,-0.00027643+5.8575e-05i,0.00021642-8.0286e-05i
-0.00063868+0.00092117i,-0.00075919+0.00055426i,-0.00089988+0.00058371i,-0.00013504+0.0011684i,0.00097317+0.00099655i,0.00091023-0.0010068i,-0.0001376-0.0017074i,-0.00052015-0.00073733i,-0.00034512-0.00031336i,0.00062977-0.00025405i,0.0010848+0.00028368i,0.0002169+0.00011683i,-0.00013126-0.00056755i,-0.00068857-0.00038885i,-0.00085985-0.00030769i,0.00017921-1.2885e-05i,0.0010239-0.00028271i,0.00056942-0.00064113i,-0.00023577-0.00087i,-0.00047641-0.00068298i,-0.0006617-2.3149e-06i,-0.00035537+0.0001097i,4.6319e-05-4.4297e-05i
-0.00064032-8.9161e-05i,-0.00047573-0.00035606i,-4.6837e-05-0.00052872i,0.00051385-0.001179i,-6.2093e-05-0.0010454i,-4.8939e-05-0.0003841i,0.00093278-0.00043572i,0.00064188-0.00060569i,0.00031011-0.00047054i,-0.00029908-0.00025706i,-0.00066147-9.6844e-05i,-0.00053381-0.00023614i,-0.00059547+0.0002158i,-0.00076408+0.00090328i,-0.00060299+0.00080718i,-0.00083186+0.00018714i,-0.00046417-0.00019165i,-0.00028642-0.00028753i,-0.00078395-0.00030274i,-0.00023811-0.00044608i,0.00016566-0.00037389i,-0.00023267+3.4082e-05i,-0.00012904-0.00031875i
