-0.0054303+0.00030285i,-0.0043747+0.0016084i,-0.0040722+0.0030497i,-0.0016764+0.0026278i,0.00081498+0.0020866i,0.0013317+0.0013627i,0.00087133+0.001058i,0.00060364+0.0012146i,0.00094081+0.0007576i,0.0010345-0.00018098i,0.00097388-0.00056811i,0.00062026-0.00056178i,0.00025421-0.00094551i,0.00075673-0.0023232i,0.0016842-0.0030143i,0.001697-0.0018809i,0.0012576-0.00071081i,0.001172-0.00024503i,0.00046557-0.00031418i,-0.00012458-0.00034454i,-0.00011174-0.00018942i,0.00027589-0.00013457i,0.00059991+0.00023451i
-0.0012736-0.00019293i,-0.00049023-0.00097966i,0.00064966-0.0015111i,0.0011678-0.00015968i,0.00092384+0.00030912i,0.00083583-0.00065274i,0.0010669-0.0010148i,0.0010457-0.00065704i,0.00089082-0.00029868i,0.0010489-0.00019518i,0.00037951-0.00038789i,-0.00033292-0.0007964i,-0.0002047-0.00027291i,-0.00059949-6.0466e-05i,-0.00065891-0.0004447i,-0.000149-0.00016034i,-6.9981e-05+0.00028394i,0.00017701-1.2981e-05i,0.0002844-0.00055685i,0.00021312-0.00056378i,0.00065683-0.00018303i,0.00037729+0.00035331i,-3.3492e-05+0.00018156i
0.00048876-0.00037798i,-2.5762e-05-0.00039289i,-0.00036609+0.00035002i,0.00046774-0.00053955i,0.001044-0.0015923i,4.8424e-06-0.0014936i,-0.00059805-0.0015717i,-0.00030024-0.00091732i,-1.3198e-05-0.00043514i,-0.00031262-8.2928e-05i,-0.00041958+0.00051453i,-0.00049177-0.00021931i,-0.00044353-0.00075817i,-0.00026079+0.00025668i,-0.00077135+0.00036871i,-0.00079572-0.00069112i,-6.8677e-05-0.00078157i,0.00046348-0.00079408i,0.00019621-0.00063772i,-0.00049208-0.00074069i,-0.00023076-4.4584e-05i,0.0001637+0.00084282i,6.247e-06+0.00047766i
0.0019745-0.00052335i,0.0030511-0.0012932i,0.0032019-0.0017592i,0.0007696-0.0012878i,-9.7678e-05-0.0005782i,0.00076734-0.000811i,0.0011269-0.0010398i,0.0011052-0.00079857i,0.00038199-0.00044231i,-0.00033783-0.00077661i,-0.00067058-0.0003415i,-0.0011872+0.0012678i,-0.00085852+0.0015356i,9.0366e-05+0.00054181i,-0.0001663+5.3658e-05i,-0.00078928+0.00053342i,-0.00031429+0.00054662i,-5.2445e-05-0.00015494i,0.00011003+0.00037514i,-0.00010734+0.00075494i,-0.00026017+0.00016866i,5.9729e-05-0.00026508i,-0.00027819-0.00059376i
0.00040436+0.001106i,0.001765+0.00053563i,0.0019768-3.7966e-05i,0.00032059-0.00090361i,-0.00059948-0.0019604i,-0.00084512-0.0020092i,-0.00081942-0.001075i,-0.00053666-0.00042415i,0.00035123-0.00037972i,0.0010822+9.7476e-05i,0.00072467-0.00014659i,1.8605e-05-0.00041711i,-0.00042441-0.00015311i,-0.0012141+0.00015397i,-0.0011481-0.00029082i,0.00055006-8.4713e-05i,0.00070895+0.00034147i,1.6868e-05+0.00032559i,-0.00019288+0.00032586i,-0.00043764+0.00049353i,-0.00022581+0.0007896i,-3.9656e-05+0.001026i,-0.00040947+0.0011272i
7.8586e-05-0.00081099i,-0.00020091+0.00018545i,0.00066727+0.0008388i,0.0011181+0.00035819i,0.0010397+0.00051972i,0.00026183+0.00085288i,0.00050285+0.00083938i,0.0004772+0.00050664i,7.0747e-05-0.00028795i,-0.00091397+2.9714e-05i,-0.0014622+0.00056126i,-0.00093908-1.1759e-05i,-0.0001102-0.00073546i,-0.00035766+5.5987e-05i,-0.00055753+0.00047925i,0.00036915+0.00010059i,0.0011451+0.0004618i,0.001165+0.0010092i,0.00072845+0.00096899i,0.00018316+0.00050101i,4.2909e-07-1.5635e-05i,0.00034449-0.00044469i,9.0954e-05+0.00027145i
0.00050737-0.00081995i,0.00013285-0.00093619i,-0.0010764-0.0010705i,-0.00037467-0.00080845i,0.00082436-0.0015173i,0.0020974-0.0025444i,0.0020699-0.0017193i,0.0012014-0.001165i,0.0010995-0.0010342i,0.00053496-0.00038232i,-0.00040722-0.00027762i,-0.0002044-0.00065867i,0.00051354-0.00030319i,0.00096104+0.000177i,0.00081705+0.00057078i,0.00038011+0.00074741i,0.00014722+0.00024049i,0.00036455-0.00045641i,0.00063428-0.00019914i,0.00024366+0.00023015i,2.0594e-05-0.00017295i,-0.00020714-0.00066864i,0.00059293-0.00021688i
0.0014458+0.0013015i,0.0015465-0.00012733i,0.0015142+0.00044781i,0.001064+0.0010193i,0.00047204+0.00078656i,-0.00057628+0.0008068i,-0.0005444+0.00095109i,-0.00022901+0.00098393i,0.0004672+0.00089694i,0.00081036-0.00011171i,5.8467e-05-0.00052705i,-0.00050873-0.00017218i,-0.0011861-0.00031242i,-0.0017824+9.0839e-05i,-0.0016097+5.3324e-05i,-0.00079804-9.1545e-05i,0.00036718+0.00036476i,0.00035112+0.00057454i,0.00029261+0.00040475i,0.00057476-0.00016209i,0.00026338-0.00037963i,-5.655e-05+0.00024174i,0.00017061-1.5607e-05i
-0.0016002-0.0011233i,-7.664e-05-0.00041643i,0.0006178-0.00011339i,0.0019005-0.00012083i,0.0041005-0.00015457i,0.0037702-0.00028653i,0.0018852-0.0016576i,0.00026001-0.0018585i,-0.0010184-0.00046885i,-0.0013687+0.00032644i,-0.00088034+0.00036018i,-0.00041727-0.00036511i,0.00022503-0.00090232i,-0.00035537-0.00074799i,-0.0013261-0.00034566i,-0.0012216-0.00077822i,-0.00028969-0.00073378i,-3.0112e-05+0.00013308i,-0.00087814+0.00083323i,-0.0011761+0.0010289i,-0.00033071+0.00082436i,0.00059452+0.00067775i,0.00066759+0.00037186i
0.0011132+0.00020563i,0.0020797+0.0016273i,0.0011613+0.0015677i,-0.00051242+0.00060552i,-0.00092829-0.00036996i,0.00072625-0.0015329i,0.0014408-0.0015177i,0.0011819-0.00065015i,0.00080168-0.00026366i,0.00038288-3.4617e-05i,-0.0005098+0.00047762i,-0.0011523+9.1581e-05i,-0.0015251-0.00097673i,-0.00047919-0.0013974i,-0.00010358-0.00049078i,-0.00079048+0.00028443i,-0.00034341+0.00031885i,-0.00022181+0.00021895i,6.904e-06+0.00039881i,0.00038564+0.00071123i,6.6548e-06+0.00016438i,0.00053791-0.00026435i,0.0010742+0.00050639i
0.0006608-0.0018562i,0.00020731-0.0016457i,0.00025072-0.0023043i,0.00059375-0.0026527i,0.0012211-0.0016274i,0.0016497+0.00011193i,0.001763+0.00021929i,0.00088913-0.00082939i,-0.00033016-0.0008283i,-0.00048055-8.5427e-06i,-0.00077536+0.00036776i,-0.00093728+0.00033357i,0.00023426+0.00063603i,0.0011066+0.0011754i,0.00080038+0.0014153i,-0.0001244+0.00087635i,-0.0006501-0.00033772i,7.8089e-05-0.00078119i,0.00029931-3.4299e-05i,0.00037079+0.00040464i,0.00082403+0.00043228i,-9.4497e-05-8.9023e-06i,-0.00092503-0.0002577i
0.00049851+0.00021638i,-0.00025211+0.00017475i,0.00037123-0.00015608i,0.0005648+0.00061223i,0.00037827-0.00014567i,0.00064298-0.0012107i,0.00049099-0.0010727i,0.00055301-0.00064197i,0.00029374+0.00013979i,-0.00067442+0.00049779i,-0.0014491+0.00061666i,-0.0010422+9.9507e-05i,-0.00040535-0.0011309i,-0.00049176-0.0007117i,-0.00052561+0.00026823i,-0.00041109-0.00015113i,-0.00023987-0.00064693i,0.00056782-0.00046718i,0.00072357-0.00022484i,0.00072125-0.00020157i,0.00022484-0.0003188i,-0.00047499-0.00047918i,-9.4574e-06-0.00065531i
-0.0015429+0.001634i,-0.00042144+0.0018691i,0.00011786+0.0024373i,0.0010355+0.0019599i,0.0020974+0.0006138i,0.0023083-0.00025677i,0.0018401-0.00054556i,0.00073341-0.00060952i,-0.00028602-0.00052986i,-0.00055976+4.0832e-05i,-0.00036059+0.00019639i,-0.00035382-0.00047556i,-0.0001365-0.00049067i,0.00057086-0.0001539i,0.00092899-0.00015188i,0.00021137-0.00014476i,2.3914e-05-0.00045579i,-0.00010132+5.0738e-05i,-0.00062244-0.00047517i,4.638e-06-0.0011387i,0.00034657-0.00044322i,0.00011155+0.00038426i,0.00027679+0.00024587i
-0.00073519-0.00188i,-0.00042112-0.0034002i,-7.3538e-05-0.0032682i,-0.00030557-0.0015363i,-0.00080962-0.0013322i,-0.00015642-0.0012647i,0.0008794-0.0011285i,0.00063127-0.001173i,0.00015055-0.00074232i,-0.00011514-0.00063819i,-0.00029552-0.00043011i,-0.00022108+4.4253e-05i,0.00029874+6.8278e-05i,0.0003144-0.00077356i,0.00016896-0.0010078i,0.00023193-0.00021488i,-1.8264e-05+0.00016698i,-0.00019407+0.00018035i,0.00063001+6.6728e-06i,0.0005587+0.00070409i,-0.00089348+0.00077977i,-0.0014123+0.00052017i,-0.0008051-0.00033506i
0.00065113-7.1165e-05i,0.0016417+0.00026969i,0.0019688+0.0013688i,0.0020485+0.001811i,0.0020181+0.0011752i,0.0022268+0.0004264i,0.0018321+0.00012221i,0.00030997-0.00056333i,-0.00081518-0.00040235i,-0.00068068+0.00029347i,0.00027527+0.00020674i,-4.1697e-05+0.00040913i,-0.00081492-0.00013574i,-0.00010541-0.00018968i,0.00050823+0.00027925i,1.7547e-05+0.00086987i,0.00010034+0.0009289i,0.00021991-1.0625e-06i,-0.00021398-0.00018715i,-2.1292e-05-3.7282e-05i,-2.0207e-05-0.00033024i,0.00046827-0.00062445i,0.00096131+2.2963e-05i
0.0024307-0.00056996i,0.0018743-0.0018822i,0.0013518-0.0018355i,0.00029504-0.0017179i,-0.00052633-0.0020633i,-0.0008179-0.0024421i,-0.00053585-0.0013364i,0.00037731+0.00063081i,0.00032874+0.0012988i,-3.3531e-05+0.00019821i,0.00017271-0.00072261i,7.2063e-05-0.00028334i,-0.00022262-1.6048e-06i,-0.0009453-0.00064693i,-0.0010817-0.00043629i,-0.00036966+0.0007726i,4.3318e-05+0.00087806i,0.00030418+0.00072019i,-0.00036262+0.00045213i,-0.0003144+4.4121e-05i,5.464e-05-0.0001903i,0.00013792-0.00085452i,0.00027792-0.001136i
0.0017108+0.0032627i,0.0023956+0.0027485i,0.0019059+0.0011163i,0.00023132+0.0012781i,0.00055485+0.00174i,0.0016857+0.0016709i,0.0013039+0.00030007i,0.00073029-0.0013409i,-6.5353e-05-0.0010103i,-0.00059036-0.00063437i,0.00024508-0.00058853i,0.00027905-0.00017253i,-0.00042495-0.00029355i,-4.1193e-05+0.00024507i,-0.00023834+0.0008599i,-0.00055072+0.00052266i,4.5423e-05+0.00015531i,0.00054496-0.00040959i,0.001034-0.00020763i,0.00066476+0.00060813i,-0.00048425+0.00045654i,-0.00075713+0.00045993i,-0.0001118+0.00018293i
-0.0036434-0.00023697i,-0.0031795-0.00021033i,-0.0016752+0.00067743i,0.00023253+0.0014438i,0.0011911+0.00042358i,0.0014795-0.0005546i,0.0011905-0.00060191i,0.0011544-0.00020266i,0.00033746+0.00046054i,-0.0004833+0.00062384i,-0.00018966+0.00055854i,-0.00046178+0.00026604i,4.5728e-05+0.00048068i,0.00097585+0.00087007i,0.0008475+0.00084647i,0.00017219+0.00078152i,-0.0004688+0.00057449i,-0.00045447+0.00056478i,-3.6454e-05+0.00059261i,-0.00012809+0.00075729i,6.7356e-05+0.00048356i,0.00025746-0.00019811i,-0.00045322-0.00053314i
-0.0021992-0.00090899i,-0.0017101+0.00093906i,-0.00067024+0.0017i,-0.00023966+0.0015278i,0.0008315+0.0011173i,0.0016016+0.0010224i,0.0015083+0.00073988i,0.00095104-0.00026166i,-0.00019757+0.00012614i,-0.00042263+0.00087136i,-0.00013059+0.00052867i,-6.231e-05+0.00085712i,-4.992e-05+0.00097724i,0.000622+0.00046288i,0.0011582+2.0082e-05i,0.00021512-0.00039928i,-0.00080834-0.00064565i,-0.00059193-0.00070391i,0.00029831-0.00029572i,0.00096128-0.00043518i,0.0012288-0.00011594i,0.0010851+0.00055183i,0.00051822+0.00093465i
-0.0010327+0.0008141i,-0.0014946+0.0010149i,-0.0012411+0.00071853i,4.9151e-06-0.00066113i,0.0011027-0.0015898i,0.0011628-0.0027356i,0.0015582-0.002276i,0.001252-0.00077813i,0.00065429-0.00012854i,0.00050984+9.3042e-05i,-0.00032747+0.00045393i,-0.00061937+0.00029581i,-0.00051701+0.00013087i,-0.00051591-0.00061604i,-0.00071625-0.00056694i,-0.00055896+0.00015678i,0.00047601-0.00028151i,0.00027354-0.00016619i,-0.0005095+0.00061797i,-0.00027446+0.00070922i,3.4099e-05+0.00013423i,0.00022444-6.7742e-05i,8.9803e-05+0.00056237i
0.0013415-0.0010719i,0.0015067-0.002308i,0.0011194-0.00070032i,0.0010368+0.00085477i,0.0013859+0.0010729i,0.0015702+0.0002136i,0.0014257-0.00029813i,0.00013507-0.00060278i,-0.00059613-0.00048237i,0.00015407-0.00020707i,0.00097827+0.00043405i,0.0008797+0.00067172i,0.00059947+0.0004986i,0.00062509-0.00016581i,0.00070142-0.00062512i,0.00049471-9.07e-05i,-0.00021524+0.00018689i,-3.2431e-05-0.00024881i,-0.00020494-0.00061787i,-0.00092096-6.2889e-05i,-0.00051748+0.00018683i,-8.8869e-05-0.00041194i,-0.00023391-0.00028343i
0.0012806-0.00036858i,0.0019959+0.00050107i,0.0015823+0.00037554i,0.0013177+0.00018758i,0.0013071-0.0001185i,0.0010811-0.00049411i,0.0010455-0.00051864i,0.0010151+2.5134e-05i,0.00081505+0.0004755i,0.00046591+0.00037534i,-0.00032706+0.00022869i,-0.00051704+4.2298e-05i,0.00036428-7.6119e-05i,0.0001991-8.3359e-05i,-0.00042013-0.00041743i,-5.611e-05-0.00092587i,-0.00019211-0.001424i,-0.00062279-0.0009945i,-0.00020072-0.00060441i,-0.00042103-0.00024744i,-0.00086227+1.4797e-05i,-0.00048151+4.3872e-05i,-0.00010996+0.00023695i
0.0013929+0.0012795i,0.0016078+0.001269i,0.00091386+0.00062973i,0.00086564-0.00051137i,0.0017537-0.00087101i,0.0011997-0.0010423i,0.00045904-0.00086562i,0.00036016-0.00028134i,0.00031885-5.0333e-05i,0.00045793+0.00024113i,9.2311e-05+0.00052229i,9.6571e-05-6.1587e-05i,0.0003491-0.00033573i,-0.00026778-0.00032474i,-0.00097412+2.3711e-05i,-0.00067952+0.00072561i,0.00015924+0.00011044i,0.00068614-0.00049787i,0.00049006-0.00025292i,0.00025482+0.00013687i,0.00044354+0.00074475i,0.00048458+0.00071117i,0.00027173+0.00058178i
-0.0012776+0.0021197i,-0.00063048+0.0024874i,0.00054281+0.0025966i,0.0015153+0.0018137i,0.0018245+0.00026048i,0.0022787-0.0010918i,0.0016796-0.0009735i,0.00040668-0.00053066i,-0.00043712-4.5944e-05i,-0.00061695+0.0012582i,-0.00025248+0.0014458i,9.2675e-06-4.8679e-05i,0.00017276-0.0012452i,0.00047703-0.0012878i,0.00080607-0.0008878i,0.00072449-0.0008741i,-5.5593e-05-0.00010229i,-0.00028771+0.00069687i,-0.00030523+9.8928e-05i,-0.00050171-0.00043434i,-0.00048766+0.00019984i,-0.00048809+5.4558e-05i,-2.1245e-05-0.00063951i
-0.002287+0.00054195i,-0.0023255+0.00023501i,-0.0011442+0.00032495i,0.00014915+0.00046757i,0.00096496+4.4734e-05i,0.0011211-0.00023774i,0.00066914-0.00037556i,3.0198e-05-0.00080486i,-0.00055663-0.00079242i,-0.00028801-9.9152e-05i,0.00038817+0.00028042i,-0.00025231+0.00019308i,-9.2162e-05+0.00010474i,0.00053559+6.8184e-05i,1.0526e-05+0.00025887i,-0.00035971-0.00010243i,-0.00039174-0.0013517i,-0.00047476-0.0016784i,0.00042245-0.00084661i,0.0010251-0.00041068i,0.00087729-0.00027012i,0.0007922-0.00041017i,0.0004063-0.00023037i
0.0022919-0.001338i,0.002307-0.0022636i,0.0022745-0.002316i,0.0017418-0.0023925i,0.0011587-0.001972i,-7.1463e-05-0.0019629i,-0.00035583-0.0015548i,0.00076008-0.00037395i,0.0003092+0.00031442i,-0.00054672-4.2874e-05i,-0.00057098-0.00014134i,-0.00085852-9.7795e-05i,-0.0011538-0.00053257i,-0.00094884-0.0002733i,-0.00072552-7.0294e-06i,5.6365e-05+1.3031e-05i,0.00056587+3.0658e-05i,0.00056872+0.00062139i,0.00067389+0.00080473i,0.00064993-0.00040641i,0.00081598-0.0011006i,0.00076648-0.00061087i,0.00013514-0.00065458i
0.00060323-0.00071417i,0.0016018-9.8326e-05i,0.0021068+0.0015318i,0.0019112+0.0012073i,0.0010662-0.0011665i,0.00085514-0.0019055i,0.00013949-0.00014776i,-0.0009545+0.00058633i,-0.00051685-0.00010924i,0.00056495+0.00024479i,9.902e-05+0.00014044i,-0.00076132-0.00053084i,-0.00090924-0.00024728i,-0.00064073+1.5344e-05i,-4.5366e-05-0.00016271i,-4.9834e-05-0.00032908i,0.00027109+0.00010937i,0.00022924+0.00034286i,-0.00034284+0.00063262i,-0.00023805+0.00057029i,0.00084489+0.00022775i,0.0014793+0.00047951i,0.00054681+0.00033615i
0.001832+0.0018836i,0.0019968+0.0032704i,0.0010206+0.0034377i,0.0014511+0.0021813i,0.0021643+0.00047399i,0.0016388-0.0012349i,0.00093806-0.0017928i,0.00044371-0.00094529i,0.00053763-0.00019882i,0.00030211-0.00033485i,6.527e-05+1.3629e-05i,0.00036892+0.00054208i,0.00035936-0.00018303i,0.00026663-0.0011179i,0.00052951-0.0012992i,0.0010124-0.00021542i,0.00062969+0.00049802i,-0.00066926+0.0001222i,-0.0011586+0.00017965i,-0.00077738+0.00043274i,0.00029133-0.00012953i,0.00046206-0.00075802i,0.00031823-0.00098519i
-0.0017794+0.001693i,-0.002222+0.0017479i,-0.0015797+0.00049629i,-0.00095317-0.00062618i,-0.00042291-0.00095088i,0.00045147-0.00042514i,0.0012884+0.00011282i,0.0010888-0.00036773i,0.00025102+4.69e-06i,-4.0758e-05-0.00016762i,3.1743e-05-0.0011974i,-0.00058745-0.0009705i,-0.00031823-0.00053617i,0.00064207-0.00011258i,0.00067777+0.0003086i,-0.00010225+0.00088988i,-0.00045384+0.00060131i,-0.0003998+2.1447e-05i,-0.0011011-0.0001008i,-0.001064+0.00028403i,-0.00082444+0.00027391i,-0.00070588-0.00013638i,-0.00011455+0.0003065i
-0.0013694-0.00015307i,-0.00020107+0.00017846i,3.7616e-05+0.00034116i,0.00037321+0.00045367i,0.0020069+0.00094098i,0.0023537-6.3398e-05i,0.0018918-0.00071559i,0.0011647-0.00037713i,0.0008082+9.8723e-05i,0.0003604+0.00098532i,3.0257e-05+0.00062382i,0.00050714-0.00066316i,0.00054804-6.603e-05i,0.00098492+0.00065001i,0.0011139+0.0012035i,0.00047625+0.0014495i,-0.00022333+0.00024354i,-0.0005909-0.00077595i,-0.00037283-0.00060533i,-0.00052373-6.8863e-05i,-0.00078607+0.00068926i,-0.00054312+0.00097534i,-1.4708e-06+0.00058883i
0.00015702+0.0006056i,7.6822e-05+0.00065024i,-0.00010916+0.00073829i,0.00012092-7.7506e-05i,0.0005968-0.00094874i,0.00073441-0.00044597i,0.0011383+0.00016462i,0.00090652-0.00015972i,0.00022226-0.00073465i,-0.00038006-0.00099033i,-0.0010631-0.00053969i,-0.00075716+0.00018503i,0.00010142+0.00075095i,-0.00028594+0.00074662i,-0.00092851+0.00040816i,-0.00029459-5.8464e-05i,0.00086308-0.00030564i,0.00044903-0.00064559i,-0.00049675-0.00059159i,-0.00053517-0.00015837i,-0.00021327-0.00011831i,0.0002063-0.00051312i,-9.0342e-05-0.00084663i
0.00012585+0.00021788i,0.0012172-0.00050298i,0.00099904-0.0006937i,0.00068756-0.00041536i,0.0013037-0.00019304i,0.001384-0.00086742i,0.0012498-0.0011596i,0.00037806-0.00039349i,-0.00063619+2.3203e-05i,-0.00084103+6.5728e-05i,-0.00056087+0.00064389i,-0.00083684+0.00046336i,-0.00040305-0.00012308i,0.00014953-0.00011624i,-0.00092573+0.00018377i,-0.00085792+0.00039382i,0.00019436+0.00065067i,0.00052278+0.00045465i,0.0007561-6.8212e-05i,0.00072768-0.00049665i,0.00051141-0.0007991i,5.6821e-05-0.0008787i,0.0001095-0.00088104i
-0.0010554+0.00090033i,-0.00032724+0.00056098i,0.00051784+0.00096899i,0.0015431+0.00083108i,0.0025944-0.00083216i,0.0029623-0.0015666i,0.0025017-0.0013968i,0.0018501-0.0019029i,0.00071258-0.0010092i,2.1727e-07+0.00064393i,-0.00010087+0.00045044i,-0.00086104-0.00010033i,-0.0010277-0.00019215i,-0.00018559-0.00018251i,-0.00032846+0.00033673i,-0.0010545+0.00042795i,-0.00083665-1.9542e-05i,-0.00080333-0.00058055i,-0.00028639-0.0011826i,8.0859e-05-0.0012073i,1.1549e-05-0.00068393i,8.5923e-05+0.00017223i,1.7042e-05+0.0010521i
-0.00051305+0.00090052i,-0.00037487+0.0013988i,0.00038716+0.0019609i,0.00090926+0.0017608i,0.0006634+0.0012349i,0.00081979-7.2475e-05i,0.0011827-0.00050725i,0.00034645-0.00025133i,-0.00011815+0.0002633i,0.00045812+0.0011559i,0.00051407+0.0011977i,0.00019353+0.00038268i,0.0004044-7.121e-05i,-0.00010014+0.00023842i,-0.00090129+0.00031795i,-0.00070998+8.2132e-05i,-0.00021208-0.00013352i,0.00027105+4.0096e-05i,0.00050536-0.0003718i,-0.00013208-0.00074425i,-0.00021016-0.00068896i,0.00012707-0.00051408i,0.00033278-4.4521e-05i
0.0011771-0.00073971i,0.0016774-0.00066146i,0.00069773-0.00055665i,0.00057843-4.4557e-05i,0.0013655-9.5659e-05i,0.0017485-0.00059498i,0.0012588-0.00076412i,0.00092224-0.00039286i,0.00097938-0.00058816i,0.00028842-0.0013885i,-6.6951e-05-0.0012866i,0.00071572+0.0002069i,0.0012374+0.00053971i,8.7013e-05-2.4259e-06i,-0.00064896-0.00022781i,2.4667e-05-0.00037155i,2.015e-05-0.00055123i,-9.7839e-05-0.00060594i,0.00054939-0.00037003i,0.00049153-0.00052812i,-0.00056822-0.00083849i,-0.00046847-0.00053343i,-0.00023983+7.14e-05i
0.0015958+0.00045555i,0.0027819+2.4402e-05i,0.0025285-8.9558e-05i,0.0012848-0.00041294i,0.0010205-0.00063164i,0.0015431+0.00012314i,0.0011922+0.00032624i,0.00012745+0.00064802i,8.6833e-05+0.00072216i,0.00038715-0.00013273i,-0.00044503-0.00039208i,-0.00069605+0.0003721i,0.00031664+0.00067493i,0.00023679+0.0011897i,-0.00070191+0.00086265i,-0.00047006-0.0002821i,0.00031252-0.0006417i,0.00068609-0.00068096i,0.0010191-0.00033844i,0.00074384-9.7335e-05i,0.00021729-0.00058989i,0.00016777-0.00049911i,0.0003251+0.00045083i
-0.0010701+0.00085307i,-0.00051954+0.0031857i,-0.00023031+0.0034754i,0.000651+0.0015876i,0.0017056-0.0006695i,0.0022488-0.0020129i,0.0016525-0.0016799i,0.00056114-0.00044601i,5.1172e-05+0.00075149i,-4.5034e-05+0.001636i,0.00019744+0.0013944i,8.3154e-05-4.2474e-05i,9.4681e-05-0.00044188i,0.00056528+0.00011695i,0.00067059-0.0004793i,0.00092944-0.00093801i,0.00025686-0.0007279i,-0.00016473-0.00017716i,-0.000179-0.00045051i,-0.00028385-0.001056i,0.0007664-0.00049361i,0.0011481-7.3552e-05i,0.0014455-0.00047466i
-0.0016277-0.00072319i,-0.001873-0.0011215i,-0.0012209-0.00038247i,-0.00088894+0.0018292i,-1.3561e-05+0.002706i,0.0013762+0.0018662i,0.0016465+0.00027803i,0.00095115-0.00077963i,0.00044956-0.00083851i,0.00031061-0.00043051i,0.00031477+1.6689e-05i,0.00048493+0.00018493i,0.00067561+0.00040846i,0.00051827+0.00043022i,0.0010163-0.00011854i,0.00067942-0.00065595i,0.00012605-0.0010703i,0.00066841-4.3287e-05i,0.00058069+0.00060089i,-7.5575e-05+1.5841e-05i,-0.00012301+0.00018814i,-9.2831e-05+0.00072901i,-6.7251e-05+0.00058651i
-0.00093561-0.0021201i,-0.00062532-0.0021714i,0.00023399-0.00069641i,0.0010225-0.00039659i,0.0015415-0.0010401i,0.0012838-0.0016331i,0.0010454-0.0018972i,0.00066772-0.0013778i,0.0003328-0.00023741i,0.00041373-0.00014948i,0.00033271+6.6729e-05i,-0.00022771+0.00081277i,-0.00044502+0.0010422i,-0.00058568+0.0007255i,-0.00022383-0.0003023i,0.00098513-0.0011558i,0.0011949-0.00038235i,0.00018025+0.00013673i,-0.00043921-0.00014916i,-0.0007995-0.00016728i,-0.0010107+7.2105e-05i,-0.00039732+0.00040308i,0.00024707-0.00012284i
0.0023893-0.00060394i,0.0034205-0.00045502i,0.0032882+0.0010644i,0.0022221+0.0017058i,0.0006236+0.00073609i,0.00039986-0.00037058i,0.0011502-0.00086242i,0.0010925-0.00080004i,0.0007663-0.00048251i,0.00022837-0.00082877i,-0.00067502-0.0010983i,-0.0010773-0.00075141i,-0.00079364-0.00050934i,-0.00041559-7.8527e-05i,0.00017682+0.00022856i,0.00082541+0.00013582i,0.00037944-4.6472e-05i,-0.00058213-0.00034631i,-0.0011509-0.00080709i,-0.001525-0.00088744i,-0.00078642-0.00076083i,6.2476e-05-0.00041897i,0.00027331-0.00054266i
0.0012861+0.0019083i,0.00039456+0.0035821i,-0.00073847+0.0023468i,-0.00055615+0.0017377i,0.00026617+0.0012136i,0.0011798-0.00047748i,0.0017199-0.001443i,0.0013742-0.0010631i,0.0010017-0.00015996i,0.00061698+4.6309e-05i,-0.00080031-0.00041002i,-0.0015349+0.00010671i,-0.00057146+0.00076907i,0.0013348+2.3481e-05i,0.0015456-0.00088774i,0.00052863-0.000437i,0.00051772+0.000192i,0.00025902+0.00037212i,-0.00069161+0.00057115i,-0.00056025+0.00012091i,-0.00028293-0.00057797i,-0.00098098-0.00053092i,-0.0014005-0.00028966i
-0.0023977+0.0031185i,-0.0027723+0.00294i,-0.00093441+0.0017604i,0.00051613+0.001396i,0.001253+0.001374i,0.0013533+0.00063079i,0.00097541+6.3321e-05i,0.00033612-0.00031187i,0.00014368-0.00015172i,-0.00015547+0.00074745i,-0.00065392+0.0009599i,-0.00049507+0.0007498i,-0.00018827+0.00026663i,2.8556e-05-0.00066003i,0.00050132-0.00049251i,0.00080307+0.00043812i,0.00021053+0.0011188i,-0.00011761+0.0014176i,-0.00023588+0.00035209i,-0.00028664-0.00030918i,-0.0004524+0.000453i,-0.00016902+0.0010414i,0.00027556+0.0013132i
-0.0014702-0.0024861i,-0.0014309-0.0029312i,-0.00060632-0.0015623i,0.00010906+0.00030516i,0.0006949+0.00078805i,0.0011398+0.0001004i,0.00068596+0.0011805i,-9.3235e-05+0.001582i,0.00023259+0.00062797i,0.00084243+0.00030833i,0.00027489+5.7493e-05i,-0.00069726+0.00030045i,-0.00086897+6.065e-05i,-0.00040264+0.00025709i,-0.00015791+0.0010218i,0.00020967+0.00086125i,0.00044824+0.00044997i,0.00032563-8.1829e-05i,-4.4734e-05-0.00013927i,-8.2175e-05-0.00026276i,0.00030423-0.0005504i,0.00042385-0.00018314i,0.00040284+0.00040683i
0.0018293-0.0040967i,0.00065324-0.0031922i,-0.00076144-0.0014381i,-0.0015579-0.0010466i,-0.00064017-0.00041185i,0.00084093+0.00076304i,0.0013801+0.00050309i,0.00094881-0.00052907i,0.00010113-0.0012693i,-0.0010277-0.0012274i,-0.0014297-0.00075225i,-0.00079598-0.00040931i,-0.0008142+0.00028494i,-0.00059195+0.00074737i,0.0003808+0.0011141i,0.00058993+0.00065996i,-0.0001435-0.00035791i,-0.00041356-0.00038473i,-0.00017969-0.0003941i,5.5998e-05-0.00099324i,0.00016874-0.00096803i,-5.3701e-06-0.00034528i,-0.00021555-0.00033583i
