0.00050008+0.00094057i,0.00042658-0.0010545i,-3.8593e-05-0.0018037i,-0.00019138-0.0024451i,-0.00077208-0.0025046i,-0.0020565-0.0010805i,-0.0021215-0.00029491i,-0.00072919+0.00073797i,0.00059606+0.0010246i,0.00012267+0.00025477i,0.0002078+9.0834e-05i,0.00025842+0.00046768i,-0.00068898+0.00096804i,-0.00018002+0.0010266i,0.00062619+0.00056817i,0.00066068-0.00024047i,0.00046306-0.00039609i,0.00046699-0.00036723i,0.00027248-0.00046697i,-0.00035606-0.00060037i,-0.00083657-0.00091429i,-0.00046554-0.00060748i,2.5944e-05+0.00033919i
0.0013689-0.00010668i,0.0012975-0.0006686i,0.0011331-0.0016957i,0.00052278-0.0016619i,-0.000605-0.00065965i,-0.0010423-7.601e-05i,-0.00091217+0.00036593i,-0.0013432-0.00019459i,-0.0015951-0.00081143i,-0.0013363-0.00033223i,-0.0016414+0.00054267i,-0.0010678+0.0010904i,-0.00012299+0.0015329i,-0.00038084+0.0013834i,-0.00022298+0.0010492i,0.00017347+0.00068981i,0.001+0.00030738i,0.00096346-0.00034216i,0.00049614-0.00071984i,8.9295e-05-0.00020457i,-0.00047051-0.00063921i,-0.00057525-0.00095624i,-0.00068713-0.00022929i
-0.0031267+0.00035825i,-0.0020455+0.00036869i,-0.0013295+0.00042431i,-0.00092906+0.00037139i,-4.8034e-05+0.00065016i,0.00030158-0.00037786i,-0.00010319-0.00058185i,-0.00055934+9.0601e-05i,-0.0004075-0.00037504i,-0.00053435+6.1223e-05i,-0.00043749+0.00058826i,0.00091848-7.4993e-05i,0.00097366-0.00055333i,0.00025925-0.00024464i,5.4763e-05+0.00035927i,0.00027572+0.00012002i,0.0006312-0.00018201i,0.00069432-0.00021552i,0.00091127-0.00014997i,0.00018046-0.00024099i,-0.00041223-1.1864e-05i,-0.00066913+0.0010924i,-0.00073258+0.0011087i
0.001304-0.0001253i,0.00090632-0.00035123i,0.0010969+0.00023757i,0.00080865-0.00015155i,-0.00058193-0.0004847i,-0.0011964+7.629e-05i,-0.00072156+0.00021962i,-0.00062666-0.00045773i,-0.0010325-0.0011719i,-0.0013451-0.0012782i,-0.0010906-0.0003816i,0.00012912+0.00054336i,0.00081318+0.0012721i,0.00073631+0.0010459i,0.00076488-0.00011075i,-4.6382e-05-0.00093482i,-0.00029146-0.0010793i,8.4672e-05-0.00053424i,-4.9918e-05+6.0479e-05i,-0.00071164-3.4876e-05i,-0.00042188+0.00020698i,0.00034207-5.5393e-05i,0.00038263-0.00079018i
0.00031842-0.00066247i,0.0010548+0.00026945i,0.00046435+7.0569e-05i,0.00067346+0.00027429i,0.00054357+0.00072331i,-0.00075193+0.0002656i,-0.00090978-0.00057308i,-0.00068894-0.00090593i,-0.001014-0.00053549i,-0.0009716-0.00015229i,2.1618e-05+9.3888e-05i,0.00061952+0.0009287i,0.0013654+0.00081591i,0.0019255+0.00082962i,0.0011585+0.00066713i,0.00077814+0.00015717i,0.0010692-0.00027017i,0.00081059-4.7148e-05i,0.00013924+0.00021075i,-0.00029949-0.00029866i,-0.00010241-7.4981e-05i,8.807e-05+0.00033242i,-0.00023181+0.00043514i
-0.00088321-0.0017909i,-0.0004108-0.00096776i,-0.0017413+0.00084269i,-0.0014051+0.0010365i,-0.00054235+0.00063993i,-0.00058456+7.7627e-05i,-0.00026376-0.0010884i,-0.00059031-0.0018874i,-0.001431-0.0017789i,-0.0012777-0.0004336i,-0.00063828+0.00078231i,-8.129e-05+0.0006288i,-0.00028706-0.00056991i,-9.2339e-05-0.00071154i,0.0004244+0.00037988i,0.00037856+0.0007346i,0.00011364+0.00042196i,0.00022903-0.00034381i,0.00014345-0.0010269i,-0.0005387-0.00090902i,-0.00043908-0.00019504i,0.00013421+0.00088116i,-0.00010563+0.00083758i
-0.0028764-0.00037712i,-0.0021339-0.0011772i,-0.001856-0.000773i,-0.0022511+7.5106e-05i,-0.0013214+0.00048574i,-0.00054048+0.00050879i,-0.001222-0.00025651i,-0.0012885-0.00063826i,-0.0015927-0.00013247i,-0.001482+0.00047948i,-3.283e-05+0.0010143i,0.00069321+0.00059727i,0.00025738-6.1315e-05i,-0.00053669-7.879e-05i,-0.00016589-3.0555e-05i,3.2384e-05-0.00046137i,-0.0003365-3.5116e-07i,9.8807e-05+0.00090691i,0.00050664+0.00070057i,0.00044039+0.00068724i,-0.0002755+0.00027221i,-0.00076367-7.0669e-05i,-0.00077973+0.00081338i
-0.0018954+0.00086442i,-0.0006739+0.0014861i,0.000722+0.0027178i,0.001016+0.003597i,0.0009633+0.0027462i,0.0011049+0.00076108i,-0.00030259-0.00071087i,-0.00095654-0.0010943i,-0.00059987-0.00075189i,-0.00085693-0.00068411i,-8.0137e-05-0.00078456i,0.00062914-0.00052099i,0.00038449-0.0002806i,0.00012913+8.1179e-05i,-6.0985e-06+0.00047575i,-0.00023692+0.00054895i,0.00011838+0.001321i,0.0012729+0.0014703i,0.0014663+0.00017975i,0.00069863-3.0656e-05i,-0.00012557-7.9853e-05i,-0.0001931-0.00030781i,0.00026706+0.00022459i
0.0013914+0.0013855i,0.0010375+0.00077315i,0.0013179+0.0011653i,0.0010307+0.0013093i,0.00056487+0.00029183i,0.00095674-0.00018544i,0.00020972+5.6594e-05i,-0.0005079-3.6965e-05i,-0.00027943-0.00057493i,-0.00065323-0.00079404i,-0.00070231-0.00035276i,0.00030473+0.00040922i,1.8539e-05+0.00071883i,-0.00065186+0.00032019i,1.564e-05+0.00028986i,0.00028912+0.00054992i,-0.00012091+0.0010237i,-0.0002613+0.0011872i,0.00017677+0.00020702i,3.3238e-05-0.00062872i,-0.00091979-0.00065168i,-0.00046452-0.00042279i,0.00016345+8.5631e-05i
-0.00065789-0.0031999i,-8.0236e-05-0.0027302i,-0.00046458-0.0022638i,-0.0010763-0.0015543i,-0.0010655-0.0012269i,-0.00013718-0.00047867i,-0.00070015-0.00033299i,-0.0018305-0.00037078i,-0.0016674-3.1413e-05i,-0.00097601-3.4137e-05i,-0.00029795+0.00082567i,0.00066105+0.0010504i,0.00039386-1.1551e-05i,-0.00041467-0.00020978i,-0.00033627-0.00058408i,0.00017946-0.0007121i,0.00097525+5.591e-06i,0.0016103+0.00029799i,0.0012447-0.00033776i,-0.00024084-0.0010892i,-0.00047738-0.0012873i,0.00030692-0.000342i,0.00022213+0.00010767i
-0.0017631+0.00021762i,-0.0017248+0.00051185i,-0.0015494+0.0013862i,-0.0014129+0.0017082i,-0.00070368+0.0010308i,-0.0012038-0.00027628i,-0.0019989-0.00098509i,-0.00078025-0.00034084i,-2.9828e-05-0.0002972i,-0.00033962-0.00031271i,-0.00085536-0.0001233i,-0.00084206+0.00011985i,-2.4382e-05+0.00017557i,0.00018034+3.4938e-05i,-0.00034488-0.00024972i,-0.00031313-0.00019444i,0.00064034+0.00057521i,0.0013319+0.00063689i,0.0010992-0.00047155i,9.2888e-05-0.00075403i,-0.0011345-0.00049293i,-0.0011202-0.00054775i,-0.00049067-0.00045447i
