-0.0022027+0.00011286i,-0.0014401+0.00017063i,-0.00042872-8.9628e-05i,-8.689e-05+0.00010799i,-0.00096487+0.00073874i,-0.00097074+0.00096384i,-0.00048275+0.00048662i,-0.00018627-0.00030533i,-0.0006903+0.00025942i,-0.00029257+0.0011568i,0.00021312+0.00091291i,-0.00019619+0.00058237i,0.00017633+7.8867e-05i,0.0003277-1.0252e-05i,0.00029002+0.00029006i,0.00036703+0.0007242i,0.00023659+0.00073746i,-0.00013555+0.00043061i,-0.00096382+3.0783e-05i,-0.0010011+0.00031073i,-0.00037355+0.00025221i,-1.1582e-05-0.00024774i,-1.968e-05-0.00039109i
-0.00089748+0.0013259i,-0.00015113+0.00045786i,-0.00091051-0.00048191i,-0.0018947-0.0013152i,-0.0011194-0.0015949i,-0.001244-0.00024116i,-0.0013265+0.00048305i,-0.00045221-0.00050132i,-0.00022563-0.00094801i,-0.00053947-0.00067663i,-0.00056961+0.00010949i,-0.00073789+0.00041631i,-0.00090761+7.4147e-05i,-0.00036824+6.8938e-05i,-0.00012337+0.00017075i,-0.00029328-0.00029663i,-3.7179e-05+0.00020563i,0.00053788+0.00016526i,0.0007285-0.00099775i,-4.417e-05-0.00028967i,-0.00060525+0.00061343i,-0.00017705+3.9884e-05i,0.0005755-0.00039136i
-0.0012292-0.00020424i,-0.00075945+8.5552e-06i,-0.00044348-0.00029914i,-0.00013266-0.00016533i,-0.00010769+0.00072956i,0.00064599+0.00075682i,0.0011192+0.00014603i,-0.00012472+0.00036445i,-0.0014262+0.00039576i,-0.0013696-0.00031714i,-0.00066108-0.00051694i,-0.00023812-0.00037186i,-0.00034497+0.00027134i,-0.00057583+0.00058986i,-0.0001996+0.00038221i,9.5566e-06+0.00024707i,0.00012863+0.0002913i,0.00044626+0.00012301i,0.00028636-0.00056915i,0.00030088-0.00067471i,0.00044097+0.00015372i,0.00024248+0.00038036i,0.00028304-0.00034366i
0.00055852+0.00038118i,0.00067107+3.3885e-05i,0.00083439+0.00018544i,0.0010932+0.00049816i,0.0011618+0.0010295i,0.00091526+0.0011291i,0.00050027+0.00058291i,-9.5716e-05+6.1247e-07i,-0.00020532-0.00048573i,-0.00032382-0.00053272i,-0.00028543-0.00020955i,0.000347+0.0011404i,0.00013741+0.0014182i,-0.00034534-0.00023888i,-0.0003599-0.00053601i,-0.00036761-0.00016725i,-0.00039563-0.00043343i,-0.00050797-0.00048143i,-0.00032916-0.00085792i,0.00016589-0.00092214i,0.00025227-0.0006505i,-0.00026275-0.00054288i,-0.0001849+2.4538e-05i
-0.00072666+0.001608i,0.0006378+0.0016345i,0.0011491+0.0019597i,0.00056186+0.0013274i,2.8191e-05-1.0116e-05i,4.6318e-05-0.00057225i,6.6074e-05-0.00015537i,-0.00061137+0.0002216i,-0.00091457+2.7201e-05i,-0.0011001+0.00023322i,-0.0007446+0.00033493i,-3.7699e-05+0.00049101i,0.00051663+0.00048237i,0.00082174+0.00029379i,0.00044058-6.287e-05i,0.00013281-0.00031905i,-0.00031305+0.00011419i,-0.00054563+0.00064373i,-0.00037424+0.00041921i,0.00023775-0.00028107i,0.00026186-0.00051176i,-0.00040059+8.871e-05i,0.00015999+0.00047274i
-1.0589e-05+0.00028852i,-0.00032496-0.0011012i,-0.00015858-0.0012695i,0.00075611-0.00044963i,0.0015256-0.0002964i,0.00078823-0.0002229i,0.00054514-0.00016484i,-0.00013505-0.00017685i,-0.001023-0.00021803i,-0.0011276+0.00035824i,-0.00039753+0.00118i,-0.00040759+0.00045244i,-0.00024354-0.0013744i,0.00026419-0.00050383i,0.0004037+0.00092768i,0.00028601+0.00086633i,-0.0001251+0.0004882i,-0.0002845-5.1318e-05i,-0.00058528-0.00053754i,-0.00055617-0.00064786i,0.00011038-0.00037675i,-0.00020742+0.00057087i,-0.001071+0.00062994i
4.7614e-05+0.00095828i,0.0009202-9.7133e-05i,0.0013449-0.0012524i,0.0011169-0.0012388i,0.00091752-0.00075196i,0.00070174-0.0002637i,0.00030427+0.00014534i,9.0946e-05+0.00012625i,4.5794e-05+6.3913e-05i,-0.00020896+0.00035169i,-0.00049568+0.0009474i,-0.00038746+0.0011483i,8.4851e-05+0.0004078i,0.00023869+0.00022708i,-0.00070558+0.00061522i,-0.00036759+0.00073506i,0.0002905+9.5361e-05i,-0.00042952-0.00041959i,-0.0005078-0.0005055i,0.00058926-0.00074177i,0.0011713-0.0010833i,0.00076076-0.00064237i,0.0006612+0.00014419i
0.00030681+0.0012006i,-0.00075572+0.0015601i,-0.00028554+0.00112i,0.00035852+0.0003234i,0.00084541-0.0003882i,0.0006853-0.00042202i,0.001155-0.00072743i,0.0014397-0.0011298i,0.00080865-0.00096035i,3.6222e-05-0.0004395i,-0.00032508+0.00013428i,-0.00043295+0.00013056i,1.9809e-06-5.7985e-05i,0.00016257+4.3477e-05i,-0.0001652+0.00011681i,-0.0006483+0.00062043i,-0.00095974+0.0010052i,-0.00062736+0.00081733i,-4.8137e-05+0.00014682i,-3.0546e-05-0.00018545i,-2.1241e-05-0.00021123i,0.00013032-2.4308e-05i,0.00041405+0.00065923i
-0.0016649-0.00054873i,-0.0012901-0.00042488i,-0.0019115+0.00032868i,-0.0023863+0.00050543i,-0.0015948+0.00017208i,0.00047636+0.00083275i,0.0013181+0.00071973i,0.00059913-0.00022892i,-0.00011393-0.0006692i,-0.0009039-0.00022237i,-0.00089735+0.00057973i,-0.00028586+0.0010363i,-0.00041547+0.0006753i,-0.00076211-0.00018709i,-0.00018582-0.0010345i,0.00011244-0.00077176i,-4.4196e-05+9.471e-05i,-0.00041923+3.0127e-05i,-0.00023905-0.00072764i,0.00014674-0.00017733i,0.00012216+0.00043345i,-0.00047486+0.00060634i,-0.00068516+0.00078249i
0.00076298+0.00013131i,0.0012465-8.7929e-05i,0.0016096-0.000227i,0.00093793+0.00028022i,0.00055138+0.00061971i,0.00016542+0.00073518i,-0.00082722+1.4585e-05i,-0.00097107-0.00021708i,-0.00099928-0.00026015i,-0.00083031-0.00054702i,-0.0009184-4.9734e-05i,-0.00076395+0.00033516i,-0.0010637+0.00042638i,-0.00078877+0.00040308i,0.00066829+0.00075266i,0.00087461+0.0005403i,-0.00011746-0.00022176i,-0.00026418-0.00023221i,0.00066581+0.00027729i,0.00087269+0.00030906i,-3.2412e-05-0.00050043i,0.00061778+7.1695e-05i,0.0012741+0.00049584i
0.0012494-0.00096137i,0.00090036-0.00097751i,-0.00026818-0.0017953i,-0.00095372-0.0017964i,-0.00074609-0.0011128i,0.00024285-0.0011425i,0.00045694-0.00092677i,0.0001097-0.001143i,0.00039485-0.0010137i,0.00011201+2.5896e-05i,-0.00068433+0.00022389i,-0.00016493-0.00082255i,0.00096921-0.00088789i,0.00050042-1.6979e-05i,-9.6503e-05-0.00011172i,0.00035134-0.00023269i,0.00022242+0.00014012i,-0.00032665-0.00030913i,-0.00034724-0.00065097i,-0.00034162+0.0001979i,-0.00011276+0.00034069i,-9.5009e-05+0.00028148i,-0.00017507-0.00011441i
