-5.3467e-05-4.9488e-05i,0.00039503+0.00042186i,-0.00069746-0.00063251i,-0.0013949-0.0013275i,-0.0010431-0.0014876i,-0.00063693-0.00065017i,-0.00060354+0.0005454i,8.2989e-06+0.0015838i,0.00036237+0.0016026i,0.00042651+0.0011971i,-0.00033878+0.00096287i,-0.00098203+8.2405e-05i,-0.00096757-0.00049472i,-0.000638-0.00064883i,-7.658e-05-0.00059699i,9.8467e-05+0.00027133i,0.00036519+0.0013854i,4.0426e-06+0.00036251i,-0.00023395-0.00017078i,0.00035597+8.8095e-05i,0.0011162-2.5411e-05i,0.00068913+0.00040257i,-0.00053247+0.00076682i
-2.2958e-05+0.0001814i,-0.00073289+0.0016294i,-0.0004721+0.0021339i,0.00034404+0.0021321i,0.00078741+0.000811i,0.00073148-0.00040539i,0.0012629+0.00012447i,0.0016907+0.00087583i,0.00090605+0.00085088i,0.00067496+0.0008243i,7.3695e-05+0.00084069i,-0.00095514+0.00015072i,-0.0012022+0.00013511i,-0.00078355-0.00023455i,6.3147e-05-0.00060353i,0.0006934+0.00020413i,0.0005677+0.00056769i,0.00017865+0.00019795i,7.4886e-05+0.00019382i,-0.00028258-3.0621e-05i,-0.00051423+0.00025089i,0.00036079+0.00065888i,0.0011281+0.00011897i
-0.0014888+0.0003913i,-0.00052775-3.2356e-05i,6.5386e-05+0.00030833i,-0.00038767-3.7516e-05i,-7.5172e-05-0.0005007i,-0.00023776-0.00045542i,-0.00096528-0.00057107i,-0.00033746-0.00062396i,-0.0003396-0.00050809i,-0.0011833-7.0991e-05i,-0.00081276-8.7396e-05i,-6.0697e-05-0.00026601i,0.000607-0.00094643i,0.00071351-0.0012765i,0.00077134-0.00065211i,0.001079-0.00013427i,0.00086561+0.00087821i,0.00054834+0.0015871i,0.00025531+0.0017037i,-0.00031257+0.00087076i,-0.00057252-0.00021541i,-4.3592e-05-3.6359e-05i,-2.4544e-05+0.00065416i
0.0023451-0.00084624i,0.00090368-0.00039916i,-0.00082538-0.00060211i,-0.0018388-0.00033153i,-0.0017121-0.00074532i,-0.0014433-0.0005655i,-0.00081367+0.00033025i,4.8148e-05+0.001107i,0.00010515+0.00087881i,-0.00079125+0.00086228i,-0.0017988+0.0010446i,-0.0014104+0.0009781i,-0.00072563+0.0010599i,-0.00012892+0.00070093i,0.00070949+0.00049259i,0.001146+0.00084852i,0.0014365+0.00073851i,0.0012357+0.00037008i,-0.00035346-0.00019948i,-0.001471-0.00023755i,-0.0010947+0.00035273i,-0.00046804+0.00037113i,-0.0004563-0.00035256i
-0.00057816-0.00070741i,-0.00064703-0.00012538i,-0.0010769-8.5407e-05i,-0.00086562-0.00075083i,0.00044712-0.0012231i,0.00072223-0.00088127i,0.00074451-2.6923e-05i,0.00079486+0.00097206i,0.00066298+0.0013178i,0.00011781+0.0008188i,-0.00072172-0.00017866i,-0.00030358-0.00039784i,0.00054716+0.00052717i,0.0011631+0.0010585i,0.00086861+0.00098551i,9.8311e-05+0.00040108i,-0.00047589+0.00011846i,-0.00060761+0.00041605i,-0.00036645+0.0004766i,-0.0010061+0.00023609i,-0.00071887+0.00014738i,-0.00021175+0.00023792i,-0.00093458+0.00037186i
0.00017477+0.00040708i,-8.0255e-05+0.00091498i,0.00023296+0.00093867i,-5.5966e-05+0.00049711i,-0.00039263-0.00013847i,-0.00076343-8.1401e-05i,-0.00098917+0.00052687i,-0.00079592+0.00087371i,-0.00038976+0.00066938i,0.0001385+0.00010723i,-0.00043643-0.00030104i,-0.00074233-0.00046154i,-0.00037882+0.00046574i,-0.00016509+0.001154i,-1.7669e-05+0.00054755i,7.3245e-05+0.00012566i,-6.6039e-05+0.00025911i,-0.00034829+0.00011074i,6.0796e-05-0.00010572i,-9.1101e-05-0.00019343i,-0.00093315+0.00037871i,-0.0011273+0.0015101i,-0.0008079+0.0014015i
-0.00054057-0.00078015i,-0.00050265-0.00075584i,-0.0012118+0.00027841i,-0.0011092+0.00050983i,-1.1892e-05-9.0935e-05i,9.2969e-05-0.0011187i,0.00011716-0.00095395i,4.8684e-05+0.00082967i,-0.00074099+0.0017114i,-0.00072848+0.001469i,-0.00020561+0.0011533i,0.00014167+0.00054451i,0.00078934-0.00030719i,0.0005231-7.5275e-05i,0.00022658+0.00034316i,0.00041701+0.00028871i,0.00048876+0.00025565i,0.00088795+0.00030398i,0.00096783+0.00018306i,0.00032265-7.4188e-05i,-0.00028828+3.763e-05i,-0.00016209+0.00016439i,5.4571e-05+1.3072e-05i
-0.00046956-0.0018154i,-0.0008455-0.0012758i,-0.0015641+0.00015236i,-0.0013784+0.0011268i,-0.00079372+0.00097381i,0.00036837+0.00017907i,0.00056635-0.00016375i,-0.00014481+0.00019212i,-0.00053866+0.00090504i,-0.0011573+0.0015839i,-0.00094854+0.00072779i,-0.00037322-0.0008532i,-0.00010872-0.00076012i,-0.00026021-8.9337e-05i,-0.00096576-0.00034182i,-0.0015629-0.00066126i,-0.0011381-0.00071592i,-0.00026979-0.00023872i,-0.00013293+0.000216i,-0.00022673+0.00028714i,9.4659e-05+5.0767e-05i,2.1331e-05-0.00024708i,-0.00021499-0.00063317i
-0.0009671+4.4937e-05i,9.3152e-05+0.00069266i,0.0007553+0.00050595i,0.0005583-0.00015809i,-0.00010937-0.00070664i,-0.00036109-0.001295i,0.000135-0.0016527i,1.9914e-05-0.00095119i,-0.0002523+0.00089059i,-0.00017322+0.0017612i,0.00025535+0.00033171i,0.00056445-0.00056251i,0.00084024-0.00062024i,0.00096107-0.00056335i,0.00057648-0.00044654i,0.0003025-9.0215e-05i,8.81e-06-5.7801e-05i,-0.00029091-0.00050439i,2.4978e-05-0.00062071i,-2.9111e-05-0.00084791i,-6.3425e-05-0.00063786i,4.4383e-05-0.00027899i,0.0002152-0.00030152i
0.0013885-0.0011084i,0.0001543+0.00010572i,0.0005185+0.0011582i,0.00016899+0.0013638i,0.00039861+4.9279e-05i,0.0014153-0.00054909i,0.00082558-0.00049472i,-0.00040229+0.00028661i,-0.00048673+0.00030586i,0.00055809+0.00022387i,0.00086794+0.001038i,0.00048015+0.0010155i,0.00029847+0.0011588i,6.9236e-05+0.0010967i,-0.00014119+0.00068075i,0.00014923+0.00067628i,6.234e-05+0.00049131i,-0.00048736-0.00026837i,-9.6887e-05-0.00086438i,0.00038712-0.00024062i,0.00039243+0.00031744i,0.00034816+0.00028844i,1.5721e-05+0.00042865i
0.0002839-0.0010976i,-0.0010524-0.00072896i,-0.0018081-0.00063953i,-0.0015205-0.0003618i,-0.0014022+0.00023932i,-0.0012194+0.00083181i,-0.00020847+0.00065582i,-0.00017428+0.00082544i,-0.00096173+0.00085895i,-0.00098083+0.00062913i,-0.00099599+7.4011e-05i,-0.00032323-0.00053453i,0.00056389-0.0001837i,0.00060627+8.1444e-05i,-0.00018946+1.2938e-05i,-0.00040695+0.00036448i,0.0002723+0.00056461i,0.00015537+0.00023645i,-0.00023816-0.0005314i,0.00025463-0.00081984i,0.00050592-0.0002145i,0.00014439+0.00018439i,-6.0858e-05-0.0004201i
-0.00011656-0.001742i,-0.0012409-0.0017604i,-0.0021558-0.0015891i,-0.002029-0.0012406i,-0.0010665-0.00051915i,-0.0004518+3.5245e-05i,-0.00073906-0.00027391i,-0.0012079+8.7016e-05i,-0.0012382+0.00060363i,-0.0014444+0.00047659i,-0.0011287+0.0007624i,-0.00045851+0.00056617i,0.00027149+0.00047265i,0.00042221+0.0009925i,0.00041406+0.00091438i,0.00061779-3.449e-05i,0.00039418-0.00059312i,-0.0002484-0.00066705i,-0.00062198+0.00011527i,-0.00030054+0.00092873i,-0.00028874+0.0010996i,-0.00076143+0.0014055i,-0.00035342+0.0013665i
0.00084145+0.002007i,0.00046788+0.0024929i,0.00056684+0.002717i,0.00040511+0.0023588i,0.00044118+0.0018071i,4.7212e-05+0.0008357i,-0.00076571+0.0003197i,-0.001087+0.0013794i,-0.0011639+0.0024918i,-0.00060191+0.0020263i,0.00025289+0.0007063i,-0.00015649+5.6962e-06i,-0.00098988+0.00080734i,-0.00093652+0.00072298i,0.00010617-4.3893e-05i,0.0010806+0.00041543i,0.0010517-0.00011702i,0.00072434-0.00075904i,0.00090762+0.00015315i,0.00030122+8.6296e-05i,-0.00018441+1.6173e-05i,0.00030773+0.00028066i,0.00050607-7.9941e-05i
-0.0014221+0.00031421i,-0.0019416+0.00034357i,-0.00044559+0.0010361i,-0.00049094+0.00041385i,-0.00078331-0.0010067i,-0.00033626-0.0021569i,-0.00071584-0.0015551i,-0.00027762-0.00072078i,0.00037576+0.00030259i,0.0011419+0.0010944i,0.0016206+0.00073333i,0.00059502-0.00018009i,-0.00013012-0.00056187i,-0.0004545+0.00024369i,-9.9561e-05+0.00079667i,0.00037853+0.00032507i,0.00017295-0.00054014i,-0.00023517-0.00069383i,-0.00010583-0.00022437i,0.00043263+0.00044424i,0.00062211+0.00096051i,0.00041381+0.00080234i,0.00033068+0.00039248i
-0.0017786+0.0010487i,-0.0022203+0.0015168i,-0.0014947+0.0019693i,1.5167e-05+0.0014361i,0.00024517+0.00054172i,-0.00014492-0.00018136i,-0.00036775-0.00022192i,-0.00034628+0.00075933i,-0.00030038+0.0014448i,-0.00042624+0.00084202i,2.756e-06-0.00030127i,-0.00016609-0.0006654i,-0.0010282-0.00012743i,-0.0011444+0.00037665i,-0.0012287+0.0010592i,-0.0010925+0.0012158i,-0.00050647+0.00094553i,0.00021389+0.00017983i,0.00029952-0.00045487i,-0.00060433-0.00028568i,-0.0011219+0.00020348i,-0.00069269+0.00026841i,-0.00078504-0.00014277i
-0.001896-8.6211e-05i,-0.00093059-0.0016505i,0.00018274-0.0016812i,-0.00052045-0.00025047i,-0.00099928+0.0003381i,-0.00093283-0.00044176i,-0.00047472-0.00044042i,-0.00024768+0.00095178i,-0.00030033+0.0017564i,6.1383e-05+0.0014483i,-2.8162e-05+0.00075533i,-0.00067684+4.4119e-05i,-0.00068881+0.00021526i,-0.00073635+0.00043307i,-0.00050882+0.00010152i,0.0004788-7.7678e-05i,0.0012698+0.00013844i,0.00082754+0.00058368i,-0.00017339+0.00046997i,-0.00047515-2.2377e-05i,-0.00033089-0.00039186i,0.00054546+0.00027285i,0.00070422+0.00061989i
-0.00014553+0.0014379i,5.8724e-05+0.0011121i,0.00067585+0.0015611i,0.00065679+0.00079932i,-0.00049905-0.00016803i,-0.0014435-0.00035036i,-0.00097165-0.00071754i,-0.00013687+0.00034897i,-0.00039144+0.0014362i,-0.0012237+0.00091367i,-0.0010179+0.00041655i,-0.00096134+0.00096214i,-0.0009146+0.00048284i,-0.00044243+0.00016257i,-0.00065559+0.00034556i,-0.00090785-0.00051313i,-0.00043127-0.0010328i,-4.4577e-05-0.0019058i,-0.00025882-0.0016559i,-0.00074101-0.00046695i,-8.347e-05+0.0001277i,0.0003428+0.00045744i,-0.00044245+0.00018048i
0.00017436+0.00035074i,-0.00091406+0.0010514i,-0.0010293+0.0005371i,-0.0011632-0.0001443i,-0.0016366-0.00087051i,-0.0015748-0.001114i,-0.00066544-0.00040483i,0.00027232+0.00058225i,0.00081684+0.00064464i,0.00055653+0.00062486i,9.1254e-05+0.00069668i,-0.00085808+7.2172e-05i,-0.00069181-0.00015381i,-0.0001277-6.5879e-05i,-7.8348e-06-0.0003895i,-0.00031686+0.00041858i,-0.00041958+0.00082056i,0.00044189+0.0003073i,0.001297+0.00042579i,0.0011533+0.00025388i,0.00030166+0.00059022i,9.5819e-06+0.00073418i,-0.00012985+0.00031467i
-0.00032553-0.00087497i,-0.00086637-0.00098293i,-0.0014928+0.00075553i,-0.0010765+0.00081289i,0.0003394+0.00031095i,0.0015616+0.00048771i,0.00073694+0.00054585i,-0.00012676+0.00046358i,-0.00018555+0.00060774i,-0.0010378+0.0005057i,-0.0003869+0.00039005i,-0.00026073+0.0005027i,-0.0010551+0.00035922i,-0.00060954+0.00020748i,0.00025325-9.2282e-05i,0.00054292-0.0001532i,0.00015847-0.00047241i,0.00039689-0.00060171i,0.00042274+6.9379e-05i,-0.00012966+0.00062208i,-0.00055305+0.00096683i,-0.00015904+0.00097505i,0.00010916+0.00044231i
