-0.0038337+0.0015635i,-0.0028167+0.00074061i,-0.0026691+0.00081283i,-0.0013279+0.00081101i,5.5973e-05+0.0011723i,-0.00057822+0.0019906i,-0.0010953+0.0027339i,-0.000339+0.0021736i,0.00023652+0.0010611i,0.00068266+2.1089e-05i,0.0011456+0.00014121i,0.00080517+0.00074349i,-0.00020615+9.1779e-05i,-0.00056067-0.0002545i,-0.00013553-0.00030302i,0.000805+6.9958e-05i,0.00070181+0.00059534i,0.00024193+0.00030635i,0.00043209-2.6715e-05i,0.00063946-0.00027982i,0.00011899-0.00071285i,0.00011276+4.6183e-05i,0.00037755+0.00079286i
-0.00041412+2.8721e-05i,-0.0015056+0.00019704i,-0.0014451-0.0005992i,0.0003067-0.00079158i,0.0018461-6.7821e-05i,0.0016956+9.8392e-05i,-7.0621e-05-0.00043948i,-0.00098508-0.00027523i,-0.00051485-0.00015081i,-0.00042459-0.00075268i,-0.0004803-0.00012553i,0.00047263+0.00075694i,0.00093582+3.2491e-05i,0.0010328-0.00028173i,0.00079465+0.00041015i,0.0010762-3.6936e-06i,0.00084209-0.00087701i,-0.00032659-0.00064725i,-0.00054547-0.00014434i,0.00012946-0.00030721i,0.00046173-0.0007432i,0.00040855+0.00012184i,0.00082751+0.00073921i
0.0013185+0.00016479i,0.0017381+0.0005474i,0.0026037+0.00030294i,0.00291+0.00012194i,0.002761+0.0002079i,0.0022857-0.00067909i,0.00065023-0.00092513i,-0.00033148-0.00030739i,-0.00015402+0.00039835i,-0.00082439+0.00070812i,-0.00094779-0.00020754i,-0.00018162-0.00082295i,0.00052092-0.00031721i,0.00050672-0.00017551i,7.6503e-05-0.00066384i,-0.00040348-0.00047008i,-0.00021641-1.9909e-05i,-0.00020452-0.00081141i,-2.1971e-06-0.0011136i,9.3717e-05-0.00033425i,-6.3655e-05+2.3812e-05i,0.00050532+8.7557e-05i,0.00041394+0.00039687i
0.0030092+0.00074544i,0.0035128+3.3634e-05i,0.0029076-0.0013272i,0.0015677-0.0014486i,0.00069374-0.00069076i,-0.00061205-0.00020141i,-0.0015272+0.00047808i,-0.0012417+0.00090368i,-0.00063678+0.000172i,-0.00037602-0.00066957i,6.564e-05-0.00081122i,-0.0001453-0.00069805i,-0.00081768-0.00058779i,-0.00060751-0.00041729i,-0.00022291-0.00065869i,-0.00094472-0.00064977i,-0.0011786-5.5034e-05i,-0.0012394-9.9658e-05i,-0.00095913+8.5188e-05i,-0.00073388+3.419e-06i,-0.00046551-0.00018581i,6.9872e-05-4.2471e-05i,-0.00063524+8.3981e-05i
0.00016278+5.371e-05i,0.00035619-0.00066682i,0.0018888-0.000898i,0.0017599-0.00086955i,0.00096946-0.0008955i,0.00049863-0.0012605i,0.00038454-0.0011621i,-6.3537e-05-0.00010731i,-0.00055041-0.00028124i,-0.00053783-0.00081086i,-0.00024559-0.00034047i,-0.0003524-5.5358e-05i,-0.0010637+1.5457e-05i,-0.0010443+0.00042696i,-0.00022772+0.0010343i,-3.7679e-05+0.0010164i,-0.00049415+0.00032924i,-0.00080328-0.00037387i,0.00012977-0.00020028i,7.4142e-05+0.00034422i,-0.00042169-0.00020227i,-0.00016556-0.00098676i,0.00011514+7.2861e-05i
0.0027702+0.0025352i,0.0026427+0.0021047i,0.0030563+0.0030371i,0.003432+0.0014985i,0.0022591-0.0012145i,0.0010877-0.0019995i,0.0006938-0.00083719i,0.00067426-5.0073e-05i,0.00088865-0.00070881i,0.00065187-0.0011611i,0.00027559-0.00024882i,-0.00014394-6.3842e-05i,-0.00020845-0.0010562i,0.0002354-0.00075585i,0.00039703-0.00052458i,-0.00040802-0.00051633i,-0.0012496-0.00014541i,-0.0016399-0.00042364i,-0.0014053-0.0011949i,-0.00078693-0.00073172i,-0.00021354-0.00034487i,0.00049233-0.00068116i,0.0009982-0.00064851i
7.7367e-05-0.00014898i,0.00028194+0.00037476i,0.0016935+0.0015197i,0.0026804+0.0014845i,0.0023935+1.7319e-05i,0.0013798-0.0011094i,5.2789e-05-0.00059692i,-0.00052927-8.2506e-06i,-0.00042768+0.00024205i,-0.00056552+0.00041698i,-0.00043865+0.00024942i,0.00017154+0.00029093i,0.0003946+0.00026954i,0.00062031+2.1545e-05i,0.00086511-0.00016466i,0.00029876-0.00019183i,-0.00045522-0.00055492i,-0.00019227-0.00026881i,0.0002893+0.00054672i,0.000406+0.00083879i,1.5742e-05+0.00074503i,0.00019519+0.00082763i,0.00030647+0.00085654i
0.00075368-0.00013613i,0.0011379-0.00016833i,0.00034715+3.7756e-06i,0.00086912+0.00018123i,0.001874+5.0636e-05i,0.0011036-0.00072079i,0.00019899-0.00056814i,-0.00048664-0.00010185i,-0.00084921-5.8836e-05i,-0.00065865-0.00013232i,-0.00060769-0.00011i,-0.00080537+3.4564e-05i,-0.0011725+0.00028934i,-0.0010766+0.00093481i,-0.00013053+0.0004712i,0.00028525-0.00017533i,-0.00030946+0.00023755i,-1.3173e-05+0.00089656i,-5.9665e-05+0.0011893i,-0.00050009+0.00090813i,-0.0005189+0.00070838i,-0.00061507+0.00050627i,-0.00069688+0.00073522i
0.00048438-0.00040156i,-0.00030793-0.00032437i,0.00027245-0.00016935i,0.0014304-0.00043464i,0.0015984-0.00043124i,0.0010744+0.00028099i,0.00057054+0.00013909i,0.00037125-0.00037285i,-0.00018518-0.00065299i,-0.0011976-0.00069951i,-0.00090481+0.00016242i,-0.00027454+0.00056457i,-0.00074158-9.6262e-05i,-0.00075148-0.0004407i,9.4882e-05+4.8594e-05i,0.0010052+0.0007664i,0.00060781+0.00094307i,0.00010473+0.00041515i,-0.0005025+0.00012745i,-0.0013501-0.0004807i,-0.0012858-0.00056008i,-0.00091098+0.00024475i,-3.5458e-05+0.00013925i
0.00013879-0.0019356i,-0.00067208-0.002308i,-0.00074024-0.0018202i,-0.00028375-0.00078779i,-0.00011463-0.00077541i,0.00071197+0.00020756i,0.0011196+0.0012491i,0.00052689+0.00062758i,5.8914e-05-0.00011359i,-0.00052255-0.00036036i,-0.00066031-0.0001429i,-0.0006488-0.00049464i,-0.0012069-0.00075221i,-0.00072828-0.00046969i,0.00052994-0.00039572i,0.00024087+8.2261e-05i,0.00012141-0.00014236i,0.00050385-0.0002i,-0.00018339-0.0006478i,-0.00041411-0.0012289i,0.00019052-0.0004945i,0.00043799+0.00029226i,-1.8632e-05-0.00023658i
0.00036396-0.00068522i,0.0014235-0.0011029i,0.0011488-0.00016997i,0.00078775+0.00067642i,0.0015275+0.00054859i,0.001181-0.00019985i,0.00044453-0.00036593i,0.00052445-0.0001006i,0.00088575-0.00025274i,0.00067407-0.0002863i,-0.00026201-0.00044113i,-0.00054734-0.00073639i,-0.00051511-0.00040797i,-0.00041037-0.00012238i,0.00012589-0.00028119i,0.00018404-0.00019158i,0.00028564-9.4597e-05i,0.00082412-0.00052379i,0.00053308-0.00076564i,0.00012961-0.00066681i,0.00027092-0.00021581i,-0.00019963+0.00049118i,-0.0001479+0.00068546i
