-0.00099216+0.0034221i,-0.00085846+0.001256i,-0.0018183-0.00042881i,-0.0012142-0.0017124i,-0.0012489-0.0016686i,-0.0010726-0.001062i,-0.00074145+4.428e-05i,-0.00069043+0.0011475i,-3.069e-05+0.00080505i,0.0005908-0.00039141i,0.0010682-0.00043287i,0.00063677+0.00039585i,-0.00010215-3.1368e-05i,4.2953e-06-0.00027056i,0.00012832+0.00010149i,0.00023777+0.00030847i,-0.00013183+0.00027027i,-0.00025919+6.835e-06i,0.00012522-0.00063336i,0.00057928-0.00092547i,0.00013299-0.0004727i,-0.00065163-0.0007789i,-0.00041831-0.0009841i
0.0033072+0.001314i,0.0037887-0.00030691i,0.0040381-0.0031269i,0.003138-0.0046389i,0.0012614-0.0039929i,0.00021542-0.00202i,0.00096088-0.00016385i,0.0017088+0.0010201i,0.0015628+0.00089757i,0.00081659-0.00065624i,-9.2832e-05-0.0014762i,-0.0009272-0.00077584i,-0.00072981+0.00011184i,-0.00025982+0.00055523i,-0.0002643+0.00021612i,-0.00011934-0.00045264i,0.00029681-8.807e-05i,9.0206e-05+0.00023041i,-0.00051314+0.00016649i,-0.00086576+0.00015074i,-0.0003709-0.00014365i,-0.00024895-0.00016976i,-0.00088075-0.00032335i
-0.00076416-0.0010713i,-0.00071099+0.0006456i,-0.00054503+0.0018683i,0.00099445+0.0014286i,0.0021949+0.00024547i,0.0011161-0.00034501i,0.00048069-0.0001685i,0.00086112-9.8189e-05i,0.0002352-0.00060361i,-0.00071931-0.00011712i,-0.0012589+0.0012817i,-0.00053622+0.0012791i,0.00013776+0.00069014i,0.00030149+0.00030951i,0.00063551-0.00014046i,0.00021817-0.00068914i,-6.0117e-06-0.0013492i,0.00021194-0.0012751i,-0.00010576-0.00097964i,0.00033117-0.00084898i,0.00025246-0.0013861i,-0.00041564-0.0014781i,-0.00035453-0.00074971i
-0.00044445+0.0026791i,-0.00060043+0.0012256i,0.0010496-0.0002998i,0.0020949-0.0016092i,0.0019033-0.002813i,0.00086948-0.0019215i,0.00079108+0.00023868i,0.00096311-0.00059486i,0.0002375-0.0020973i,-0.00080715-0.0016791i,-0.0010847-0.00070537i,-0.00014582-5.1746e-05i,0.00038185-0.00016473i,-0.0003576-0.00036278i,-0.00040117-0.00013254i,0.000434-0.00081229i,0.00042027-0.00075604i,0.00014923-3.4871e-05i,0.00098919-0.00038503i,0.00078586-0.00066927i,-0.00022559+2e-05i,0.00020896+1.7624e-05i,0.00038738-0.00062337i
0.0026234+3.5249e-05i,0.0019625-4.0216e-05i,0.0012063-0.00056611i,0.00032368-0.0010187i,-6.2371e-05-0.0010721i,5.13e-05-0.0013325i,-0.00018333-0.0016084i,1.8658e-05-0.0017503i,-0.00072883-0.0016266i,-0.0013749-0.00080889i,-0.00098614-0.00019051i,-0.00052386-0.00085419i,0.0002218-4.1634e-05i,2.1504e-05+0.0009253i,-0.00039253+0.00070681i,-0.00071237-0.00012406i,-0.00078808-3.2537e-05i,-0.00039178+0.00078492i,0.00027415+0.00077813i,0.00054172+0.00069581i,0.00040127-0.00013692i,0.00093993-0.00053654i,0.0013556+0.00063785i
-0.0003849-0.00017107i,-0.00090429-0.0012141i,0.00025933-0.0014789i,0.0011386-0.0022102i,0.00079125-0.002664i,-6.577e-05-0.0019932i,-0.00066599-0.00149i,-0.00068117-0.00069294i,-0.0008058+0.00031905i,-0.00081607+0.00055196i,-0.00072822-0.00035052i,-0.00081281-0.0011624i,-0.00081068-0.00081545i,-0.0002849+0.00017995i,-0.00034083+0.0005258i,-0.00032073+0.00010669i,0.00039884-0.00043746i,0.00089652+0.00025358i,0.00057707+0.00060179i,-0.00013569+2.0824e-05i,-0.00079223-0.0005278i,-0.00096775-0.00029037i,-3.0148e-05-8.9669e-05i
0.0020588+0.0017173i,0.0024401+0.001808i,0.0029352+0.0016208i,0.0028295+0.000189i,0.0022154-0.00092691i,0.001017-0.0015082i,5.5664e-05-0.00082011i,-0.00059567+0.00032125i,-0.00077931+0.00055858i,-5.8135e-05+1.9433e-05i,4.1348e-05-0.00048813i,-0.00081177-0.00086971i,-0.00079775-0.00065138i,-0.00065502+0.00014243i,-0.0004682+0.00019069i,-0.00028813+0.00010194i,-0.00050067-0.00036026i,-0.00067396-0.00033903i,-2.3039e-05+0.00063497i,0.00026293+0.00084898i,-0.00010316-0.00020101i,-0.00021611-0.0010443i,-0.00070649-0.00068146i
-8.5492e-05+0.0002764i,0.001263+0.00053125i,0.0017342+0.00041048i,0.0023494-0.00055038i,0.0028604-0.00136i,0.0025542-0.0011752i,0.0014773-0.00073442i,0.00042713+9.0936e-05i,0.00028069+0.00085681i,0.00087297+0.00076938i,0.00034623+0.00042747i,2.7687e-05+2.744e-05i,0.00071676-0.00020515i,0.00039872-0.00062505i,-1.6371e-05-0.00042103i,-0.00057359+0.00021884i,-0.00072999-0.00032763i,-0.00015463-0.00093896i,-7.5421e-05-0.00047292i,-0.00040108-0.00080611i,-5.4518e-06-0.00039523i,0.00041439-0.00041388i,0.00033788-0.0015777i
0.00024119+0.000318i,0.00048134-0.00011671i,0.00069924-0.00063718i,0.00076341-0.0011092i,0.00080953-0.0014405i,0.00093386-0.0013941i,0.0012525-0.00014233i,0.0020093+0.00060202i,0.0025361-0.00027905i,0.0020211-0.00078967i,0.00067266-0.00019611i,-1.9101e-05+0.00081648i,-0.00019097+0.00085022i,-0.00024118-0.00022905i,-0.00051123-0.0013741i,-0.00012235-0.0017872i,0.00076906-0.0013882i,0.00098194-0.00050561i,0.00021068-0.00066182i,0.00024246-0.0012434i,0.00066787-0.0011582i,-0.00020002-0.00056151i,-0.00042781-0.00026229i
-0.00092644-0.00096029i,6.087e-05-0.00067687i,0.0012651-0.0010994i,0.0017226-0.0023462i,0.0020614-0.0031827i,0.0017817-0.0022563i,0.0012123-0.00094087i,0.0011664-0.0010884i,0.00078306-0.0013725i,-0.00012449-0.00059607i,-0.00035536+0.00014585i,0.00093411+0.0005374i,0.0015214+0.0011295i,0.00063721+0.00088665i,5.1108e-05+0.00012297i,-7.4344e-05-8.8434e-05i,0.00013067-0.00027848i,0.0011507-0.00048045i,0.0014083+5.1065e-05i,0.00049843+0.00071111i,0.00010771-4.5655e-06i,9.2419e-05-0.00075734i,-1.5307e-05-6.8211e-05i
0.00017232+0.0014252i,0.0013661+0.00070709i,0.0019131+0.00035423i,0.0022734-0.00033414i,0.0019407-0.0015401i,0.0015313-0.0011576i,0.0018651-8.9618e-05i,0.00084593-0.00078622i,-0.00060122-0.001329i,-0.00091419-0.00032479i,-0.00063855-1.5089e-05i,-0.00070602-0.0012442i,-0.0011667-0.001686i,-0.00054659-0.00075866i,0.00085626+0.00012863i,0.00116+0.00083067i,0.0001803+0.001317i,-0.00024537+0.0011075i,0.00025695+0.00079462i,0.00045943+0.0002073i,0.00098998-0.00072204i,0.00086343-0.0013252i,0.00013012-0.0011159i
