0.0002055+0.001719i,-0.0002358+0.00091742i,-0.00056255-0.00046831i,-0.00080669-0.0015534i,-0.0020972-0.00098123i,-0.0031101+0.00053289i,-0.0028707+0.00081681i,-0.00083698+0.00087149i,0.00086503+0.0011648i,0.0012165+0.00051351i,0.00049835-0.00015458i,-0.00052932-0.0004996i,-0.00042907-0.00061352i,-4.0504e-05-0.0010863i,3.4054e-05-0.0014193i,-0.00017576-0.00077351i,-0.00038011+0.00012089i,-0.00026364-0.00016837i,0.00031609-0.00054312i,0.00019078-4.9466e-05i,5.7059e-05+0.00035653i,-2.0837e-05-0.00013746i,-0.0005715-0.0002351i
0.001329+0.00032907i,0.0019723-0.0001285i,0.002331-0.00050936i,0.0021428-0.0013368i,0.0011202-0.0016977i,-0.00054748-0.0016074i,-0.00098031+0.00024892i,-0.0010068+0.0024368i,-0.00039188+0.0036874i,0.00024402+0.0034462i,0.00077141+0.00072285i,0.001674-0.0012292i,0.0015355-0.0010284i,0.00054937-0.00099291i,0.0010418-0.0017022i,0.0013367-0.0014633i,-1.083e-05-0.00038355i,-0.0010503+0.00043868i,-0.00038706+0.00098901i,0.00026104+0.0013736i,7.7132e-05+0.0010598i,-0.00050232+0.0004394i,-0.00069707+0.00012508i
0.0018429+0.0010045i,0.002661+0.00064434i,0.0028443+0.00039857i,0.0015568+6.4546e-05i,-0.00076442-0.0011263i,-0.0021826-0.0024127i,-0.0011221-0.0014747i,0.00072725+0.00033337i,0.0029019+0.0014308i,0.0041937+0.0011435i,0.0035192-9.7839e-05i,0.0017858-0.0012896i,-0.00048949-0.002286i,-0.0012665-0.0024491i,-0.00057132-0.0019026i,-0.00077473-0.0016378i,-0.0014349-0.0005752i,-0.00088888+0.00053795i,-0.00036623+0.0013624i,0.00012647+0.0013991i,0.0005115+0.001106i,0.00090681+0.0012564i,0.001246+0.00078767i
-0.00021441-0.00064938i,0.00018251-0.00062721i,0.0015573+0.00023635i,0.0011412+4.7317e-06i,3.2136e-05-0.00024929i,-2.9756e-06+5.3394e-05i,0.00086125-0.00033706i,0.0023133-0.0016883i,0.0030979-0.0033744i,0.0027836-0.0035795i,0.00072362-0.0018678i,-0.0024123-0.00097648i,-0.0034107-0.0009222i,-0.0024039-0.00071287i,-0.0016224+6.677e-06i,-0.0021323+0.0012442i,-0.0023638+0.0014943i,-0.0016393+0.0011225i,-0.0004064+0.00092649i,0.00071929+0.0002396i,0.0014022-0.00019869i,0.001296-2.8911e-05i,0.00037025+0.0006777i
0.00026932+0.0012249i,0.00048225+0.0014953i,-0.0004684+0.00082684i,0.00024611-0.00021682i,3.5953e-05-0.00048883i,-0.00096554-0.0009912i,-0.00079395-0.0014296i,-0.00067973-0.0025567i,-0.0014993-0.0036691i,-0.0021486-0.0026099i,-0.0020601-0.0010615i,-0.0019347-0.00031773i,-0.0010532+0.00049953i,-0.00076566+0.0014212i,-0.00054142+0.0019937i,0.00014139+0.0019931i,0.0010739+0.0017934i,0.0012643+0.00083737i,8.2608e-05+0.00079154i,-0.00098672+0.00019333i,-0.00070693-0.00096658i,-2.1287e-05-0.0011693i,-0.0001116-0.001052i
0.0022142+0.0034073i,0.0027298+0.0037856i,0.0034089+0.0035103i,0.003727+0.0011014i,0.0019627-0.0020773i,-0.00023081-0.0031902i,-0.0011101-0.0019184i,-0.0031386-0.00078562i,-0.0050398-0.00036257i,-0.0045928+0.00017756i,-0.0030937+0.0017031i,-0.00029129+0.0020927i,0.0017495+0.0014841i,0.0019886+0.0012857i,0.0017895+0.00082653i,0.0014323+0.00069245i,0.0004038+0.00020869i,-0.00041355-0.00054752i,-0.00068556-0.00044003i,-0.0005738-0.00026365i,-0.00016015-0.00030915i,0.00024558-0.00023285i,-3.9925e-05-0.00033097i
0.00024276-4.8586e-05i,0.00078593+0.001342i,0.00098047+0.0025836i,0.0014228+0.0012114i,0.00041383-0.0013521i,-0.0016886-0.0023898i,-0.0023762-0.0015056i,-0.0019791+0.00068332i,-0.002032+0.0031839i,-0.0015974+0.004218i,-0.00011493+0.0028852i,0.00041312+0.0011754i,0.0007608+0.00058884i,0.0017313-0.00015318i,0.0019964-0.00068339i,0.0011948-0.00080192i,-0.00017383-0.00081957i,-0.00091246-0.00027369i,-0.00044668+0.00051542i,-0.00028391+0.00082524i,-0.00027986+0.0011444i,-0.00021828+0.0017352i,-0.00040099+0.0014399i
-0.0015951-0.0015309i,-0.0012776-0.0013305i,-0.00087557-0.00096356i,-9.4607e-05-0.0011763i,-0.00052048-0.00065869i,-0.0019463+0.00075946i,-0.00088277+0.0014484i,0.0015432+0.0019563i,0.0026297+0.0022608i,0.0034083+0.001272i,0.0033218-0.00012787i,0.0014687-0.00054164i,-0.0001411-0.0010052i,-0.00056405-0.0014055i,-0.00052282-0.0015328i,-0.00057071-0.0012219i,-0.00079964-0.0001761i,-0.00036117+0.001054i,0.00051714+0.001312i,0.00068249+0.0010762i,0.00077477+0.00086797i,0.00088486+0.00020442i,0.0010238-0.00018955i
-0.00091199+0.0025459i,0.00034053+0.0018465i,0.0014196+0.0015602i,0.00094069+0.00026278i,0.00073825-0.0013498i,0.00086816-0.0015018i,0.001337-0.00098249i,0.0021534-0.0015093i,0.0026994-0.0027069i,0.0026177-0.0033568i,0.0017039-0.0032042i,0.00046234-0.0016595i,-0.00088437-0.00082535i,-0.0016733-0.00083548i,-0.002219+0.00012826i,-0.0023599+0.00044395i,-0.0012392+0.00072629i,-0.00036127+0.0010438i,0.00010255+0.00035923i,0.0002963+0.00027185i,0.00051502+0.00017815i,0.00087342-0.00032031i,0.00096047-0.00069131i
0.0016093-0.00076041i,0.0012693-0.0013479i,0.0012913-0.0019202i,0.0014923-0.0014387i,0.00044482-0.0016523i,-0.00079793-0.0017034i,-0.0005159-0.0022185i,-0.00058159-0.0032785i,-0.0015879-0.0037442i,-0.0027423-0.0031845i,-0.0030853-0.0012123i,-0.0019722+0.00062912i,-0.0014053+0.001022i,-0.0012064+0.00127i,-0.0010887+0.0016501i,-0.0012979+0.0016935i,-0.0011166+0.0017633i,-0.0013044+0.0013039i,-0.00071432+0.0010137i,7.0525e-06+0.0009935i,-0.00097996+5.782e-05i,-0.0022553-0.0018362i,-0.0013313-0.0020343i
3.2138e-06+0.0011631i,-7.7994e-05+0.00086868i,0.00047432+0.00071883i,0.00060469+8.2472e-05i,-2.1827e-05-0.0010345i,-0.00048455-0.001236i,-0.0012111-0.0011722i,-0.0028787-0.002243i,-0.0045847-0.0015758i,-0.0053268+0.00069272i,-0.0040952+0.0017147i,-0.001555+0.0014674i,0.0010374+0.0017152i,0.0015743+0.0013051i,9.9472e-05+0.00087584i,-0.00029947+0.00070254i,0.00033258+0.00022144i,0.00023476+0.0003438i,-0.00095797+0.00042773i,-0.001225-0.0004923i,-0.00060859-0.00082678i,-0.00037434-0.00059977i,-0.00046985-0.00040422i
0.00031853+0.00072061i,0.00082301+0.00086997i,0.0024453+0.00073243i,0.0027045+0.0002582i,0.000944-0.00076096i,-0.001359-0.00098229i,-0.0016096-0.00018554i,-0.0013824+0.00068336i,-0.0012032+0.003231i,-0.00029102+0.0044372i,0.0013621+0.0026588i,0.0017936+0.00057995i,0.0020615-0.00052521i,0.0028001-0.0012714i,0.0021373-0.00046366i,0.00080051+0.00054658i,-0.00051448+0.00049538i,-0.0013436+0.00063153i,-0.00084106+0.00071462i,-0.00010481-3.9826e-05i,6.6454e-05-0.00064738i,9.8872e-05-0.0005984i,-0.00017399+1.6972e-05i
