-0.0041765+0.0011454i,-0.0034488+7.5968e-05i,-0.0043651-0.00074546i,-0.004431-0.0012774i,-0.0039262+0.00021289i,-0.0022734+0.0021431i,-0.00042272+0.0028635i,0.0010149+0.0029874i,0.0013108+0.001586i,0.0015348+0.00020599i,0.0015341+0.00018549i,0.00089135-0.00015668i,0.00023568+5.2697e-05i,-0.00069553+0.00012005i,-0.00055392+8.8428e-05i,0.00026805+0.00033952i,0.00043068+0.00015864i,-1.4056e-05-0.00012952i,-0.00049498-0.00010964i,-0.00061033-9.1952e-05i,-0.00092615-0.00022481i,-0.00052751-0.00013425i,0.00038003+1.7167e-05i
0.00031358+0.001245i,0.00015368+0.00079594i,-6.5799e-05+0.0012772i,-0.0007163+0.002573i,-0.001499+0.0022689i,-0.00088241+0.0011229i,-3.4609e-05+0.00050555i,0.00051184+0.00034114i,0.00024552+0.00050722i,-0.00022587+0.00086181i,0.00052113+0.00054987i,2.7293e-05+0.00034983i,-0.0011488+0.00082936i,-0.00019954+0.0010409i,0.00072696+0.00083631i,0.00048408+0.00055816i,0.0001951+0.00027324i,-0.00018646+0.00035501i,-0.0014625+0.00025533i,-0.0015895+0.00023626i,-0.00041584+0.00028019i,0.00049864+0.00033802i,0.00042376+0.00016032i
-0.00043928-0.00033892i,-0.001781+5.1509e-05i,-0.0017203+0.0017503i,-0.00058819+0.0026292i,-3.6546e-05+0.0023783i,-0.0004582+0.0021365i,-0.00026824+0.0010563i,0.0011135-0.00010231i,0.0015521+0.00033331i,0.00073556+0.00071713i,1.579e-05+0.00045906i,-9.4381e-05+0.00046289i,8.8213e-05+0.00040439i,-9.5454e-05-0.00053413i,-0.00015885-0.00047125i,0.00026001+0.00017729i,3.5031e-05+0.00037412i,-0.00014657+0.00030055i,-3.152e-05-0.00014896i,0.00032797+0.00013574i,0.00031233+0.00061934i,-1.5052e-05+0.00061014i,-0.00013899+0.00047157i
0.00092911-0.0013558i,0.00097924-0.0013883i,-0.00030025-0.0027207i,-0.0015423-0.0023814i,-0.0016807-0.00035846i,-0.0012996+0.00065517i,0.00079323+0.00060477i,0.0018372+6.0585e-05i,0.001169-0.00046169i,0.00094044-0.0015445i,0.00057706-0.0013975i,0.00029814+3.478e-05i,4.0398e-05+0.00070341i,-0.00082251+0.00060201i,-0.00091141+0.00035008i,3.0807e-05-0.00024801i,0.00058896-0.00037954i,0.00020943+6.3616e-05i,0.00013844+5.8396e-05i,0.00050461-0.0007511i,0.001103-0.00077482i,0.00052598+2.9644e-06i,-0.00056577+0.00059144i
-0.0021263+0.00019045i,-0.0012705-0.00077188i,-0.0016258+0.00038724i,-0.0015154+0.0014802i,-0.0010248+0.00099448i,-0.00012897+0.00091053i,0.00063211+0.0015082i,0.00097214+0.0014731i,0.0011773+0.0011158i,0.0016195+0.00085246i,0.0007326+0.00016799i,0.00021376-0.00040855i,0.00076571+8.6638e-05i,0.00028281+0.0010287i,-0.00022686+0.0013504i,-0.00057751+0.00055505i,-0.0001736+0.00014165i,0.00034057+0.00038769i,-0.00033965+0.0004289i,-0.00059236+0.00097433i,-0.00037642+3.9044e-06i,-8.2248e-05-0.0011344i,0.000117-0.00048324i
0.00025371-0.0002521i,0.00065173-0.00047211i,0.0012902-0.00056793i,0.00026259-0.00088646i,-0.00062197-0.00022465i,4.4775e-05+0.00059236i,0.00088748+0.00044604i,0.00048457-0.00020661i,0.00027775+0.00039271i,0.00063003+0.00084606i,0.00053693+0.00084056i,6.6698e-05+0.00069199i,0.00014152+0.00035157i,0.00070176+0.00044629i,0.00090804-8.4791e-05i,0.00016326-0.00039237i,6.1155e-05+0.00036789i,5.773e-05+0.0010869i,6.9603e-05+0.00045057i,-0.00023989-8.6981e-05i,-0.0004369-0.00013865i,6.6042e-05-8.6697e-05i,0.00074844+0.00025978i
-0.00093327-0.00027456i,-0.0013667-0.00091904i,-0.0026742-0.00043288i,-0.0030031-0.00015925i,-0.0020514+4.0287e-05i,-0.001135+0.00063401i,-0.00086539+0.00063909i,-0.00056633-6.4308e-05i,0.00017771-0.00050608i,0.0005034-0.00011016i,0.00034811+0.0001625i,7.699e-05-0.00025837i,-0.00066677+0.00064315i,-0.0011833+0.0013472i,-0.00089256+0.00086668i,7.2733e-05+0.00038943i,0.0008401-9.7123e-05i,8.8338e-05-0.00045095i,-0.00088696-0.00065912i,-0.00074746-0.00049011i,-0.0004602-0.00025579i,0.00016033-0.0001122i,0.0006549+0.0003104i
0.00094309-0.0017214i,0.00074767-0.0025405i,0.00021222-0.0027038i,-0.0016844-0.0019018i,-0.0017323+0.00036394i,-0.00071424+0.0017267i,-0.00011114+0.0015687i,5.5014e-05+0.0010538i,0.00023733+0.00076488i,0.00028663+8.2143e-05i,0.00014489-0.00011857i,-0.00073682+0.00023209i,-0.00093987+0.00052814i,-0.00015714+0.00013421i,-0.00015511-0.00032965i,-0.00035402-0.00032621i,4.5936e-05-0.00054062i,0.00016099-0.0005193i,0.00043033-0.00034927i,0.00056221-0.00058679i,-4.0098e-07-0.00029576i,-0.00019537+0.00069146i,-0.0008792+0.00072941i
0.0028111-0.0012668i,0.00232-0.002143i,0.00077005-0.0026421i,-0.0015859-0.0024146i,-0.0026602-0.0015088i,-0.0014665-0.00012736i,0.0001572+6.6665e-05i,0.0006887-0.00047426i,0.00048813-0.00040741i,-1.9059e-05+0.00032451i,-0.00061494+0.00017687i,-0.00060169-0.00030842i,0.00072576-0.00070811i,0.00077907-0.00023296i,-0.00061444+0.00011277i,-0.0005638-0.00021028i,0.00026602-0.00030907i,-0.00033195-0.00013898i,-0.00057688-2.2384e-05i,0.00013609-0.00038545i,0.0006157-0.00065404i,0.00034183-0.00017849i,-0.00064415+0.00074671i
-0.00072535+0.0027925i,-5.894e-05+0.0031689i,0.00035042+0.0036613i,-0.00053872+0.0029123i,-0.0009663+0.0022317i,-2.5775e-05+0.002205i,0.00080065+0.0016607i,0.001066+0.00054465i,0.0013893-0.00019353i,0.00099423-0.0004922i,0.0011501-0.00085549i,0.001394-0.00076091i,0.00082457-0.0001106i,0.00023457+0.00064739i,0.00015078+0.00090959i,0.00098034+0.00012574i,0.00072952-5.9274e-05i,0.00043098-0.00017876i,0.0012128-0.00072406i,0.001233-0.00023568i,0.00053956+0.0008071i,0.00041393+0.00038394i,0.00065863-0.00097076i
-0.00086204-0.0022542i,-0.0010339-0.0021444i,-0.0017192-0.0031968i,-0.0025586-0.0031982i,-0.002315-0.00081505i,-0.0014257+0.00020706i,-0.00073701-5.3905e-06i,3.5167e-05+0.00036559i,0.0005168+0.00029273i,0.00028373+0.00016126i,0.00045959-0.00021522i,0.0013103-0.00081854i,0.00077585-0.00022455i,-0.00022712-9.0673e-05i,-0.00074035+0.00031426i,-0.00056501+0.001336i,0.00029407+0.0013317i,0.00076011+0.00045329i,0.000918-0.0010975i,0.0003913-0.0015876i,-0.00022355-0.00073524i,-8.3266e-06+0.00046977i,0.00059471+0.00046482i
