-0.0013665+0.00042654i,-0.0018377+0.00042172i,-0.0011596+0.001098i,-0.00061264+0.0010419i,-0.00061503-0.00010003i,-0.00013742-0.0005603i,-0.0002348-0.00053003i,-0.00037513-5.0179e-05i,0.0004348+0.00080234i,0.0013055+0.0010487i,0.00086625+0.00045144i,4.42e-05-0.0002558i,-0.00018106-0.00058013i,0.00021798-0.00023457i,0.00060775-0.00011386i,-2.7708e-05-0.00022996i,-0.00029014-0.00062346i,-0.0001322-0.0011769i,-3.1271e-05-0.001134i,0.00047868-0.00046794i,0.00096933+0.00029005i,0.00085909+0.00012487i,0.00019344-0.00037423i
-0.00074355+0.0015195i,-0.00018484+0.00095573i,0.00016322+0.0012107i,5.3146e-05+0.0011928i,-2.2778e-06+0.00093381i,1.7067e-05+0.00043104i,-6.2591e-05-0.00017434i,0.00014356+3.707e-06i,0.00065079+0.000632i,0.00099266-0.00017206i,0.0009793-0.0012037i,-0.00081408-0.0014246i,-0.0014523-0.00087811i,-0.00055427-0.00073455i,0.00031575-0.00029551i,-7.1627e-05+0.00056318i,-0.00053895+0.00057257i,-0.00080913+0.00019714i,-0.0012126-0.0009108i,-0.00043709-0.0010244i,0.00033628-0.00049448i,0.00067982-0.00074374i,0.00075102-0.00080404i
0.00063962+0.00099388i,0.0017883+0.00094988i,0.00072736+0.0004277i,-0.00025333+0.00010464i,-0.00081924+0.00016385i,-0.0010914+0.00052083i,-0.00071099+0.00052732i,-7.9187e-05+0.00071872i,0.00024126+0.0010647i,0.00015005+0.00051166i,0.00019194-0.00058714i,0.00029906-0.0010504i,0.00019863-0.00071539i,4.8037e-05-0.00073755i,0.00011863-0.0008845i,0.00040167+0.00018942i,0.00011928+0.00049322i,-0.00019794-0.0004607i,0.00023553-0.001085i,0.00016366-0.00069138i,0.0001005-0.00081887i,0.00068713-0.00033835i,0.00087335+0.00032077i
-0.00087614-0.00023366i,-0.0008487-0.00020865i,-0.00067263-0.00087619i,-0.00061432-0.0010764i,7.4086e-05-0.0005054i,0.00029975+0.00026426i,9.9342e-05+0.00033506i,-0.00021488+9.6107e-05i,-0.00018748+0.00015978i,0.00049013-0.00063665i,0.00029305-0.0010035i,-0.00034816-0.00045773i,-7.5441e-05+0.00014297i,0.0010583+0.00081716i,0.001083+0.00033421i,7.8612e-06-0.00079467i,-0.00027745-0.00087327i,5.3632e-05+7.498e-05i,0.00023197+0.00049145i,0.00049131+0.00016886i,0.00031289+0.00029001i,-0.00015326+0.00079054i,-0.00016507+2.8547e-05i
0.00043945-0.00027674i,-0.0011009-3.2756e-05i,-0.0012025+0.00077877i,-0.00088883+0.00086961i,-0.0012909+0.00012057i,-0.00068576-0.00026045i,-3.6358e-05+0.00044049i,-0.00015697+0.00049871i,0.00021139-0.00010649i,0.000449-3.2177e-06i,-2.0649e-05+8.4414e-06i,-0.00049819-0.00051433i,-0.00076666-0.00060658i,-0.00046889-0.00076293i,-0.00030718-0.0008541i,-0.00021231-0.00083602i,1.6932e-05-0.00088247i,-0.00026054-0.00024869i,-0.00079261-0.00062313i,-0.00035282-0.0003266i,-0.00017272+0.00053828i,3.0366e-05+9.8999e-05i,6.5825e-05+0.00022829i
3.8974e-09-0.0011308i,-0.00038793-0.00088294i,-0.00088347-0.00010155i,-0.0010556+0.00048375i,-0.00083177+0.00095664i,-0.00065883+0.00069335i,-0.00066244+6.1073e-05i,-0.00057597-0.00025642i,0.00024899-0.00055333i,0.00088327-5.4071e-05i,0.00012203-0.00010802i,-0.00043143-0.00049674i,-0.00049287-0.00083063i,-0.00040664-0.00064273i,0.00040718+0.00031339i,0.00073168+0.00034315i,0.0011426-0.00029007i,0.001331+0.00019599i,0.0011189+0.00038123i,0.00086534-9.87e-05i,0.0010995-0.00053676i,0.00095307-0.00057063i,0.00029624-0.00066655i
-0.00044667-0.0013205i,-0.0010993-0.0014071i,-0.0010204-0.00020814i,-0.0007866+0.00036852i,-0.001572+6.8249e-05i,-0.0014971-0.00029244i,-0.00065648-0.00068705i,-0.00041539-0.0003851i,-0.00034395+0.00011723i,-0.00029598+9.7496e-05i,-0.00035976-6.314e-05i,5.9496e-05+1.9238e-05i,0.00038585-8.9036e-05i,8.8871e-05+0.00019063i,0.00053811-2.1626e-05i,0.00092846-0.0012333i,0.00097122-0.0011425i,0.00057165-0.0003559i,4.0608e-06-0.00033149i,-0.00011493-5.911e-05i,-0.00041906+0.00012842i,-0.00047081-0.00018246i,0.00069374+0.00016889i
0.0010671-0.0007722i,-0.00052417-0.001884i,-0.0025161-0.0038172i,-0.003671-0.0033748i,-0.00243-0.0020569i,-0.0010505-0.0006829i,-0.0013896+0.00032096i,-0.0013456+0.00067951i,-0.00029327+7.1692e-05i,0.00048211-0.00019407i,0.00061103-0.00078258i,0.00025743-0.0009332i,0.00044763-0.00042855i,0.00076504-6.1469e-05i,0.00035724-0.00012329i,-0.00028478-0.0008483i,1.8121e-05-0.00065786i,9.7943e-05+2.8762e-05i,9.3468e-05-0.0001502i,8.5655e-05-0.00050649i,-0.00044004-5.4279e-05i,-0.00068669+0.00034825i,-0.0002878+0.00031166i
0.000698+0.0001178i,0.0010108+0.00048432i,0.0014594+0.00077276i,-7.1285e-05+0.00036308i,-0.001847-0.00084279i,-0.0015954-0.0008759i,-0.00088904-0.00018808i,-0.00095368+0.00033679i,-0.00065129+0.00075252i,0.00061475+5.5717e-05i,0.00094345-0.00046187i,0.00069149-0.00072463i,-0.00011605-0.00050378i,-7.2636e-05-5.5688e-05i,0.0016981-0.00024069i,0.0020268-5.0848e-05i,0.00060987-7.3777e-05i,-0.00011127-0.00043188i,2.7365e-05-0.00044298i,0.00023337-0.00068034i,-7.3514e-06-0.00091188i,-3.9514e-05-0.00061436i,7.7743e-06-0.00083694i
-0.0016258-0.00050252i,-0.0017002+0.00025613i,-0.0015052+0.00018658i,-0.00088438-0.00020932i,-0.00089037-0.00020924i,-0.00077786+5.1399e-05i,-0.00095975-2.3954e-05i,-0.0012575+0.00071545i,-0.00045737+0.00033023i,0.00020119-0.00090364i,0.00011096-0.0010464i,0.00022028-0.0008069i,8.1506e-05-0.00057641i,0.00058222-0.00039018i,0.00073288-0.0002872i,0.00017625+4.3963e-05i,9.0468e-05-4.8101e-05i,0.00025005-0.00030749i,-5.2744e-06-0.00050544i,8.3106e-06-0.0010362i,0.00021027-0.00065272i,0.00017113-0.00034683i,0.00020993+9.023e-05i
