-0.0024611+0.0023784i,-0.0014191+0.0039033i,0.0033758+0.0041907i,0.0049426+0.0027083i,0.002601+0.002059i,-0.00012976+2.0287e-05i,-0.00172-0.00084593i,-3.8114e-05+0.00067801i,0.0020412+0.00080451i,0.0018268-0.00066663i,0.00044852-0.0017722i,-0.0012487-0.0018466i,-0.0025436-0.0012472i,-0.0025563-0.00068259i,-0.000987-0.00028743i,-0.00018276+7.211e-05i,-0.00050418+0.0011078i,-0.0012114+0.0017001i,-0.00078348+0.0020737i,0.00030393+0.0025008i,0.00047326+0.0019805i,-0.00010201+0.0019184i,-0.00060244+0.0021122i
0.0034241+0.0053968i,0.0066372+0.0069025i,0.018662+0.011541i,0.022692+0.0075164i,0.020827-0.00021084i,0.012232-0.0081414i,0.0015814-0.0066956i,-0.0011816-0.0013547i,0.0016058+0.00037195i,0.0045101-0.00124i,0.0038273-0.0028708i,0.00038094-0.0027339i,-0.0021382-0.0026463i,-0.0048889-0.0015179i,-0.0055482+0.0005276i,-0.0031062+0.00019899i,-0.0010515-0.0019143i,-0.00012545-0.0035385i,-0.00032347-0.0032632i,-0.001203-0.0019297i,-0.001055-0.00052655i,0.0001341+0.0010076i,0.0012938+0.0018199i
0.00049684+0.0016724i,0.00040092+0.0018069i,-0.0036965+0.00060741i,-0.0047812+7.0668e-06i,-0.004277-0.0002502i,-0.0032805+0.0002971i,-0.00071595-0.00072625i,-7.8812e-05-0.0024557i,-0.00068554-0.0034809i,-0.0020794-0.0029734i,-0.0038569-0.0013607i,-0.0028735+0.00066179i,-0.0014882+0.0010078i,-0.00029765+0.00032644i,0.00096977-8.707e-05i,0.0012931+4.4352e-05i,0.0018584+0.0011332i,0.0022431+0.0018891i,0.0026062+0.0014162i,0.0024854+0.00056342i,0.0011804-8.1235e-05i,0.00032478-0.00024715i,-0.00046874-2.7509e-05i
-0.00099506-0.0021805i,-0.0020107-0.0028125i,-0.0024892-0.0030891i,-0.0010799-0.0010935i,-0.00063177+0.00037225i,-8.5335e-05+0.00096344i,0.00096062-0.00097716i,0.0016926-0.003395i,0.0012374-0.004925i,0.00082043-0.0049083i,0.0001956-0.0035699i,-0.00059539-0.0029928i,-0.0011386-0.0027024i,-0.0019339-0.0021953i,-0.0017819-0.0023655i,-0.0016424-0.002828i,-0.0019682-0.0028139i,-0.001747-0.0014996i,-0.0017553+0.00071703i,-0.0017469+0.001929i,-0.0014935+0.0015752i,-0.00096242+0.00091326i,-0.00061782+0.00051125i
0.0021588-0.0025868i,0.0014843-0.0023804i,-0.00080758-0.0033819i,-0.002471-0.0022029i,-0.0019124+0.0011444i,-0.00048464+0.0032178i,0.0013648+0.0015229i,0.0028316-0.0019362i,0.0024158-0.0036694i,0.001132-0.0026534i,0.0001746-0.0005936i,0.0014043+0.00018906i,0.0033839-0.00099529i,0.0041792-0.0021324i,0.0031658-0.0021267i,0.0015938-0.0018198i,0.0010299-0.0018926i,0.0010384-0.0027833i,0.00091457-0.0026714i,0.00088073-0.0024356i,0.00040989-0.002399i,-0.00053575-0.0016123i,-0.0011137-0.00054529i
7.9174e-05-9.3216e-05i,-0.00030551+0.00038828i,-0.0014285+6.9212e-05i,-0.0011645-0.00046063i,-5.022e-05-0.00011522i,0.00038971-0.00048436i,0.0021118-0.00090726i,0.0042925-0.0013552i,0.0038609-0.002754i,0.001673-0.0029735i,-0.00030325-0.0015479i,-0.0016583+0.000241i,-0.0023368+0.0015712i,-0.0017745+0.0014701i,-0.00078417+0.00026778i,9.9477e-05-0.0010401i,0.00018095-0.00078238i,0.00033275+0.00073739i,0.001141+0.0010033i,0.001308+0.0015041i,-8.0024e-05+0.0014519i,-0.00054962+0.0010954i,-0.00018621+0.0010619i
0.00075324-1.7704e-05i,0.0012071-0.00033781i,0.0019389-0.00042285i,0.0020654-0.00010834i,0.00090477+0.00023726i,5.0931e-05+6.5234e-05i,0.00084272-0.00083175i,0.0023775-0.00081637i,0.0029159-0.000232i,0.002298+1.2667e-05i,0.0018725-0.00023399i,0.00032197-0.0010122i,-0.0016326-0.0015473i,-0.0015153-0.0015896i,-0.00060808-0.0012561i,-0.00091342-0.00066306i,-0.0018669-0.00025751i,-0.0023723-0.00048745i,-0.0024919-0.00062211i,-0.0021918-0.00036828i,-0.0015455-0.00050994i,-0.00072506-0.00067562i,-0.00037105-0.0010147i
-0.00042757-0.0022655i,-0.0019924-0.0026698i,-0.0043587-0.0024559i,-0.0043526-0.0011164i,-0.0028887+0.00035834i,-0.0015835+0.0015623i,-0.00018016+0.001295i,0.00047327+0.00016315i,0.00039372-0.0011171i,-0.0003726-0.00024125i,-0.0011336+0.0017886i,-0.00054461+0.0022861i,0.00041723+0.001427i,0.0013023+0.00021688i,0.0019495-0.0010001i,0.00084169-0.0022555i,0.00088558-0.0030612i,0.0023642-0.0028214i,0.0013613-0.0017677i,0.00018736-0.0013358i,0.00016285-0.00057384i,-0.00039802+0.00035318i,-0.0006224+0.0006053i
-3.0755e-05+0.0023084i,0.0010688+0.0013307i,0.00035392+0.0010747i,0.00042767+0.0018564i,0.0010283+0.0017294i,0.00095782+0.00076795i,0.00071099-8.7111e-05i,0.00074895-0.00061921i,0.00060263-0.0011227i,-0.00070983-0.0018591i,-0.0016576-0.0016372i,-0.0017317-0.0011566i,-0.0023869-0.00070431i,-0.0024771-0.00015084i,-0.0018557+0.00015492i,-0.0011602+0.00036451i,-0.00066208+0.00053698i,-0.00014933+0.00058416i,0.0001844+0.00064209i,2.3426e-05+9.8567e-05i,-0.00079358-0.00032404i,-0.0010614-0.00036154i,-0.00054386-0.0010861i
-0.00038577-0.00099666i,-0.00012801-0.00071645i,0.0013321-0.00088344i,0.0021358-0.0010462i,0.00097181-0.0013117i,-0.00075086-0.0011713i,-0.00094544-0.00035894i,-0.00041932-0.00061984i,-0.00037827-0.0021399i,-0.00032837-0.0031397i,-4.1847e-05-0.0026442i,-8.4309e-05-0.0023804i,-0.00016212-0.0031113i,-0.00036851-0.0034643i,-4.4791e-07-0.0029674i,0.00030366-0.0021943i,-0.00026848-0.0016458i,-0.00086585-0.00046659i,-0.0019228-0.00026164i,-0.0020419-0.00042747i,-0.0016891-0.00043361i,-0.0015124-0.00044128i,-0.00019701+0.00010087i
