-0.0029923+0.00069891i,-0.0036397+0.00059708i,-0.0033936+0.0024311i,-0.00082384+0.0029646i,0.0010123+0.001569i,0.0010203+0.0013602i,-8.1233e-05+0.0029586i,-2.2577e-05+0.0035816i,0.0007406+0.0023995i,0.0009828+0.0012434i,0.00056117+0.00026152i,0.00054011-0.00091957i,0.00052373-0.0015057i,6.2299e-05-0.0013204i,-5.3802e-05-0.00019755i,9.021e-05+0.00069393i,0.00033939+0.00102i,-0.00022514+2.9134e-05i,-0.00036097-0.00052551i,0.00015527+0.00031698i,0.00012054-0.00056232i,0.00028708-0.00073206i,0.00026058+1.117e-06i
-0.00055033-0.00019506i,-0.00059718-0.00080808i,0.00020432-0.00055586i,-2.5238e-05+0.00048374i,-3.0414e-05+0.00068741i,0.0013277+0.0004474i,0.0015273+0.00062282i,0.0010026+0.00042528i,0.00046397+0.00017198i,0.00049283-6.9291e-05i,0.00040248-0.0003654i,-0.00051193-0.00066328i,-0.00075607-0.001069i,0.00015108-0.00072109i,0.0005124-5.6488e-05i,0.00021019-0.00068528i,0.00020502-0.0010252i,0.00022444-0.00099684i,-5.8522e-06-0.00069141i,0.00024883+0.00047502i,0.001014+0.00052256i,0.00020776-0.00049725i,-0.0006974-0.00029283i
-0.0015392+0.0012631i,-0.00016486+0.0010425i,0.0010347+0.0011558i,0.0021701+0.000961i,0.002225+0.00071116i,0.0013506+0.00022674i,0.00076167+0.00032933i,0.0010823+0.00083166i,0.00082678+0.00015887i,0.0006842-0.00053454i,0.0011944-0.00083453i,0.0012105-0.00086396i,0.00019406-9.3744e-05i,-0.00047755+0.00012144i,-0.0011841-0.00017177i,-0.00072399-0.00022406i,0.0003713-0.00034893i,-3.5542e-05-0.0011331i,-0.00045322-0.00046343i,5.9189e-05+0.00074855i,-0.00014033+0.00098912i,-0.00043192+0.00086174i,0.00052296+7.9776e-05i
0.00083083+0.0015171i,0.0010327+0.0010422i,0.001795+0.00025093i,0.0021083-0.0014109i,0.0010613-0.0017986i,1.1239e-05-0.00037098i,0.00019238+0.00068638i,0.00052146+0.00052606i,-0.00039922+9.0835e-05i,-0.00045526+0.00044528i,0.00019663+0.00084821i,0.00025181+0.00081159i,0.00020712+0.00011184i,-0.00030691-0.00018488i,-0.00094494+7.7206e-05i,-0.00044469+0.00017702i,0.00022592-0.00061776i,8.6342e-05-0.0010941i,-0.00013649-0.0006492i,-0.00037955+0.00031082i,-0.00094484+0.00098368i,-0.00088855+0.00023264i,-5.5204e-05+0.00051139i
-0.0013214-5.9674e-05i,-0.0015772-0.00023879i,-0.00017358-0.0006867i,0.00065777-0.00068268i,0.00066512+0.00018474i,0.00085748+0.0010047i,0.00080404+0.0011071i,0.0012643+0.0012702i,0.0011809+0.0006188i,0.00081861+1.4908e-05i,0.0012306-0.0001445i,0.001692+0.00016561i,0.0012197+0.00019166i,0.00037786+1.1575e-05i,-0.00036791+0.00059191i,-0.0003368+0.0009476i,6.1526e-05+0.00067638i,0.00054758+0.00042734i,0.00045028+0.000178i,-6.9736e-05+0.00017896i,-0.00013588+0.00077769i,0.00030539+0.0008865i,0.00071156+0.00023725i
-0.00017705+0.0020481i,0.00050915+0.0030628i,0.00048519+0.0015439i,0.00081908+0.00010697i,0.0011633-0.00021436i,0.00014673-8.024e-05i,-0.00013676+0.00046256i,0.00010856+0.00044149i,7.6153e-06-0.0002719i,-0.00019806-0.0002213i,-0.00022876-0.00065474i,0.00029769-0.00099452i,0.00046873-0.00022467i,0.00062958-0.0001486i,0.00048519-0.0001511i,-0.00010649+0.0002507i,-0.00010049+0.0002958i,0.00047039-0.00017851i,0.0010245-0.00052607i,0.00019752-0.00040666i,-0.00034691-0.00041589i,-0.00031019-8.6317e-05i,0.00038097-0.00022168i
-0.00049403+0.00015884i,-0.00091177+0.00049403i,0.00010365+0.00028607i,0.00083574-0.0012175i,-4.7464e-05-0.0017289i,8.0655e-06-0.0012298i,0.00059276-0.00075549i,0.0007734-0.0004075i,0.00073574+0.00024511i,0.00071789+0.00048027i,0.00031985-0.00011779i,-0.00011862-0.00044724i,-0.00033389-0.0012385i,-0.00015341-0.00069776i,0.00042843+0.00025146i,0.00026068+0.00031067i,0.00012075+0.00012893i,0.00016022+0.0004395i,0.00013088+0.00064944i,0.00037428+0.00062773i,0.00017765+0.00038715i,-0.00021993+0.00027089i,-0.00016148+0.00046422i
2.4952e-05+8.3397e-05i,0.00063343+0.000503i,0.0013137-1.3602e-05i,0.0015042-0.00012134i,0.00077211-0.00096543i,0.00027741-0.00053398i,0.00042837+0.0012483i,0.001154+0.0012597i,0.0011748+1.8326e-05i,-0.00029254-0.00081704i,-0.0011914-0.00078614i,-0.00072237-0.0002248i,-0.00048787-3.6492e-05i,-0.00016616-0.00083978i,0.00031229+6.8655e-05i,-0.00060507+0.001166i,-0.00068367+0.00057266i,-8.5153e-05-0.00035103i,-6.0893e-05-0.00051078i,0.00027039-0.00069216i,0.00022306-0.00080007i,0.00068413-0.00062218i,0.00085367-0.00027977i
-0.0020223+0.0018713i,-0.001599+0.0021364i,-0.00061472+0.0025648i,0.00067316+0.0018519i,0.0011585+0.00080895i,0.000316-0.00031883i,-0.00032085-0.00064165i,0.00066321-0.00075412i,0.0012358-0.00049446i,0.0011349+0.00073144i,0.0010209+0.0013537i,0.00064311+0.00067831i,-1.1852e-05-0.0014465i,0.00018847-0.0023333i,0.00029962-0.0011139i,6.3329e-07+0.00029898i,-0.00049146+0.00056864i,-0.00071957-0.00033897i,-0.00018476-0.00090484i,-0.00031844-0.00027777i,-0.000622+2.6994e-05i,-0.00035435+0.0005897i,-0.00059397+0.00037378i
0.00083795-0.00079601i,0.0016859-0.00025598i,0.0010318+0.00011221i,-0.00060947+0.00026028i,-0.00087226+0.0011935i,0.0003634+0.0014779i,0.0015349+0.00094937i,0.0011528+0.0008773i,0.00045766+0.00042265i,0.00057211+0.00075366i,0.00074645+0.00076058i,0.00053122+0.00013487i,0.00048505-0.00024662i,0.00054507+0.00033265i,0.00050573+0.0012342i,0.00027278+0.0012233i,9.5679e-05+0.00054321i,0.0002507+0.00025924i,0.00040756+0.00034108i,0.00013656+0.00040311i,-0.00049796+0.00047512i,-0.00038255+0.00051497i,0.00097494+9.946e-05i
-0.00095637+0.0021447i,0.00016124+0.001137i,0.0022913+0.00051053i,0.0030519+0.00013769i,0.0024122-0.00078642i,0.0019055-0.00058817i,0.0007935+0.00034188i,0.00020692-0.00054712i,0.00048375-0.0011775i,0.0003036-0.00038807i,0.00097926-0.00011031i,0.0017707-0.00078747i,0.0015213-0.00058514i,0.00044315-0.00043666i,0.00012002-0.00069876i,0.00042129-0.00043649i,0.0005082-0.00053103i,3.1598e-05-0.00038638i,-0.00073804-0.00095975i,3.893e-05-0.00095394i,0.00095431-0.0003276i,0.0002277-0.00011797i,-0.00085939+7.2433e-05i
