-0.00015569-0.00059245i,0.0006392-0.0008944i,-0.00018518-0.0015032i,-0.00071907-0.00054525i,-0.0010741+0.00064026i,-0.0017932+0.001342i,-0.0017503+0.002026i,-0.0004697+0.001899i,0.0007344+0.0014045i,0.0010043+0.00076108i,0.00088324+0.00028641i,0.00012089+0.0001084i,-0.00033841-3.3869e-05i,0.00013997+0.00015538i,0.00054488+0.00079821i,0.00035825+0.0012797i,4.8137e-05+0.00086627i,0.000638+0.00064901i,0.0013369+0.00034371i,0.0010697+0.00023973i,0.0003101+0.00076136i,-0.00045104+0.00089634i,-0.00073342+0.00050567i
-0.0020769-0.0009286i,-0.0020057-0.00055228i,-0.0011789-0.00032311i,0.00029076-0.00027974i,0.00045828-0.0001353i,-0.00015131+0.00027551i,-0.0002518+5.5458e-05i,0.00023522-0.00036545i,9.8594e-05-0.00020502i,1.1932e-05+0.00075205i,0.00034569+0.00052734i,0.001089-0.00039942i,0.00091043-0.00086333i,0.0012072-0.00069456i,0.001882-0.00030411i,0.0014518-0.00029493i,0.00070129-0.00015159i,2.9615e-06-0.00049354i,-0.00051384-0.00040399i,-0.00063358+0.00015248i,-0.00035819-3.7661e-05i,0.00032196-0.00036258i,0.00071145+0.00022014i
0.00012851+0.00014397i,0.00035241-0.00042405i,0.00059495-0.00052251i,0.00023326-0.00029534i,-6.2771e-05-0.001282i,2.0489e-05-0.0020716i,-0.00069685-0.0012961i,-0.00079929-0.00021923i,-0.00037667+0.00050203i,-0.00030241+0.00054112i,-0.000205-0.0001309i,7.91e-05-0.00058652i,0.00044612-0.00040999i,0.00015961-0.00021739i,0.00028685-0.00010729i,0.00013118-0.00024044i,-0.00046051-0.00035347i,-0.00074214+3.1852e-05i,-0.00024196+0.00040219i,0.00014214+0.00044262i,-0.00015187+0.00025424i,-0.00048325+0.00032152i,-0.0007015+0.0002233i
0.00031036-0.00040106i,-0.00067912-0.00044451i,-0.00087369-0.0015136i,-0.0011109-0.0010863i,-0.0014506-0.00039776i,-0.00092116-6.9968e-05i,-9.3554e-05+0.00057309i,0.00071645+0.00087494i,0.00061095+0.00076197i,0.00050046+0.00071037i,1.5139e-05+0.0006666i,-0.00062595+0.00062316i,0.00017332+0.00046729i,0.00073617+0.00095429i,0.00066388+0.0010608i,-7.551e-05+0.0006172i,-0.00099489-0.00027753i,-0.00058363-0.00070809i,0.00065507-0.00018308i,0.00089499+0.00027447i,-0.00013935+9.267e-05i,-0.0010934-0.00027866i,-0.0010371-0.00050164i
-0.0020568-0.0018792i,-0.0020427-0.00085854i,-0.0020796+0.00056033i,-0.0011936+0.00097459i,-0.00033386+0.0010913i,9.3963e-05+0.0016562i,-0.00043146+0.00068041i,-0.00090678-0.00015759i,-0.00095954+0.0006445i,-0.00036316+0.00068557i,0.00053027+0.00077989i,0.000835+0.00089163i,0.00077867+1.9089e-05i,0.00085609-0.00070396i,0.00071841-0.00087338i,0.00061169-0.00043882i,0.00081745-0.00035235i,0.0010576-0.00047422i,0.0010812-0.00053567i,0.00051364-0.0001566i,0.0001854+0.00052758i,-3.3051e-05+8.5879e-05i,-0.0002769-0.00055246i
-0.00072909-0.00039988i,-8.7025e-05-0.00040218i,0.00044157-0.00077411i,0.00099849-0.00085785i,0.0010658-0.00088906i,-0.00026969-0.00054126i,-0.0011202-3.0777e-05i,-0.00057802+0.00060467i,-5.2703e-05+0.00062968i,-0.00017698+0.00052891i,5.2273e-05+0.00023038i,0.00058939-0.00074626i,0.00017912-0.00077531i,0.00011546-0.00032638i,0.00053501-0.00014395i,0.00044108-0.00018364i,-0.00020439+6.5599e-05i,0.00014325+0.00012982i,1.4394e-05-3.4086e-05i,-0.00035331+0.00014753i,-5.3906e-05+1.7194e-05i,0.0002882-8.6118e-05i,5.9106e-05+0.00018206i
-0.00060285-0.00031702i,-0.00078751-0.00038219i,0.00021653-0.00054328i,0.0008259-0.00055641i,0.0001187+0.00030768i,-0.00072667+0.0010146i,-0.001164+0.000779i,-0.0011434+0.00077333i,-0.00057391+0.00063614i,-7.7205e-05+0.00054385i,-0.00028989+0.00073789i,-0.00042851+0.00044578i,-0.00039577-0.00013783i,-0.00034803+0.00051575i,0.00023714+0.0005659i,0.0010464-0.00040031i,0.00088138-0.00035821i,1.3783e-05-0.00030223i,-0.00039992-0.00059714i,-0.00049535-7.7156e-05i,-0.00082729+0.00069136i,-0.00080956+0.00044459i,-0.00026906+0.00023395i
-0.00023006+0.00038391i,-0.00024355-0.00035401i,9.6095e-05-0.00094359i,0.0011801-0.0007365i,0.00096292-0.0003623i,-0.00026397-0.00084218i,-0.001186-0.0011447i,-0.0015027-0.00080985i,-0.001105-2.7934e-05i,0.00011882+0.00020118i,1.5136e-05+0.00050332i,-0.00092269+0.0010749i,-0.00063837+0.00087282i,0.00036169+0.00082713i,0.00059218+0.0014807i,0.00054413+0.0007168i,0.00062111+0.00048531i,-0.00011817+0.0010059i,-0.00051305+0.00043618i,-0.00019179+0.00043617i,-0.00048664+0.00023255i,-0.0005493+0.00020276i,0.00026115+0.00062767i
0.00071804+0.00040056i,0.0013681+0.00037509i,0.0015983-0.00010861i,0.0014858-0.00061194i,0.00049833-9.8902e-05i,-0.00052888+0.00057136i,-0.00090471+0.00026071i,-4.3022e-05-0.00016776i,0.00050669+0.00061784i,0.00072956+0.00091297i,0.00061423+0.0011055i,1.7644e-05+0.0015541i,-6.9038e-05+0.0012396i,-0.00047631+0.00024769i,-0.00041825+2.4273e-06i,9.3467e-05-0.00022785i,-0.00012654-0.00049685i,-0.00045372-0.00045231i,-0.00077636-8.41e-05i,-0.00085044+0.00026542i,-0.00097803+6.1728e-05i,-0.00067771-0.00015748i,-0.00080128-0.00037687i
-7.8782e-05+0.0016221i,0.0017772+0.0010107i,0.0023642+0.00026715i,0.0021335-0.00098145i,0.0015621-0.0024036i,0.00065128-0.0019191i,-0.00087891-0.00082436i,-0.0011568-0.00063097i,3.4298e-05-0.00017892i,0.00089796+0.0003185i,0.0007081+0.00076358i,0.00017908+0.00077106i,-0.0003852+0.00027311i,-0.00037407+0.00047703i,-5.2749e-05-4.691e-05i,0.00015891-0.00054228i,0.00056172+9.705e-05i,0.001126+0.00029864i,0.00097926+0.00022269i,0.00013377+0.00021819i,0.0004468+0.00047158i,0.00098222+0.00016337i,0.00029103-0.00075579i
-0.001013-0.0013412i,-0.00013958-0.0013674i,4.4996e-05-0.00062991i,-0.00072452-0.00058116i,-0.001428-0.0012364i,-0.0016377-0.001135i,-0.0015253-0.00060009i,-0.0016505-7.6448e-05i,-0.00090847+0.00041384i,0.00013551+0.00053961i,0.00035514+0.0009001i,-0.00013512+0.0008457i,-0.00025421+0.00010853i,0.00036692+0.00011585i,0.00051423+0.00027125i,0.00025503+3.5133e-05i,0.00018298+0.00018167i,-0.00023413-0.00046177i,-0.00036281-0.00090224i,-0.00028598+0.00012743i,8.8632e-05+0.00029727i,0.00015502-0.00026654i,0.00023022-0.00060682i
