-0.0012308+0.00073371i,-0.00015385+0.00095056i,-0.0011117+0.00063303i,-0.00044008-0.00032621i,-0.00073209-0.00072994i,-0.00047776+0.00034998i,0.00074623+0.00158i,0.00040706+0.0013549i,0.0012534+0.00080138i,0.0020409+0.00083261i,0.00069705+0.0001743i,0.00012437-0.00083953i,0.00055209-0.00055644i,-5.0876e-05+0.00023447i,-0.00057359+0.00042427i,-0.00027406+0.00057784i,7.3747e-05+0.0007268i,0.00028708+0.000394i,0.00015249+0.00022447i,0.00020304+0.00019131i,0.00077701-0.00060893i,0.00095507-0.00068592i,0.0005042+0.00026487i
-0.00026174+0.00018575i,0.00027959+0.00050096i,0.0011523-0.00027064i,0.0015262-0.0014562i,0.00092562-0.0016936i,-0.00010743-0.00074656i,-2.6385e-05-0.00062492i,0.00099579-0.00034498i,0.001591+0.00075797i,0.0010278+0.0011271i,0.00040614+0.00078766i,-0.00038321+0.0005456i,-0.00056901+0.00024609i,0.00022171-0.00015807i,0.0002054-0.00024317i,-0.00039497-0.00036223i,-0.00014097-0.0011764i,5.4754e-05-0.0013522i,-0.00040024-0.0010823i,-0.00056733-0.00026945i,2.4704e-05+3.5805e-06i,-0.0002521+0.00015412i,-0.00049872+0.00050722i
0.00042633+5.7457e-05i,-5.3811e-05-0.00059217i,0.00043862-0.0019754i,0.0012991-0.0026078i,0.00039648-0.0011216i,-0.00070855-0.00029902i,-0.00036793-0.0010052i,-0.00037434+0.00019192i,-0.00031806+0.0011816i,0.00020088-0.00016159i,0.00057225-0.00080997i,0.000554-7.4149e-05i,0.00054655-0.0003077i,0.00059281-0.00078215i,0.00067026-0.00053775i,0.00051017-0.00025698i,4.0953e-06+0.00017284i,3.644e-05+0.00035966i,-0.00024758+5.6768e-05i,-0.00038739-0.00023261i,-0.00040843-0.00081934i,8.6049e-05-0.0010515i,-0.00034619-0.00069069i
0.0020888+0.00043104i,0.0023736+2.6646e-05i,0.0027409-0.00047607i,0.0028217-0.001428i,0.0013842-0.001624i,0.00046198-0.00016465i,0.00076597+0.00085202i,0.00043569+0.00072599i,0.00042563-0.0007558i,0.0006173-0.0018735i,8.3417e-05-0.0013968i,-3.1037e-05-0.00082308i,0.00039734-0.00078032i,0.00024551-0.0008955i,-7.2343e-05-0.00069026i,0.00020195+2.7369e-05i,0.00012892+2.2482e-05i,4.7767e-05-0.00044099i,-0.00030138-0.00079747i,-0.00043616-0.00046443i,-0.00013792+0.00014669i,-0.00025748+0.00034606i,9.4134e-05-0.00014962i
-0.0013243-0.0011275i,-0.001245-0.0016369i,-0.001801-0.0026252i,-0.00090389-0.0016814i,8.0621e-05-0.00022026i,0.001225-0.00012011i,0.0018139-6.6093e-05i,0.0013675+0.00039108i,0.00024044+0.00076954i,-0.00079665+0.00077314i,-0.0004274+0.00036559i,6.4971e-06+0.00011961i,0.0002893-0.00019581i,0.00030126-0.00049778i,0.00064176-0.0007424i,0.00079815-0.00069626i,0.00026487+5.88e-05i,-0.00045357+0.0005139i,-0.0009023-0.00044059i,-0.00025399-0.00085295i,0.00051126-0.00038352i,0.00086129-0.0003488i,0.00091392+0.00034482i
-0.0012187-0.0018425i,-0.0012912-0.0025891i,-0.0003887-0.0017104i,6.9979e-05-0.0014669i,-3.6993e-05-0.001468i,-0.00041018-0.00072162i,-0.0011854-9.6794e-05i,-0.00098629+0.00033868i,4.0017e-05+0.00063192i,-4.2369e-05+0.00072818i,-0.00012305+0.00043313i,0.0003529-0.0003279i,0.00018438-0.00088077i,4.1868e-05-0.00084424i,-0.00072305+9.0847e-05i,-0.0009211+0.00098765i,-0.00025862+0.00037013i,0.00035239+7.7471e-05i,0.00053246+0.00098421i,-0.00015785+0.0010248i,0.00015909+0.00019137i,0.00083738-0.00044628i,0.00066749-0.00037497i
0.0025528+0.0012801i,0.0033151+0.0018963i,0.0021684+0.00081629i,0.0019178-0.00095067i,0.0022422-0.00099744i,0.0015344-0.00063997i,0.00083948-0.00051021i,-0.00019877-0.00029281i,-0.00065809-0.00037301i,-0.00049787-0.00014887i,-2.4284e-05+2.9227e-05i,0.00028476+0.00054392i,0.00015651+0.00085283i,-0.00023833-4.4107e-05i,-0.00028253-0.00094313i,-0.0001922-0.0013261i,-0.00048236-0.00050906i,-0.0008593+0.00015488i,-0.0012173+0.00015669i,-0.00038859-0.00018781i,0.00032255-0.00073128i,0.00065652-0.00076631i,0.00010471-0.00034903i
-0.0026901+7.6677e-05i,-0.003015-8.4877e-07i,-0.0025882-0.00085904i,-0.00090007-0.0013575i,0.0010068-0.0016478i,0.0013848-0.00076928i,0.00044128-8.3499e-05i,-0.00046528+0.00031659i,-0.00081314+0.0011292i,-0.00080364+0.00076994i,-0.00037872-0.0008217i,5.7538e-05-0.00057939i,0.00019232+0.00038425i,0.0006597+0.00037747i,0.0010021-0.00032722i,0.00081912-0.00086025i,0.00058785+0.0005297i,0.00013473+0.0011713i,0.00029725+0.0002896i,0.00043133+0.00011415i,-0.00024181-0.00032614i,0.00010381-0.0004723i,0.00031118-0.00024676i
-0.0010218-0.0025282i,-0.0015235-0.0036354i,-0.0018572-0.0041169i,-0.0017082-0.0027511i,-0.0019782-0.0014203i,-0.00095008-0.00060261i,-0.00011928-0.00062297i,-0.00035883-0.00029204i,-0.00041879-1.7256e-06i,-1.4947e-05+0.00036273i,-0.0003625+3.0554e-05i,-0.00078277-0.00087839i,-2.4142e-05-0.0010246i,0.00026146+0.00011743i,3.914e-05+0.0010174i,-6.7032e-05+0.00079432i,-9.0888e-05+0.0001332i,-0.0006104-0.00034527i,-0.00028783-0.00065281i,-0.00024819+0.00038392i,-0.00050032+0.00068814i,0.00020479+0.00028097i,-3.8011e-05-4.7922e-06i
-0.00014193-0.00050633i,0.00010408-0.00071258i,0.00022675-0.0016117i,-0.00014448-0.0015417i,-0.0012014-0.0007132i,-0.00047165+0.00056915i,0.00065072+0.00043227i,0.00014869+0.00030666i,-6.7187e-05+0.0011003i,0.00026571+0.00059747i,0.00061601+0.00027712i,0.00052578+0.0001908i,0.00026452+0.00015833i,-0.00013817+0.00068385i,6.7412e-05+0.0010085i,-0.00029372+0.000998i,-0.00067734-0.00031118i,7.8705e-05-0.00091826i,0.00010645-0.00054057i,-0.0004909-0.00019694i,-0.00027416+9.2044e-05i,0.0004812+1.8995e-05i,0.0012211+0.00010126i
0.00012016+0.00069117i,-0.00033234+0.00062629i,-0.0013161-0.00054874i,-0.0010149-0.00067469i,-0.00070739-0.00032237i,-0.00093353+4.4934e-05i,-0.00057893-3.2693e-05i,0.00011491-0.00022299i,0.00067301+0.00059448i,0.00039723+0.00054077i,0.00032115-0.00088946i,0.00042394-0.00057037i,0.00050687+0.00085247i,0.00044054+0.00098469i,0.00036155+0.00058411i,0.00043148+0.00044405i,3.0391e-05+0.00085044i,-0.00037163+0.00040894i,-4.6325e-05-0.0001112i,0.00022927+0.00044553i,1.444e-05+0.0009192i,0.00036933+0.0011823i,0.00079749+0.0011006i
