-0.0012308+0.00073371i,-0.00015385+0.00095056i,-0.0011117+0.00063303i,-0.00044008-0.00032621i,-0.00073209-0.00072994i,-0.00047776+0.00034998i,0.00074623+0.00158i,0.00040706+0.0013549i,0.0012534+0.00080138i,0.0020409+0.00083261i,0.00069705+0.0001743i,0.00012437-0.00083953i,0.00055209-0.00055644i,-5.0876e-05+0.00023447i,-0.00057359+0.00042427i,-0.00027406+0.00057784i,7.3747e-05+0.0007268i,0.00028708+0.000394i,0.00015249+0.00022447i,0.00020304+0.00019131i,0.00077701-0.00060893i,0.00095507-0.00068592i,0.0005042+0.00026487i
0.0023844-0.0011863i,0.0027286-0.0019036i,0.004605-0.002366i,0.0043655-0.0020263i,0.0026944-0.0016025i,0.0010575-0.0012159i,0.0013018-0.00062547i,0.0020029+4.02e-05i,0.0017908+0.00055808i,0.00084659+0.00033539i,0.00019985+0.00033196i,-0.00021069-0.00034393i,8.0794e-05-0.0012337i,0.00063335-0.00044956i,0.00022202+0.00019121i,-0.00012929+4.1384e-05i,-0.00015248+0.00037356i,-5.5745e-05+0.0003741i,0.00051906-0.00020661i,0.00077002-0.00086725i,4.574e-05-0.00067656i,-0.00038532-0.00040365i,-0.00020904-0.0002893i
-0.00094663+0.00090663i,-0.00059596+0.00033558i,-0.00034547-0.00074244i,0.00025473-0.0018988i,-0.00043401-0.0016527i,-0.0011785+0.00019448i,-0.00091992+0.0012254i,-0.00039879+0.00049192i,0.00037221-0.0004322i,0.0012813-0.0010894i,0.0011566-0.00053111i,0.00041126+0.00022026i,-4.5906e-05+0.00014896i,0.00057704-0.00010894i,0.0017364-0.00044625i,0.001343+0.00011736i,0.00041687+0.00098231i,0.00018727+0.00078205i,0.00010613-0.00015837i,0.00035672-0.00061055i,0.0004866-0.00014577i,0.00013114+0.00041229i,-0.00029103+0.0005051i
0.0017462+0.00046518i,0.0013483+6.4332e-05i,0.00040148+0.00086921i,0.00031123+0.0010101i,0.001322+0.00085973i,0.0014667+0.0008614i,0.0016905-1.3394e-05i,0.0017589+5.5035e-05i,0.00096161+0.0006293i,0.00061849-0.00029005i,0.00011334-0.00096141i,0.00061404-0.00027277i,0.0011608+0.00069993i,0.0012338+0.00086363i,0.0012632+0.00091696i,0.00022216+0.0010797i,-0.00048715+0.00039449i,0.0001737+0.00055237i,0.00044858+0.00099906i,-5.7295e-05+0.00018216i,-6.2681e-05-0.0004467i,-9.1308e-05-0.00050982i,-0.00037534+9.3656e-06i
-0.00093444+0.00092625i,-0.0010434+0.00055031i,-0.00045053+0.00024705i,0.000818-0.00063726i,0.00095976-0.00067584i,0.00025873+3.1328e-05i,6.4024e-06-0.00017134i,0.00026822-2.1993e-05i,0.00065334+0.00085428i,0.00094298+0.0015461i,0.00068409+0.0011933i,1.1003e-05+0.0011751i,-0.00022437+0.00077691i,0.00034043-0.00016551i,0.00036013+5.5685e-05i,0.0005073-1.1225e-06i,0.00080189-2.2102e-05i,0.0002875+0.00040747i,0.00034693+2.306e-05i,0.0003273-0.00061603i,-7.533e-05-0.00075107i,-0.00014392-0.0002139i,-0.00031766-0.00016626i
-0.00029646-0.0022116i,-0.00071854-0.0029606i,-0.000421-0.0031872i,0.00078194-0.0025249i,0.00038771-0.0017752i,-0.00061498-0.00051558i,-0.0002849+0.0010145i,0.00015855+0.0017261i,0.00058208+0.00091421i,0.0010578+0.00021811i,0.0012157+0.00065162i,0.00093117+0.00090986i,0.00052047+0.00094593i,0.00034756-0.00012676i,0.00024636-0.00091724i,-0.0002864-0.00014153i,2.7103e-06+0.00039184i,0.00033951+0.0002994i,0.00046739+5.0334e-05i,0.00092299-6.6806e-05i,0.0003637-0.00023067i,0.00032403-0.00079505i,0.00031416-0.00095625i
0.00088626-0.00018917i,0.0021689-4.8641e-05i,0.003237-0.00037195i,0.0024866-0.0011253i,0.00053743-0.0012477i,-0.00028338-0.00042058i,0.0002324+0.00019914i,0.00088695+0.00081095i,0.00073817+0.0011799i,0.00061323+0.00064627i,0.00046358+2.9693e-05i,0.00038329+5.7927e-05i,0.00080074-1.3718e-05i,0.0010926-0.00027026i,0.0010249-0.00041191i,8.0654e-05-0.00024602i,-0.00043358-0.00024509i,0.00034532-0.00033452i,0.00067046+2.4837e-05i,0.00062442-4.8098e-05i,0.00053482-0.0005709i,0.00011957-0.00020818i,-0.00037387+0.00028322i
0.0010697-0.00032264i,0.0015696-0.00096274i,0.001774-0.00046154i,0.0010693-0.00055419i,0.00023816-0.00071748i,0.00014882-0.0004518i,1.7187e-05+0.00032307i,0.00026959-0.00028673i,0.0009311-0.00026538i,0.00092321+0.00021696i,-5.8109e-05-0.00018973i,-0.0005399-6.403e-06i,6.0063e-05+3.2915e-05i,0.0007013-0.00051585i,0.00051352-0.00057884i,-7.1301e-05-0.00026275i,-7.0188e-05+0.00013945i,2.3749e-05+0.00048392i,0.00067664+1.1317e-05i,0.0011977+5.1592e-05i,0.0010417+0.00064196i,0.00077639+0.00039785i,-0.00015082-2.3684e-05i
-0.00038317+0.00096905i,0.000286+0.00025897i,0.0010713-0.00018657i,0.0026354-0.00036098i,0.0029036-0.00086746i,0.0011608-0.00053876i,0.00031086+0.00055436i,0.00037733-6.8109e-05i,0.00021186-0.00089677i,1.1728e-05-0.00059023i,0.00025609-0.00086019i,0.00018607-0.00057001i,-0.0003013+0.00023282i,0.00011946+0.00045236i,0.00053211+0.00043978i,0.00065919+0.00079091i,0.00070333+0.0010464i,0.00075949-3.5379e-05i,0.0001469-0.00038172i,-0.00023146+4.6234e-05i,0.00068312-0.00013097i,0.00074619-0.00012415i,-0.00036395+0.00055847i
-0.00087254-0.00035442i,0.00034249+0.00018204i,0.0010091-0.00037971i,-0.00030734-0.0008587i,-0.0014025-0.00053638i,-0.00019042-0.00037235i,0.001108+6.3854e-05i,0.00067575+0.00036696i,0.00061531+0.00067962i,0.0011541+0.0011666i,0.0012833+0.00058651i,0.0010295+0.00037859i,0.0010278+0.00072654i,0.00079809+0.00033716i,0.00051401+0.0002486i,0.00043518+0.00012676i,0.00047927-0.00035723i,0.00081627-3.7974e-05i,0.00054021+0.00024578i,0.0001235-5.1191e-05i,2.3946e-05-0.00075349i,0.00045303-0.0013455i,0.00070995+8.7814e-05i
0.00024664+0.0012113i,0.00043386+0.0024373i,0.0014401+0.0032088i,0.0018692+0.0019003i,0.0010548+0.00038709i,0.00072818-0.00045978i,0.00059748-0.0011134i,0.0006569-0.00064114i,0.0014896+0.0001589i,0.0016467+0.00025313i,0.00087741+7.7963e-05i,0.00055586-8.0693e-06i,0.00047736+4.3463e-05i,0.00086062-0.00029637i,0.0006946-0.00039112i,-0.0001414-0.00027083i,-7.2476e-05-0.00037732i,0.00028698-0.00045063i,0.00040308-0.00073038i,0.0003433-0.0003838i,0.00050923+0.00013327i,0.00064216+1.7481e-05i,0.0002974+0.00037533i
-3.7281e-05-0.0024128i,-0.00059103-0.0029635i,7.1108e-05-0.0035612i,0.00032628-0.0021407i,0.00035794-0.00024963i,0.000638+0.00083356i,0.00054464+0.00017768i,0.00069362-0.00095309i,0.0009761-0.00093305i,0.0008021-0.00047086i,0.0005462-0.00053992i,0.00074577+8.6112e-06i,0.00089915+0.00075407i,0.00040756+0.00049461i,-9.2759e-05-0.00012496i,-0.00077696+1.5213e-05i,-0.00078431+0.0004349i,-0.00047005+0.00047892i,-0.00048019-7.6215e-05i,-0.00025099-0.00035327i,-5.702e-05-0.00010671i,0.00013046-0.00040252i,0.00026204-0.00023224i
-0.00049418-0.00049569i,-0.00011651-0.0016982i,0.0010772-0.0024403i,0.0016412-0.00291i,0.0011093-0.0020685i,0.00054678-0.0007274i,0.00015094-0.00012114i,0.00023754+7.2503e-05i,0.00084541+0.00048822i,0.00083461+0.00044779i,-0.00011827+8.1532e-07i,-0.00058399-0.00047527i,0.00015246-0.00074663i,0.00053291-0.00017633i,0.00024803-7.79e-05i,0.00024176-0.00017601i,0.00012515+6.1825e-06i,0.00047111-7.0426e-06i,-0.00014968-0.00085529i,-0.0011174-0.0012488i,-0.00018032-0.00092564i,0.00077873-0.0006892i,0.00035498-0.00052141i
-0.0012398-0.00098981i,-0.0004357-0.00064869i,0.00091297-0.0011099i,0.0010291-0.0011181i,-4.5621e-05-0.0013515i,-0.00046944-0.0011003i,0.00037965-0.00060476i,0.00080987-0.00054094i,0.00027241+5.7156e-05i,0.00073072+0.00045204i,0.00070096+0.00046629i,0.00024407+0.00050452i,0.00018903-0.00016085i,0.00088264+0.00015255i,0.0013692+0.00095849i,0.00091467+0.00095395i,0.0003248+0.00043687i,0.00028798-0.00013018i,0.00082157-0.00021611i,0.00061742+3.8913e-05i,0.00027703-0.00036903i,0.00026395-4.8446e-05i,-0.00011263-0.00011988i
0.0015617+0.0010849i,0.0019926-0.00028167i,0.0013973-0.00072715i,6.0762e-06-0.0016465i,-0.001066-0.0018195i,-0.0010838-0.00085839i,-0.00081912+1.9827e-05i,-0.00073602-0.00044516i,-0.00027447-0.00037014i,0.00020874+0.00039458i,0.00044962+0.00013751i,0.000307-0.00048397i,0.00044817-0.00049361i,-0.00050629-0.00024082i,-0.0016008-0.00016304i,-0.0012499-0.00010608i,-0.00085737-0.00027124i,-0.00082849+6.7437e-05i,-0.00078895+0.00070582i,-0.00010135+0.00080796i,0.00048522+0.00043351i,0.00020407-0.00031393i,0.00069412-0.00063223i
-0.0011649-0.00029432i,-0.00097759-0.00099743i,0.00032212-0.00036652i,0.00096129-0.00070983i,0.00064095-0.0013084i,0.00068574-0.00054932i,0.0017507-0.00041424i,0.0018512-0.00082599i,0.00058873-7.7577e-05i,-8.821e-06+0.00046247i,0.00032522+7.0399e-05i,0.00043433-0.00010261i,-5.2064e-06+0.00018251i,-0.00076333+0.00088374i,-0.00083927+0.00085342i,-0.00043413+9.7983e-05i,-0.00014243-0.00013134i,-0.00042663+6.324e-05i,6.7017e-05+0.00073784i,0.00081008+0.00098429i,0.00037057+0.00022105i,0.00020396-0.00034715i,-0.00049939-0.00081849i
0.000864+3.8785e-05i,0.00050093+0.000242i,0.0011243+0.00095497i,0.0019445-6.1125e-05i,0.0016-0.00045612i,0.00035072+2.9544e-05i,-0.00011745+0.00019842i,0.00069376+0.00023323i,0.00098364+0.00040117i,0.00081151+0.0011441i,0.0010298+0.00086892i,0.0014397+0.00045063i,0.0013826+0.00062557i,0.00092979+0.00042768i,0.0001596+0.00032515i,-0.00043063+0.00048601i,9.9951e-05-5.0007e-05i,0.0005409-0.00022679i,0.00046096+0.00050543i,0.00035873+0.00070221i,0.00072808+0.00058316i,0.0008662+0.00044255i,0.00012568-0.00019641i
0.00044035+1.9724e-05i,0.00068011-0.00070653i,0.0021504-0.0015166i,0.0016385-0.0022521i,0.00061648-0.0026226i,0.00068079-0.001316i,0.00065822-0.00065007i,0.00048911-0.00095456i,0.0012374-0.00038627i,0.0017771+0.00035021i,0.00091647+0.00011722i,0.00056713-0.00040314i,0.0011513-0.00072144i,0.0015298-0.00037823i,0.00096144+0.00043087i,-0.00016684+0.00024073i,-0.0009186-0.00010036i,-0.0004928-5.6119e-05i,0.00053813-4.1278e-05i,0.00037604-0.0001229i,-0.00039839-0.00046381i,-0.0003224-0.00043348i,0.00066358+5.3255e-05i
7.7044e-05+0.00022475i,0.00029193+0.001377i,0.0010899+0.0015284i,0.0016984+0.0015992i,0.00078036+0.0011921i,0.00037606+0.00052711i,0.0019812+7.7852e-05i,0.0022079-0.00023369i,0.0011372-0.00022058i,0.00098794-0.00030621i,0.0015092-0.00076334i,0.0013211-0.0002756i,0.0006016+0.0011316i,-0.00016072+0.00096357i,-0.00059198+0.00063503i,0.00010009+0.0010351i,0.00060097+0.00086543i,-0.000177+5.1204e-05i,-0.00076638-0.00078428i,0.00012927-0.0010314i,0.00099433-0.00080652i,0.00078342+0.0002158i,0.00070657+0.00046304i
-0.0018479+0.0018087i,-0.0022652+0.0017738i,-0.0016787+0.001745i,-0.00060994+0.0013689i,-5.5045e-05+0.00018692i,0.00061359-0.00069902i,0.0012981-0.00055592i,0.0011652-0.00021597i,0.0012013-0.00018541i,0.0014392-0.00023697i,0.0011622-0.00027063i,0.0010367-0.00055177i,0.0010812+0.00019791i,0.00044651+0.00061218i,-1.6366e-05+0.00041893i,6.8518e-05+0.00035144i,0.00019771-0.00017989i,0.00013411-0.00081641i,-0.00029932-0.00055061i,-8.2581e-05-0.00012209i,-4.9802e-05-0.00075944i,-0.00094899-0.0004866i,-0.00067472+0.00060836i
-0.001566+0.00028753i,-0.0014479+0.0003656i,-0.00050951-0.0003501i,0.0011704-0.002042i,0.0014384-0.0010757i,0.0009661+0.0012807i,0.00078579+0.00090043i,0.0002162-0.00020019i,0.00011642-0.00064721i,0.00078499-3.1527e-05i,0.001201+0.00063937i,0.00067391+0.00067402i,0.0003101+0.00065546i,0.00026589+0.00012445i,0.0009135-0.00034951i,0.001189-0.00035449i,0.00062604+4.5766e-05i,0.00027936+0.00030756i,0.00021241-0.00028837i,0.00034772-0.00034469i,0.0011622+0.00044524i,0.00066869+0.00066316i,5.4973e-05+0.00032139i
-0.00062782-0.001108i,-0.0010949-0.0010098i,-0.00065751-0.00049526i,-0.00014308-0.00029196i,-0.00054914-0.00054924i,-0.00034034-0.00011151i,-0.00035028+8.2696e-05i,-0.00024532-2.6672e-05i,0.00047753+0.00087565i,0.00039653+0.0014611i,2.2516e-06+0.0006395i,0.00038419+0.00012163i,0.00076479+0.00027164i,0.00080131-8.8795e-05i,0.00044345+0.00011752i,0.0004717+0.00081448i,0.00076174+0.00070675i,2.5712e-05+0.00074625i,-0.00026013+0.00036337i,0.00077836-0.00014929i,0.00081389-0.00083297i,0.00025895-0.0010292i,9.2691e-05-0.00024897i
-0.0010432-0.00053364i,0.00057774+0.00022658i,0.00017809-0.0011471i,-0.0012989-0.0019032i,-0.0010703-0.0013652i,-0.00065303-0.00090267i,-0.0006685-0.00066519i,-0.00044837-3.3912e-05i,0.00033727+0.00017508i,0.00061705+0.00010466i,0.00017437+0.00026652i,0.00047538+0.00070162i,0.00099325+0.0011039i,0.00046661+0.0011059i,-8.5819e-05+0.0009351i,2.0922e-05-9.9894e-05i,-2.2739e-05-0.00069627i,-8.1014e-05+0.0001794i,-0.00012918+0.0010082i,0.00024321+4.1993e-06i,0.00051808-0.00033975i,0.00068467-0.00012671i,0.0008269+0.00021141i
0.001233-0.00017826i,0.0010353-0.00036056i,0.00076417-0.00056522i,0.0013049-0.00024602i,0.0010585-0.00042243i,0.00023768-0.0011153i,-0.00015783-0.00108i,-0.00023604-0.00012549i,-0.00082485+0.00030086i,-0.00064132+4.4556e-05i,8.9138e-05+0.00017087i,0.00039223+0.00011963i,4.689e-05-0.00035399i,-9.0824e-05-0.00026709i,0.00053189-0.00043591i,0.00089291-0.00050952i,0.00043699-0.00037611i,0.00036711-0.0006389i,0.00034912+0.00050803i,-0.00020173+0.0012024i,0.00012741+0.00051979i,0.00051336-0.00023663i,0.00024529-0.00040455i
0.00034679+0.00061487i,0.00048367-0.00040632i,0.0019364-0.00057935i,0.002574-0.0011207i,0.0022945-0.0014649i,0.00017404-0.00087542i,-0.0016046+9.7389e-05i,-0.0012969+2.1748e-05i,-0.00019144-8.5318e-05i,2.2894e-05-0.0002604i,-4.1707e-06-0.0012014i,0.00021126-0.0010184i,0.00032385-0.00027738i,0.00061794+9.5095e-05i,0.0010143+0.00047668i,0.0013769+0.00048184i,0.00136-0.00028929i,0.00056082-0.0012884i,-0.00067003-0.00085716i,-0.0010685-0.00040539i,-0.00077141-0.00023723i,-3.715e-05-0.00045233i,0.00051656-0.00060052i
-0.00077598-0.00060152i,0.00025911+0.00045036i,0.0012937+5.5344e-05i,0.0017387-0.00079608i,0.0010756-0.00060226i,-0.0002072-0.0010176i,-0.00073234-0.00064412i,-0.00051867+0.00010753i,-0.00057414+0.00020609i,-0.00053363-0.00017769i,0.00010154-8.7659e-05i,6.6552e-05-0.00059719i,0.00071206-0.0006039i,0.00097455+0.00024778i,0.00046891+0.00049194i,2.6666e-05+0.00060821i,0.00012495+0.00046002i,-0.00019809-5.3331e-05i,-0.00052584-0.0011122i,0.00013235-0.0010534i,0.00043209-7.1525e-06i,0.00074916+0.0002893i,0.0002023-0.00025465i
0.0015228-0.0019403i,0.00059362-0.00183i,0.00109-0.00035299i,0.0012742-0.00031447i,0.00046923-0.0010533i,-1.8173e-06-0.00070441i,3.0322e-05+0.00063274i,-0.00024846+0.0012662i,0.00016221+0.00042554i,0.00057562-0.00022109i,0.00053784-0.00028664i,2.9409e-05-0.00059889i,-0.0003093-0.0006202i,5.1256e-07-0.0009182i,0.00058735-0.0013437i,0.00045911-0.00081805i,0.00034549-0.00012512i,0.0005899-0.00010677i,8.0544e-05-0.00049013i,-0.00022057-0.0001053i,0.00014333+0.0010937i,0.00068458+0.0013346i,-4.2965e-05+0.00063543i
-0.0013787-0.0014022i,-0.0017496-0.0016847i,-0.0014368-0.00074775i,-0.00037363-0.00010874i,0.00020443+0.00013104i,-0.0001083+0.0010367i,-0.00053394+0.0014997i,9.334e-05+0.00099415i,0.00062518+0.00083512i,0.00097088+0.00055866i,0.00070256+0.00033553i,0.00018257+7.5147e-07i,0.00036694-0.00018645i,0.00037159-0.00016108i,0.00026928-0.00043239i,0.00052155-0.00044146i,0.00037116-0.00079229i,0.00047271-0.00086168i,-0.00012111-0.00024396i,-0.0005611-0.00027217i,-1.1256e-05-0.00024584i,-5.1826e-05-0.0003919i,8.7868e-05-0.00027455i
0.0010848-0.00083272i,0.0014977-0.0017679i,0.0019018-0.0024129i,0.0023809-0.002393i,0.0020824-0.0016223i,0.0010593-0.0016641i,-9.9478e-05-0.00056197i,-0.00052345+0.00076191i,0.00026515+0.00064021i,0.00077845+0.00021061i,0.0012652-7.3002e-05i,0.0014303+0.00028923i,0.0012663-5.6295e-05i,0.00077421-0.00065319i,0.00025514-0.00059989i,0.00044501-0.00010675i,0.00055842+8.347e-05i,0.00055447-0.00026851i,0.00059059-0.00093363i,0.00087967-0.00089133i,0.00072685-0.00027736i,-0.00012971-0.00012536i,-0.00044972+0.00022236i
-0.00076923+0.00013486i,0.00032368-4.8346e-05i,0.0012741-0.00059181i,0.0014487-0.0010858i,0.00053719-0.0010429i,0.00051411-0.00040472i,0.00083917-0.00011415i,0.00013779+0.00010237i,0.00028007+0.00010439i,0.00067977-2.971e-05i,-2.2348e-06-9.9963e-05i,-0.00013089-0.00028742i,0.00017926-0.00034078i,0.00018647-9.4027e-05i,0.00016482-4.3124e-06i,-0.00010544-0.00034798i,-0.00027192-0.00050918i,-9.0834e-06-0.00068018i,0.00029204-0.00021131i,-0.00025856-7.8581e-05i,1.2509e-05-0.00078182i,0.00094128-0.00028711i,0.00080825+8.1765e-05i
-0.0020582-0.0017432i,-0.0020314-0.0020444i,-0.0021697-0.0019276i,-0.0012764-0.0014797i,-0.0011385-0.00019072i,-0.00078662+0.00067743i,0.00010127+0.00076558i,0.00039601+0.00055586i,0.00041481+0.00054202i,0.00016498+0.0008998i,0.00010491+0.00050357i,7.7249e-06+0.00057877i,0.00015537+0.00099305i,0.00066873+0.00022061i,0.00077853-0.00049191i,0.00042972-0.0004089i,0.00055991-0.00046936i,0.00085695+0.0003829i,0.00033131+0.00094303i,3.8496e-06+0.00037207i,4.2338e-05+0.00038186i,0.00016273+0.00059867i,0.0005847+4.4395e-05i
-0.00073009+0.00020829i,-0.0014058+9.5994e-05i,-0.00024567+0.00058469i,0.0013645+0.001143i,0.00093175+0.0012111i,-0.00050119+0.001515i,-0.0004291+0.0012922i,0.00057505+0.00085464i,0.0006416+0.00055292i,0.0004514+0.00011429i,-0.0002727+0.00043273i,-0.00061095+0.0010153i,-0.00015743+0.00070522i,0.00024113+0.00032696i,0.00056539-5.086e-05i,0.00085104-0.00027501i,0.00020307-0.00046565i,-0.00075891-0.0006488i,-0.00073396-0.0004783i,0.00035006-0.00065627i,0.0010581-0.00092309i,0.00043272-0.0010707i,-0.00012419-0.0010475i
0.00047983-0.0011975i,-0.00012184-0.0015318i,-0.00059633-0.0022909i,-0.00033288-0.0019249i,-0.00052832-0.0013317i,-0.00084866-0.00076554i,-0.00076752-0.00036125i,-0.00024384-0.00070495i,0.00095482-0.00072419i,0.001259+0.00016205i,0.00052096+8.1538e-05i,-0.00023854+0.0001622i,-0.00060038+0.00066678i,-0.00018095+0.00020728i,9.1731e-05-7.3667e-05i,-5.542e-05-4.3566e-05i,-0.00014229+9.6308e-05i,-0.00021442+0.00031019i,-0.00027321+0.0005229i,6.2044e-05+0.00090461i,0.00010215+0.0010628i,-0.00020971+0.00087949i,-0.0005558+0.00048446i
