-0.0029725+0.00049693i,-0.0019559+0.0010825i,-0.0018738+0.00020403i,-0.0016992-1.3868e-05i,-0.0010424+0.00054929i,-0.00049601+0.0010849i,0.00014901+0.0010396i,0.00018654+0.0006351i,0.00018883+0.00026157i,0.0004519+9.0302e-05i,0.00030171+0.00034229i,3.9254e-05+0.00032163i,-0.00020058+2.7872e-05i,-0.00045244+0.00036185i,-0.00021259+0.00049861i,0.00010192+0.00011555i,-0.00040491-0.00025975i,-0.00050373-0.0001307i,-0.0001668+0.00097549i,6.1541e-05+0.00058353i,0.00058573-0.00053292i,0.00034218-0.00040924i,0.00052512+0.00021143i
-0.00099198-0.0017403i,-0.0024612-0.0017272i,-0.0029621-0.00086733i,-0.0013483-0.00059007i,-2.8019e-05-0.00083785i,-0.00011228-0.0009971i,9.1747e-05-0.00079866i,2.7121e-05-0.00063529i,0.00016895-0.00046332i,0.00083749-0.0004793i,0.00067899-0.00043i,0.00049947+0.00022722i,0.00039441+0.00052517i,-6.0817e-06+0.00013393i,-7.8196e-05+7.4408e-05i,-7.1133e-05+0.00019215i,0.00018655+6.8878e-06i,0.00041971+0.00012046i,-0.0001443-0.00011999i,-0.00050528-0.00020374i,-0.00018902-0.00017688i,-0.00065181+0.0003441i,-0.00067158+0.0012976i
0.002586-0.0028377i,0.001549-0.0026434i,0.0011044-0.0016269i,0.0012887-0.0011809i,0.00072406-0.0004007i,-0.00031235-9.0226e-06i,-0.00091294-0.00072411i,-0.00050796-0.0007139i,0.00050479-0.00012434i,0.0004079+0.00010771i,-0.00017837+0.0008634i,-0.0001264+0.0014812i,-7.0438e-05+0.0010325i,0.00034724+0.00031476i,0.001001-0.00013808i,0.0011806-0.00027948i,0.00054479+9.6191e-05i,0.0001432+0.00032479i,0.00019144+6.4347e-05i,4.5904e-05+0.00029233i,5.9315e-05+0.0006749i,0.00014555+0.00095251i,-6.0282e-06+0.001007i
0.0019106-0.0011871i,0.0029432-0.0012518i,0.0019564-0.00036801i,0.00017619-0.00030303i,-0.00069409-0.00036829i,-0.00067604+0.00026442i,-0.0013027+0.00013935i,-0.0016129-0.00069901i,-0.00052246-0.00067429i,0.00033988-0.00018296i,1.3969e-05+3.7967e-05i,0.00017991+0.000694i,9.5259e-05+0.00089597i,-9.0384e-05+0.0008844i,-0.00019774+0.00076759i,2.7824e-05-0.0001087i,0.0010204-0.00071689i,0.0011247-0.00058582i,0.00028374-0.00022783i,-7.1055e-05-0.0006054i,0.00016869-0.0009027i,0.00017017-0.00038187i,0.00028412-0.00011734i
0.0021214+0.0015808i,0.0023862+0.00060029i,0.002402+0.00035607i,0.0016879+3.4894e-05i,0.00084333-0.0012997i,0.00077093-0.001497i,0.00010999-0.00071213i,-0.00046037-0.00041605i,0.00068117-0.00049174i,0.00091005-0.00039778i,-0.00025535-0.0010176i,-0.00041892-0.0014535i,-0.00082869-0.00020691i,-0.00049523+0.00030982i,0.00010652+0.00010174i,-0.000153+0.0006402i,-0.00020997+0.00055071i,-6.6955e-05+0.00048604i,-0.00010722+0.00079855i,-0.00013454+0.00059257i,-7.7411e-05+0.0001916i,0.00022858-0.00021083i,7.5266e-05-0.00031153i
0.0022067+0.0022845i,0.0019139+0.0010232i,0.0018374+0.0005243i,0.0021871-0.00034441i,0.0020091-0.0010346i,0.0009158-0.00068954i,-0.00012599-0.00042565i,-0.00024752-4.7338e-05i,0.00028659+0.00034521i,0.00087032+0.00027176i,0.0004573-0.00038557i,-0.00043344+0.00023347i,-0.00024681+0.00053286i,0.00017231-1.7132e-05i,-0.00052109-0.00010056i,-0.00083313+4.3428e-05i,-0.00044899+8.8869e-05i,-0.00010856-0.0002174i,-0.00021064-0.00031581i,-0.00048907-8.0627e-05i,-0.00030934+0.00056489i,-0.00014835+0.00028546i,-1.4765e-05+0.00017517i
-0.0010358+0.00082308i,-0.0021438+0.00013439i,-0.0014037+0.00032655i,1.4781e-05+0.00070657i,0.0011667+0.00069796i,0.0014213-0.00037157i,0.0006828-0.00070079i,0.00018077-0.00083524i,0.00071632-0.00090348i,0.0012787+0.00042973i,0.00084677+0.0016512i,8.1211e-06+0.0010569i,4.8616e-05+0.00012463i,0.00041554-3.2546e-05i,0.00040679+7.2362e-06i,0.00055251-0.00012891i,0.00057505+0.00044358i,-0.00024995+0.0008013i,-0.00040823+0.00087121i,-5.3759e-05+0.00071668i,0.00026843-7.8007e-05i,0.00043905+3.4762e-05i,0.0012011+0.00026321i
9.62e-05+0.0010606i,0.0010316+0.002421i,0.0015376+0.0022338i,0.0014542+0.0014171i,0.0010669+0.00058458i,0.00088227-0.00030715i,0.00024634-0.0014032i,-0.00020822-0.00125i,-0.00043031-0.00054922i,-0.00065676-0.00020071i,-0.00067053-0.00044269i,5.6764e-06-0.00027301i,-0.0002332-0.00032653i,-0.00063618-0.00089716i,-0.00074963-0.00073684i,-0.00082478-0.0001434i,-0.00024382+0.00017807i,0.0010262-8.4504e-05i,0.0012767-0.00021456i,0.00040011+0.00018193i,0.000365-7.0689e-05i,-4.0767e-05-0.00024289i,-0.00038972+0.00049957i
-0.0010849+0.00071779i,-0.0010073+0.00040347i,-0.00042221-0.00012773i,0.0005875+3.873e-05i,0.0015213+1.1348e-05i,0.0014262-0.00070369i,0.00048447-0.00095659i,8.3209e-05-0.00022345i,-2.7204e-05+6.9122e-05i,-0.00047229+0.00020167i,-0.00046083+0.00037431i,-0.00010806+0.00010419i,0.0001183-0.00036993i,0.00011557-0.00026708i,7.9291e-05-0.00043148i,-0.00016588-0.000722i,-0.00063596-0.00066368i,-0.00054398-0.00061295i,0.00071617-9.8595e-06i,0.0010087+0.00040133i,0.00061053+3.4679e-05i,0.00019042-0.00027752i,-0.00054126-4.2695e-05i
-0.0026455-7.6453e-05i,-0.0016259-4.2015e-05i,-0.00011941-0.00019683i,0.00095036-0.00064872i,0.0014035-0.00099412i,0.0010161-0.00063649i,-0.00034705-0.00028799i,-0.0013433+0.00010688i,-0.00090653+0.00018057i,-5.7138e-06+0.00027005i,-6.4969e-05+3.7417e-05i,-0.00035228-0.00010725i,-0.00062967-0.00010689i,-0.00065366-0.00041179i,-0.00071942+8.8783e-05i,-0.00073886-0.00016389i,-0.00065124-0.00037619i,-0.0002858+0.00039927i,-6.0668e-05+0.00040365i,0.00019687+0.00035875i,-0.0004942+0.00052412i,-0.00090292+0.00023173i,-0.00012965-0.00032778i
0.0017169-0.0015465i,0.0003812-0.0021077i,-0.00014774-0.0022987i,-0.00034493-0.0021399i,-0.0005403-0.00041372i,-0.00040922+0.00080061i,-0.00084532+0.00063237i,-0.0015256-0.00024803i,-0.0016699-0.00075425i,-0.00041321-0.00034098i,0.00018929+0.0002148i,-0.00035808-0.000129i,0.0005868-0.00059903i,0.0012748+2.141e-05i,0.0010992+0.00072334i,0.00058035+0.00097414i,0.00041873+0.00035019i,2.2694e-05+2.2435e-05i,-9.7353e-05-0.00014174i,0.0004873-8.4767e-05i,0.00036383+0.0002711i,0.00032036+0.00017166i,0.00091755-0.00015322i
