-0.00040902-0.00080017i,-9.4945e-07-0.0017982i,0.00014147-0.001807i,-3.7672e-05-0.00084078i,-0.00091783+0.00066546i,-0.0009591+0.001626i,-0.00064151+0.0014829i,-0.0010771+0.0014411i,-0.0004376+0.0013629i,0.00094931+0.00080776i,0.0010167-0.0001676i,0.00049099-0.00073914i,0.00030682-0.0010042i,0.00030651-0.0010029i,-0.00055946-0.00025991i,-0.0012547+0.00014511i,-0.0009939+9.0675e-05i,-0.00066264-0.000445i,-0.00055317-0.00037872i,-0.00049176+0.00013266i,-6.9865e-05+0.00042174i,9.4851e-05+0.00073705i,4.6953e-05+0.00032984i
0.00068444-0.0001626i,0.0017028-0.00027412i,0.0021269-0.00014857i,0.0018314+0.00042067i,0.00094908-0.00042224i,-0.0001745-0.00049968i,0.00016606+0.00014882i,0.00089082+0.00028797i,0.00016276+0.00062044i,-0.0003166+0.00062638i,0.00016217+0.00077047i,0.00040514+0.00062471i,0.00070509+0.00014562i,0.00062303-0.00061336i,9.2478e-05-0.00070469i,0.00049075-0.0003862i,0.00080949-5.8689e-05i,0.00069707+0.00086496i,0.00030172+0.00085659i,0.00010493+0.00033i,0.00018438+0.00039228i,0.00056121+0.00026787i,0.00064302-0.0001832i
-0.00040524+0.00083849i,0.00031963+0.000771i,0.00056873+0.00087372i,0.001422+0.00036612i,0.0013432+0.00049274i,-0.00010164+0.00046237i,-0.0016833+0.00035963i,-0.002326+0.00024278i,-0.0015621-2.7022e-05i,-0.0005481+0.00048827i,0.00031298+0.00072096i,0.00098763+0.00051655i,0.0010243-0.00010708i,0.0010469-0.00020459i,0.00077707+0.00014406i,0.00073118-3.3276e-05i,0.00043499+0.00023771i,-0.00027574+0.00033263i,-0.00057468-0.0001647i,-0.0006543-0.00067535i,0.00033799-0.00075763i,0.0003992-0.00029862i,-0.00058042+0.00015292i
-0.00015286+0.00031038i,0.00024717-0.00046544i,0.00054642-0.00064178i,0.00050941-0.00037672i,-0.0004908-0.00012305i,-0.0012821-0.0006271i,-0.00068663-0.00039428i,0.00038329+0.00048296i,0.00044413+0.00083333i,3.4089e-05+0.00058944i,0.00014382-0.00029336i,0.00081099-0.00038461i,0.0017578-5.9232e-06i,0.0011779+0.0001364i,0.00031949-0.00018696i,5.8122e-05-0.00016065i,-0.00048643-0.00039162i,-0.00071146-0.001068i,-0.00069671-0.00059124i,4.9577e-06-3.5535e-05i,0.00065346-0.00042528i,3.0077e-05-0.00034906i,-0.00026158+0.0001563i
0.00042682+0.00056883i,0.00033083+0.00037194i,0.0011261+0.00013979i,0.0014017-0.00082069i,0.00032174-0.00094952i,-0.00071061+0.00036337i,-0.00014038+0.0010026i,0.00040446+0.00079394i,2.1292e-05+0.00036086i,-0.00035249+0.00063883i,-4.1068e-06+0.00062225i,0.00014352-0.00026449i,-2.2043e-05-0.00062997i,-0.0001215+0.0001904i,0.00023899+0.0011143i,0.00040864+0.00036818i,0.00032711-0.0004075i,1.1666e-06-0.00048534i,-0.00020787-0.00068379i,-0.00039852-0.00050048i,-0.00041712+5.0771e-05i,0.00013059+0.00027424i,-0.00040991-0.00044458i
0.0010597+0.00054705i,0.0017171-9.0766e-06i,0.0028771+0.0003525i,0.0027387+0.0004959i,0.0016384-0.00066268i,0.00076275-0.00024541i,-0.00033888+0.000475i,-0.00050816+0.00058738i,-0.00017179+0.001328i,-0.00017231+0.00050753i,3.2795e-05-0.00048644i,0.00033159-0.00025968i,0.00031551-0.0004735i,0.00035169-0.00097556i,0.0012197-0.000418i,0.0016155-0.00018855i,0.0008802-0.00033883i,-0.00027328-0.00016249i,-0.00048522+4.4267e-05i,3.9039e-05-4.9185e-05i,-7.6339e-05-0.00032168i,-0.00044038-0.00042268i,-0.00064345-0.00019162i
-0.00097593-0.0010338i,0.00044155+0.00022709i,0.0015396+0.00062885i,0.00051028+0.00031814i,8.8549e-05-3.005e-05i,0.00051575+0.00022347i,0.00041008+0.00082111i,0.00022216+0.00047238i,-0.00015608+0.00037946i,-0.00038836+0.00073479i,-9.8195e-05+0.00073875i,0.00038516+0.00045829i,0.0005288-6.3545e-05i,0.0006434-0.00038014i,0.00076989-0.00015555i,0.00086912-0.00027245i,0.00077992-0.00017249i,0.00013083+0.00082893i,-0.00019542+0.00096035i,-3.471e-06-0.0004049i,0.00053206-0.00071664i,0.00033101-0.00028786i,0.00017537-0.00024976i
-0.00066485+0.0012476i,0.00031591-7.61e-05i,0.001783-5.1282e-05i,0.0017938-0.0004461i,0.00105-0.00072203i,-0.00032056-0.0010893i,-0.0011347-0.00065459i,-0.001238+0.00011916i,-0.00075261-0.00010533i,0.0001991-0.00024273i,-8.0217e-05-0.00039686i,-0.0010101-0.0010795i,-0.00037939-0.0013908i,0.0002523-0.00040032i,-0.00033933+0.0007664i,-0.00052115+0.00074622i,-9.2851e-05+0.00031193i,-0.00062149-0.00010914i,-0.00053993-0.00052034i,-9.9052e-05-0.00041419i,-0.00056918-5.8751e-05i,-0.00040994-5.9261e-06i,0.00062745-0.00016236i
0.00029771-2.4379e-05i,0.00089966-0.00032863i,0.0014308-0.00036598i,0.0013525-0.00088737i,0.00091184-0.0013621i,-0.00041638-0.00089311i,-0.00030904-0.00063322i,0.00040799-0.0003683i,0.00060534+0.00014432i,0.00029714+0.00040263i,0.00026235+0.00015361i,0.00031563+7.0091e-05i,0.00056829+0.00035739i,0.00012476+0.00072415i,-0.0002747+0.00062161i,-0.00029161-0.00021402i,-0.00050003-0.00042022i,-7.7817e-05+2.1125e-06i,-0.00010662+0.00031947i,0.00018598+0.00063651i,0.00054604+0.00049712i,0.00018298+0.00032267i,-0.00018498+0.00017527i
0.00023687+0.00036544i,-0.00028113+0.00069928i,0.00081417+0.00073479i,0.00081509-0.00045215i,-0.00055825-0.0011249i,-0.0016882-0.0004437i,-0.0015559+0.00025926i,-0.001079+0.00053621i,-0.00076127+0.0010034i,-0.00090901+0.00065042i,-0.00067846+0.00014321i,0.00062108+0.000861i,0.0011235+0.00066364i,0.00086531-0.00019585i,0.00073847+5.2039e-05i,0.0010918+0.00023688i,0.00081067+0.00055701i,0.0003016+0.00017593i,0.00011156-0.00042702i,6.9385e-05-8.8405e-05i,-0.00024844+0.00016466i,-0.00053832+0.00017684i,-0.00046608+0.00010917i
0.002201-0.0002642i,0.0011461-0.00040363i,0.0011734-0.0017574i,0.0016295-0.0023047i,0.00045415-0.0017951i,-0.0010967-0.0012738i,-0.0016994+0.00033919i,-0.0012779+0.001804i,-0.00044517+0.001432i,3.811e-05-0.00013668i,0.00038006-0.00072643i,0.00047375-0.00026288i,0.00017843+0.00038375i,-0.0002907+0.00072849i,-7.6484e-05+0.00074246i,-0.00018067+0.00035573i,-0.000204-0.0007008i,0.00063177-0.00052816i,0.00014748+0.00030582i,-0.00045255+0.00015102i,-0.00028902+0.00027578i,-0.0005669+0.00018302i,-0.00061825-0.00014472i
