0.00014398+4.5522e-05i,-5.5141e-05-0.0010065i,-0.00086934-0.0034234i,-0.0013838-0.0051848i,-0.0020751-0.0042057i,-0.0019948-0.0017907i,-0.00070033-5.0279e-05i,0.00092437+0.0010507i,0.0013057+0.0014157i,0.00074628+0.00051513i,0.00060088+0.00026911i,0.00081057+5.3775e-05i,0.0003243+0.0005893i,-0.00026526+0.00078775i,-0.00086614-7.3907e-05i,-0.0013159-0.001054i,-0.00031103-0.0012226i,0.00030415-0.0010283i,-0.00035967-0.0006028i,-0.00044835+0.00038061i,-0.00057139+0.0014145i,-0.00084613+0.0013006i,-0.00050107+0.00036775i
-0.00065006-0.0024614i,-0.0012562-0.0011543i,-0.0024077+0.00079121i,-0.0036398+0.0013821i,-0.0037613+0.0010285i,-0.0022524+0.00014353i,-0.00074197-0.00050391i,-0.00057295-0.00061508i,-0.00092048-0.0002703i,-0.00086389-5.2682e-06i,-0.00057287+0.00054288i,-0.00040388+0.00096426i,0.00035362+0.00053746i,0.00037444+0.00082415i,-0.000279+0.00054516i,-0.00021417-0.00016292i,-0.00037136-4.8904e-06i,-0.00081412-0.00062033i,-0.00026505-0.00089767i,0.00026714-0.00019443i,0.00067577-9.2685e-05i,0.00059866-0.0004087i,0.00019328-6.7531e-05i
0.000956+0.0019426i,0.0010563+0.0019507i,0.0025344+0.0013139i,0.0026983-0.00094622i,0.001971-0.0024678i,0.00073206-0.0016968i,-0.00064024-0.0012265i,-0.00075174-0.00056929i,-0.00015098+0.0003249i,-0.0001593+0.00031631i,-0.00028962+0.00012263i,-0.00037779+0.00013264i,-0.00039577+0.00047135i,-0.00020364+0.00091295i,4.3392e-05+0.0014417i,-0.00032957+0.0015989i,-0.00030056+0.00098332i,0.00037889-4.9984e-05i,0.00042337-0.00063805i,4.6925e-05+1.6599e-05i,4.0721e-05+0.00072928i,-0.00015804+0.00083762i,-0.0012558+0.000108i
0.00021891+8.4004e-05i,0.0015767-5.822e-05i,0.001934-0.00074317i,0.0005051-0.0025551i,-0.00073525-0.0028462i,-0.0007609-0.0015072i,-0.00070272-0.00088674i,-0.001268-0.00092276i,-0.0012012-0.00033887i,-0.0011393+2.277e-05i,-0.00028976+0.00069683i,0.00041564+0.0010399i,-0.00012357+0.00048654i,-0.00055699-4.8042e-05i,0.00020146-0.00032447i,0.00055942+0.00017309i,-0.00017669+0.00014868i,-7.4858e-05-0.00050412i,-0.00040693-0.0011452i,-0.00056676-0.0010214i,0.0001244-0.00017092i,2.2306e-05+0.00052875i,-1.4151e-05+0.00040516i
-0.0011011-0.00026439i,-0.001121-0.0012131i,-0.00061097-0.0014704i,-0.0014168-0.0010397i,-0.0019548+0.000184i,-0.0017981+0.0010903i,-0.0010551+0.00058107i,-0.00042899+5.5643e-05i,4.8607e-05-0.00034293i,0.00040087-0.00010112i,0.00015884-0.00034296i,0.00018162-0.00025972i,0.00039866+0.00034574i,2.125e-05+0.00027086i,-0.0003826-0.0001143i,-7.3928e-05-0.00052829i,-0.00012441-0.00022698i,-0.00048907+0.00072584i,0.00018398+0.0013242i,0.00036742+0.00098724i,-0.0003326+0.00023367i,0.00029975-0.00050718i,0.00072179-0.00046368i
0.0005281+0.00056876i,0.0006966+0.00029864i,0.0015525+0.00020318i,0.0016941-0.00078596i,0.0013539-0.0017393i,0.0002682-0.001581i,-0.00016006-0.0013197i,0.00025025-0.0012176i,3.3052e-05-0.00086702i,-0.00032372+7.3267e-05i,2.1123e-05+0.0012014i,0.00014581+0.0018921i,0.00014134+0.001183i,0.00072109+0.00033214i,0.0010748-0.00036616i,0.0010826-0.00060433i,0.00046119-0.00071295i,-0.00051669-0.00039768i,-0.0013379-0.00025275i,-0.00064215-0.00022847i,0.00096188+9.0102e-05i,0.00095082+0.00037885i,0.00025592-0.00010607i
0.0011396+0.00054475i,0.0016793-0.00061477i,0.001932-0.0026447i,0.001223-0.0035426i,0.00044447-0.0028984i,0.00026068-0.00071674i,-0.0005532+0.00044722i,-0.0016049+0.00052076i,-0.0010648+0.00027004i,-0.00017965+4.7587e-05i,0.0002811+0.00042328i,0.00071401+6.6306e-06i,0.00027548+6.606e-05i,-0.00075184+0.00062201i,-0.0005963+0.00071697i,-0.00027296+0.00085731i,-0.00028934+0.00035463i,-0.00054722-4.731e-05i,-0.00049099+0.0006238i,-0.00070855+0.00087114i,-0.00087223-6.6118e-05i,-0.00032835-0.00042266i,0.00031519-8.8527e-05i
0.00083367+0.00051325i,-0.00036451-1.2921e-05i,-0.0017042-0.0004926i,-0.0016402-0.00027813i,-0.00074757+0.0004991i,-0.00016443+0.00047727i,0.00017079-0.00036898i,-0.00031811-0.00039786i,-0.00063786-0.00023955i,-0.00025821-0.00035737i,0.00075216-0.00042294i,0.0015045+0.00014575i,0.00024769+0.00043457i,-0.00057012+0.00027389i,-9.0407e-05+0.0002874i,-8.6676e-05+0.00056018i,-3.818e-05+0.0006008i,-0.00010623+0.00032347i,-0.00011596-0.00057188i,-9.0492e-06-0.00060174i,-0.00070155-0.00038526i,-0.0011094-0.00088751i,-0.00028607-0.0009607i
0.0010196+0.0012426i,0.0013744+2.4103e-05i,0.0020987-0.00095998i,0.00187-0.00098641i,0.00055503-0.0015151i,9.0996e-05-0.00176i,-7.226e-05-0.0015836i,-0.00050058-0.0011079i,-0.00039895-0.00026381i,-0.0004281-0.00024418i,-0.00045706+9.5243e-05i,-0.00071997+0.00086865i,-0.00056045+0.00030975i,0.00015288-0.00035353i,0.00068598+0.00029468i,0.00066881+0.00093232i,0.00044783+0.00039779i,0.00018253+3.0014e-05i,-0.000476+0.00015567i,-0.00073825+9.2643e-05i,-0.0002644-6.3296e-05i,0.00045849-0.00027832i,0.00052043+0.00033889i
0.00037702+9.3941e-05i,0.00099221-0.00062106i,0.001327-0.0017699i,0.00077278-0.0026116i,-0.00024001-0.002523i,-0.0010148-0.001788i,-0.0014557-0.0006801i,-0.0017085-0.00027191i,-0.0013071-0.00056154i,-0.00035052-0.00021459i,0.00064742+0.00058131i,0.00065968+0.00060144i,0.00024472-0.00047868i,-0.00027275-0.00065649i,-0.00043805-0.00012708i,-0.0001506-0.00012024i,-0.00020312+4.4253e-05i,-0.00023429-0.00047374i,0.00012403-0.00060915i,0.00013918+0.00053081i,-0.00074114+0.00064991i,-0.00065534-0.00026559i,-9.9202e-06-0.00036309i
-0.00030619-0.00045495i,-0.00035169-0.00067394i,-0.0015951-0.00071481i,-0.0023764-0.0010839i,-0.0020218-0.00057525i,-0.00060735-0.00030072i,7.9709e-05-0.00051257i,-0.00026283-0.00076375i,-0.00078857+8.6628e-05i,-0.00039742+0.00061297i,0.00045752+8.9936e-05i,2.2485e-05+0.00010503i,-0.00012906-5.1052e-05i,0.00046965-0.0001791i,0.0010666+0.00044711i,0.0010598+0.00067083i,0.00059836+0.00059496i,0.00051559-0.00042569i,0.00034617-0.00061886i,0.00046886-0.00026674i,0.00094891-0.00041747i,0.0010841-0.00049336i,0.00063445-0.00066003i
