-0.0015854-0.0007223i,-0.00054296-0.0016227i,-0.00092438-0.0019964i,-0.0018537-0.0003546i,-0.002791+0.0021608i,-0.0023636+0.0024695i,-0.00066184+0.0018215i,1.9808e-06+0.0014847i,-9.9411e-05+0.0013694i,-0.00041052+0.00030153i,-0.00063458-0.0015951i,-0.00089423-0.0020152i,-0.00078745-0.0011692i,-0.00052196-0.00036509i,-6.9413e-05-5.6089e-05i,9.4877e-05+0.00023834i,0.00015864+0.00088631i,-0.00010497+0.00094288i,-0.00036997+9.505e-05i,-7.2658e-05-8.116e-07i,0.00027032+0.00075701i,0.00031955+0.00067212i,-0.00035005-0.00014389i
0.0013491+0.0018106i,0.0015518+0.0015842i,0.0011993+0.0014025i,-7.94e-05+0.00082816i,-0.0012292-8.4366e-05i,-0.0010302+7.3343e-05i,-0.0002871+0.00089712i,0.00085116+0.00077178i,0.0013043-0.00044116i,0.0010411-0.0017225i,0.0012398-0.0022451i,0.0010967-0.0020759i,0.00078871-0.00079353i,0.00054672+0.00036695i,-0.00045815+7.0419e-05i,-0.0010786-0.00037448i,-0.00056096+0.00066257i,-0.00032626+0.0008198i,-0.00016367+0.00024705i,-0.00037995+0.00012302i,-0.00011252-0.00063425i,0.00019368-0.00076541i,5.6499e-06-0.00018204i
0.0016793+0.00079491i,0.001584-0.00027975i,0.00097108-0.00099027i,0.00057987-0.00080846i,-0.00056221+0.00039418i,-0.0003448+0.0014998i,0.00074704+0.00115i,0.0007831+9.246e-05i,-0.00011099+0.00013191i,-0.0012821-0.00083816i,-0.0017002-0.0020486i,-0.0008261-0.0015563i,-0.0005498-0.00023853i,-0.00064713+0.0004343i,5.8763e-05+0.00023967i,0.00066669-0.0001006i,0.00043135-0.00019759i,6.6481e-05+1.8339e-05i,-0.00012229+0.00028665i,-0.0004069-0.00021099i,-0.00051612-0.00020057i,-0.00052355+9.1076e-05i,-0.00021176+0.00072716i
-0.003506-0.0005131i,-0.0032934+0.00040583i,-0.0029985+0.0016349i,-0.0028199+0.0028018i,-0.0010374+0.0031764i,0.001029+0.0026928i,0.002069+0.00088506i,0.0015638-0.00011263i,9.8741e-05+0.00086433i,-0.00062825+0.0011185i,-0.00021805+0.00043453i,-0.00055963-0.00014367i,-0.00088125-3.1756e-06i,-0.00071857+0.00050105i,-0.00023252+0.00080486i,0.00015568+0.00041655i,0.00022047+2.9582e-06i,0.00082846-0.00055878i,0.0015041-0.00039199i,0.00090758+0.0005146i,0.00027087+0.00078043i,-9.8917e-06+0.00036121i,-0.00030304-0.00038033i
-0.00063587+0.00098308i,-0.00025604+0.00080209i,-2.9345e-06+0.0010709i,-0.00031314+0.00079289i,-0.00048509+0.00091723i,0.00047828+0.00090305i,0.001216-0.0005444i,0.00098681-0.00088345i,0.00080243+0.0010832i,0.00069813+0.0019577i,0.00075273+0.001693i,0.00088923+0.0012392i,0.00050469+0.00026819i,-0.00028477-0.00011349i,-0.00043657+0.00037592i,-0.00046154-0.00020862i,-0.00068288-0.00083486i,-0.00045619-4.2515e-05i,1.1667e-05+0.00062287i,0.00051863+0.00034703i,0.00034538+0.00015475i,-0.00040731+0.00094575i,-0.00027289+0.00055488i
-0.00026261+0.0019799i,0.00021269+0.0015529i,0.0010357+0.00072574i,2.1585e-05+0.00027633i,-0.0011259+5.575e-05i,-0.00089449+0.0002043i,-0.00091988+0.00063988i,-0.00047954+0.00049516i,0.00083369-0.00011074i,0.0021678-0.00033424i,0.0014211-0.00026887i,0.00017562-0.00027982i,0.00038104+0.0002863i,5.4034e-05+0.00097218i,3.9746e-05+0.00084252i,4.6691e-05+0.00077798i,-1.6747e-05+0.00069161i,0.00076895+8.9909e-05i,0.00053315-0.00021093i,-0.00023425-0.00081113i,-0.00015291-0.0016343i,-0.00015597-0.0012916i,-0.00031172+2.9869e-05i
0.0028236-0.0011513i,0.0024277-0.00096372i,0.0016607-0.0016834i,-9.8813e-05-0.0014762i,-0.0015637-0.00059805i,-0.0016228+0.00091842i,-0.00070843+0.0013927i,-0.00035472+0.00066538i,-0.00088851-0.00071615i,-0.00021909-0.0020087i,0.00036753-0.0015711i,4.1514e-05-0.00077939i,0.00054344-0.00023146i,0.00042114+0.00061688i,-0.00050152+0.00050126i,-0.00034518+9.054e-05i,-0.0002631+0.00032613i,-0.00071129+0.00024091i,-0.0010058-4.2319e-05i,-0.00086883+0.00042301i,-7.0841e-05+0.00033169i,0.0002039+6.2128e-05i,-0.00045433+0.0002153i
-0.00014129+0.0006434i,0.00086353+0.0010483i,0.0016139+0.0020846i,0.00029839+0.0028349i,-0.00031799+0.003302i,0.00129+0.0024962i,0.0023398+0.00064236i,0.001583+0.00037593i,0.00017802+0.0010394i,-0.00070255+0.00068395i,-0.0012975-0.00063267i,-0.0010934-0.00040359i,-0.00088875+0.00078738i,-0.00086796+0.0006092i,-2.2744e-06-0.00012041i,0.00056783+2.9984e-05i,0.00042828+0.00097237i,0.00016263+0.00099876i,-0.00033066+0.00046281i,-0.00042298+0.00030301i,-0.00019428+0.00014386i,-0.00024473+0.00031995i,0.00032908+0.00056414i
0.0009002+0.00021664i,0.00099561+0.00045631i,0.0010618+0.0004523i,0.00023046+0.00015965i,-0.00076193+0.0002674i,-0.00067481+0.00092466i,0.00054805+0.00069523i,0.0015156+0.00019273i,0.0014382+0.00036897i,0.00091455+8.486e-05i,0.00032071+0.00022681i,-0.00035429+0.0009366i,-0.00063347+0.00063739i,-6.8771e-05+0.00023941i,0.00017895-0.0004311i,-0.00039774-0.00031254i,6.9843e-05+0.00058915i,-0.00017881+0.0006555i,-0.0010674-0.00019251i,-0.00077827-0.00049325i,0.0001757-0.00033938i,0.00051523-2.7168e-05i,0.00057545+6.3807e-05i
-0.0010642-0.00018993i,-0.00017654-1.4574e-06i,-0.0011828+0.00055238i,-0.0027672+0.0009448i,-0.0017953+0.00090951i,0.00017954+0.00058596i,6.7613e-05-0.00026627i,-0.00032894-0.001238i,0.00018473-0.00089118i,0.0016634-0.00012172i,0.0020244+0.00016045i,0.0011946+0.00083651i,0.00030254+0.0011656i,-0.00025919+0.0005914i,-0.00035235-0.00017766i,-3.7491e-05-0.00082115i,0.00028234-0.0005129i,0.00023538+0.000268i,2.1851e-05+0.00043824i,-0.00089479-9.3529e-05i,-0.0013236-0.00038816i,-0.00075076-8.2074e-05i,-0.00095138-0.00054126i
0.00053801+0.0021192i,0.0013155+0.0021516i,0.001841+0.0024244i,0.00064422+0.0012352i,-0.00036524+0.00060905i,-0.00016065+0.0011213i,-8.5241e-05+0.0012782i,-0.0002517+0.00069004i,-3.7068e-05+5.1054e-05i,-0.00011683-0.00080113i,0.00018595-0.0016325i,0.00064149-0.0020211i,0.00081122-0.00099924i,0.00046218+0.00016764i,-0.00028786+0.00046421i,-0.00048026+4.2175e-05i,-0.00049558-8.162e-05i,-0.0003313+0.00022352i,-0.00030912+0.00039451i,-0.00048211+0.00039668i,-2.3237e-05+0.0005044i,-0.00015895+0.0001223i,6.646e-05-0.0005935i
-4.0629e-05-0.0021291i,-0.00021377-0.0017035i,-0.00062004-0.000332i,-0.0012682+0.0012426i,-0.00076417+0.0018465i,0.0009705+0.002446i,0.0023784+0.0023577i,0.0018944+0.0021056i,0.00057895+0.0020912i,-0.0008713+0.0017433i,-0.001569+0.00096024i,-0.00082149+6.2755e-05i,-0.00018096-0.00043926i,-0.00045623-0.00049744i,-0.00011886-0.00037579i,0.00054087+0.00053814i,0.00071728+0.0010222i,0.00078631+0.0010175i,0.00077453+0.0010847i,0.00077182+0.00028019i,0.00046815-0.00069191i,0.00044919-0.0005499i,0.0005557+0.0004796i
-0.0019772-0.00093667i,-0.0017974-0.00066549i,-0.0024339-0.00011093i,-0.0027966+0.0011912i,-0.0012902+0.0025959i,0.0015499+0.002491i,0.0023336+0.00049855i,0.0013161-0.00050992i,0.00060348+0.00024992i,0.00049096+0.0012657i,0.0001031+0.0017958i,-0.00015237+0.0011602i,-0.00027492+0.0002766i,-0.00012308-0.00011411i,0.00039411-0.00040562i,0.00041651-0.00063943i,-0.00022024-0.00068574i,-0.00020131-0.00041684i,0.00028511-0.0003852i,0.00010442-0.00041735i,-0.00028584-0.00046014i,0.0001198-0.00023493i,0.00050649-0.00032461i
-0.0008703+0.00055993i,-0.00032674+0.00055952i,-0.0011466+0.00097621i,-0.0010256+0.0012326i,6.6669e-05+0.00096338i,0.00067563+0.0013072i,0.00081847+0.00052193i,0.0010471-0.0011359i,0.0015863-0.0015408i,0.0019779-0.00034832i,0.0016156+0.00011929i,0.00075124+0.00041258i,0.00051388+0.0003028i,0.00066025-0.00015087i,0.00040292-0.00038986i,-7.1768e-05-0.00035062i,-0.00046186+6.9488e-05i,0.00020789+6.7899e-05i,0.00023486-0.00030256i,0.00010878+2.9286e-05i,0.0003232-0.00013344i,0.00018683-1.8315e-05i,0.0002188+0.00017492i
0.0009643-0.0020759i,0.00034656-0.001561i,-0.0005067-0.00080869i,-0.0013048-0.00038877i,-0.0016984+0.00054908i,-0.0018015+0.00096408i,-0.00095815+0.00039294i,-0.00031846-0.00050497i,-0.00071842-0.0015007i,-7.7018e-05-0.0019932i,0.0014953-0.0015893i,0.00098747-0.00056993i,-5.874e-05+0.00027329i,3.7344e-05+0.00029314i,0.000197-6.2571e-05i,0.00065469+5.0388e-05i,0.00051197+0.00018476i,0.00025905+0.00019853i,-5.6877e-05-9.4886e-06i,-0.00024961-0.00097999i,-8.2734e-05-0.00089822i,-0.0003841-0.0001165i,-0.0002993+0.00022002i
4.2203e-05+0.0021265i,-4.1849e-05+0.0021876i,-0.00061048+0.0019112i,-0.00095533+0.0012718i,-0.00058899+0.0016025i,-0.00038337+0.0025348i,-0.00059786+0.0026781i,-0.00025792+0.0024255i,-0.00049024+0.0020747i,-0.0014555+0.00013894i,-0.0014615-0.0018729i,-0.0015866-0.0019824i,-0.00085837-0.00086697i,0.00031703+0.00044495i,0.00059302-3.588e-05i,0.0007835-0.00076506i,0.00118-0.0010802i,0.0014404-0.0010925i,0.00079607-0.0005632i,-6.3816e-05-0.0010276i,-0.00084459-0.00094392i,-0.00086954-9.6811e-05i,-0.00028673+0.00012835i
-0.001696-0.0033661i,-0.0011379-0.0020652i,-0.0011641-0.0017403i,-0.0015443-0.00056704i,-0.0015852+0.0019047i,0.00049723+0.0026138i,0.0031444+0.0010352i,0.0036039-0.00026404i,0.0024476-0.00012004i,0.00048064+0.00077397i,-0.00079657+0.00042932i,-0.00017757-0.00029379i,0.00078811-0.00071967i,0.00064408-0.00072321i,0.00093605-0.00036384i,0.0011006-9.2578e-05i,0.00052985-0.00016491i,7.6991e-05-0.00054686i,-0.00032286-0.00069396i,0.00042724-0.00068707i,0.0010072-0.0010686i,0.00049392-0.0011204i,0.00033495-0.00068927i
0.00076144-0.0011638i,0.00065728-0.00013408i,0.00060853-0.00014289i,0.00029386+0.00067456i,7.0966e-05+0.0015477i,0.00064687+0.00087415i,0.0007272-0.0011484i,0.00098578-0.0024636i,0.0015993-0.0014634i,0.0018455+0.00048451i,0.0015669+0.0012262i,0.0002376+0.00073474i,-0.000111+0.00097143i,-0.00036296+0.0016322i,-0.0013375+0.0013312i,-0.0014339+0.0010921i,-0.00079433+0.00044985i,-0.00048697-9.3506e-06i,-0.00052671-0.00024356i,-0.00046352+1.7483e-05i,0.00024673+0.00061401i,0.0011427+0.00045533i,0.00086169+0.00043114i
-0.001177-0.00035092i,0.0004508-0.0010104i,-0.00072783-0.0014522i,-0.0019116-0.00018549i,-0.0017346+0.00098834i,-0.00086695+0.00087639i,-0.00092525-2.2188e-05i,-0.0013953-0.0012927i,-0.0012175-0.0019261i,0.00016351-0.0012463i,0.0013069-0.00073827i,0.00089845-0.0012141i,0.00051749-0.0007352i,0.00044139+0.00049659i,-0.00030542+0.00032376i,-0.00043114+0.00020324i,8.7711e-05+0.00048907i,0.00017877+0.00048611i,0.00036758-0.00015769i,0.00032182-0.00094425i,-0.00060486-0.00075601i,-0.00042146-0.00073756i,-0.00031692-0.00024173i
-0.0014127+6.1966e-05i,-0.00018455+0.00057469i,-9.9646e-05+0.0012549i,-0.00075008+0.0013338i,-0.0020094+0.0023063i,-0.0027501+0.0030743i,-0.0021463+0.0030011i,-0.0016997+0.0025271i,-0.0017395+0.0012299i,-0.0010031-0.0003243i,0.00017521-0.00086137i,0.00027094-0.0011738i,-7.7566e-05-0.00091688i,0.0001933-7.5752e-05i,0.00010765+6.9488e-05i,-0.00070722-0.00019243i,-0.00098286-0.00073916i,-0.0003464-0.0011861i,0.00027598-0.0013117i,0.00016089-0.0009558i,-0.00022155-0.00042226i,0.00034302-0.00047301i,0.00039277-0.00051445i
0.00086544-0.00045251i,0.0010883-0.0001999i,0.0006056+0.00076195i,-0.00031471+0.0012942i,-0.00025549+0.0018787i,0.0011432+0.0029949i,0.0023659+0.0025545i,0.0025552+0.0015224i,0.0020641+0.0011852i,0.00059814+0.0010799i,-0.001005+0.0010902i,-0.0014492+0.0008055i,-0.0014241+0.00065195i,-0.0015351+0.00087908i,-0.0011625+0.0013023i,-0.00058405+0.00061982i,0.00032917+0.00021138i,0.0009544+0.0004489i,0.00061392-0.00019283i,0.00051602-0.00038859i,-0.0004091-0.00026948i,-0.00083753-0.00019876i,-0.00072071-0.0006677i
-0.00070674+0.00032078i,-0.00076518+0.00093727i,0.00015805+0.00056635i,0.00095547+0.00045054i,0.0012968+0.0011963i,0.0023062+0.0012083i,0.003127-0.00069259i,0.0032633-0.0020334i,0.002764-0.00080316i,0.0022479+0.0011959i,0.0017403+0.0019363i,0.00053926+0.0014212i,-0.00025315+0.00024128i,-0.00076825-0.00020752i,-0.0013634+0.00028072i,-0.00079439+0.00048614i,-0.00018208+0.0003791i,-2.4243e-05-0.00024217i,0.00016617-0.00082805i,-0.00015321-9.8425e-05i,-0.00043334+0.00035935i,-0.00033184+0.00056496i,-0.0006733+0.00080941i
-0.0036751-4.0127e-05i,-0.0025138+0.0005759i,-0.0010121+0.0015534i,-0.0006458+0.0019607i,-0.00097843+0.001117i,-9.4895e-05-6.7342e-05i,-1.9595e-06-0.0011938i,-0.0012039-0.0016931i,-0.00075445-0.001433i,0.0013153-0.00066346i,0.0019206-4.9998e-05i,0.00085127-0.00062236i,-8.1035e-05-0.0009512i,-9.2175e-05-0.00052991i,9.7019e-05+6.7224e-05i,0.00063549-0.00036502i,0.0007078-0.00086175i,0.00015657-0.00086422i,-0.0001792-0.00015882i,-0.00055236-0.00010931i,-0.00056381-0.00046835i,-0.00045549+4.6799e-05i,0.00021969+6.3506e-05i
-0.00080883-0.00086579i,-0.001666-0.00064562i,-0.001239-0.0012i,-0.00089923-0.00076021i,-0.0021123-0.00026053i,-0.0022358+0.0013737i,-0.00090752+0.0022068i,-0.0013875+0.001172i,-0.0021155+0.00023417i,-0.0011415-0.00048439i,5.0969e-05-0.00096477i,0.00047105-0.00095828i,0.00050996-0.00057991i,0.00054517-0.00020253i,0.00098286+0.00023165i,0.00068955+0.00040226i,-0.00039788+0.00060104i,-0.00054702+0.00062508i,0.00018641+0.00049288i,0.00046842+0.00018362i,-0.00011144-0.00033888i,-0.00090112-0.0003545i,-0.0009143-0.00030129i
0.0016957+0.00051759i,0.001394+0.00039015i,0.0009285+0.00028954i,-3.5982e-05+0.00049829i,-0.00084705+0.0011149i,0.00020305+0.0022014i,0.0012368+0.0031234i,0.00032733+0.0034586i,-0.00076991+0.0029692i,-0.0014341+0.00075858i,-0.001367-0.0011736i,-0.0010359-0.0012912i,-0.0011739-9.5761e-05i,-0.0010736+0.00013718i,-0.00021244-0.00015071i,4.7734e-05-0.00026048i,0.00049231+2.7284e-05i,0.00044783+3.6542e-05i,0.00036551-0.0006545i,9.4299e-05-0.0005774i,-0.0001702-0.00052317i,-9.2358e-05+0.00010273i,-2.1741e-05+0.00057851i
-0.00018572+0.00039223i,0.00031879+0.0009058i,0.00036908+0.0011676i,-0.00042217+0.0010997i,-0.00094567+0.0019811i,0.00093745+0.002669i,0.0031428+0.0010083i,0.0038224-0.0006195i,0.0035079-0.00022075i,0.0020603+0.0010459i,0.00051355+0.0016712i,0.00041653+0.001512i,0.00088044+0.0013737i,0.00087371+0.00053839i,0.00069346+0.00026143i,0.00025095+0.00051174i,0.00022422+0.00018778i,0.00067788-0.00026657i,0.00032279-0.00055229i,-0.00011688-0.00053588i,-0.00024484+1.5655e-05i,0.00020151+0.00045957i,0.00054314+0.00032386i
0.00083963-0.00030675i,-6.4959e-05-0.00089309i,-0.00040588-0.0013409i,-0.0016211-0.0008472i,-0.0017493-8.0011e-05i,-0.00043784-0.0011316i,0.00049588-0.0027052i,0.00075578-0.0030568i,0.0014082-0.0028323i,0.002096-0.0022358i,0.0020762-0.00094657i,0.0019049-0.00022788i,0.0011166-0.00019045i,0.0008809+0.00037256i,0.0013663+0.0014709i,0.00091849+0.0016457i,-0.00017534+0.00084497i,-0.00040499+0.00024762i,0.00052792-0.00043069i,0.00079758-0.00070599i,0.00034037-0.00046586i,3.1585e-05-0.00025661i,-0.00034657-0.00016793i
-0.0013717-0.001334i,-0.0013798-0.0004826i,-0.0022781-5.0499e-05i,-0.0025267+0.00041032i,-0.0027213+0.00086785i,-0.0027095+0.0012692i,-0.0028769+0.00065183i,-0.0033304-0.00076909i,-0.0023404-0.0013939i,-8.587e-05-0.0014034i,0.0010024-0.0014107i,0.0008049-0.0016964i,0.00022605-0.00089366i,-0.00040995+2.4218e-05i,-0.00018951-0.0002036i,-0.00017582-0.00028497i,-0.00012772-0.00043765i,-0.00022343-0.00055736i,-0.00040858-0.00015007i,0.00014042-0.00024531i,-1.4114e-05-0.00019068i,-0.00060514-0.00029264i,-0.00099411-0.0006628i
0.00071262+0.00056388i,0.00073991+0.0010642i,0.00039459+0.00037493i,-0.00090031+0.00014948i,-0.0019534+0.0010165i,-0.0022319+0.0025816i,-0.0020447+0.0038172i,-0.0019645+0.0040998i,-0.0023362+0.0024448i,-0.0023496+0.00097454i,-0.0022182+0.00022702i,-0.0015566-0.00065526i,-0.0014586+0.00035217i,-0.0014063+0.0013849i,-0.00062342+0.00070264i,0.00027223+0.00040606i,0.00036491+0.00061168i,0.00061503+0.00044361i,0.00038212-0.00054413i,-4.0377e-05-0.0010089i,-0.0005699-0.00051413i,-0.00041176-0.00017413i,-0.00017412-0.00072637i
-0.00021258-0.0010721i,-0.00034516-0.00031221i,-0.00035487-3.9181e-05i,-0.00064897+0.001553i,-0.00081414+0.003068i,0.0016375+0.0035208i,0.0039542+0.0029543i,0.0043901+0.0017295i,0.0033339+0.0010064i,0.0010223+0.0011163i,-0.0004765+0.0010555i,-0.0009166+0.0010285i,-0.00084571+0.0010123i,-0.00072939+0.00051073i,-0.0004252+0.00014564i,0.00027855-3.565e-05i,0.00037864+4.7477e-05i,0.00048897+0.00029206i,0.00073465+0.00055291i,0.00026446+0.0005338i,-8.7605e-05-0.00024893i,-8.8761e-05-0.00062271i,-6.3148e-05-0.00027041i
0.0016443-0.00097555i,0.0010753-0.0011958i,0.00014968-0.00076456i,-0.00040761-0.00065769i,0.00024585-7.5955e-05i,0.0015952-0.00013256i,0.0028641-0.0018731i,0.0031471-0.0026666i,0.0027596-0.0017107i,0.0026709-0.00086637i,0.0023368-0.00042084i,0.0010243-0.00040786i,0.00029488-0.00017798i,0.00061019+0.00072659i,0.0006249+0.00071375i,0.0010542+0.00024289i,0.0011439+0.00041721i,0.00091356+0.0011082i,0.00036762+0.0012205i,-3.8211e-06+0.00065852i,0.00012598+8.3264e-05i,-0.00010849-0.00010309i,0.00013333-0.00030021i
-0.00061922+0.0028323i,0.00041413+0.0032812i,0.00029235+0.0029775i,0.00028552+0.0011313i,-5.2659e-05+0.00040127i,-0.00079402+0.00030965i,-0.0013775-0.0010144i,-0.0018507-0.0025559i,-0.0010653-0.0025683i,0.00054506-0.0023282i,0.00118-0.0022111i,0.00058466-0.0018352i,0.00012838-0.0016448i,-0.00013258-0.00046525i,-0.00045413+0.0004926i,2.2801e-05-6.076e-05i,0.00031385-0.00014649i,-0.00070985+0.00036125i,-0.00078823+0.0002285i,-0.00010458-0.00035649i,-0.00019259-5.5663e-05i,-0.00094613+0.0004749i,-0.00066265+7.6984e-05i
