-0.0015854-0.0007223i,-0.00054296-0.0016227i,-0.00092438-0.0019964i,-0.0018537-0.0003546i,-0.002791+0.0021608i,-0.0023636+0.0024695i,-0.00066184+0.0018215i,1.9808e-06+0.0014847i,-9.9411e-05+0.0013694i,-0.00041052+0.00030153i,-0.00063458-0.0015951i,-0.00089423-0.0020152i,-0.00078745-0.0011692i,-0.00052196-0.00036509i,-6.9413e-05-5.6089e-05i,9.4877e-05+0.00023834i,0.00015864+0.00088631i,-0.00010497+0.00094288i,-0.00036997+9.505e-05i,-7.2658e-05-8.116e-07i,0.00027032+0.00075701i,0.00031955+0.00067212i,-0.00035005-0.00014389i
-0.00036141+0.00039684i,-0.00050859+0.0016512i,-0.00084004+0.0015684i,-0.00072523+0.001261i,0.00013436+0.0011387i,0.0012509+0.00082206i,0.0010191+0.00099456i,-0.00018476+0.0013511i,-0.00042245+0.0014414i,0.00039601+0.0016575i,0.00018392+0.0018862i,-0.00049191+0.00117i,-0.0012772+0.0002152i,-0.0014494+0.0002737i,-0.00045673-3.7626e-05i,-3.1905e-05+0.00019027i,0.00018782-2.9586e-05i,0.00072941-0.00047623i,-0.00010095+4.0981e-05i,-0.00082915+0.0002564i,-0.0011706-0.00015038i,-0.00053623-3.2388e-05i,4.2083e-05-3.6511e-05i
0.00036285+4.7491e-05i,0.00060607-0.00029552i,0.00027645-0.00058319i,-7.5383e-05-0.00086463i,-2.9561e-05+0.00052546i,0.00018935+0.0017472i,0.00069303+0.0012741i,0.0013171+0.00017451i,0.0015266-0.00037825i,0.0019092-0.00056509i,0.0019995-0.00035253i,0.001211-7.3981e-05i,0.00094861+0.00012477i,0.00036771+0.00078061i,8.4322e-05+0.00068289i,7.2845e-05+0.00013308i,6.1008e-05+0.00035369i,0.00060205+0.00050451i,0.00053299-5.3503e-06i,0.00075848-0.00027903i,0.00045005-0.00027087i,0.00016605-0.00034015i,-0.00019348+0.00031364i
-0.00019556+0.00053225i,0.00030112+0.00013605i,5.2157e-05-0.00025346i,-0.0017752+0.00014719i,-0.002568+0.0012351i,-0.0012592+0.0023915i,0.00076337+0.0011243i,0.0014719-0.00094476i,6.1207e-05-0.0018171i,-0.00057537-0.0019607i,0.00072906-0.0013341i,0.0015469-0.00046581i,0.000897-0.0002702i,5.3958e-05-0.00051021i,4.3833e-05-0.00038074i,-0.00012038+0.0002401i,-0.00053738+0.0004069i,0.00022563+0.00040875i,0.001329+2.6392e-05i,0.00093924-0.00077227i,-0.00021158-0.00078769i,-0.00091983-0.00029464i,-0.001054-0.00015728i
-0.0024475+0.00049663i,-0.0011861+0.001225i,-0.0013364+0.0008982i,-0.00062528+0.0016318i,-0.00029466+0.0028436i,0.00018551+0.0023623i,0.00049189+0.0005919i,0.00021227-0.00070916i,-0.00044231-0.00075119i,-0.0010585-5.3113e-05i,-0.00038201-7.9335e-05i,-0.0005247-0.0011391i,-0.0014379-0.0013688i,-0.001112-0.00091815i,-0.00055348-0.00062075i,0.00021053-0.00028244i,0.00050318+9.1507e-05i,0.00049079-4.3972e-05i,-0.00015867-0.00017483i,2.2069e-05+0.0001153i,0.00035887+0.00023859i,0.00013396+3.166e-05i,0.00057573-2.2562e-06i
0.0017546+0.00083148i,0.0013278+0.0010356i,0.00063297+0.00066497i,0.00035488-0.00054011i,0.00035465-0.00010963i,-0.00015647+0.0003701i,-5.8229e-05-1.2934e-05i,1.4632e-05+0.00018771i,0.00018854+0.0011676i,0.00043362+0.0017208i,-0.00013353+0.0014515i,-0.00066109+0.00073241i,-0.00065061+0.00039632i,0.00051179+0.00035228i,0.00040742+8.8358e-05i,-0.00023948+0.00030961i,-0.00059395+0.00061661i,-0.00046709+0.00030589i,2.427e-05-0.00072361i,0.00018166-0.0014813i,0.00039358-0.001202i,0.00025249-0.00050381i,-0.00033829-0.00017151i
0.0024762+0.0024274i,0.0020437+0.0005849i,0.0018194-0.00028268i,0.001241-3.4679e-05i,0.0006226+0.00014004i,0.00041932-0.00030664i,0.00047211-0.00035427i,0.0010048+0.00040889i,0.0018873+0.00087642i,0.0019923+0.00068798i,0.0018943+0.00028141i,0.0011438+0.00026659i,0.00041083+0.00060914i,0.0001273+0.00017973i,-0.00011672-0.00063646i,-0.0005312-0.00072055i,-0.00046135-0.00032418i,0.00023769-3.1071e-05i,0.00016605-0.00056404i,-0.00074679-0.00024036i,-0.00049159+0.00079591i,0.00069187+0.00084625i,0.00048482-0.00017986i
0.00063669-0.0011479i,5.0006e-05-0.00070678i,0.00047017-0.0017498i,-0.00066415-0.0017497i,-0.0023948-7.2017e-05i,-0.0021523+0.00055175i,-4.0018e-06+5.9998e-05i,0.0019414+1.5623e-05i,0.0017603-0.00044296i,0.00083577-0.0010715i,0.0005707-0.0003518i,0.00048239+0.00011928i,1.8543e-05+6.2417e-05i,-0.00048555+0.0009293i,-0.00053238+0.0014229i,-0.00033303+0.00091365i,4.9394e-05+1.3357e-05i,0.0007135-0.00095754i,0.00071401-0.00080401i,0.00033642+0.00031893i,0.00042286-0.00059867i,0.00060456-0.0013448i,-0.00035456-0.00053723i
0.00043314-0.001198i,-0.0002157-0.0006805i,-0.0007755-0.00079953i,-0.0012321+0.00067462i,-0.0012308+0.0023632i,-0.00027172+0.0024681i,0.00037568+0.0013531i,0.00023408+5.4738e-05i,-0.0010948-0.00073791i,-0.001939-0.0015111i,-0.0016281-0.0012757i,-0.0010566-0.00043361i,-0.0011793-5.6197e-05i,-0.00017534-0.00033926i,0.00077757-0.00050348i,7.8582e-05-0.00037299i,-9.0503e-05-0.00041245i,0.00021501-0.00053211i,0.00020847-0.00055249i,-1.359e-05-0.00078977i,-0.00037397-0.00077624i,-0.00059317-5.392e-05i,-0.00039699+0.00051544i
0.00015002-0.00081605i,-0.00048611-0.00092417i,-0.0013743-0.0010504i,-0.0013325-0.00052013i,-0.00035297+0.00020402i,0.00089362+0.0014678i,0.00098363+0.0018091i,-0.00019064+0.0015033i,-0.00077186+0.001762i,-0.00040683+0.0017798i,-0.00047202+0.0011414i,-0.00090485+0.00015555i,-0.0009927+0.00031974i,-0.00080392+0.00030732i,-0.00021096-0.0004594i,0.00017368-0.00025871i,0.0001775-0.00025776i,7.4517e-05+1.6561e-05i,-0.00034526+9.2663e-05i,-0.00029735+8.555e-05i,-0.00011347+0.00019799i,-0.00045878+0.00073186i,-0.00084733+0.00035434i
-0.0022003+0.0004056i,-0.0014693+0.0013869i,-0.00051106+0.00088265i,0.00042245+0.0007758i,0.00032278+0.00094819i,0.00059874+0.00043397i,0.0010647+0.00025374i,0.00085197-0.00010687i,0.0011798+0.0001344i,0.0017305+0.0008488i,0.0012956+0.0010524i,0.00042208+0.0010288i,-0.00012882+0.0010784i,2.9111e-05+0.00054532i,0.00083691+0.00025892i,0.0013225-0.00035201i,0.00078666-0.00059632i,-9.6718e-05+0.00013611i,0.00036247+0.00043915i,0.0012829+0.00034192i,0.00093627-1.6488e-05i,0.00060847-0.00028365i,-0.0001194-0.0005273i
