-0.0033771+0.00084674i,-0.0033165+0.0014875i,-0.0045501+0.0012405i,-0.0046457+0.0020103i,-0.003662+0.0028469i,-0.0025513+0.0021772i,-0.0019013+0.0015733i,-0.00061706+0.0016597i,0.00085787+0.0016332i,0.0010815+0.00057737i,0.0015287-0.00052191i,0.001991+5.6434e-05i,0.0012489+0.00026534i,0.00042181-0.00025189i,9.6234e-05-4.5584e-05i,-0.00047005+0.00031986i,-0.00053374+0.00037347i,-0.00022502-0.00012304i,-0.000227-0.00073232i,-0.0004713-0.00064992i,-0.0006009+0.00018437i,-0.00031294+0.00076508i,-0.00011125+0.00037479i
0.000184+0.0009953i,-0.00083784+0.00087164i,-0.00021857+0.0007724i,0.00043218+0.00076431i,-0.00053733+0.00074598i,-0.00087781-2.768e-05i,-0.0013293-0.00069672i,-0.0014801-0.00039702i,-0.00084628-2.7612e-05i,0.00028118-8.0982e-06i,0.0010663+0.00026311i,0.0010573-2.5976e-05i,0.00043683-0.00070447i,-0.0002925-0.00087637i,-0.00030086-0.00038716i,-0.00054526-0.00041964i,-0.00060527-0.00019477i,-0.00066463+0.00029708i,-0.00046698+0.00026873i,0.00054801+0.00040425i,0.00065418+0.00040878i,0.00051988+0.00040956i,0.00077989+0.00070531i
-0.00095355-0.001088i,-0.00085457-0.0009151i,-0.0011667-0.00092393i,-0.001773-0.00024173i,-0.0014645+6.3671e-05i,-0.00099946+0.00013768i,-0.0011823-1.8894e-07i,-0.00077258-0.00060489i,-0.00043557-0.00026027i,-0.00032914-0.00013845i,6.0239e-05-0.00022673i,0.00090523-0.00017155i,0.00075843-0.00034359i,-0.00089735-0.00019336i,-0.0013758-3.197e-05i,-0.00060281+0.00032382i,-0.00058307+0.00070912i,-0.0010178+0.00061996i,-0.00062009+0.00029098i,-0.00044269+0.00056562i,-0.0009259+0.00030671i,-0.00049899-0.00039591i,-0.00028238-0.00021552i
0.00016955-0.00032904i,0.00093571+0.0014i,0.00095967+0.0018976i,-0.00047867+0.001659i,-0.0019744+0.00092411i,-0.0023474-0.00022552i,-0.0011273-0.0011454i,-0.00045466-0.00091515i,-0.00057223-0.00019146i,0.00026645-7.1322e-05i,0.0011886-0.00036862i,0.0010223-0.00032188i,0.00029421-0.00055417i,1.6538e-05-0.00066056i,-0.00063628-0.0002744i,-0.00069014+0.00017265i,0.00035433+0.00057109i,5.8274e-05+0.00023441i,-0.00055461-7.8577e-05i,-0.00065807-8.639e-05i,1.7198e-05-6.925e-05i,-2.7503e-05-0.00016005i,-0.000278-0.00024649i
0.0001503+0.00020983i,-8.076e-05-0.00057909i,0.00054999+5.2475e-05i,0.00055183-0.00032636i,0.00059383-0.001816i,-0.00046054-0.0012555i,-0.001395-0.00025989i,-0.00080326+4.3963e-05i,-0.00010662-1.7261e-05i,0.0010522+0.00010117i,0.0015048-0.00028255i,0.0012805-0.00099388i,0.00055962-0.00061078i,-0.00063278-0.00023926i,-0.00082963+0.00028205i,-0.00034326+0.00039776i,-0.00025688+0.00012757i,-0.00036842+0.00020653i,-0.00069984+0.00056794i,-0.00053304+0.00068971i,-0.00025366+0.00040856i,-1.7999e-05+0.00031459i,-2.6005e-05+0.00046042i
5.945e-05-0.00074659i,-0.00048848-0.0014535i,-0.00074075-0.001244i,-0.0011978-0.00067685i,-0.001525-0.00027662i,-0.0013357-0.00046103i,-0.00099396-0.00014628i,-0.00079731-0.0001611i,0.00011467-0.00084722i,0.00054841-0.00060095i,0.00048626-4.7809e-05i,0.00089716-0.00029196i,0.00043222-0.00074747i,-0.00078641-0.00087118i,-0.0013238-0.00058603i,-0.0010545+4.7148e-05i,-0.00052635+0.00019407i,-0.00027784+0.00060951i,-0.00029169+0.00074157i,-0.00025515+0.00010539i,-0.00033843+0.00033803i,-0.00023057+0.00070202i,-4.9719e-05+0.00025452i
0.00081222+0.0024231i,0.0015635+0.0030667i,0.0018363+0.0031646i,0.0012284+0.0013889i,0.0011691+0.00015196i,0.00091373-0.00019824i,9.2114e-05-0.00033389i,-0.00040844+0.00020244i,-0.00030311-0.0004686i,9.8126e-05-0.0012497i,0.0010156-0.00066688i,0.0011072-0.00099204i,0.00034584-0.0015063i,-6.6973e-05-0.0006899i,-0.00036704-0.00062034i,-6.3915e-05-0.0014497i,-0.00032145-0.001627i,-0.00045063-0.00091675i,0.00018542-0.00036131i,0.0005116+0.00027973i,0.00027469+0.001114i,0.0001406+0.00061373i,0.00049185+6.641e-05i
-0.0012343+0.0024615i,-0.0015484+0.0011671i,-0.00075451+0.00037872i,0.00054849+0.00039845i,2.3018e-05-0.00030859i,-0.0010766-0.0018466i,-0.0013666-0.0019652i,-0.0016029-0.0013502i,-0.00069917-0.0010022i,0.00027761+6.1291e-05i,0.00065371+0.00078438i,0.0010759+0.00035054i,0.00060338-0.00039693i,0.0004278-0.00087812i,0.00082214-0.00066966i,0.00060405-0.00083574i,-0.00018129-0.0013343i,-0.0011008-0.00068824i,-0.0015113+0.00023584i,-0.0013119+0.00039784i,-1.9697e-06-0.00026334i,0.00062576-0.00075243i,0.00025485-0.00084275i
0.0016573+9.8273e-05i,0.0014719-0.00070173i,0.0007408-0.001182i,-0.00054775-0.00064489i,-0.0010221-9.1374e-06i,-0.00051978-0.00040332i,-0.00055484-0.00053091i,-0.00091114-0.00069331i,-0.00032939-0.0012171i,0.00060781-0.00053706i,0.00063781+4.2997e-05i,0.00053421-0.0002063i,0.00078836-0.00053815i,-0.00020601-0.00073773i,-0.00071193-0.00061917i,6.1408e-06+0.00030653i,-0.00037389+0.00019041i,-0.0006787-0.00068549i,0.00010387-0.00044567i,0.00043151-0.00045976i,0.00036-0.00056268i,0.00029248-0.00039386i,0.00091166-0.0005409i
0.00094165+0.003001i,0.0012104+0.0027067i,0.0025912+0.0018892i,0.0028843+0.0010575i,0.0018289+0.00027356i,0.0012614-0.00058801i,0.00058096-0.00053051i,-4.2839e-05-0.00028164i,-2.2797e-05-0.0004328i,0.0009878-0.001005i,0.0015685-0.00087952i,0.0013049-5.4198e-05i,0.00048317+0.00021256i,-0.0001725+3.5493e-05i,-0.00028617-0.0001959i,3.2928e-05-0.00039283i,-0.00051586-0.00015824i,-0.0011262-0.00041993i,-0.00064887-0.00052665i,-7.5302e-05-0.00012309i,3.0439e-05+0.00030947i,0.00012605+9.193e-05i,0.00056585-0.00038508i
0.0003134-5.8087e-06i,0.00067805-0.00055065i,-4.5466e-05-0.00044325i,-0.0011965-4.3799e-05i,-0.0013439-0.00044933i,-0.00033977-0.0014196i,-0.000475-0.0015666i,-0.00081469-0.0012923i,-0.00077118-0.0010862i,-0.00022621-0.00077229i,0.00041685-0.00016643i,0.0005062+0.00028967i,-0.00023166+0.000359i,-0.00063194+2.0024e-05i,-0.00034203-0.00054798i,-1.1177e-05-0.00042461i,-0.00023359+0.00027503i,-0.0006542+0.00021285i,-0.00044703+0.00025523i,-0.0001958-3.9712e-06i,-0.00011452-0.00039542i,0.00037893-0.00077212i,0.00040374-0.00082582i
