0.00026019+0.00026246i,0.00035825-0.0018429i,0.00051676-0.002881i,-0.00036579-0.0020189i,-0.0014968-5.8389e-05i,-0.0024075+0.001069i,-0.0020934+0.00094856i,-0.0011995+0.001082i,9.1619e-05+0.0011647i,0.0011948-0.00032862i,0.00136-0.0012105i,0.00026999-0.0010302i,-0.00028221-0.00025612i,-0.00043751-0.00030175i,-0.00036329-0.0010497i,-0.00017642-0.00056986i,-1.4108e-05+1.4002e-05i,8.3574e-05+0.00051165i,0.00035162+0.00094575i,0.00052909+0.0002445i,0.00056652-0.00079162i,0.00061128-0.00027733i,0.000238+0.00019381i
0.00020075-0.0012162i,0.00049991-0.0016601i,0.00051045-0.00098594i,-0.00065062-0.00032025i,-0.0014377-0.00089417i,-0.0017034-0.0014054i,-0.00161-0.00087078i,-0.00068005-0.0010046i,-5.3172e-05-0.0015219i,9.1826e-06-0.0018589i,-0.00075234-0.0015694i,-0.00093609-0.0010948i,-0.0006451-0.00094101i,-0.0010554-0.00013092i,-0.00034199+1.1759e-05i,-0.00013138-0.00065441i,-0.0004338+9.4231e-05i,-0.00023688+0.00060651i,-2.3284e-05-4.458e-05i,6.4461e-05-0.00032971i,-0.00026724+8.774e-05i,-0.00043247-0.00064721i,-0.00028553-0.0015865i
-0.0021377-0.0001634i,-0.0027673-0.00087874i,-0.0019023-0.00039085i,-0.00053555+0.00030178i,0.00025153+0.0005966i,0.00011989-0.00020644i,0.00024695-0.00079571i,0.00046914-7.7154e-05i,0.0004374+0.00031037i,-0.00023399+0.00050635i,-0.00044715+0.00076027i,-0.00036083+0.00035414i,-0.00011419+0.00062052i,3.8972e-05+7.7659e-05i,0.00016555-0.00062739i,-9.1745e-05-0.00067007i,-0.00022925-0.00051785i,-0.0002237-0.00013051i,-0.00050795+0.00039727i,-0.00065442+0.00045575i,-2.9754e-05+7.3349e-05i,-0.00040467+0.00017024i,-0.0010068-0.0002917i
0.0015764+0.0016886i,0.0019685+0.0012667i,0.0022834+0.00075184i,0.0021172+0.00022636i,0.00085903-0.00046741i,-0.0002556-0.0013422i,-0.00045601-0.00090812i,-2.147e-05-0.0002264i,0.00063507-0.0005524i,0.0008586-0.0012126i,0.00036341-0.0013292i,0.00033083-0.0005946i,0.00022362-0.00059528i,0.00022162-0.00059065i,0.00040119+0.00067638i,0.00053858+0.00061478i,0.00068889-9.7638e-05i,6.8928e-05+0.00032432i,-0.00089857+0.00055657i,-0.00025732+0.00035681i,0.0010145+0.00021912i,0.00063747+0.00018956i,-0.00014001-5.4452e-05i
-0.00022819+0.00074637i,0.00029201+0.001471i,0.0011643+0.0018355i,0.0017581+0.00013885i,0.0015988-0.0012013i,0.00087859-0.00077251i,-0.00024401-0.00046846i,-0.00052741-0.00049183i,-7.3511e-05-0.00058675i,0.00041482-0.00088846i,0.00084302-0.00062214i,0.00078076-0.00029505i,0.00061551-0.00061896i,0.00080383-0.00073384i,0.00066137-0.00081144i,0.00017146-0.00053419i,8.2592e-05+7.4169e-05i,0.00084519+0.00087181i,0.00083112+0.00096957i,-0.00038809+2.3916e-05i,-0.00073483+0.00011302i,1.0487e-05+0.00070404i,0.0004129+0.00017623i
0.0001856-5.4689e-05i,-0.0012212-0.0003391i,-0.00096464+0.0004584i,-0.0011707+0.0010577i,-0.001449+0.00038639i,-0.0011082-9.1427e-05i,-0.0012752-6.6539e-05i,-0.0010121-0.00025474i,-0.00033381-0.00028485i,-0.00021597-0.00034741i,-0.00042994-0.00029566i,-0.0001186-0.00063533i,-0.00066777-0.0010766i,-0.0014995-0.00074891i,-0.0016409-0.00040235i,-0.00037707-0.00072281i,0.00036742-0.00070744i,-0.0003464+0.00017515i,-0.00066069+0.00051015i,-0.00035961+0.00030662i,-4.5296e-05+0.00040103i,-0.0003157+0.00061118i,-0.00080315-2.5896e-05i
-0.0019893-0.00010271i,-0.0017134-0.0010821i,-0.00086888-5.9846e-05i,9.4951e-05+0.00068155i,0.00086561+0.00088656i,0.00066531+1.9102e-05i,-0.00028668-0.0013216i,-0.00075221-0.0007866i,-0.00033124-0.00044856i,-0.00040642-0.00068301i,-0.00036596-0.00092705i,0.00061627-0.0011252i,0.0008802-0.00094324i,0.00084909-0.00061267i,0.00063396-8.8571e-05i,-8.6064e-05+0.00017176i,-0.00031337-0.00018783i,-0.00065502-0.00037322i,-0.0010123-0.00043i,-3.2672e-05+0.00014418i,0.00067881+0.00059242i,0.00037162+0.00060001i,0.00028923+0.00043306i
-0.0014504+0.00079178i,-0.0011937+0.00016553i,-0.00019549+0.00049164i,0.0010742+0.001418i,0.0011387+0.0013511i,0.00065007+0.00088557i,0.00019749+0.00043625i,-0.00026206-8.0632e-05i,-0.00064275-0.00051686i,0.00018898-0.00068364i,0.00067825-0.00094434i,0.00037136-0.00069403i,0.00041124-0.00058585i,0.00081316-0.00057833i,0.00096376-6.6198e-05i,0.00058096-0.00013554i,-0.00017742-0.00081802i,-9.4875e-05-0.00080812i,0.0011308+1.2077e-05i,0.0010365+0.00059737i,0.00049863+0.00089228i,0.00093607+0.00058277i,0.00081906-5.7586e-06i
0.0015283-0.0021568i,0.00095336-0.00075298i,0.0010178-0.00063622i,-1.4519e-05-0.0013767i,-5.5511e-06-0.00047136i,-0.00018247+0.00031816i,-0.00042684+0.00013784i,-0.00049097-0.00051136i,-0.00036963-0.0011616i,0.00039606-0.0015859i,0.00059969-0.00084033i,-0.00015942+8.4364e-05i,-0.00079676-0.00015682i,-0.00069324-0.00045233i,-0.0001253-0.00079404i,-1.5491e-05-0.0009549i,-0.00024371-0.00047864i,1.3783e-05-0.0008361i,0.00020193-0.0006467i,-0.00010321+4.136e-05i,-0.00048849-0.00068727i,-0.00070984-0.0013202i,-0.00014209-0.00056545i
-0.002246-0.00027851i,-0.0024357-0.00047579i,-0.0029433-0.00050046i,-0.003019-0.0012576i,-0.0012927-0.0018287i,0.00011032-0.001385i,0.00058062-0.00037348i,0.00027437+0.0002611i,-0.0002754-1.7589e-05i,1.5188e-05-0.00018757i,-4.7039e-05-0.00068036i,-0.0003901-0.0013198i,-0.00032776-0.0018251i,-0.00012254-0.001781i,0.00010328-0.0014494i,0.00021316-0.0018762i,-0.00050278-0.0017831i,-0.00093608-0.00086838i,-0.00092841-2.6497e-05i,-0.00032288+0.00039781i,0.00067403+0.00036963i,0.00031688+0.00015678i,0.0004064+1.6568e-05i
0.0011867-0.0011666i,1.646e-05-0.0023649i,0.00076782-0.0032301i,0.00025916-0.002343i,-0.00084781-0.0011975i,-0.0010737-0.00031279i,-0.0011252-0.00032848i,-0.00058717-0.0012695i,5.9349e-05-0.0011723i,0.00049829-0.0011902i,0.00052257-0.00089323i,0.00049322+0.00042006i,0.00042459+0.00038853i,-0.00037695-0.00047553i,-0.00078848-0.00062172i,6.9493e-05-0.00065213i,0.00026355-0.00078066i,-0.00085313-0.00080057i,-0.0010386-0.00020463i,-0.00053841-0.00036209i,-3.6048e-05-0.00043942i,0.00018621+4.7476e-05i,0.00016708-7.5292e-05i
0.00077033-8.4753e-05i,0.00065956+0.00063819i,0.00068321+0.00074636i,0.0011+0.00012383i,0.0012711-0.00093587i,0.00096943-0.00050635i,0.00015067+6.1636e-05i,-0.00039628-0.00048049i,-0.0002807-0.0010153i,-0.00040064-0.0011392i,0.00013539-0.0010202i,0.000375-0.0006777i,-0.00032561-0.00025549i,-0.00055358-0.0002463i,-0.00055772+0.00028665i,-0.00038556+0.00050619i,-0.00065669-5.2904e-05i,-0.0015207+0.00040066i,-0.00171+0.00032037i,-0.00053028-0.00025376i,-0.00010425+0.00029602i,-0.00098499+0.00091974i,-0.00090511+0.00046871i
-0.0011244-0.0009768i,-0.0021906-0.0016064i,-0.0031101-0.00098865i,-0.0028031-0.00032822i,-0.0019142+0.00080526i,-0.00098448+0.0006107i,-0.00043623+0.00034372i,0.00017765+0.00062625i,0.00034655+9.4272e-05i,0.00060482-0.00083929i,0.00068658-0.00063261i,0.00050903-3.5708e-05i,0.00074735-0.00048367i,0.00057071-0.00037055i,0.0006605+8.4369e-05i,0.00066632+7.0941e-05i,-0.00057937-0.00031593i,-0.0013216-0.00054929i,-0.0012134+2.123e-05i,-0.0010994+0.00019968i,-0.00045365-0.00012241i,-0.00022924-0.00072131i,-0.00032713-0.00040442i
-0.00042182-0.0016819i,1.4259e-05-0.0016015i,-5.3404e-05-0.0014844i,9.8282e-05-0.001561i,0.00081885-0.0016408i,0.00086503-0.0019803i,2.4677e-05-0.001127i,-0.00067207-0.00034634i,-0.00052237-0.00045556i,-2.3937e-05-0.00066285i,0.00017572-0.00042582i,0.00023377+0.00019481i,5.4229e-05-0.00044633i,0.00027352-0.0014674i,0.00067875-0.0012473i,0.00032021-0.00051293i,-0.00023845-0.00042878i,-0.00049188-0.0004932i,-0.00026385+4.1231e-05i,-0.00013915+0.00021181i,-0.00038459+0.00011603i,-7.3667e-05-1.1722e-05i,5.6552e-05-0.0002821i
0.0013702+0.0013358i,0.0014888-0.00011091i,0.001346-0.0011507i,0.00073767-0.00099602i,0.00031826-0.00041221i,-0.00083416+0.00025084i,-0.00098725+0.0002634i,-0.00015919-0.00054839i,7.6921e-05-0.00022391i,0.00023019+0.00075107i,-4.8358e-05+0.00041246i,-0.00073185-0.0010715i,2.907e-05-0.0014974i,0.0011395-0.0013226i,0.0013009-0.00087628i,0.00020993+3.2344e-05i,-0.00070054+0.00015084i,-0.00084159-0.00029732i,-0.00070263-0.00038525i,-0.00071043-0.00010125i,-0.00050289-0.0005185i,0.00041724-0.00075255i,3.466e-05-0.00025682i
0.0018934-0.00091918i,0.0029164-0.00035772i,0.0025123-0.00020416i,0.0011782-0.0010616i,0.00060951-0.0019051i,-0.00017174-0.0010796i,-0.00057248+7.2416e-05i,-0.00029462-0.00011447i,-0.00010028-0.00093371i,-7.6408e-05-0.00081062i,0.00066855-0.00031704i,0.0011788-7.8584e-05i,0.00091006+0.00035057i,0.00052527+0.00064698i,-0.00024111+0.00013156i,-0.00012602-0.00081931i,0.0003169-0.00042457i,0.00035626+0.00039025i,0.00034714+0.00088962i,-5.6872e-05+0.00085039i,-0.00064287+0.00046232i,0.00026589+0.00040561i,0.00090625-7.196e-05i
-3.9982e-05-0.00034469i,0.000375+0.0001356i,0.00039034-0.00060174i,0.00057777-0.00033139i,0.00060581+0.0002748i,0.00019883+0.00030094i,-6.4915e-05+0.00012333i,0.00024877-0.00038669i,0.00086676-0.0008567i,0.00097728-0.0010766i,0.00036661-0.0010252i,0.00013906-0.00069888i,-0.00013672-5.9569e-05i,-0.00032532+0.000441i,-0.00023664+0.00037958i,-3.418e-06-0.00015297i,0.00090151-0.00023466i,0.0012748-6.5693e-05i,0.00041977-0.00078092i,5.734e-05-0.00075682i,0.00027237+8.7897e-05i,0.00027141+0.00031513i,-0.00012407-0.00083467i
-0.0011491-6.2504e-05i,-0.00036915+0.00031399i,-0.0012487+3.6526e-05i,-0.0017633+0.00055655i,-0.00036811+0.00084823i,0.00041471+0.00023815i,0.00070984+0.00025666i,0.00058114+0.00024397i,8.5811e-05-0.00061205i,-0.00027108-0.00084116i,-8.0119e-05-0.00042472i,0.00032139-0.00034445i,0.0006413-0.0009412i,0.00051989-0.00042644i,-0.00024813+0.00040398i,-0.00083665-0.00011286i,-0.00090699-0.00054489i,-0.00052753-0.00069209i,-4.1152e-05+0.00016615i,4.5481e-05+0.00093744i,0.00053108+0.00029096i,0.0013068-0.00041348i,0.0012759-0.00029841i
-0.00030704+0.0012162i,-0.00049712+0.0017747i,2.6321e-05+0.0017443i,0.0012099-0.00027428i,0.001544-0.0011231i,0.0012952-0.00098901i,2.1594e-05-0.0014914i,-0.0010067-0.0015799i,-5.7535e-05-0.00088235i,0.00092754-0.0016217i,0.00061074-0.0018775i,-0.00020418-0.0017475i,0.00010939-0.0022221i,0.00051131-0.0020355i,-7.9128e-05-0.00086768i,-0.00024807-0.00043445i,-9.3095e-05-0.00029074i,-0.00067394-0.00017047i,-0.0011786+0.00028629i,-0.00079534+0.00042803i,4.4241e-05+0.00065547i,0.00029794+0.00068967i,-4.0957e-05+0.00031399i
0.0011007-0.002369i,0.00036819-0.0021187i,3.6628e-05-0.0016776i,-0.00065417-0.00032635i,-0.0010498+0.00048849i,-0.00092961+0.00026666i,-0.00074152+8.6496e-05i,0.00020649-0.00012519i,0.00079029+0.00010713i,0.00071974-0.00024928i,0.000661-0.00057688i,0.00079759+1.7279e-05i,0.000679-7.3327e-06i,0.0005664-0.00060329i,0.00033701-0.00063362i,0.00022154-0.00049559i,-0.00034398+0.00012026i,-0.00064124+0.00073698i,-0.0004024-7.3603e-05i,-0.00049648-0.00063663i,-0.00037843-0.00064204i,-0.000715-0.00034313i,-0.0013477-0.0003596i
3.295e-05+0.0013076i,5.4518e-05+0.00091559i,0.00051204+0.00093689i,0.00030577+0.00044281i,-0.00020258-0.0010377i,-0.0009323-0.0010294i,-0.0010274-0.00080692i,-9.7224e-05-0.0015671i,0.00072536-0.0013449i,0.00064084-0.0010324i,0.00057646-0.0010609i,0.00041463-0.001267i,0.0005494-0.0011484i,5.8512e-05-0.00059025i,-0.001465-0.0007069i,-0.0015523-0.00073195i,-0.00031552-0.00090826i,-0.00020387-0.00029184i,-0.00048263+0.00021626i,-0.00049819-0.00036732i,-0.00019533-0.00074747i,0.00035133-0.00032482i,0.00034151-0.00011657i
