6.787e-05+0.0016724i,0.0014269+0.00096002i,0.0011689+0.00053872i,0.00087125+0.00037948i,0.00040199+8.0649e-05i,-0.00058844-8.3072e-05i,-0.0011845+0.00048252i,-0.00069683+0.00069774i,4.5398e-05+0.0014389i,0.00066679+0.0012465i,0.00090017-0.00031522i,0.00057385-0.001083i,0.00011904-0.0012918i,-0.00063248-0.00077846i,-0.00096046-0.00050573i,-0.00013142-0.00028587i,8.1752e-05+0.00035725i,-0.00027788+0.0004355i,9.545e-05+0.00071077i,0.00039362+0.00038223i,0.00023985+0.0004042i,0.00010835+0.0010731i,0.00015094+0.00096332i
-0.0020248+0.001503i,-0.0020191+0.0021438i,-0.00078783+0.0016813i,0.00061575+0.0020985i,0.00069147+0.0016691i,-0.000278+0.00056845i,-0.00082304-0.00014732i,-0.00088125-0.00015633i,-0.00090988-0.00020476i,-0.00073707-0.00063101i,-0.00056122-0.00048117i,-0.00027149-0.00011493i,-0.0001182-0.00014087i,-0.00045879-0.00017489i,-0.00063142-0.00043516i,-0.00057734-0.00056319i,-0.00035588+0.00011262i,-0.0004442+0.00047783i,-0.00047548+0.00040206i,-0.00036259-0.00017889i,-0.00068018-0.00087059i,-0.0007927-0.00080693i,-0.00019311-0.00038538i
-0.00062447-0.0030158i,0.0006103-0.0024629i,0.00042121-0.0019647i,0.00028136-0.0020411i,0.00057311-0.0017166i,0.001129-0.00077869i,0.0012126-0.000193i,7.4324e-05+0.00047386i,-0.00082031+0.00016495i,-0.00073887-0.00028912i,-0.00039135-0.00060886i,-0.00054004-0.00083324i,-0.00063245-0.00053419i,-0.00039179-0.0004889i,8.5735e-05-0.00057353i,-0.00032097-0.00038974i,-0.00070289-8.998e-05i,-0.00036436+6.9306e-05i,0.00055122+0.00033682i,0.00074329+0.0006084i,0.00041632+0.00041209i,0.00014445+0.00021727i,0.00018886-9.5889e-05i
0.0020008-0.00055669i,0.0019977-0.00028564i,0.00052344-0.0004723i,0.0004267-0.00026647i,0.00083965-0.00016463i,0.00014135-0.00013366i,-0.001077+0.0012495i,-0.0016089+0.0014029i,-0.0012012+0.00014384i,-0.00029334-0.00018179i,1.4731e-05-2.627e-05i,-5.4241e-05-0.00089263i,-9.1416e-05-0.00099282i,-0.00044993-0.00054448i,-0.00090796-0.00052138i,-0.0010792-0.00039705i,-0.00083899+2.2635e-05i,-0.00071415+5.1395e-05i,0.00031354+0.0003545i,0.00075913+0.00021228i,-7.2069e-05-0.00024227i,-0.00023495-0.00026426i,4.4827e-05-0.00028034i
0.0031699+0.00010117i,0.0041824+0.0013575i,0.0045287+0.0011194i,0.002729-1.119e-05i,0.00086155-0.00032226i,-0.0005848+0.00017777i,-0.00070005+9.3314e-05i,-0.00043449+5.6237e-05i,-0.00086034-0.0004875i,-0.00078098-0.0012434i,0.00026831-0.0012868i,0.00083307-0.0008002i,0.00034971-0.00019146i,0.00039132+0.00023385i,0.0005646-0.00027506i,0.0001835-0.0011729i,-5.066e-05-0.001191i,-0.00046328-0.00061168i,-0.00084541-0.00033579i,-0.00062937-4.6088e-05i,-0.00029649-0.0003898i,-0.00028219-5.7441e-05i,0.00016995-8.0789e-05i
0.00034634+0.00091645i,-0.00010072+0.0016541i,-0.00011216+0.00070532i,0.00028639+0.00033404i,-4.1028e-05-0.00026295i,-0.00080053-3.8174e-05i,-0.0010368+0.00093329i,-0.0011021+0.00091556i,-0.0014366+0.00050243i,-0.00087983+0.00042064i,5.7703e-05+0.00028765i,5.1034e-05+9.4029e-05i,-0.00011908-0.00058647i,0.00035381-0.00067889i,0.00059134-2.8385e-05i,-7.9612e-05+1.8968e-05i,-0.0011357-0.00020071i,-0.00097298-0.00034825i,-2.9471e-05-0.0003377i,9.1401e-05-0.00046992i,-0.00049148-0.00060144i,-0.00039829-0.0012818i,0.0003093-0.0012376i
0.00053458+0.0026413i,-0.00019082+0.0016275i,0.0010631+0.00012072i,0.0013357-0.00058979i,0.0011185-0.00061156i,-0.00032227-0.00074932i,-0.00075107-0.00072304i,-0.00066949-0.0006741i,-0.00098471-0.00087736i,-0.00016535-0.001246i,0.00028612-0.000936i,0.00028729-0.0001909i,0.00069417-0.00015658i,0.0012131-0.00048738i,0.00059483+4.5971e-05i,-0.00048635+0.00020535i,-1.1455e-05-0.00014105i,0.00047566+3.7215e-05i,-0.00054897-0.00014972i,-0.00079509-0.00078172i,-4.8199e-05-0.0002791i,-0.0004812+0.00076011i,-0.00061371+0.00050206i
-0.0021651-0.00075122i,-0.0018471+8.2532e-05i,-0.0010614+0.0011952i,-0.00093046+0.0008643i,-0.0010998-0.00012413i,-0.00017732-0.00056468i,0.00013579-0.0012088i,-0.0003731-0.00035282i,-0.0004805+0.00073224i,9.5704e-05+0.00059018i,0.00042947+8.3931e-06i,0.00036347-0.00082918i,0.00075992-0.00098301i,0.0012878-0.00041175i,0.0004529-0.00011722i,-0.0011175-0.00052241i,-0.0012419-0.00090564i,-0.00039609-0.00079036i,-0.00034631-0.00073335i,-0.0003652-0.00041582i,0.00012986+0.0005687i,0.00035854+0.00042783i,-8.8311e-05+0.00028452i
-0.00028458-0.00076265i,0.00037976-0.00078634i,0.0018278-0.000446i,0.0025333+2.9859e-05i,0.0016099-8.3129e-05i,0.00081677+0.00065524i,0.00058292+0.00097874i,0.00025598+0.00025218i,-0.00021814+0.000602i,-2.1258e-05+0.00098937i,0.00077388+0.00046886i,0.00062292-6.1304e-06i,0.00044955-0.00022877i,0.00038762+0.00095193i,-0.00021648+0.0011948i,-0.00053306+0.0002577i,-0.0010874+0.00017594i,-0.0009452+0.00053702i,-0.00031813+0.0010883i,-0.00050705+0.0012623i,-0.00068501+0.00059324i,8.6083e-05+0.00023817i,0.00067965+0.00056695i
0.00064085-0.0003265i,0.0010554-0.00044098i,0.0010989+0.00035576i,0.00052502+0.00054925i,0.00072887+0.00062992i,7.0431e-06+0.00088099i,-0.00042321+0.0001068i,-0.00070581-0.00093223i,-0.0013472-0.001342i,-0.0012074-0.0010487i,-0.00050637-0.0013727i,-0.00058522-0.0011856i,-0.00047201-1.1629e-05i,-0.00036325-0.00011045i,0.00024688-0.00050843i,0.00074228+0.00018545i,0.00058895+0.00033428i,0.00016084+7.0902e-05i,-0.00045057+5.3559e-06i,-0.00027812-8.3191e-05i,0.00010321+0.00016788i,0.00029688-0.00034795i,5.8407e-05-0.00067658i
0.00077579+0.0013174i,0.00052662+0.00055787i,0.0017149-0.00010098i,0.0016305-0.00047488i,0.0013147-0.00056346i,0.00087957-0.00090194i,-0.0011903-0.00056085i,-0.0021618-0.00044722i,-0.00088379-0.0001975i,0.00043434+3.1344e-05i,0.00075286+0.00016417i,0.00061488-0.00014065i,0.00092222-0.00048755i,0.00090365-0.00056837i,0.00033153-0.00058654i,0.00011948+0.00027223i,-0.00028392+0.00051462i,-0.0001783+0.00036273i,6.1873e-05+0.00116i,-0.00023386+0.0009773i,-0.00041802+8.4251e-05i,-0.00037945+0.00016332i,-1.8791e-05-0.00030102i
