-0.00070439+3.1036e-05i,-0.0011376+8.9591e-05i,-0.0022699-0.00032612i,-0.0023706-7.6895e-05i,-0.0018183+0.00083681i,-0.0011053+0.0017631i,-0.00042291+0.0019983i,0.00073225+0.0026857i,0.0016182+0.0026082i,0.0018438+0.0012324i,0.0013708-0.00015386i,0.00083328-0.0004407i,0.00082912+0.00044706i,-6.4e-05+0.00018594i,-0.00071482-2.4174e-05i,-0.00039116+0.00062652i,-0.00038533+0.00030437i,-0.00029193-0.00039109i,-0.00049474-0.0002626i,-0.00099845+9.3122e-05i,-0.00031861-0.00046236i,-5.5743e-05-0.00087376i,-0.00071556+0.0001094i
0.00032399-0.0018956i,-1.7011e-05-0.00068959i,-0.0010916-0.00016712i,-0.0016402+0.00063998i,-0.0012284+0.0016666i,-1.9324e-06+0.0015316i,0.0010388+0.00048007i,0.00075121+0.00031735i,-0.00036588+0.0001062i,-0.00044094-0.00089652i,-0.00054218-0.00066993i,-0.00045083+0.00035136i,-0.00045088+0.00067642i,-0.00084947+0.00080214i,-0.0004893+0.0010616i,-0.00017953+0.00036251i,-0.00044494-1.6867e-06i,0.000314+7.3914e-05i,0.0013518+0.00023213i,0.00095426+0.00037853i,-0.00039742+0.00068717i,-0.00049154+0.00067267i,0.00019467-7.6155e-05i
-0.00014473-0.00029847i,0.00042802+0.00037108i,0.0023471+0.00066434i,0.0037238+0.0004289i,0.0029358-0.00034057i,0.0016682-0.0016928i,0.00044591-0.0014521i,-0.0007083-0.00056304i,-0.00011198-0.0004749i,0.00040536-0.0011245i,-0.00063983-0.0014398i,-0.0013573-0.0010809i,-0.0011432-0.00060495i,-0.00043874-0.00043376i,0.00078215-0.00058447i,0.0012478+6.595e-05i,0.00075168+0.00060758i,0.0007351+0.00050573i,9.6098e-05+0.00070086i,-0.00076988+0.00032367i,-0.00086429+0.00037951i,-0.00063377+0.00024991i,-0.00016707+0.00016072i
-0.001301+0.00075596i,-0.0010075+0.00040289i,-0.0010105+0.0025266i,-0.0002329+0.0030366i,0.00072373+0.0016615i,0.0013092+0.00017156i,0.0013917-0.00077175i,0.00074225-9.3117e-05i,4.0183e-05+0.00033107i,0.00025242-0.00095455i,0.00075-0.0011127i,0.00080212-7.7668e-05i,0.00035096+0.00070888i,0.00058474+0.0012006i,0.00071889+0.00024895i,0.00019552-0.00057266i,0.00021852-4.8708e-05i,0.00021124+0.00061734i,5.3656e-05-4.9459e-05i,0.00040911-0.00048414i,0.00048043+1.4296e-05i,0.00054167+0.00027988i,0.00030669-0.00026955i
0.00062024-0.0004387i,0.00077477+4.9121e-05i,-0.00056939-0.00070717i,-0.001247-0.0011459i,-0.00051287-0.0002217i,-0.0002643+0.00037664i,-0.00020593-0.00016832i,3.9995e-05-0.00099151i,-9.8014e-05-0.00075835i,-0.00070004-0.00060719i,-0.0008255-0.00053651i,-0.000934+0.0004154i,-0.00059166+0.001322i,-0.00027413+0.00078198i,-0.00035015+0.00030698i,-0.00034835-0.00010103i,-0.00039459-0.00030606i,1.7343e-05+3.4328e-05i,0.00040346-0.00063412i,0.00029718-0.00089731i,0.0002994-3.3583e-05i,0.00057342+0.00068348i,0.0003084+0.00052122i
0.00043+0.00090517i,0.00038681+0.00040195i,0.00017964-7.8239e-06i,9.7358e-05-0.00067713i,5.9028e-05-0.0014133i,0.00067329-0.00073109i,0.00094636+6.0624e-05i,0.00060345+0.00013228i,0.00034716-9.3961e-05i,0.0001144-0.00034462i,-0.00034841-0.0013133i,-0.00072962-0.0012187i,-0.00048535+1.0116e-05i,-2.3215e-06+0.00064308i,0.00017063-0.00011545i,0.00018168-0.00047194i,-3.6517e-05+4.3644e-06i,-0.00012358+0.00059427i,-6.15e-05+0.00074857i,-0.00043263-3.729e-05i,-0.00040814-0.00023488i,-0.00060119-0.00010147i,-0.00062553-5.4018e-05i
-0.00010362+0.00093008i,-9.0758e-05+0.0012313i,-9.8528e-05+0.0012008i,0.00032556+0.00086548i,0.00092362+0.00023101i,0.0010259-0.00027849i,0.00060255+0.00031073i,0.00062825+0.00071987i,0.0010584+0.00033924i,0.00068996+0.00011464i,-0.00026707-0.00033177i,-0.00029843-0.00060362i,-0.00088055-0.00037715i,-0.0011324-0.00076297i,0.00024967-0.00055934i,0.00096357+0.00014337i,0.00063895+0.00052965i,0.00053623+0.00054046i,0.00090823+0.00047544i,0.00072065-9.2585e-05i,-4.3297e-05-0.00049902i,-9.0858e-05-0.00097229i,0.00025136-0.00043238i
0.001366-0.00096698i,0.001883-0.0012577i,0.0010742-0.0016813i,0.0007794-6.1636e-05i,0.00093074+0.0013186i,0.0011308+0.00099235i,0.0010464+0.0005198i,0.00052031+0.00062814i,0.00034999+0.00064494i,0.0003957+0.00031844i,0.00029737-0.0010587i,0.00013857-0.0011972i,-0.00036989+0.00037089i,-0.00059702+0.0013466i,-0.00094954+0.00056384i,-0.001004-0.00036789i,-0.000655+0.00010887i,-0.00026062+0.00049709i,-7.2033e-05-4.2496e-05i,-0.00077898+0.00020978i,-0.00049376+0.00092892i,-0.00026116+0.00072554i,-0.0006619+0.00029941i
0.00087006+0.00016689i,0.00080018+0.00015404i,0.0013274-0.00010889i,0.0012703-0.00043928i,0.0011494-0.00011345i,0.00084537+0.00037609i,0.0008554+0.00085774i,0.0010074+0.001201i,0.0013436+0.00068968i,0.0011829-0.00055251i,0.00033462-0.0013564i,-0.00019022-0.0016617i,-0.00082159-0.001631i,-0.0012095-0.00060697i,-0.00072574+0.00032117i,-9.5513e-05+0.0002223i,0.00023352+5.2931e-05i,-0.00020173+4.8831e-07i,-0.0003451-0.00012457i,0.00017035-9.902e-05i,0.00074687+0.00022304i,0.00048035+0.00044292i,-0.00014859+0.00043966i
0.00010098+0.00082704i,0.0005157+0.0011749i,0.0021694+0.0014187i,0.0036809+0.00039703i,0.0032477+4.7083e-05i,0.0017277-0.00027548i,0.00095722-0.00089918i,0.0002578-0.00029677i,-0.00013265-0.00015323i,-0.00074057-0.00073101i,-0.0013444-0.00068312i,-0.00093443-0.00027564i,-0.00050124-8.918e-05i,-6.0964e-05-0.00066606i,-2.232e-05-0.00019582i,-0.00023905+0.00047217i,-0.00042683+0.00019827i,-7.089e-05+8.6626e-06i,0.00025263+8.2906e-05i,-0.00011335+6.663e-05i,-0.00069659+0.00010473i,-0.00029965+0.0003912i,0.00038506-0.00012379i
-6.0296e-05-0.00057498i,-0.00023143-0.00086014i,-0.0002466-0.00075643i,-0.00053419-0.00031855i,-0.00026337-0.00043563i,0.0003024+0.00014203i,0.0010876+0.00075853i,0.00032157+0.00023514i,-0.00069007-0.00045415i,-0.00056525-0.00079823i,-0.00067316-0.0010058i,-0.00051056-0.00022812i,-0.00016808+0.00048018i,0.00012668+0.00011221i,0.0001272+8.4574e-05i,-0.00051936-0.00014939i,-0.00042402-0.00053354i,0.00072899-0.00064836i,0.0014474-0.0010529i,0.0016574-0.00047348i,0.001056-0.00013895i,0.0004474-0.00063939i,0.00065209-0.00039372i
0.0017362-1.6077e-05i,0.0023006+0.00034834i,0.0036942-0.00022977i,0.0032657-0.00049979i,0.001134-0.0011014i,0.00013332-0.001362i,-0.00018548-0.00032322i,-0.00016403+0.00066754i,0.00043788+0.00052238i,0.00067222-0.00011951i,0.00037049-0.0001934i,0.00023849+0.00012712i,0.00011732+0.00065021i,-8.1958e-05+0.00064771i,-0.00021209+8.7884e-05i,-0.00033182+0.00031287i,-2.3604e-05+6.9755e-05i,8.3258e-05-0.00052601i,-0.00030374-0.00024609i,-0.00019077+0.00057633i,-2.4767e-05+0.00050567i,-0.0011665+0.00042251i,-0.0015245-0.00020762i
-0.0010457+0.0018753i,-0.0019874+0.0010392i,-0.0012237+0.00083434i,0.00016445+0.00024457i,0.0014709-0.0004769i,0.0016707-0.00069173i,0.0013453-0.0010198i,0.0009224-0.00081064i,0.00065753-0.00067596i,0.00026729-0.0010393i,-0.00016246-0.0012663i,-0.00047984-2.7332e-05i,1.729e-05+0.00058269i,0.00074209+0.00033602i,0.00062288+0.00011012i,0.00035913-0.00016439i,0.00021356+4.3294e-05i,0.00044776-0.00040595i,0.00064908-0.00078415i,0.00039759-2.9034e-05i,6.2772e-05+0.00044605i,0.00071443+7.4005e-05i,0.00066496-0.00051254i
0.0016488-0.00042556i,0.00091977-0.00080741i,0.00037104+0.00035535i,0.00043654+4.4223e-05i,0.0011164-0.00098551i,0.00061196-0.00082997i,-0.00011406+0.00058608i,-0.00020158+0.0014939i,0.00054237+0.00099891i,0.00096306+0.00032169i,0.00039139-0.00077622i,-3.7431e-05-0.00095438i,-0.00047379-0.00042601i,-0.00036099-0.00057337i,-0.00046066-0.0004067i,-0.00073823+1.8521e-05i,-0.00046413+0.00047905i,-4.3137e-05+9.3028e-05i,0.00032637-0.00054857i,0.00074503-0.00033502i,0.00027303+2.4277e-05i,-0.00072869-0.00020844i,-0.00062951+0.00023785i
0.0018161+4.276e-05i,0.0021781+7.8377e-05i,0.0021998-0.00091439i,0.0022321-0.00153i,0.0021082-0.0011824i,0.00086641-9.5444e-05i,0.00022828+0.00092191i,-4.6836e-05+0.0011788i,-0.00028171+0.00070673i,-7.3787e-05-4.0515e-05i,-0.00043489-0.0003039i,-0.00040865-0.0002479i,-0.00058244-0.00030539i,-0.00056733-0.00016887i,-0.00014593-0.00041653i,7.83e-05-0.00089063i,0.00013464-0.00082465i,0.00080138-0.00044371i,0.0014671-0.00053314i,0.0011483-0.00086114i,0.00051214-0.00044523i,0.00017541-0.00029387i,0.00022475-0.00011075i
-0.0014224-0.0006007i,-0.0013803-0.00024688i,-0.0012479+0.00036889i,-0.0013119+0.00074459i,-0.00055491+0.0012463i,0.00088084+0.0015022i,0.0011457+0.00076142i,0.00066118+0.00025183i,0.00011871+0.0003852i,-0.00026626+5.2275e-05i,-0.00057829-0.00069057i,-0.00084956-0.00031981i,-0.00012879+0.0002319i,8.2879e-05-0.00037777i,0.00012867-0.00062348i,0.00048632-0.00029918i,0.00059232-0.00023782i,0.0004572-0.00055463i,-0.00042233-0.00048163i,-0.00068798+0.00011884i,-0.00021322+0.00027221i,9.4553e-05+0.00015091i,-0.00016803-0.00024475i
-0.00089067+0.00076684i,-0.00017122-0.00043629i,0.00065503+0.00028744i,0.0014535+0.00052701i,0.0014229-0.00040604i,0.00033268-0.0009276i,-0.00017009-0.0011374i,6.6045e-05-0.00093419i,-0.00018141-0.00050922i,-0.00010808-5.2725e-05i,0.0002336-0.00038937i,0.00014119-0.00050385i,-0.0001434+0.00012644i,-0.00056121+0.00085473i,-0.00048868+0.00041812i,1.1128e-05-0.00021657i,-4.3436e-05-0.0001358i,1.4445e-05-4.1542e-05i,4.9975e-05+0.00031841i,0.00030621+0.00031416i,0.00071117-0.00015517i,0.00054891-0.00090157i,0.00018138-0.001378i
-0.0001419+0.0003148i,0.00097624-0.001427i,0.0012831-0.00059595i,1.08e-05-1.8621e-05i,-0.0013049-7.3763e-05i,-0.00091343-0.00063707i,-0.00045668-0.00050063i,-0.00021261-9.8044e-05i,0.00063425-0.00040536i,0.0010903-0.00095202i,0.00041916-0.00066568i,-0.000132-0.00014147i,-0.00017241-0.00036382i,3.9453e-07-0.00052751i,-0.00011276-0.00065628i,-0.00050252-0.00087563i,-0.00020166-0.00044358i,-6.7914e-07-0.00050023i,-0.00030172-0.00093904i,-3.532e-05-0.00089132i,0.00011115-7.1042e-05i,-0.00032132+0.00058982i,-0.0010113+0.00027369i
-0.00099618-0.00056432i,-0.00053575-0.00068358i,-0.00033254+0.00045583i,-0.00022227+0.0012994i,0.00010509+0.0006654i,0.0015617+0.00014099i,0.002433-0.00015695i,0.0014097-0.00056619i,0.00073701-0.00082931i,0.00074996-0.0010628i,0.00067903-0.0012436i,-0.00014792-0.0010199i,-0.00061348-0.00075907i,2.0233e-05-0.00049226i,0.0006131-0.0001132i,0.00077606+0.00034882i,0.00067451-0.00012809i,0.00075139-0.00068239i,0.0012694+0.00054157i,0.0013964+0.00042933i,0.0011027-0.00063985i,0.0013338-0.00075591i,0.0012562-0.00035041i
-7.1163e-05-0.0015016i,-0.00011921-0.0014042i,-5.9276e-06-0.0011852i,-5.0997e-05-0.00081852i,-0.00037753-0.00033044i,-0.00024472-3.3166e-05i,0.00025173+0.00037734i,0.00012223+0.0008033i,0.0002955+0.00049723i,-0.00026747-0.00065656i,-0.00064123-0.0014068i,-8.8893e-05-0.00077051i,0.00047281-0.00017199i,0.0002358+0.00031937i,-0.00039287+0.00050055i,-0.00053379+0.00044037i,-0.00023046-0.00021474i,0.000337-0.00074591i,-0.0001372-0.00054014i,-0.00044024-0.00021992i,-0.00031424+0.00018152i,5.2011e-05+0.00021266i,0.00056787+7.6546e-06i
-0.0010754+0.00027861i,-0.0011464+0.0013167i,-0.00051737+0.0021264i,0.00094237+0.0021482i,0.0015125+0.0011872i,0.0021018+2.8277e-05i,0.0016375-0.00011794i,0.00046069+0.00046338i,0.00032145+0.0011346i,-4.2633e-05+0.0011605i,-0.00065596+0.00021953i,-0.00059647-0.00044267i,-0.00068435-0.00042267i,9.537e-05-0.00011879i,0.0011688+0.0013012i,0.000545+0.0014072i,-2.3182e-05+0.00010992i,0.00017172-4.6678e-05i,0.00046664-4.2841e-05i,-0.00015022-0.00034181i,-0.00081294-0.00050953i,-0.00023129-0.00014804i,-4.4307e-05-0.00014501i
0.0010223+0.00061225i,0.0021666+0.00049987i,0.0028527+0.0002004i,0.0026851-0.00047674i,0.0024275-4.7014e-06i,0.0010666-4.2712e-05i,0.00035134-0.00029706i,0.00022578-0.00010367i,-0.00010818-0.00077097i,0.00033339-0.0012838i,0.00045387-0.0013644i,-6.6696e-05-0.0010706i,-7.9385e-05-0.00020975i,0.00010458+0.00026869i,0.00014939+0.0003799i,0.00046566+0.00075253i,0.00063952+0.0001763i,0.0005963-0.0013139i,0.00035272-0.0013804i,-0.0003629-0.00081084i,-0.00048696-0.0003712i,0.00011466-8.3371e-05i,5.0374e-05-0.00012905i
-0.00040198-0.00071451i,-0.0006712+0.00032293i,-0.00089242+0.0018001i,-0.0011181+0.0016213i,-0.00065523+0.00010433i,0.00068352-0.00012279i,0.0011532+5.1915e-05i,0.00049466-0.00022144i,0.0003659-0.00042232i,0.00081113-0.00013583i,0.00033141-3.0104e-05i,-0.000418-0.00019215i,-0.00041627+1.4734e-06i,-0.00039405-9.4671e-05i,7.5268e-05-0.00035361i,0.00049666-9.6395e-05i,0.00022064-0.00018654i,-0.0001762-0.00039559i,-0.00024901-0.00056947i,0.00014849-0.00017082i,0.00014977+0.00027882i,-0.00020435-5.3889e-05i,-0.00011583-0.00039072i
-0.00084854-0.00078142i,-0.00083402-0.00064602i,-0.00080838-0.00061426i,0.00054443+0.00011705i,0.0010178+0.0010451i,0.00040725+0.00097274i,0.000236+0.00087114i,0.00083315+0.001303i,0.0017982+0.0013657i,0.001879+0.00071218i,0.0012188+0.00054518i,0.00063423+8.1059e-05i,0.00057613+0.00032909i,0.00056078+0.00073911i,-4.9668e-05-1.7089e-05i,-0.00054458-3.0345e-05i,-0.00050488-0.00012731i,-0.00032265-0.00026014i,-0.00024201+0.00017056i,-0.00017156+0.00030813i,-0.00021672+1.3701e-05i,-4.7638e-05-0.00079678i,-0.00037774-0.00043061i
0.00083382+0.0031357i,0.0010944+0.0018364i,0.0030957+0.0017528i,0.0039948+0.0018448i,0.0039459+0.0005692i,0.0027244-0.00041672i,0.00059039+7.1721e-05i,0.00053299+0.0001229i,0.0012612+7.035e-05i,0.00061922+0.00052617i,-3.1743e-05+4.4204e-05i,-0.00036428-0.00046316i,0.00031178-0.00074306i,0.0014251-0.00037729i,0.00068218+0.00074889i,-0.00049687+0.00028837i,-0.00059921-0.00058108i,-0.00034494-9.8902e-05i,-0.0004098+0.00034687i,0.00010909+0.00018234i,0.0012996+0.0001235i,0.001616-0.00023814i,-0.00013407-0.00044755i
-0.00043204+3.8283e-05i,-0.00051508+0.00077645i,-0.00067831+0.0007848i,-0.0014408+0.0012677i,-0.0011908+0.00097742i,-0.00029458+0.0010617i,0.00073806+0.0012632i,0.0013556+0.00053901i,0.00070947-0.00069312i,6.1734e-06-0.00089354i,-0.00062299-0.00035939i,-0.00092317-3.5684e-05i,-4.0458e-05-0.00032115i,0.00027265-0.00078736i,6.8022e-05-0.00011577i,0.00033898+0.00070364i,0.00077499+0.00073904i,0.00073096+0.00063479i,-0.00040196+5.2547e-05i,-0.00080692-0.00022147i,-0.00049844+1.3535e-05i,-0.00027181+0.00053385i,6.8851e-05+0.00071414i
-0.0013149+0.00071598i,-0.0013069+0.00081404i,-0.00074546+0.0015144i,-7.3222e-05+0.00080289i,0.0010967-0.00087435i,0.00095292-0.00041392i,0.00045076+0.00084871i,0.00064657+0.00082795i,0.00030974-0.00051382i,-0.00016789-0.0007345i,-9.3274e-05-0.00015605i,0.00010305-0.00030333i,-5.6538e-05-8.7691e-05i,-0.00058967+0.00043677i,-0.00073357+0.00090255i,-0.00014742+0.0015189i,-7.7312e-05+0.0013437i,0.00027406+0.00064072i,0.0011039+0.00069404i,0.0014039+0.00059657i,0.0010278-0.00010488i,-7.1155e-05-0.00046046i,-0.00029211-0.00023602i
-0.0010415-0.00072863i,-0.00041634-0.0010098i,0.00050333-0.00049488i,0.00085785+0.00053299i,0.00023162+0.00085992i,8.0066e-05+0.001057i,0.00062208+0.0009242i,0.00088244+0.00032972i,0.00065247+0.00010211i,7.7529e-05-4.4941e-05i,-0.00093094-0.0001028i,-0.0014385+0.00072646i,-0.0015251+0.00079595i,-0.0013591-4.5028e-05i,-0.00074702-0.00047406i,-0.00015068+3.7282e-05i,-0.00012298-6.5391e-06i,-0.00058326-0.00044967i,-0.0005572-0.00036907i,-0.0002532-0.00042564i,-0.00035375-0.0002031i,-0.00018878-0.00018322i,5.3128e-05-0.0007308i
-3.1822e-05+0.0018718i,-0.00016687+0.0020618i,0.00017187+0.0007711i,0.00083174-0.00021082i,0.001226+0.00020673i,0.00061267+0.00056361i,0.00026581+0.00058287i,0.00031996+0.00079844i,0.00053787+0.0005742i,0.0007272-0.0008102i,-0.00012945-0.0013761i,-0.00060223-0.00044299i,-1.7331e-05+0.00013147i,0.00050153+9.9668e-05i,0.00037304+0.00025922i,0.00037206-9.047e-05i,0.00041724+1.4162e-05i,0.00048855-0.00028739i,0.00063666-0.00081713i,-0.00032909-0.00052276i,-0.00080593-0.00027954i,-0.00021587-9.4314e-05i,-0.00037242-0.00046321i
0.00071858-0.0013416i,0.00056661-0.0021091i,0.00042849-0.0019148i,0.0012602-0.00070665i,0.0012528+0.0003216i,0.00061538+0.00013963i,3.8036e-05+0.0002123i,-0.00028586+0.00023966i,0.00084288-0.00012737i,0.00089686-0.00060357i,7.7856e-05-0.0015262i,0.00030869-0.0014476i,0.0010029-0.00029939i,0.00035269+0.00041914i,-0.00041991+0.00024864i,-3.1438e-05-4.8285e-05i,0.00015511-2.9626e-05i,-3.0878e-05-8.3968e-05i,0.00037565-0.0008035i,0.00079029-0.0010577i,0.0001592-0.00069487i,-0.00062982-0.00071196i,-0.00088014-0.00020335i
