-0.00079674-0.00031342i,-0.00080398-0.00014274i,-0.00096929-0.00031761i,-0.00070215-0.00088895i,-0.00051847-0.00059159i,-0.0012839+0.0011893i,-0.0020286+0.0025503i,-0.0015344+0.0027594i,-0.00035883+0.003286i,0.00034158+0.0024654i,0.0002657+0.00013207i,-0.00026526-0.001088i,-0.00018682-0.0013006i,-9.8774e-05-0.00096196i,-0.00075134-0.00017178i,-0.00073162+3.9413e-05i,-0.00013223-0.00079842i,0.00075212-0.00078068i,0.0011109-0.00035209i,0.00084681-6.9306e-05i,0.0001038+0.0005155i,-0.00072978+0.0003885i,-0.00089657+0.00033374i
0.00061322-0.0017301i,0.0010393-0.0029115i,0.00033621-0.0023936i,0.00044616-0.00043479i,0.00051219-0.00022585i,-0.0002413-0.0016194i,-0.00061491-0.0013454i,-0.00093717-0.00014388i,-0.0012864+0.00060589i,-0.00088151+0.00087066i,-0.00054412+0.0013341i,-0.00026482+0.0013857i,8.1435e-05+0.00066748i,-5.2116e-05+0.00054151i,0.00022153+0.00089007i,9.1053e-05+0.00091135i,-0.00081196+0.0015356i,-0.0013945+0.001854i,-0.00032609+0.0010427i,0.0004826+0.00027798i,0.00051802+5.9924e-06i,0.00025632-0.00011957i,-0.0002394-0.00020478i
0.00092831+0.0016116i,0.0020413+0.0014691i,0.0023466+0.0012356i,0.0019199+0.00025023i,0.0010604-0.00074417i,-0.00015756-0.00023726i,-0.0013371+6.9577e-05i,-0.0011697+0.00057112i,-0.00028237+0.0017504i,6.7521e-05+0.0019279i,-7.8786e-05+0.0010259i,-0.00062586+0.00038309i,-0.00018508+0.00024354i,0.00027111-6.7621e-05i,-0.0004082-0.00024415i,-0.00064014+0.0004285i,-0.00063498+0.00044199i,-0.00056956+1.6349e-05i,-0.00090972+0.00017971i,-0.00081971+0.0001905i,-2.1254e-06+0.00042933i,0.0002966+0.00026389i,0.00021662-0.0002225i
-0.00072878+0.0028426i,-0.0012709+0.0026204i,0.0002128+0.0018907i,0.0015805+0.00059179i,0.0010179-0.0006637i,1.0114e-05-0.00022709i,-0.00033102+0.0011851i,-3.8538e-05+0.0017006i,-0.00015939+0.0020845i,-0.00035087+0.0012995i,-0.00065392-7.4401e-05i,-0.00069823-0.0002657i,-0.00030024+6.9812e-05i,-0.00051556+0.00072841i,-0.00070699+0.00011168i,-0.00032481-0.00035483i,0.00023518-0.00021642i,0.00021107-0.00011857i,0.00044727+0.00027671i,0.00044384+0.00034553i,-0.00029729-4.575e-05i,-0.00031006-0.0007302i,0.00012987-0.00076437i
-0.00050192+1.066e-05i,-0.00017406-0.00075338i,-0.0003061+0.00016226i,4.1733e-05+0.00057227i,0.00029772+0.00020936i,-0.00065397+0.0012224i,-0.00088525+0.0022103i,-0.00087458+0.0023167i,-0.00090039+0.0022811i,-0.00026342+0.0014644i,1.1727e-05-0.00035564i,0.00010686-0.00030656i,0.000349+8.2658e-05i,0.00052062+0.00030095i,0.00024798+0.00051156i,-0.00014533+1.4751e-05i,-0.00023737+0.00061268i,-1.4669e-05+0.001702i,-5.0044e-05+0.00044056i,-0.00038363-0.0013034i,-0.0001607-0.00098546i,0.0002975+2.2668e-06i,-0.000238+0.00024982i
0.00059968-0.0016822i,0.0011974-0.0021691i,0.0014062-0.0020469i,0.00070861-0.0012628i,-0.00010617-0.00086341i,2.6088e-05-0.00015058i,-0.00016979+0.00064542i,-0.00043843+0.00077917i,-0.00048858+0.00036356i,-0.00067993+0.00024771i,-0.00051644+0.00028327i,-0.00027005+0.0001567i,0.00024611+8.1321e-05i,2.983e-05-0.00032407i,-0.0001006-0.00027703i,0.001049-0.00012682i,0.0016218-0.00021568i,0.00062183-0.00042221i,-0.00040234-0.00019605i,-0.00011007+0.00019506i,8.7969e-05+0.00017526i,7.227e-05-0.00035654i,-0.00036511-0.00063242i
0.0019909-0.00056447i,0.0022492-0.00062074i,0.0019782-0.00079266i,0.0012621-0.00073222i,-0.00014161-0.00099118i,-0.0014315-0.0007274i,-0.0015637-0.00037658i,-0.001014+0.00014178i,-0.00088313+0.001479i,-0.00074437+0.001101i,-0.00078395-0.00013781i,-0.00060495-0.00016808i,0.00032039-0.00031687i,0.00072002-0.00088003i,0.00021586-0.00095168i,-8.2059e-05-4.9603e-05i,-0.00050137+0.00076831i,-9.8152e-06+0.00010639i,-0.00013741-0.00024949i,-0.00030546+3.1302e-05i,0.00049304-0.00032959i,0.00046457-0.00064706i,0.00030417-0.00029538i
0.00012169+0.0017498i,0.00073111+0.0020409i,0.000371+0.0020568i,0.00025015+0.0016684i,0.00017811+0.00092473i,-0.00066453+0.00010132i,-0.0010444+0.0012996i,-0.00076876+0.0019878i,-0.00033095+0.0019518i,7.1373e-05+0.00098107i,0.00078619-0.00051877i,0.00045248-0.001027i,-0.00016186+0.00013971i,0.00013833+0.00042765i,0.00055932-0.00037821i,0.00066804-8.4929e-05i,0.00049331+0.00038109i,0.0002491+0.00070942i,-6.0929e-06+0.00099605i,-0.00010337+0.00049259i,-0.00021068+0.00047799i,-0.00041057+0.00064041i,-0.00058441+0.00020284i
-0.0019542-0.0009401i,-0.00103-0.00061546i,8.0503e-05+6.061e-05i,0.00080758-0.00034679i,0.00072659-0.00084728i,0.00037068-0.00040091i,-0.00060009+0.00051059i,-0.001403+0.0012872i,-0.001722+0.0020763i,-0.0014026+0.0020952i,-0.00043744+0.00054702i,0.00027068-0.00021096i,0.00084769-0.00029584i,0.0012062-0.00056946i,0.0011309-0.00074915i,0.00041696-0.00062944i,-4.7628e-05-1.6002e-05i,0.00042334+0.00026044i,-3.3432e-05+0.00043829i,-0.0003269+0.00017597i,-0.00053431-2.863e-05i,-0.0012628+0.00043135i,-0.0013702+0.00038197i
6.7316e-05-0.00089149i,-0.00059294-0.00097087i,0.00039084-0.0012703i,0.00094672-0.0014668i,-1.5765e-05-0.0013534i,-0.0004902-0.0010086i,-0.00076061-0.00020472i,-0.0015339+0.00078741i,-0.0012859+0.0013905i,-4.906e-05+0.00073119i,0.00043911-0.00048677i,0.00069758-0.00097362i,0.00040348-0.00019531i,2.8402e-05+0.00074278i,0.0011988+0.00023092i,0.0012142-2.5271e-05i,0.00040824+0.00023228i,0.00074604+0.00020279i,0.00076533-0.00019331i,0.00062587+8.7874e-05i,0.0003934+0.00042248i,-0.00027906-7.0661e-05i,-0.00045605-0.00042982i
-0.0002115-0.0014751i,0.00034961-0.00084505i,0.0011046+0.00046131i,0.0014279+0.0010361i,0.00033207+0.0007138i,-6.0149e-06+0.00047889i,3.6168e-05+0.00097999i,-0.00038829+0.0015255i,-0.00045133+0.0011979i,-6.0441e-06-5.5277e-05i,-0.00023567-0.00061118i,-0.00058556-3.8043e-05i,-8.697e-05+0.00047263i,0.00045027+0.00072355i,-0.00011214+0.0011667i,-0.00054997+0.00058882i,-6.0959e-05+0.00024117i,0.00022962+3.7324e-05i,0.00026393-0.00050092i,0.00029893-0.00034104i,0.00054718-0.00031188i,0.00024265+0.00044058i,-7.1488e-05+0.00058996i
