-0.001969+0.00076107i,-0.001214+0.0015246i,-0.0021083+0.002861i,-0.0019136+0.003121i,-0.00081694+0.0039569i,-0.00036519+0.0029973i,-0.00015828+0.00083893i,0.00034327+0.00058656i,0.00060388+0.00080552i,0.00092498+0.00098451i,0.0012194-0.00022773i,0.001203-0.0012942i,-7.3404e-06-0.0012551i,-0.0010086-0.0010623i,-0.0010742-0.000658i,-0.00058648-0.00035297i,0.00020872+6.2339e-05i,0.00070522-5.0171e-05i,0.00052807+3.1423e-05i,-0.00036476+0.00021962i,-0.00061508-0.00024003i,-0.0003042+0.00023091i,-6.9946e-06+0.00028289i
-0.00021202+0.0013974i,-0.00049627+0.001867i,0.00043108+0.0006925i,0.00052698-7.0103e-05i,-0.00011111+0.00026999i,-0.00021303-7.5767e-05i,-0.00016281-0.00013453i,-0.00048571+0.00011094i,-0.00029029+0.00034944i,0.00021063-0.00012688i,5.1308e-05-0.00022652i,-0.00042698+0.00027728i,-0.00016998-0.00053195i,-0.00023142-0.0010974i,-0.00049217-0.00093559i,-0.00013693-0.00078091i,-0.00022888+0.00027538i,-0.0005527+0.00061177i,-0.00027108+0.00017259i,0.00031582-9.21e-05i,0.0004059-0.00069133i,0.00036104-0.00056186i,0.00021925+0.00022911i
-0.00038897-0.00087179i,0.0010024-0.0011953i,0.0016016-0.0011962i,0.00031183-0.00079965i,-4.4239e-05+0.00061246i,-0.00013678+0.0014765i,-0.00083609+0.00032339i,-0.00079237-0.00070125i,-0.00071345-0.00044892i,-0.00058317+0.00046338i,3.9339e-05+0.00094961i,0.00030823+0.0011823i,-0.00028044+0.00054542i,-0.0004396-0.0001495i,-2.18e-06-0.00054036i,0.00018016-0.0009153i,0.00020718-0.0011325i,0.00050241-0.00077362i,0.0004755-0.00039341i,-5.249e-05-0.00044986i,-0.0001711+0.00012656i,-0.0003666+0.00089978i,0.00019165+0.00056182i
-0.0011478+0.0007081i,-0.00091544+0.0009107i,0.00010033+0.0015489i,0.00058751+0.0010561i,0.00050757+2.1198e-05i,0.00032627-0.00069049i,2.0286e-05-0.00078982i,6.0283e-05-0.00071851i,8.12e-05+7.1411e-05i,-0.00034922+0.00049747i,-0.00028378+0.0001689i,-0.0002363-0.00055896i,6.2743e-05-0.0012904i,-0.0001007-0.00083844i,-0.00011073-0.0002411i,0.00017756-0.00070589i,-0.00027399-0.0011953i,-0.00061513-0.0007821i,-0.00011639+0.00021957i,-8.0402e-05+0.00080825i,-0.0004093+0.00088575i,-2.4766e-05+0.00051609i,0.00025238-2.2656e-05i
0.0004228+0.0014785i,0.0012028+0.00074586i,0.0018242+0.00047444i,0.0013902-0.00025399i,0.0011968-0.0010886i,0.00016187-0.00067486i,-0.00060234+0.0001676i,-4.2606e-05+3.5139e-05i,0.00057548+0.00056913i,0.0004825+0.0011578i,-4.9777e-07-0.00019251i,-0.00027842-0.0011058i,-0.00060534-0.00014159i,-0.00045544+0.00031394i,-0.00029891+0.00020292i,-0.00054569-8.8015e-05i,-4.1539e-05-0.00051097i,0.00031259-0.00041662i,0.00030697-0.00020141i,0.00069574-0.0004586i,0.0011967-0.00077309i,0.000739-0.00017679i,0.0006081+0.00026184i
-0.00070277+0.00040444i,-0.00068785-0.00057264i,-0.00040118-0.00091721i,0.00010328-0.00079901i,0.00028223-0.00017904i,-0.00038829+0.000872i,5.0497e-05+0.0014146i,0.00050493+0.00056473i,0.00043632+0.00026171i,-0.00018349+0.0004136i,-0.00038025-0.0002812i,-0.00010901-9.4142e-07i,-0.00066628+0.00054633i,-0.00033189+0.00071219i,0.00052516+0.00092946i,0.00011108+0.00081655i,-0.00029976+0.00073551i,-0.00023897+0.00096855i,-0.0003607+0.00097013i,-0.00061639+0.00046825i,-0.00096018+0.0005419i,-0.00064145+0.00084275i,-0.00027694+0.00012935i
0.00042524+0.00047865i,0.001354+0.0005727i,0.0025794+0.00022614i,0.002636-0.0001442i,0.0012951-0.0010729i,0.00042179-0.0016304i,0.00044512-0.00075698i,-2.5937e-06-0.00010087i,-0.00033559-0.00090226i,-0.00037895-0.0017131i,2.7588e-05-0.0013154i,-0.00018393-0.00063021i,-0.00019211-0.00064892i,-0.00034258+5.5833e-05i,-0.00077326+0.00092873i,-0.00067708+8.7181e-05i,-0.00036248-0.00073293i,0.00061238-0.00066542i,0.00058241-0.00051108i,-0.00019364-0.00070608i,-0.00047759-0.00115i,-0.00068513-0.0012674i,-0.00074436-0.00057827i
-0.0010142+0.00025485i,-0.0020003-0.00053291i,-0.0015059-0.0013139i,-0.00075493-0.00047906i,-0.00066698+0.00036412i,-0.00077037+0.00026242i,-0.00047393+0.00015346i,0.00010368-0.00013272i,0.00054104+4.4687e-05i,6.5077e-06-1.8238e-05i,-0.00088757-0.0008394i,-0.00078996-0.0013091i,0.00061527-0.0009311i,0.00098182+0.00013469i,-0.0003133+0.00040456i,-0.00054607-0.00021683i,4.7442e-05-0.00088232i,0.00044943-0.00078773i,0.00052043-0.00047358i,0.00026088-0.00027494i,0.00013228+0.00029934i,0.00038116+0.00041711i,0.00066591-0.00013283i
-0.00037544-0.00037824i,-0.0013827-0.00084895i,-0.0021004-0.0015782i,-0.0011895-0.00047761i,-0.00061663-0.00016306i,0.00038545+0.00019728i,0.0007299+7.7568e-05i,-6.5787e-06-0.00063165i,-0.0005273-0.00068138i,-0.00071021+0.00021132i,-8.2694e-05+0.00055683i,0.00049519+0.00014805i,0.00014108-0.00021539i,-0.00031345-0.00038712i,-0.00074756-0.00028315i,-0.00021937+0.0001672i,2.7525e-05+0.00019534i,-0.0001697-0.00013457i,-0.00048846-0.0011388i,-0.00011765-0.0014535i,-0.00019027-0.00010637i,-0.00022919+0.00033239i,-2.7728e-05-5.679e-05i
-7.5769e-05-0.00076925i,-0.0006108+0.00012573i,-0.00037989+0.00036531i,-0.00055636+0.00011133i,-0.00095499+0.00043003i,-0.00060517+0.000983i,0.00027444+0.00093507i,0.00066413+0.00039521i,-2.5783e-06+2.3764e-05i,-0.00078014-0.00033442i,-0.00067784-0.00038496i,0.00015276-0.00055163i,0.00095062-0.00084373i,0.00083344-0.00071268i,0.00067467+1.7015e-05i,0.00018892+0.00049935i,6.1229e-05+0.00044789i,-0.00022049-0.0002327i,-0.00042361-0.0008276i,0.00075224-0.00025861i,0.00066535-0.00038522i,-0.00023184-0.00062988i,-0.00098914+3.6679e-05i
9.1068e-05+0.00057118i,0.00057311+0.00091933i,0.00096415-0.00018994i,-0.00012626-0.0015414i,-0.00085239-0.0011426i,-0.00074947-0.00028532i,-0.0010156-6.1145e-05i,-0.00080584-0.00021718i,-0.00044185-0.00041372i,-0.00017602-0.00074786i,-2.2846e-05-0.00023883i,0.00017374-1.8071e-05i,0.00034058-0.00013509i,-0.00063024+0.00050535i,-0.0004538+0.0011148i,0.00065266+0.00086241i,0.00021399+0.00026558i,0.00014222+0.00020273i,0.000233+6.1174e-05i,0.00044929-0.00069365i,0.00041208-0.001228i,-0.0003389-0.00095533i,-0.00050438-0.00034167i
