-0.0018581+0.0012234i,-0.0038601-0.00044845i,-0.0044183-0.00015218i,-0.0037583+0.00075176i,-0.003364+0.0017291i,-0.0020799+0.0028987i,-0.00059577+0.0025781i,0.00069998+0.0017147i,0.0015887+0.0013284i,0.0015464+0.00071075i,0.0013586+1.6423e-05i,0.00098304-0.00042819i,3.3579e-05-0.00080355i,-0.00033103-0.00080467i,-0.00032359-0.00019079i,0.00047993+0.00081336i,0.00091033+0.0009718i,0.00048562+0.00021426i,-8.7843e-05+0.00012884i,-0.00020138-3.9219e-06i,-8.3667e-05+0.00017124i,-0.00075258+0.00043872i,-0.00059639-8.1378e-06i
0.00059314-0.00099713i,-0.00057109-0.0012957i,-0.0030784-0.0010378i,-0.0033202+0.00052196i,-0.001405+0.0020656i,-0.00020341+0.0022579i,0.0001235+0.0013631i,0.00026065+0.00060938i,0.00028269+0.00014244i,0.00018864+0.00024285i,3.4266e-05+5.2628e-05i,0.0002892-0.00018688i,0.00089855-0.00074332i,0.0012018-0.00057574i,0.00085475-0.00024406i,0.0010671-0.00011821i,0.00081407+0.00091316i,-0.00044287+0.0013824i,-0.00094313+0.00049649i,-0.00035826-0.00022687i,0.00027967-3.5263e-05i,0.00029691+0.00030319i,0.00036748+0.00030176i
0.0021078+0.00077336i,0.00090789+0.0011725i,0.00033918+0.0019848i,-0.00025578+0.0023581i,-0.00042813+0.0014112i,-0.00070845+0.0001214i,-0.00074031+0.00028676i,0.00010694+0.00034463i,0.00042942+0.00022156i,0.0005469+0.00037586i,0.00066078-7.5539e-05i,9.5956e-05-0.00061868i,-0.0004901-0.00015984i,-0.0013125+0.00084948i,-0.0011459+0.00088059i,-0.00041191+0.0012017i,0.0005024+0.0019243i,0.0011347+0.0014139i,0.00060671+0.00072165i,0.00013277+0.00071028i,0.00047217+0.00064723i,6.0649e-05+0.00060556i,-0.00037071+0.0012372i
-0.001715+0.0016744i,-0.0026455+0.0015568i,-0.003165+0.0022162i,-0.0034967+0.0024504i,-0.0026855+0.0021296i,-0.0011792+0.0015268i,0.00042009+0.0010185i,0.00080712+0.0010028i,0.0010783+0.00026813i,0.00038486-9.1478e-05i,-0.00029745-0.00010353i,-0.00023168-0.00032433i,-0.00044285-0.00056218i,-0.00094471-0.00030359i,-0.00028482+0.00018415i,0.00080678+0.0005733i,0.0006935+0.001075i,0.00072524+0.00062482i,0.00080007-0.00013053i,-2.6225e-05-0.00035709i,-0.00032892-0.00066156i,0.00010159-0.00053584i,-0.00031811+9.0707e-05i
-8.2104e-05-0.0003859i,0.0004617-0.00065217i,-0.00059141-0.0012257i,-0.0019854-0.00077752i,-0.0014059+0.00060202i,-0.0012959+0.0011632i,-0.0011852+0.00098i,-0.00053043-0.00010967i,0.00024566-0.0014604i,0.00091983-0.0016357i,0.0010438-0.0008165i,0.00097665-0.00018639i,0.00031299+0.00047343i,-0.00035097+0.00078508i,-9.8263e-05-0.00010669i,0.00079009-0.00035452i,0.0008977+0.00037936i,0.00021359+0.00028436i,0.00032409+0.00018544i,0.00072133+0.00060099i,-0.00013411+0.00034091i,0.00017919+0.0010493i,0.00055295+0.0018529i
0.0003974-0.00010785i,0.00055085-0.00076728i,-0.00036979-0.00017254i,-0.001995+0.0014373i,-0.0024156+0.002033i,-0.0014427+0.001326i,-0.00084465+0.00090945i,-0.00051294+0.00082905i,-0.00030616+0.00064385i,-8.7043e-05+0.00061403i,0.00079776+0.00042796i,0.00080431-0.00042346i,-0.00022192-0.00045262i,-0.00098373+0.00018654i,-0.0011058+0.00049799i,-0.00073284+0.00013327i,-0.00032433+0.00065491i,-4.931e-05+0.00079819i,-0.00012425-0.00013938i,-0.00022833+0.00010602i,-0.0003532+0.0002187i,-0.00060098-0.00052609i,-0.00064684-0.00047338i
0.002208+0.00028009i,0.002043+0.00095819i,0.0016842+0.0015927i,0.0003833+0.00050425i,-0.00060075-0.00070824i,-0.0007976-0.00010738i,-0.00050167+0.00045271i,8.1558e-05+0.0001437i,0.00020509-0.00019553i,-0.00031027-1.5349e-05i,-0.00075887+0.00015322i,-0.00070674-0.0002228i,-0.00041672+5.1414e-05i,-0.0010098+0.00098235i,-0.00053148+0.00084717i,0.00064465+0.0007284i,0.00085927+0.0012072i,0.00042319+0.00032062i,0.00039448-0.0004541i,0.00077584+0.00038927i,0.00080392+0.00098472i,0.00033584+0.00069926i,-0.00041535-9.1121e-06i
-0.0019968-0.00020916i,-0.0027586+0.00026208i,-0.0038432+0.0011846i,-0.004532+0.0019533i,-0.0032802+0.002669i,-0.0012128+0.0030018i,-0.00018223+0.0014592i,5.2677e-05+0.00033045i,0.00012343+8.0698e-05i,-5.0435e-06+2.8749e-05i,0.00013513-2.208e-05i,0.00031089-0.00070853i,-0.00010154-0.0012204i,-0.00047177-0.00069507i,-0.00053229+5.8267e-05i,-0.00025104+0.00022069i,0.00011381-0.0001392i,0.00056314+6.5111e-05i,0.00054415+0.00028418i,0.00019312+0.00012977i,6.6423e-05-0.00061636i,-5.2062e-05-0.00060295i,0.00036168+8.137e-05i
-7.3521e-05-0.0011373i,-0.00086733-0.00075173i,-0.0018719+0.00051213i,-0.0024043+0.0010839i,-0.0021964+0.0010443i,-0.0011527+0.00063272i,-0.00035586+0.00037182i,-0.00036311+0.00080301i,-0.00022623+0.00021388i,-0.00014941-0.0006438i,-9.2834e-05-0.00068635i,-0.00024244-0.0010088i,-0.00044381-0.00057673i,5.5505e-05+0.0003201i,0.00042441+6.3483e-05i,-9.2779e-06+0.00016221i,-0.00082753+0.00034965i,-0.00031666+0.0002703i,0.00028616+0.00028102i,-0.00014038+0.00026223i,-0.00019121+0.00069281i,-0.00063269+0.00075421i,-0.00071+0.00036883i
-0.0023638+0.0012114i,-0.0029683+0.00050111i,-0.0032419+0.0012117i,-0.0024535+0.0025227i,-0.0013046+0.0022132i,6.4011e-05+0.0013349i,0.00067554+0.0013603i,0.00098592+0.00092117i,0.0013367+0.00062568i,0.0015094+0.00074774i,0.0019212-0.00020465i,0.0010859-0.0007922i,-0.00027162-0.00039196i,-0.00099525-0.00081166i,-0.0014877-0.00065941i,-0.0014527+0.00054921i,-0.0011214+0.0013058i,-0.00085839+0.0010183i,-0.00025897+0.00050765i,0.00087872+0.00049272i,0.0014823+0.00035866i,0.00075488-6.0466e-05i,-0.00032595-0.00010235i
0.0026329+0.0018925i,0.0032963+0.0013615i,0.0030381+0.00040876i,0.0018673+0.0003892i,0.00045404+0.0004439i,-0.00049903-0.00025074i,-0.00078016-0.00031442i,-0.00041326+0.00029125i,0.0003052+0.00041213i,8.1828e-05-0.00055385i,-0.00022435-0.00087252i,0.00026979-0.00037342i,0.00086369+0.00036238i,0.00024669+0.00048392i,-0.00026152+0.00032448i,6.1992e-05+0.00032475i,0.00058379+0.00060884i,0.00082414+0.00040596i,-0.00029882+2.536e-06i,-0.00075866+4.4573e-05i,0.00024809+0.0002323i,0.00042855+0.00026668i,-0.00044543+0.00024611i
-0.0015445+0.0031918i,-0.0017638+0.003705i,-0.0014587+0.0048577i,-0.00069842+0.0047343i,0.00020946+0.0028635i,0.00029403+0.0005065i,0.00022921-0.00059172i,0.00025212-0.00025857i,0.00056808+0.00022167i,0.0015865+9.888e-05i,0.0015132-0.00074737i,-0.00036847-0.00097658i,-0.0019986-0.0011108i,-0.0015208-0.00044924i,-0.00028874+0.00089293i,-3.8862e-05+0.00013252i,-0.00013172-0.00040503i,-0.00018336+0.00040558i,-0.00046254+0.00051732i,-0.00040558+0.0003948i,-0.00022473+8.693e-05i,3.6886e-05+6.1445e-05i,-3.655e-05+0.00034092i
-0.00069531+0.00070348i,-0.00029598-0.00028884i,-0.0015077+0.00060102i,-0.0018604+0.0022919i,-0.0010023+0.0028292i,0.00022765+0.0017074i,0.00042924+0.00095533i,-1.4669e-05+0.00052464i,-0.00049425-1.9604e-05i,-0.00075715-8.3857e-05i,-0.00042333-0.00019327i,-0.00011971-0.00027933i,-0.00072539-0.00067671i,-0.00075109-0.00063076i,-0.0011215-0.00018061i,-0.00096838-2.577e-05i,0.00049867+0.00013873i,0.00063163+0.00043825i,-3.3647e-05+0.00073056i,4.4782e-05+0.00027876i,-3.336e-05+0.000313i,-0.00047567+0.00053505i,7.7785e-05+0.000316i
0.00065685+0.0016026i,0.00073348+0.0013692i,0.0014574+0.00055371i,0.0013316-0.00041952i,0.00022649-0.00049968i,-0.00024076-0.00041592i,6.3437e-05-0.00080912i,-9.5422e-05-0.001105i,0.00036999-0.00092048i,0.0011747-0.0013526i,0.00051245-0.0011643i,-0.00062707-0.00046519i,-0.00075847+0.00036049i,-0.00035921+0.001159i,-7.8881e-05+0.0013915i,0.00020313+0.00089863i,0.00078964+0.00069249i,0.0010888+0.00050584i,0.0015093-7.2445e-05i,0.0012678-0.00050613i,0.00049023-0.00033408i,-0.00016275-0.00046759i,-0.00021815-0.00091264i
-0.00014757-0.001305i,-0.00076465-0.00060121i,-0.0013032-0.00019073i,-0.0010616+0.00071082i,-0.0015131+0.0015445i,-0.0014121+0.0015921i,-0.00037772+0.0018822i,0.00041302+0.0015742i,6.1719e-05+0.00067683i,-0.00013607+0.00047153i,-0.00043531+0.00060258i,-0.00085875+0.00038453i,-0.0011172+0.00015449i,-0.00037464+0.0011375i,0.00023449+0.0018086i,-6.8642e-05+0.0015934i,-2.6816e-05+0.00080327i,0.0001989+0.00015571i,-0.00037096-0.00057603i,-0.00080146-0.00057158i,-0.00050169+0.00029555i,-0.0004935+0.00058109i,-4.4574e-05+6.6776e-05i
-0.002066+0.002183i,-0.0018383+0.0026429i,-0.0023197+0.0038135i,-0.0019417+0.0041014i,-0.00097045+0.0026605i,-0.00034563+0.001028i,-0.00042631+0.00020254i,8.6015e-05+0.00017333i,0.00083366-0.00078815i,0.0009084-0.0011642i,0.00053089-0.0002622i,-0.00026786+6.5019e-05i,-0.00096913-0.00023073i,-0.0013264+7.2447e-05i,-0.0013233+0.00032856i,-0.00059187+0.00045096i,0.00027593+0.0010755i,0.00064686+0.0017591i,0.00014097+0.001608i,0.00026378+0.0011243i,7.1374e-05+0.00079416i,-0.00038163+0.00015467i,4.9397e-05+0.00058406i
