-0.00012243-0.00021911i,0.00069737-0.0013846i,0.0015597-0.0014499i,1.4733e-05-0.00049063i,-0.0028986+0.00056203i,-0.0034407+0.0014927i,-0.0024666+0.0014687i,-0.0018905+0.0012466i,-0.0015593+0.0016884i,-0.00061265+0.0016646i,-0.00019467+0.00034322i,-0.00048036-0.0010152i,-0.00043299-0.0014067i,-0.00037152-0.00056122i,-0.0007169-0.00046022i,-0.00062074-0.00049923i,6.9067e-05+0.00034077i,0.00057055+0.00037773i,0.00041573+0.00044028i,-0.00054127+0.00045552i,-0.00092496-0.00012595i,-0.00022212-0.00038398i,0.00053849-0.00082029i
-0.0011844+0.0018994i,-0.00084992-0.0001358i,0.00098164+0.0003845i,0.0022813+0.0006805i,0.0017847+0.00058938i,0.00014943+0.00019471i,-0.0016775-0.00040525i,-0.00196+2.0757e-05i,-0.00074691+0.0010339i,0.00047952+0.0012958i,0.0013679+0.00065401i,0.0011044+0.00014765i,-0.0003494+0.00013903i,-0.00068702+0.00014888i,-0.00025837+0.00014455i,-0.00041994+0.00069585i,-0.00026702+0.00083776i,7.7666e-05+0.00015173i,-0.00026917-4.6151e-05i,-0.0007172+0.00037027i,-0.0014123+0.00073394i,-0.0014995+0.00089475i,-0.00090323+0.00051745i
0.00042974+4.0785e-05i,0.00064328-0.00065382i,0.0010784-0.0015848i,3.1144e-05-0.0014972i,-0.0021256+0.0001642i,-0.002191+0.0016901i,-0.0016427+0.0014156i,-0.0014801+0.0013905i,-0.00055417+0.0018448i,-0.00029006+0.0011599i,-0.00087747-0.00014666i,-0.0008482-0.00056347i,-0.00035867+0.00017997i,0.00021361+0.0007196i,5.3751e-05+0.00072197i,-0.0004132+0.00082737i,-0.00060317+0.00088077i,-0.00031631+0.00032563i,0.00035717-0.00029463i,0.00013783-0.00040457i,-0.00037113-0.00024511i,-0.00030004+0.00053023i,0.00015533+0.0011047i
0.00078903+0.00047125i,0.00066157+0.0001243i,0.00082049+0.00026311i,0.00056787-0.00071701i,-0.00027433-0.00076443i,-0.0017722+0.00073879i,-0.0023461+0.0016604i,-0.0019042+0.0011024i,-0.001524+0.00026306i,-0.00023911+0.00029433i,0.00039984+0.00010934i,-9.4156e-05-0.00039909i,-1.4891e-05-0.00044039i,0.00018479+0.00028504i,8.1661e-05+0.00048632i,0.00032451+8.1392e-05i,0.00085833-0.00015007i,0.0007413+0.00035146i,0.00040691+0.00067548i,0.00032265+0.00025838i,-0.00010751-0.0001749i,-0.00035781-0.00011459i,-0.00072925+1.8212e-05i
-0.00055611-0.00068024i,-0.00011951-0.00093051i,-9.9377e-05+7.0705e-05i,-0.00038153+0.00072758i,-0.00095545+0.0015656i,-0.0013725+0.0019703i,-0.0017757+0.001448i,-0.001762+0.0015036i,-0.0014082+0.00093299i,-0.001132+0.00043411i,-0.00049092+0.00049941i,-0.00046205-0.00060963i,0.00034215-0.0013792i,0.0015205-0.00025666i,0.0013961+5.8409e-05i,0.0013369-9.342e-05i,0.00083274+0.00018748i,0.00042965+0.00059529i,0.00044756+0.00082035i,-0.00016026+0.00015353i,-0.00078595-0.00030228i,-0.00047283+2.494e-05i,-0.00017437+5.429e-05i
0.0010078-0.0014227i,0.0012666-0.00093062i,0.0014867-0.0014493i,0.00066083-0.0017855i,-0.0013172-0.00089959i,-0.0022156+0.0001326i,-0.001632+0.00067515i,-0.0012936+0.0012502i,-0.001861+0.0013489i,-0.00099102+0.00075613i,0.00033472-9.4171e-05i,0.00066349-0.00061803i,-7.8028e-05-0.00017082i,-0.00016232+0.0003691i,0.00090933+0.00039003i,0.00089492+0.00049526i,0.00013817+7.8685e-05i,-0.00028663+8.9939e-05i,-0.00029361+0.00090165i,-0.00014305+0.00094017i,0.00010634+0.00016728i,-0.00033376-0.00019094i,-0.00063883+0.00070782i
0.00010034-0.00048103i,0.0018267-0.00020605i,0.0026062-0.00020816i,0.0011296-0.00016851i,-0.0009616+0.00045926i,-0.0021347+0.0019518i,-0.0024125+0.0029288i,-0.0021658+0.002689i,-0.0013094+0.0017094i,-8.2201e-06+0.00066424i,0.00077811+0.00037802i,3.4824e-05+0.00032108i,-0.00037685+0.00092004i,-0.00026422+0.0009137i,0.00019144-0.00014477i,0.00083356-0.00036155i,0.00089099+8.1382e-05i,0.00013901+0.00023428i,-0.00078295-0.00057013i,-0.00040893-0.00091174i,0.00065564-0.00061763i,0.00068705-0.00035411i,-0.0001841-2.208e-05i
0.0021458-0.00010432i,0.0023097+0.00010565i,0.0011709-0.00030432i,0.00032933-0.0014182i,-0.0005933-0.0012888i,-0.0011449-0.00018087i,-0.00048838+0.00088403i,-0.00055789+0.0014641i,-0.000706+0.00137i,7.785e-05+0.0004459i,0.00036487-0.00056084i,9.3098e-06-0.0010844i,-0.0001803-0.0010895i,8.0792e-05-0.00096885i,0.00042725-0.00098945i,0.00070211-0.00012748i,0.00062516+0.00089308i,0.00060993+0.00099085i,-9.1654e-05+0.00078108i,-0.00061219+0.00089967i,0.00015595+0.000774i,0.0004939+8.4516e-05i,0.00021535-0.0004091i
7.3384e-05-0.00075939i,0.00080641-0.0010662i,0.0013208-0.00073411i,0.000238-0.00043074i,-0.0014192-1.4018e-05i,-0.0026322+0.00048847i,-0.0021659+0.0012394i,-0.0015539+0.0013049i,-0.001319+0.0006687i,-0.00072496+0.00043527i,-0.00037296+0.00047267i,-0.0006216-0.00020307i,-0.0010188-0.00025186i,-0.00078684+9.3604e-05i,-0.0010276-0.00012197i,-0.0010223-0.00014689i,4.4325e-05+0.00034732i,0.00046462+0.00082029i,-0.00041215+0.00020469i,-0.00066895-0.00038893i,7.8307e-05+0.00025116i,0.00020193+0.0010289i,-0.00010656+0.00058118i
-0.0019259-0.0004639i,-0.00080465-0.0012064i,-0.00017633-0.00039686i,-0.00032057+0.0015376i,-0.00060257+0.0023695i,-0.0011984+0.0020363i,-0.0012406+0.0018093i,-0.0011553+0.0018765i,-0.0017034+0.0014405i,-0.0018495+0.0015001i,-0.001124+0.0010913i,-7.3308e-05+4.5982e-05i,0.00020362+0.00053406i,-0.00048328+0.0011334i,-0.00082023+0.00051433i,-0.00020586+0.00010917i,-7.4736e-05-0.00018274i,-0.00063369-0.00027898i,-0.00026774-9.9129e-05i,0.00017456-0.00048272i,0.00017066-0.00040536i,-0.00032699+0.0001352i,-0.00080234-9.7152e-05i
0.0019724+0.00045226i,0.0028504+0.00026446i,0.0036303-0.000367i,0.001118-0.0013253i,-0.0010494-0.0019045i,-0.0014219-0.00062385i,-0.0017402+0.00042655i,-0.0014864+0.00035132i,-0.00098872+0.00062427i,-0.000873+0.00092304i,-0.00053702+0.00078032i,-0.00020801-0.00050487i,0.00024991-0.00086519i,0.0004575-0.00033325i,0.0001375+0.00015435i,0.00025989+0.00047624i,0.00066503+0.00044803i,0.00066243+0.00052333i,0.00033198+0.00071601i,-0.00062403+0.00099636i,-0.0012717+0.0010684i,-0.00099612+0.00094953i,-0.00052718+0.00031987i
