-0.0017012+0.00089665i,-0.0010599+0.0017853i,-0.0011105+0.00050169i,-0.00091331-0.00092888i,-0.0019688+0.00046988i,-0.0017905+0.0016344i,-0.00091151+0.00083263i,-0.00057424-0.00031806i,0.0002723-0.00081295i,0.0006611-0.00054519i,0.00036487-0.00075908i,0.00022773-0.0011025i,-0.00038021-0.0013323i,-0.0011298-0.001024i,-0.001545-0.00052212i,-0.00047286-0.00020164i,0.0008009+9.5914e-05i,0.0015245-5.7538e-05i,0.0017168-0.00019211i,0.00094303+0.00014365i,-1.5451e-05+0.00068197i,-0.00077497+0.00078949i,-0.00038684+0.00028701i
-7.708e-05-3.6003e-05i,-6.6906e-05-5.3447e-05i,0.00047465+0.00020014i,0.001173+0.00021107i,0.00093866+0.00012586i,0.00047801-0.00035559i,0.00061394-0.00044653i,0.00056418-0.0007671i,-2.3957e-05-0.00035408i,-4.8704e-05+6.5063e-05i,0.00017947-0.00031023i,0.0005223-0.00057907i,0.00071397-0.00054386i,0.00027942+0.00030334i,-0.000326+5.1377e-05i,-0.00088698-0.00079823i,-0.0006688-0.00039017i,0.00073043+0.0004657i,0.0009673+0.00079818i,0.00041657+0.00049387i,-3.5648e-05-0.00025263i,-0.00054759-0.00075265i,-0.0011762-0.0011681i
-0.00059815+0.00079322i,-4.97e-05+0.00040412i,-0.00070368+0.00028434i,-0.00040838+0.0010432i,0.00021601+0.0021142i,0.00044521+0.0019747i,0.00027889+0.00049943i,0.00026197-0.00041262i,-0.00018499-0.00018358i,-0.00044736-0.00041005i,-0.0011015-0.00042605i,-0.0014482-0.00020161i,-0.00075692-0.0005129i,-0.00036725-0.00058354i,-0.00029938+0.00038864i,-0.00033479+0.0011506i,-0.00058148+0.00070118i,-0.00031664+0.00073239i,-9.6731e-06+0.00037368i,-0.00043523-0.00018566i,-0.00067448-5.1833e-05i,-0.00041023-0.00031648i,0.0002913-0.0005304i
0.0011795+0.00061228i,0.0007085+0.0003748i,-0.00074125-0.0012804i,-0.0017471-0.0021645i,-0.0018299-0.0017126i,-0.00063801-0.00032982i,-1.5662e-06-0.00016677i,-7.3835e-05-0.00064306i,-0.00039658-0.00033598i,-7.0731e-05-0.00026244i,0.00024349-0.00023223i,0.00036635-0.00036458i,0.0007184-0.00038706i,0.00031252+0.00050717i,-0.00011601+0.0006373i,-4.0823e-05-0.00073322i,0.0007943-0.0011563i,0.00071989-0.00099459i,-0.0005541-0.00095525i,-0.00023828-0.00091875i,0.00021924-0.00073695i,0.00023377-0.00036013i,0.00040865+0.00029762i
-0.0014535+0.00018969i,-0.0014157+0.00079038i,-0.0012584+0.0019824i,-0.00044604+0.0027717i,0.0010782+0.0021094i,0.00086391+0.00060355i,-3.9257e-05-0.00076298i,-7.7516e-05-0.0015243i,0.00019804-0.0011427i,0.00077721-0.0006004i,0.00081948-0.0004605i,0.00040772-0.00027322i,0.00024252+0.00025443i,0.00016467+0.00035837i,-0.00021542+0.00045605i,-0.00057565+0.00048023i,-0.00074743-0.00012546i,-0.00025674-0.00073534i,0.00030702-0.00066189i,-4.7751e-05-0.00080948i,-0.00071839-0.00061213i,-0.00022046+0.00026011i,0.00077997+0.00051669i
0.00019442+0.00029991i,0.0007597-0.0010213i,0.0014986-0.0017813i,0.0007175-0.0024683i,-2.1918e-05-0.0024115i,-0.00035846-0.0020445i,-0.00039662-0.0020371i,0.00016917-0.00080877i,0.00077101-0.00046659i,0.00024122-0.00038877i,-0.0010419+0.00038201i,-0.0010814+0.0006406i,-0.00097722+0.00044913i,-0.000847+0.00061171i,-0.00043504+0.00022978i,-2.899e-05+2.2075e-06i,1.6261e-05+0.00065817i,-0.00053624+0.00043425i,-0.0007222-0.00017508i,-0.00053161-4.9487e-05i,-0.00044121+0.00045365i,-0.00022194+0.00072949i,-0.00022265+4.0754e-05i
-0.00015752+0.00042033i,-0.00082056-0.00015623i,-0.00089411-0.00097804i,-0.0006467-0.0012353i,-0.00049516-0.00085291i,-0.00076078-0.00022875i,-0.00042869-0.00031875i,0.00028195-0.00086692i,0.00014707-0.0010961i,-0.0010689-0.00086506i,-0.0013468-7.6943e-05i,-0.0011608+9.5539e-05i,-0.00033412-0.00026125i,-7.7842e-05+7.1515e-05i,-0.00074919+0.00061711i,-0.00035302+0.00034144i,0.00068017+0.00010546i,0.00061923-2.7281e-05i,-0.00018382-0.00041524i,-0.00042641-0.00058259i,-0.00041591-0.00058708i,1.9486e-05-0.0003592i,0.0007082-0.00026409i
-0.00049898-0.0009474i,-0.0011801-0.00072102i,-0.001355+0.0012257i,-0.00058076+0.0017962i,0.00056729-9.9205e-05i,0.0012448-0.00060077i,0.0010004-0.00012328i,0.00058366-0.00037612i,0.00025601-0.00012443i,-0.00089492+0.000131i,-0.0010005-0.00040718i,0.00011682+9.5731e-05i,0.00070026+0.00033444i,0.00076871-0.00061631i,-0.00036727-0.0009173i,-0.00046393-0.00077203i,0.00020284-0.0010004i,-0.00027966-0.00065114i,-0.00016069-0.00030737i,0.00060813-0.00022685i,0.0012209+0.00037181i,0.00075365+0.00038314i,-0.00028595+0.00032318i
-0.00040559-0.0004128i,-1.3425e-05-0.00035552i,0.00038053-0.00021158i,0.00043896-0.0012566i,0.00075558-0.0016286i,0.00065861-0.00078387i,0.00033836-0.00098128i,-4.3019e-05-0.0015206i,-0.00034297-0.0015554i,-0.00025638-0.00092233i,-7.6462e-05-9.318e-05i,-0.00019967+0.00017218i,0.00032052-0.00016248i,0.0013155-0.00013355i,0.0015048+0.00034948i,0.00092242+0.00065856i,0.00025559+0.00099442i,0.00032753+0.00045735i,0.00061888-0.00033044i,0.00021484-5.894e-05i,-4.6925e-06+0.00023868i,-0.00035012+0.00051628i,-0.0009504+0.0006955i
0.00053319-0.00052003i,0.00048419+3.5739e-05i,1.3393e-05+0.00011139i,-0.00035525-0.00023037i,-0.00064536-0.0010956i,-0.00112-0.00034267i,-0.0011744+0.00048854i,-0.00073194-0.00035413i,-0.00038311-0.0010525i,-0.0010222-0.0011217i,-0.0016594-0.00080646i,-0.00034475-2.532e-05i,0.00054308+0.00074333i,0.0001442+0.0012174i,0.00024032+0.00055737i,0.00023421-0.0001995i,-0.00046246+0.0002274i,-0.00033373+0.00026258i,-0.00048123+4.9534e-05i,-0.0009696-0.00062402i,-0.00023584-0.0008889i,0.00061854-0.00023895i,0.00050629+0.00042381i
0.00015781+0.00054907i,0.00027669+0.00016111i,0.0014652-0.00044204i,0.0013449-0.00049382i,3.251e-06-0.0012571i,0.00045092-0.0010472i,0.00077602+0.00018456i,0.00012601-0.00055814i,-0.00041628-0.0011534i,-0.00047302-0.000422i,-0.00053297-0.00046601i,-0.001351-0.0011312i,-0.0016006-0.00056191i,-0.00075933+0.00059324i,0.00029583+0.0015163i,6.8166e-05+0.001319i,0.00038905+0.00063335i,0.00069471-0.00010749i,5.0708e-05-0.00082447i,0.00036739-0.00048054i,0.00048401-0.00049513i,0.0002144-0.00015362i,0.00043213+0.00061133i
